부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
'그거' 있어요?,심연,B14,2sp,CoC 7th,"언성듀엣, inSANe",,,,,,"기타,소설",https://dongne.co/event/dice01/circles/106096,다이스 페스타,day1
.,심해,C24b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/169590,다이스 페스타,day1
2년 전에 신청하고 까먹고 있었는데 갑자기 행사가 한 달 뒤라고요?,9999,E2,2sp,COC,지금보니까 여기만 신간이 없잖아요 뭐라도 할수있게 힘내보겠습니다 안되면 재고만 들고가요....,,,,,,기타,https://dongne.co/event/dice01/circles/105096,다이스 페스타,day1
Bury Me,베리미,B7,2sp,수제 레진 주사위 ,,,,,,,공예,https://dongne.co/event/dice01/circles/105970,다이스 페스타,day1
CHERRY-PICKING-PARTY,최리,E21,2sp,크툴루의 부름 7판,,,,,,,,https://dongne.co/event/dice01/circles/106085,다이스 페스타,day1
Hidden Sweet,플,C18a,1sp,더블크로스3rd,언성 듀엣,,,,,,공예,https://dongne.co/event/dice01/circles/169561,다이스 페스타,day1
J룰 하기 좋은 날,메로닝,A7b,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/143056,다이스 페스타,day1
Kil the Silver,그은,B5,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/169230,다이스 페스타,day1
Last Nighty,147,E3a,1sp,CoC 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/140595,다이스 페스타,day1
LIMIT,SIHA,A7a,1sp,마도서대전TRPG 마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/143190,다이스 페스타,day1
Minari Handmade,끼랴,E6a,1sp,Call of Cthulhu,피아스코,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/105898,다이스 페스타,day1
MY FIRST TABLETOP,우롱,A22,2sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142773,다이스 페스타,day1
n선상의 다이스,Team.cosmos,E4,2sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/144783,다이스 페스타,day1
Project KUKI 프로젝트 쿠키,프로젝트 쿠키,E24,2sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/169545,다이스 페스타,day1
RGBK,날치,A6,2sp,"마기카로기아, 더블크로스","인세인, 스트라토샤우트",문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/106235,다이스 페스타,day1
San체크 /r 1D100,해산물,E20b,1sp,Coc,없음,,,,,,,https://dongne.co/event/dice01/circles/148055,다이스 페스타,day1
SAN치 핀치 오버드!,Team SHiKL,A24b,1sp,더블크로스 3rd,크툴루의 부름,제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,소설",https://dongne.co/event/dice01/circles/104139,다이스 페스타,day1
Sarvant on the Ground,사라반트,A12,4sp,마도서대전 TRPG 마기카로기아,inSANe,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104981,다이스 페스타,day1
Saura's TRPG,Saura,B20,2sp,D&D 5e,,,,,,,게임,https://dongne.co/event/dice01/circles/105610,다이스 페스타,day1
SF 좋아하세요? 전 좋아합니다... 그런데 마법을 곁들인,김예섭,A18,2sp,마기카로기아,Dx3rd,문호특설우정국 「낭만사서함」,,,,,"게임,일러스트",https://dongne.co/event/dice01/circles/144193,다이스 페스타,day1
silverforest,은림,C21b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/145123,다이스 페스타,day1
slice and dice,데지,E22b,1sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/167886,다이스 페스타,day1
Team HATS,"H_M, 파란모자",D2b,1sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/106615,다이스 페스타,day1
TEAM MATIZ,B,B15b,1sp,둘이서 수사,"CoC, 인세인",,,,,,"소설,기타",https://dongne.co/event/dice01/circles/142848,다이스 페스타,day1
TEAM SF,먼지,B16,2sp,둘이서 수사,inSANe,,,,,,게임,https://dongne.co/event/dice01/circles/142827,다이스 페스타,day1
Team. Zodiac,태양,E23,2sp,"COC, 인세인",,,,,,,게임,https://dongne.co/event/dice01/circles/104518,다이스 페스타,day1
Team. 라퓨타,수연,E7,4sp,Call of Cthulhu 7th,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105293,다이스 페스타,day1
Team. 오아시스,팀 오아시스,D11,4sp,COC,,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/103657,다이스 페스타,day1
Team.LUNACY,MILK,A20b,1sp,인세인,마기카로기아,,,,,,기타,https://dongne.co/event/dice01/circles/105711,다이스 페스타,day1
WE MAKE CODEX BETTER,세롬,A16a,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/144859,다이스 페스타,day1
Xero Crescent,휴엔,D4a,1sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/109319,다이스 페스타,day1
You Are F,교수,C13,2sp,TRPG,COC 7th 팬메이드 시나리오,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/141940,다이스 페스타,day1
ZB,BLEN,C22b,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143079,다이스 페스타,day1
《마감》으로 공포판정,로맨틱쿼카,D12,2sp,inSANe,,,,,,,기타,https://dongne.co/event/dice01/circles/104988,다이스 페스타,day1
개새튀김과 대마덮밥 ,개새,B12,2sp,COC : 스카보로우 항구에서 시나리오집,ALL,,X,,해당없음,X,"기타,소설",https://dongne.co/event/dice01/circles/104439,다이스 페스타,day1
겁스민,스민,D6b,1sp,"겁스, GURPS",,,,,,,기타,https://dongne.co/event/dice01/circles/143120,다이스 페스타,day1
공중화장실,선녀,E22a,1sp,COC,,,X,,해당없음,,게임,https://dongne.co/event/dice01/circles/106410,다이스 페스타,day1
공포심 10개 모으면 괴이로 교환해드려요,사부,C10,2sp,마기카로기아,인세인,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105548,다이스 페스타,day1
그레이 스칼렛,스칼,A3a,1sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/144731,다이스 페스타,day1
까까인,고슴도치,C2b,1sp,인세인,,,,,,,게임,https://dongne.co/event/dice01/circles/105331,다이스 페스타,day1
꽁치수산,"제림, 엔난",C5,2sp,인세인,COC,,,,,,소설,https://dongne.co/event/dice01/circles/103733,다이스 페스타,day1
나라 얻은 아나키스트처럼 울었다,뽀,C3b,1sp,인세인,크툴루의 부름,,,,,,기타,https://dongne.co/event/dice01/circles/106280,다이스 페스타,day1
날팔이,포리,D17b,1sp,coc,,,,,,,,https://dongne.co/event/dice01/circles/143265,다이스 페스타,day1
내멋대로 TRPG,연어,C21a,1sp,시티 오브 미스트,,,,,,,"게임,공예",https://dongne.co/event/dice01/circles/105686,다이스 페스타,day1
노는 여자들,서한아,C7,2sp,마우스가드,언라이트(단순 홍보),,,,,,기타,https://dongne.co/event/dice01/circles/105905,다이스 페스타,day1
뇌크로노미콘 상회 UGN 지점,언데드,A24a,1sp,"더블크로스 3rd, 크툴루의 부름",,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"소설,기타",https://dongne.co/event/dice01/circles/104887,다이스 페스타,day1
느짓살이,단삭,A21a,1sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,소설,https://dongne.co/event/dice01/circles/142867,다이스 페스타,day1
다시 태어나면 쨍(WoD)은 하지 않겠습니다.,팀더스테인 ,C1,2sp,World of Darkness,"Mage : the Ascension, Wraith : the Oblivion, Changeling : the dreaming, Demon : the Fallen",,,,,,게임,https://dongne.co/event/dice01/circles/169440,다이스 페스타,day1
다이스 파스타?,밤,B2b,1sp,,,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/149752,다이스 페스타,day1
단칸방,호재,D9a,1sp,coc,언성듀엣,,,,,,,https://dongne.co/event/dice01/circles/169279,다이스 페스타,day1
달 뒷면 토끼파,녹차하임,B21a,1sp,마기카로기아,시노비가미,,,,,,,https://dongne.co/event/dice01/circles/105678,다이스 페스타,day1
