부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
                                                                                                                                                                                                     N.F,안건,B18,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",@goodteethguys,https://dongne.co/event/df2501/circles/455715,제28회 디. 페스타,Day1
                                                                                                                                                                                                  공동정탈취범,훈,A13,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",ju_angbal_love,https://dongne.co/event/df2501/circles/457985,제28회 디. 페스타,Day1
                                                                                                                                                                                               ONLY GOGE,사뿐,A22,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,,https://dongne.co/event/df2501/circles/457993,제28회 디. 페스타,Day1
                                                                                                                                                                                             CCTV No.572,cc,B17,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,,,https://dongne.co/event/df2501/circles/455693,제28회 디. 페스타,Day1
                                                                                                                                                                                          타비신고 마중나온 푸른 봄,"UQU, 가응",A17,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"일러스트,만화",@UQUOOZZ @tonggong_00,https://dongne.co/event/df2501/circles/455725,제28회 디. 페스타,Day1
      푸른봄 XXL세트,"뭔튀김, 뭔버거",A21,2sp,주술회전,세포신곡,,"고죠 사토루, 게토 스구루, 하츠토리 하지메, 우츠기 노리유키",고죠 사토루X게토 스구루,로맨틱,하츠토리 하지메x우츠기 노리유키,만화,@3vnqha,https://dongne.co/event/df2501/circles/460295,제28회 디. 페스타,Day1
(주) 무림미식회,단팥빵,O24b,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",@Annbbang,https://dongne.co/event/df2501/circles/461254,제28회 디. 페스타,Day1
(주) 텅 빈,레이지빈,N12,2sp,,,,,,,,,,https://dongne.co/event/df2501/circles/459769,제28회 디. 페스타,Day1
.,.,S20,2sp,"아이돌리쉬 세븐, 아이나나",,,.,,로맨틱,,만화,.,https://dongne.co/event/df2501/circles/455777,제28회 디. 페스타,Day1
.,.,K9,2sp,,,,,,,,,,https://dongne.co/event/df2501/circles/461487,제28회 디. 페스타,Day1
.,0,K14,2sp,,,,,,,,,,https://dongne.co/event/df2501/circles/461495,제28회 디. 페스타,Day1
.,이개,M12,2sp,,,,,,,,,@thrkks2,https://dongne.co/event/df2501/circles/457921,제28회 디. 페스타,Day1
.,숙면,S6,2sp,NU:Carnival,블루록,,,,,,,@everydaysleep__,https://dongne.co/event/df2501/circles/457698,제28회 디. 페스타,Day1
...혹시 마감러십니까? -? 예.,"감새, 꽐, 에베",O16,2sp,데뷔를 못하면 죽는병 걸림,괴담에 떨어져도 출근을 해야 하는구나,,박문대,,,,,,https://dongne.co/event/df2501/circles/464246,제28회 디. 페스타,Day1
0000,Kal,F6,2sp,혈계전선,트라이건,2025 라이브라한국지부 신년회,,,,"크라스팁, 재프스팁, 밧슈울프",만화,@Ms_Kal,https://dongne.co/event/df2501/circles/460278,제28회 디. 페스타,Day1
1,ㅍㅍ,B4,2sp,,,,,,,,,@DB_10101,https://dongne.co/event/df2501/circles/459309,제28회 디. 페스타,Day1
