순위,부스명,대표자,팔로워수,미확보수,트위터,행사명,링크
1,괴큐,영큐,233900,0,Zero_Q_0q,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/170783
2,자캐깎는부스,illi884,110783,0,"illi884, iren_lovel",제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/171148
3,심해연구소,YUNAK,88400,0,HQ_YUNAK,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/168104
4,솔음이의 오염된 먀먀먀,먀냐,81600,0,Myanya_0,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/170643
5,스팀친추해요,하해,68300,0,hahaebbang1,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/169111
6,한 고게 넘어 사랑!,양갱,57100,0,za_yess,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167666
7,"기다리고 있어, 쎈쎄","EXCE-T, hamo",56600,0,"DprtpF_Tor5X2, hamo_art2",제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167258
8,달야,달야,56100,0,Dalya_png,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/170709
9,Sidework,"도담 ,초코보, 노루궁뎅이",55932,0,"Dodaam_, Scottish_Fold12, noru_axxpolice",제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167762
10,Dream Planet,Hung Hui Ting,43700,0,imme_111,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/173807
11,Cosmic Communications,ShiQi,42800,0,capybara_roll,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/173691
12,그렇게 됐다,ㅇㅇ,42200,0,loveblond_46,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167911
13,더쿠단 ,Dd,40700,0,ddolddo8_8,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/171293
14,소소한 메이릴리,파린,37248,0,"sosohan611004, Ma_Li_garden",제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/166835
15,천연과하남자,허소금,36200,0,salt4265879,제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/170820
16,neimma,chop,34900,0,pprk1122,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167525
17,갑타로이드어드벤처휘두르며,부녀유 & 이온,34214,0,"yelimi2026, iwaejin6, ionblue",제34회 디. 페스타(일),https://dongne.co/events/df260702/circles/175337
18,정답입니다! 상품으로 화요퀴즈쇼 참가권을 드리겠습니다!,RURU,32999,0,"RURU_MD, Loviewer_0224, epzkk_gw, papa8_8",제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/169228
19,귀여워도 출근을 해야 하는구나,용사,31300,0,04_0IV,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/167557
20,팝콘팝니다,굿게,30900,0,_ellllk,제34회 디. 페스타(토),https://dongne.co/events/df2607/circles/166850
