부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일,대표 작품(원작)_원본
 ,파파 ,,,,,2sp,아델타 ,,,,,,,,,https://dongne.co/event/df2604/circles/613325,제33회 디. 페스타 (토요일),Day1,아델타 
(빵척자 베이커리),쩌다,,,,,1sp,,,,"스텔레,파이논,아낙사,마이데이",,,,게임,hq_dds2,https://dongne.co/event/df2604/circles/661850,제33회 디. 페스타 (토요일),Day1,
(주) 무림미식회,단팥빵,,,,,1sp,무림제일폐: 월한강천록,닥터스톤,,유소월,홍륜X소월,"로맨틱,섹슈얼",츠카센,"만화,일러스트,소설",annbbang,https://dongne.co/event/df2604/circles/601730,제33회 디. 페스타 (토요일),Day1,무림제일폐: 월한강천록
*Rabbithole*,hooneu,,,,,2sp,유희왕,,야미진 쁘띠존 < 강한 마음 x 다정한 마음 >,"유희, 어둠의 유희",어둠의 유희X유희,로맨틱,,만화,hooneu777,https://dongne.co/event/df2604/circles/599751,제33회 디. 페스타 (토요일),Day1,유희왕(DM)
.,감,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/600107,제33회 디. 페스타 (토요일),Day1,
.,.,,,,,2sp,"프로젝트 세카이, 앙상블 스타즈!!, 데뷔 못하면 죽는 병 걸림",,,,,,,"일러스트,공예",rabi_palette,https://dongne.co/event/df2604/circles/597117,제33회 디. 페스타 (토요일),Day1,"프로젝트 세카이, 앙상블 스타즈!!, 데뷔 못하면 죽는 병 걸림"
.,이요르,,,,,2sp,디지몬 테이머즈,,,,,,,,,https://dongne.co/event/df2604/circles/600971,제33회 디. 페스타 (토요일),Day1,디지몬 테이머즈
.,.,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/609479,제33회 디. 페스타 (토요일),Day1,
.,슈리,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,,https://dongne.co/event/df2604/circles/603347,제33회 디. 페스타 (토요일),Day1,괴담출근
.,.,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/600031,제33회 디. 페스타 (토요일),Day1,
.,"규자, 초삼",,,,,2sp,"Lkyt., 건담 시드 데스티니",,,,,,,,,https://dongne.co/event/df2604/circles/612855,제33회 디. 페스타 (토요일),Day1,"Lkyt., 건담 시드 데스티니"
.,에르,,,,,2sp,가비지타임,,,"전영중, 성준수",전영중X성준수,,,일러스트,eru18831,https://dongne.co/event/df2604/circles/609021,제33회 디. 페스타 (토요일),Day1,가비지타임
..,깡,,,,,2sp,,"괴담출근, 니디걸",,,,,,,,https://dongne.co/event/df2604/circles/601946,제33회 디. 페스타 (토요일),Day1,
0,PT,,,,,1sp,원신,닌타마,,,,,,,,https://dongne.co/event/df2604/circles/601315,제33회 디. 페스타 (토요일),Day1,원신
0+123456,우파루파,,,,,1sp,명탐정 코난,닌자보이 란타로(닌타마 란타로),,"후루야 레이, 카자미 유우야",후루야 레이X카자미 유우야,"로맨틱,섹슈얼","다카사, 시라코바 etc.","만화,일러스트",uparupa_nun,https://dongne.co/event/df2604/circles/603359,제33회 디. 페스타 (토요일),Day1,명탐정 코난
