부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일,대표 작품(원작)_원본
1,1,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,브라운 X김솔음,,,,,https://dongne.co/event/df2604/circles/602046,제33회 디. 페스타 (토요일),Day1,괴담출근
1004기수 시즌2,스ㅍㅡ,,,,,2sp,MIU404,호시노겐 슬로우트레인 천관사복 보컬로이드 ,,이부키 아이 / 시마 카즈미,,,,,,https://dongne.co/event/df2604/circles/602597,제33회 디. 페스타 (토요일),Day1,MIU404
1042thDEAL,"42, 디일",,,,,2sp,원피스 ,"슬램덩크, 은혼, 포켓몬, 보컬로이드",,,,,,,,https://dongne.co/event/df2604/circles/600714,제33회 디. 페스타 (토요일),Day1,원피스 
13월의 정원,가든,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/598386,제33회 디. 페스타 (토요일),Day1,
16hours,방듀,,,,,1sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","케마 토메사부로, 젠포우지 이사쿠",케마 토메사부로X젠포우지 이사쿠,로맨틱,,만화,n_baindyu,https://dongne.co/event/df2604/circles/606638,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
2026 다이겐 앤솔로지 ,두목,,,,,2sp,히프노시스 마이크,,,"아리스가와 다이스, 유메노 겐타로",아리스가와 다이스X유메노 겐타로,"로맨틱,섹슈얼",,"만화,일러스트,소설",no_1_kashira,https://dongne.co/event/df2604/circles/616812,제33회 디. 페스타 (토요일),Day1,히프노시스 마이크
2026리코붐,리코,,,,,2sp,체인소맨 가비지타임 소울이터 등,1차 창작 ,,덴지 레제 아키 천사 최종수 기상호 전영중 성준수 틸 이반 수아 미지,,,,일러스트,"rico_maruu, ricolifes",https://dongne.co/event/df2604/circles/617157,제33회 디. 페스타 (토요일),Day1,체인소맨 가비지타임 소울이터 등
21세기 동인은 물물교환만 받습니다.,빨간단추,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,최요원,,,,,,https://dongne.co/event/df2604/circles/596037,제33회 디. 페스타 (토요일),Day1,괴담출근
2604디페토g,그랜절,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/596807,제33회 디. 페스타 (토요일),Day1,
2604디페토n,vinel,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/598366,제33회 디. 페스타 (토요일),Day1,
2마트,2,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,전지적 독자 시점,,"브라운, 김솔음, 유중혁, 김독자",,,,일러스트,charon_22,https://dongne.co/event/df2604/circles/600292,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
2차창작이 돈이 안되는걸 보여주겠다,우라늄,,,,,2sp,광마회귀,,,"몽랑, 이자하",몽랑X자하,"로맨틱,섹슈얼","몽랑자하, 자하몽랑","소설,만화",,https://dongne.co/event/df2604/circles/602287,제33회 디. 페스타 (토요일),Day1,광마회귀
306호 듀못방,2B,,,,,2sp,유희왕 등,이나이레 하비애니 등,,,,해당없음,,"만화,일러스트",ivy_vs__,https://dongne.co/event/df2604/circles/597256,제33회 디. 페스타 (토요일),Day1,유희왕 등
30기 35화,ㅅㅇ,,,,,2sp,닌타마,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","야마다 리키치, 도이 한스케",야마다 리키치X도이 한스케,"로맨틱,섹슈얼",,만화,sensei_saico,https://dongne.co/event/df2604/circles/597923,제33회 디. 페스타 (토요일),Day1,닌타마
4/ 오리가 하나둘!,하나이,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,데뷔 못 하면 죽는 병 걸림,,,,,,,_00365,https://dongne.co/event/df2604/circles/601687,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
404,단후,,,,,2sp,닌타마,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,,https://dongne.co/event/df2604/circles/598778,제33회 디. 페스타 (토요일),Day1,닌타마
4디페 가자!,체리,,,,,2sp,가라오케 가자!,패밀리 레스토랑 가자.,,"나리타 쿄지, 오카 사토미",쿄지X사토미,섹슈얼,,"소설,기타",hk_cherry_2046,https://dongne.co/event/df2604/circles/602577,제33회 디. 페스타 (토요일),Day1,가라오케 가자!
4디페(토)1sp,벨로,,,,,1sp,,,,,,,,,,https://dongne.co/event/df2604/circles/601414,제33회 디. 페스타 (토요일),Day1,
4월,yaming,,,,,2sp,이세계 착각 헌터,괴담에 떨어져도 출근을 해야 하는구나,,,,,,"기타,공예,조형",,https://dongne.co/event/df2604/circles/611255,제33회 디. 페스타 (토요일),Day1,이세계 착각 헌터
4월은 메옵이 제철,Ghilli,,,,,2sp,TFP,트랜스포머 IDW1 코믹스,트랜스포머 쁘띠존,옵티머스 프라임,메가트론X옵티머스,"로맨틱,섹슈얼",숔오라,"만화,일러스트,소설",ghilllli,https://dongne.co/event/df2604/circles/595469,제33회 디. 페스타 (토요일),Day1,TFP
4인6장르,찌,,,,,2sp,"나루토, 리버스1999, 괴담출근, 100미터. 명일방주",,,,,,자이미야자이,"만화,일러스트",,https://dongne.co/event/df2604/circles/599721,제33회 디. 페스타 (토요일),Day1,"나루토, 리버스1999, 괴담출근, 100미터. 명일방주"
5등분의 김솔음,호에엥,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,해당없음,,,tffnxc37vyvuzqn,https://dongne.co/event/df2604/circles/613032,제33회 디. 페스타 (토요일),Day1,괴담출근
7년째 타협 불가,부농,,,,,2sp,괴수8호,화산귀환,,"괴수8호=나루미 겐,호시나 소우시로/화산귀환=청명,백천,이설,소소,조걸,윤종",,,,"만화,소설",e5c2be,https://dongne.co/event/df2604/circles/599986,제33회 디. 페스타 (토요일),Day1,괴수8호
80세 오카와 헤이지 우즈마사 인생 최후의 끌어치기,기띵이,,,,,1sp,,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,"일러스트,만화,기타",bbakyu122,https://dongne.co/event/df2604/circles/609985,제33회 디. 페스타 (토요일),Day1,
99%주스,ㄹㅇ,,,,,1sp,가비지타임,망아살,,,,,,,,https://dongne.co/event/df2604/circles/600511,제33회 디. 페스타 (토요일),Day1,가비지타임
9회말 2아웃에 혹시모름,낙9,,,,,4sp,괴담에 떨어져도 출근을 해야 하는구나,"어두운 바다의 등불이 되어, 너희들은 변호됐다 ",,김솔음 외 all 캐릭터 ,,해당없음,,"만화,일러스트,소설",sonakbe_33,https://dongne.co/event/df2604/circles/595436,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야하는구나
<나기이사 쁘띠존> 주최부스,나기이사 쁘띠존,,,,,2sp,블루록,,나기이사 쁘띠존,"나기 세이시로, 이사기 요이치",,,,,nagiisagizone,https://dongne.co/event/df2604/circles/652106,제33회 디. 페스타 (토요일),Day1,블루록
<복스알래 쁘띠존-사슴 꼬리의 진실-> 주최부스,복스알래 쁘띠존-사슴 꼬리의 진실-,,,,,2sp,,,복스알래 쁘띠존-사슴 꼬리의 진실-,,,,,,,https://dongne.co/event/df2604/circles/652090,제33회 디. 페스타 (토요일),Day1,
?,cake,,,,,2sp,원피스,닌타마,,,,해당없음,,"기타,일러스트",___c_a_k_e___,https://dongne.co/event/df2604/circles/611466,제33회 디. 페스타 (토요일),Day1,원피스
Alchemy Lab.,JunE,,,,,2sp,볼트론:전설의 수호자,,,"키스, 시로, 알루라, 랜스, 피지, 헝크, 팔라딘즈",,"로맨틱,섹슈얼",알루랜스,"일러스트,소설",fennecjune,https://dongne.co/event/df2604/circles/597156,제33회 디. 페스타 (토요일),Day1,볼트론:전설의 수호자
Aporia 한국 분점 aka 브레마이 한줌단☆,HB,,,,,2sp,breakmycase,,,breakmycase,,,,"만화,일러스트,소설,공예",brmy_dreammkcy,https://dongne.co/event/df2604/circles/598610,제33회 디. 페스타 (토요일),Day1,breakmycase
Apple pie Opera,씨소,,,,,1sp,나의 히어로 아카데미아,,,"바쿠고 카츠키, 미도리야 이즈쿠",바쿠고 카츠키X미도리야 이즈쿠,로맨틱,,일러스트,ssiisaw,https://dongne.co/event/df2604/circles/598372,제33회 디. 페스타 (토요일),Day1,나의 히어로 아카데미아
ASDF,kkyut,,,,,2sp,유희왕,,야미진 쁘띠존 < 강한 마음 x 다정한 마음 >,,,,,만화,sung22a,https://dongne.co/event/df2604/circles/596946,제33회 디. 페스타 (토요일),Day1,유희왕
Black Eye & Rondor,Rondor,,,,,4sp,1차창작,팬아트/FF14/해즈빈호텔,,,,,,,"rondor_1st, blackeye_toast",https://dongne.co/event/df2604/circles/610259,제33회 디. 페스타 (토요일),Day1,1차 창작
BSOD:(,티라,,,,,2sp,닌타마,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,tira_0o,https://dongne.co/event/df2604/circles/599218,제33회 디. 페스타 (토요일),Day1,닌타마
Cerulean+Blue,Sipir,,,,,2sp,가비지타임,하이큐,,,,,,,,https://dongne.co/event/df2604/circles/599710,제33회 디. 페스타 (토요일),Day1,가비지타임
CHIAKI,치아키,,,,,2sp,빛과 밤의 사랑,,빛과 밤의 사랑 쁘띠존 「휘명시디자이너연합회」,,소휘X여주,,,만화,chiaki_0219_2,https://dongne.co/event/df2604/circles/611987,제33회 디. 페스타 (토요일),Day1,빛과 밤의 사랑
Crotti,kitami,,,,,2sp,원피스,"켄간, 킹덤, 슬램덩크, 아이실드21",,,,,,,,https://dongne.co/event/df2604/circles/600249,제33회 디. 페스타 (토요일),Day1,원피스
D-Esper,케링,,,,,1sp,슬램덩크,주술회전,,서태웅,윤대협X서태웅,"로맨틱,섹슈얼","고죠후시,하치리드",,d_esper_,https://dongne.co/event/df2604/circles/595070,제33회 디. 페스타 (토요일),Day1,슬램덩크
dddd,1231,,,,,1sp,이세계 착각 헌터,,,김기려,,,,,ddccddccddccdd,https://dongne.co/event/df2604/circles/603579,제33회 디. 페스타 (토요일),Day1,이세계착각헌터
Diesukideath,적날,,,,,2sp,도박묵시록 카이지,도키메모 GS3,,이토 카이지,,로맨틱,,일러스트,oz_lovers,https://dongne.co/event/df2604/circles/600385,제33회 디. 페스타 (토요일),Day1,도박묵시록 카이지
DONUT UNIVERSE,"TN, 트라뭇",,,,,1sp,트라이건,,,,울프우드X밧슈,,,,,https://dongne.co/event/df2604/circles/601817,제33회 디. 페스타 (토요일),Day1,트라이건
ECO-404,성찬,,,,,2sp,,,,,,,,"일러스트,만화,기타",,https://dongne.co/event/df2604/circles/616787,제33회 디. 페스타 (토요일),Day1,
Endless Dream,루다,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,"최요원,류재관",최요원X류재관,로맨틱,,소설,luda_urbanmyth,https://dongne.co/event/df2604/circles/599529,제33회 디. 페스타 (토요일),Day1,괴담출근
G1의 은혜는 하늘 같아서,아무래도,,,,,2sp,트랜스포머 G1,기타 트랜스포머 시리즈,트랜스포머 쁘띠존,"클리프점퍼, 하운드, 미라지",,,,"만화,일러스트,기타",brotherofother,https://dongne.co/event/df2604/circles/597126,제33회 디. 페스타 (토요일),Day1,트랜스포머 G1
GYURI,김규리,,,,,1sp,하이큐,디지몬,,,,,,,,https://dongne.co/event/df2604/circles/600360,제33회 디. 페스타 (토요일),Day1,하이큐
H,순듭으,,,,,1sp,닌자보이 란타로,순정만화,,.,,,,일러스트,oh_hamma___,https://dongne.co/event/df2604/circles/601784,제33회 디. 페스타 (토요일),Day1,닌자보이란타로
HABSELIGKEITEN,은람,,,,,2sp,전독시,,,중혁독자,,,,,eunram,https://dongne.co/event/df2604/circles/603020,제33회 디. 페스타 (토요일),Day1,전독시
he@rtkoi,@qpd,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/603169,제33회 디. 페스타 (토요일),Day1,
Lovely Mix,Lovely Mix,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,"화산귀환, 전독시, 내스급",,,,,,,lovelymix_,https://dongne.co/event/df2604/circles/602695,제33회 디. 페스타 (토요일),Day1,괴담출근
MGR,jz,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/616753,제33회 디. 페스타 (토요일),Day1,
MIGHT BE THE HERO!,mha_deokjil,,,,,2sp,나의 히어로 아카데미아,,,바쿠고 카츠키 외 다수 캐릭터 ,,,,"만화,일러스트",mha_deokjil,https://dongne.co/event/df2604/circles/600124,제33회 디. 페스타 (토요일),Day1,나의 히어로 아카데미아
mini:D,M카,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,데못죽,,,,,,,,https://dongne.co/event/df2604/circles/597528,제33회 디. 페스타 (토요일),Day1,괴담출근
MIU 하자,아구치,,,,,2sp,MIU404,,,"이부키 아이, 시마 카즈미",,로맨틱,,"만화,일러스트,사진",oiljang_5,https://dongne.co/event/df2604/circles/616942,제33회 디. 페스타 (토요일),Day1,MIU404
Mixed Nuts,이례,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,,https://dongne.co/event/df2604/circles/604487,제33회 디. 페스타 (토요일),Day1,괴담출근
MOCOclub,cocomoco,,,,,2sp,,블루 록,,,,,나기레오,만화,c_ocomoco,https://dongne.co/event/df2604/circles/603289,제33회 디. 페스타 (토요일),Day1,창작
My☆Planet,행성지기,,,,,2sp,핸드메이드 봉제인형,솜인형 옷,,,,,,,my_planet_doll,https://dongne.co/event/df2604/circles/595568,제33회 디. 페스타 (토요일),Day1,핸드메이드 봉제인형
Nocontexthuman,봇,,,,,1sp,100미터,,,,,,,만화,,https://dongne.co/event/df2604/circles/602090,제33회 디. 페스타 (토요일),Day1,100미터
ONSET,사비크,,,,,1sp,블루록,,,"이사기 요이치, 미하엘 카이저",이사기 요이치X미하엘 카이저,로맨틱,,,,https://dongne.co/event/df2604/circles/602483,제33회 디. 페스타 (토요일),Day1,블루록
oO(상상중),H4B,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,김솔음,최요원X김솔음,"로맨틱,섹슈얼",재관솔음,,hae4back_,https://dongne.co/event/df2604/circles/602527,제33회 디. 페스타 (토요일),Day1,괴담에 떨어져도 출근을 해야 하는구나
PASSION,소라,,,,,1sp,1차 창작 캐릭터 위주의 정기 발간 회지,붕괴:스타레일,,,,,,"만화,일러스트,기타",kaistpassion,https://dongne.co/event/df2604/circles/611552,제33회 디. 페스타 (토요일),Day1,1차 창작 캐릭터 위주의 정기 발간 회지
P들의 부스,소비,,,,,2sp,,없음,,,,,,공예,sobi_j01,https://dongne.co/event/df2604/circles/600474,제33회 디. 페스타 (토요일),Day1,없음
Sad Sad Kiddie,미르덱스,,,,,1sp,메달리스트,,,"아케우라지 츠카사, 요다카 쥰",아케우라지 츠카사X요다카 쥰,"로맨틱,섹슈얼","츠카쥰, 츠카요다",소설,mirdex_murmur,https://dongne.co/event/df2604/circles/597505,제33회 디. 페스타 (토요일),Day1,메달리스트
SEA QUEST,사구리,,,,,1sp,골든카무이,,,,,,,,,https://dongne.co/event/df2604/circles/599959,제33회 디. 페스타 (토요일),Day1,골든카무이
SEXYGUYS in basketball court,미남프사,,,,,2sp,가비지타임,,,,,,,,sexyguyprofile,https://dongne.co/event/df2604/circles/615903,제33회 디. 페스타 (토요일),Day1,가비지타임
SHOCK!#,Syunn,,,,,1sp,도검난무,,,,,,,"만화,일러스트",lady_may_ladys,https://dongne.co/event/df2604/circles/606306,제33회 디. 페스타 (토요일),Day1,도검난무
SNBR,시나브로,,,,,1sp,마법사의 약속,월야환담,,,,,,,,https://dongne.co/event/df2604/circles/598471,제33회 디. 페스타 (토요일),Day1,마법사의약속
Something Odd.,Odd.,,,,,2sp,,,,,,,,"일러스트,사진,조형,공예,기타",i_odd_u,https://dongne.co/event/df2604/circles/603830,제33회 디. 페스타 (토요일),Day1,
Sourplace,사워,,,,,2sp,슬램덩크,"파미레스 가자, 여학교의 별",,,윤대협X서태웅,"섹슈얼,로맨틱","나리타 쿄지 x 오카 사토미, 고바야시 케이지 x 호시 미츠히코","소설,만화",sourcream0314,https://dongne.co/event/df2604/circles/604521,제33회 디. 페스타 (토요일),Day1,슬램덩크
Sukideath,사일,,,,,1sp,블루록,,,이사기 요이치,이토시 사에X이사기 요이치,"로맨틱,섹슈얼",나기이사,소설,yoixxchi,https://dongne.co/event/df2604/circles/602770,제33회 디. 페스타 (토요일),Day1,블루록
Tea Party!,Tea,,,,,1sp,백작가의 망나니가 되었다,,,케일 헤니투스,최한X케일 헤니투스,"로맨틱,섹슈얼",,만화,_tea_thyme,https://dongne.co/event/df2604/circles/612155,제33회 디. 페스타 (토요일),Day1,백작가의 망나니가 되었다
Team 동네슈퍼,징오,,,,,2sp,명탐정 코난,닌자보이 란타로,,수사1과+@,다카기 와타루X사토 미와코,로맨틱,,"만화,공예",jingjingocto,https://dongne.co/event/df2604/circles/599750,제33회 디. 페스타 (토요일),Day1,명탐정 코난
TTT,TOR,,,,,2sp,,,,,,,,"공예,만화",softyor_tor,https://dongne.co/event/df2604/circles/601686,제33회 디. 페스타 (토요일),Day1,
Two Rabbits & 자몽공방,Rabbits,,,,,2sp,,"데못죽, 괴출, 하이큐, 플레이브, 앙스타",,,,,,"공예,조형",2rabbits,https://dongne.co/event/df2604/circles/596902,제33회 디. 페스타 (토요일),Day1,
warm&happy,므옹,,,,,2sp,,,,,,,,,mong6681,https://dongne.co/event/df2604/circles/595088,제33회 디. 페스타 (토요일),Day1,
xoxo_xoxo,구남,,,,,2sp,은혼,"사카모토데이즈, 괴수팔호, 슬램덩크 ",,,,,,일러스트,qnamxoxo,https://dongne.co/event/df2604/circles/596095,제33회 디. 페스타 (토요일),Day1,은혼
[201호실],깅,,,,,1sp,닌자보이 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","도이 한스케, 셋츠노 키리마루",키리마루X도이,로맨틱,,"만화,소설",lsf_21xxxx,https://dongne.co/event/df2604/circles/597841,제33회 디. 페스타 (토요일),Day1,닌자보이 란타로
"[속보] 텐키님 실존, 실종?",이비,,,,,1sp,닌타마,"괴담출근, 유희왕","닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,h_la2626,https://dongne.co/event/df2604/circles/594973,제33회 디. 페스타 (토요일),Day1,닌타마
[입찰] [일반경쟁] <사카모토 데이즈> TV 애니메이션 제작 용역,김렛,,,,,1sp,사카모토데이즈,악마에 입문했습니다 이루마군 if 마피아,,,세바 나츠키X아사쿠라 신,로맨틱,,"만화,일러스트",ushirono_wotaku,https://dongne.co/event/df2604/circles/595605,제33회 디. 페스타 (토요일),Day1,사카모토 데이즈
___이케이케돈돈ㅣ______오시에테,"단새, 요운",,,,,1sp,닌타마,나의 히어로 아카데미아,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","도이 한스케, 키리마루 (유사가좍) 코헤이타, 몬지로, 쵸지 (단련조) / 팻껌,  타마키, 키리시마 (팻사무소)",,,,만화,"danlyeonsae, ye_oun",https://dongne.co/event/df2604/circles/600274,제33회 디. 페스타 (토요일),Day1,닌타마
ᆞ,gggggggg,,,,,1sp,데뷔 못 하면 죄는 병 걸림,괴담출근,,,,,,,,https://dongne.co/event/df2604/circles/603104,제33회 디. 페스타 (토요일),Day1,데못죽
■■의꿈,록록,,,,,1sp,"괴담출근, 데못죽, 1차 오리지널",,,"김솔음 +A,  1차 캐릭터",브라운X김솔음,"로맨틱,섹슈얼,해당없음",최솔 등 솔음른 위주,"소설,기타,만화,일러스트",llok_room,https://dongne.co/event/df2604/circles/601517,제33회 디. 페스타 (토요일),Day1,"괴담출근, 데못죽, 1차 오리지널"
い반 긴급임무의 단! 그리고 어디선가 온 탐정사무소,밤식,,,,,1sp,닌자보이 란타로,명일방주,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","타치바나 센조, 시오에 몬지로",타치바나 센조X시오에 몬지로,로맨틱,,만화,bamsike,https://dongne.co/event/df2604/circles/610780,제33회 디. 페스타 (토요일),Day1,닌자보이 란타로
ㅇㅇ,와앙,,,,,2sp,,,,,,,,,,https://dongne.co/event/df2604/circles/606854,제33회 디. 페스타 (토요일),Day1,
星 - 사회성결여동아리 ,피아노찌개,,,,,1sp,에반게리온,,,"이카리 신지, 나기사 카오루",X,로맨틱,,"일러스트,만화",,https://dongne.co/event/df2604/circles/604614,제33회 디. 페스타 (토요일),Day1,에반게리온
零度少年少女,애옥,,,,,1sp,히프노시스 마이크,,,"칸논자카 돗포, 토쿠마 우네메(OC)",돗포X토쿠마,"로맨틱,섹슈얼",,소설,e62yd7x,https://dongne.co/event/df2604/circles/613111,제33회 디. 페스타 (토요일),Day1,히프노시스 마이크
가능.,녹차,,,,,2sp,100M,,,,,,,,primuz04,https://dongne.co/event/df2604/circles/611981,제33회 디. 페스타 (토요일),Day1,100M
가능충,이르,,,,,2sp,,,,,,,,"만화,일러스트,소설",ileu2414,https://dongne.co/event/df2604/circles/608470,제33회 디. 페스타 (토요일),Day1,
가르쳐줬을 텐데!,김뿝,,,,,2sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","도이, 리키치, 텐키, 6닌",야마다 리키치X도이 한스케,로맨틱,,"만화,기타,일러스트",gimppub_kk,https://dongne.co/event/df2604/circles/610643,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
가벼우면 위로 무거우면 아래로,청연,,,,,2sp,"원피스, 포켓몬스터",,,상디 조로 카지 시유,상디X조로,"로맨틱,섹슈얼",카지x시유,"만화,일러스트,소설",cheongyeon_op,https://dongne.co/event/df2604/circles/597378,제33회 디. 페스타 (토요일),Day1,"원피스, 포켓몬스터"
가보자(4디페),밀재,,,,,2sp,,,,,,,,,cuu_mill,https://dongne.co/event/df2604/circles/595926,제33회 디. 페스타 (토요일),Day1,
가보자고,갸옹,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,전독시,,김솔음,최요원X김솔음,"로맨틱,섹슈얼","사헌솔음, 중혁독자","일러스트,만화",masitdaghost_77,https://dongne.co/event/df2604/circles/601549,제33회 디. 페스타 (토요일),Day1,괴담출근
가혹한 삶의 지평선,싸싸,,,,,2sp,패밀리 레스토랑 가자.,가라오케 가자!,,,나리타 쿄지X오카 사토미,로맨틱,,,ssa_ssiat,https://dongne.co/event/df2604/circles/608766,제33회 디. 페스타 (토요일),Day1,패밀리 레스토랑 가자.
각자닌생,독다마,,,,,2sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","나나마츠 코헤이타, 나카자이케 쵸지",,,"몬센, 진자잣",만화,,https://dongne.co/event/df2604/circles/594933,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
간장게장,시스티나,,,,,2sp,가비지타임,,,"성준수, 기상호, 최종수, 박병찬",성준수X기상호,"로맨틱,섹슈얼","준상, 뱅상, 종상",소설,sistina_w,https://dongne.co/event/df2604/circles/601732,제33회 디. 페스타 (토요일),Day1,가비지타임
갓반인관람불가,포하,,,,,1sp,나의 히어로 아카데미아,"헌터X헌터, 이세계 착각 헌터, 괴담에 떨어져도 출근을 해야 하는구나",,"미도리야 이즈쿠, 바쿠고 카츠키, 토도로키 쇼토, 곤, 키르아, 크라피카, 레오리오, 김기려, 정하성, 강창호",바쿠고 카츠키X미도리야 이즈쿠,로맨틱,,기타,phoh8a,https://dongne.co/event/df2604/circles/610954,제33회 디. 페스타 (토요일),Day1,나의 히어로 아카데미아
개가 왜 머리로 종을 쳐?,꽁치,,,,,2sp,닌타마 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,해당없음,"케마 토메사부로,젠포우지 이사쿠","만화,일러스트,기타",kkongchi_249,https://dongne.co/event/df2604/circles/615557,제33회 디. 페스타 (토요일),Day1,닌타마 란타로
걍진부스,걍진,,,,,1sp,,,,,,,,일러스트,jin1000ji3,https://dongne.co/event/df2604/circles/606248,제33회 디. 페스타 (토요일),Day1,
건강스낵 짱려 1ea 34kcal,피리아,,,,,1sp,이세계 착각 헌터,,,"강창호, 김기려",강창호X김기려,로맨틱,,,my_moist_alien,https://dongne.co/event/df2604/circles/601601,제33회 디. 페스타 (토요일),Day1,이세계 착각 헌터
걷는 제트기 생태연구,뺌!,,,,,1sp,트랜스포머,,트랜스포머 쁘띠존,,,,,,constellar_owl,https://dongne.co/event/df2604/circles/596479,제33회 디. 페스타 (토요일),Day1,트랜스포머
