value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
가면라이더 오즈 10th 부활의 코어메달,3,,,
"빨강,파랑,어쨌든 찬란(영화)",3,,,
"해파리 소녀 : 스티커,키링,바다테마 레진아트 / 메론소다",2,,,
하이큐 오란고교 나츠메 괴담출근 니지산지 은혼 히로아카,1,,,
판타지 수학대전,1,,,
서뱀프,1,,,
"회색도시,베리드스타즈,더크리처",1,,,
새로운 상사는 귀여운 허당,1,,,
무해한 과일친구들,1,,,
유희왕 VRIANS,1,,,
1차 오리지널 창작,1,,,
검은방회색도시베스타,1,,,
"이니셜디d,1차창작",1,,,
"유희왕(DM/GX/5Ds/Zexal),요철세계",1,,,
루오와 친구들,1,,,
"베리드 스타즈,골든카무이,회색도시1,2",1,,,
키미가시네,1,,,
"용과같이,신이말하는대로",1,,,
남궁세가 무사님이 로판에서 환생했다,1,,,
일리아스,1,,,
아이돌리쉬세븐 아이나나 i7,1,,,
유희왕GX / A5,1,,,
"ADELTA(울트라씨,오오에)",1,,,
레진키링 탑로더,1,,,
"발더게3,프롬게임,드래곤에이지",1,,,
나꽁아꽁,1,,,
와야마 작가님 작품,1,,,
페르소나4 골든,1,,,
"에반게리온,봇치더락,리리무",1,,,
뮤지컬 리지,1,,,
STRIPES(스트라입스),1,,,
세븐틴 우마무스메,1,,,
가면라이더 스트롱거,1,,,
"문나이트,씨너스",1,,,
"브래드 피트,가면라이더 오즈,스타워즈,엑스맨",1,,,
가면라이더 세이버,1,,,
베스트 키드,1,,,
가면라이더 가이무,1,,,
신삼국,1,,,
가면라이더 디케이드,1,,,
신참자,1,,,
가면라이더 고스트,1,,,
스타트렉 AOS,1,,,
"울트라맨 루브,염신전대 고온저",1,,,
"약한영웅,두마리를 위한 뜰,평행도시",1,,,
