value,count
"해파리 소녀 : 스티커,키링,바다테마 레진아트 / 메론소다",6
묵독,4
"창작일러스트,창작시집,레진공예,매듭공예,수공예",4
"창작,문구,공예",4
"수공예,레진공예,가죽공예,마크라메,창작시집",4
합법해적 파르페,4
사카데이,4
봄이 오면 꽃이 피고,4
공조살,4
히카루의 바둑,4
"브래드 피트,가면라이더 오즈,스타워즈,엑스맨",4
"잔차품,열화요수,살파랑,묵독,진혼",4
"취록의 플로리아,플레지위치,컴즈,주사위",4
다키스트 던전,4
역전재판5,4
마비노기,4
아머드코어6 루비콘의 화염,4
퇴마록,4
가치아쿠타,4
해파리소녀,4
문송안함,4
"위치즈하트,충사,쯔꾸르RPG,안개비가내리는숲",4
"탑꾸,탑로더",4
천막의 자두가르,4
"GM,클로저이상용,프로야구생존기,GM시리즈,GM시리즈(최훈)",4
사우스파크,4
"잔차품,슬램덩크,천추,군유질부,야요타야에야와디,야요타야아이야와디",4
"광마회귀 드림,화산귀환 드림,히프노시스 마이크 드림,골든 카무이 드림",4
월한강천록: 무림제일폐,3
쿠키런 킹덤,3
"마블,스어유,신비한 동물사전,슬램덩크,드라마",3
"솜인형 소품샵 5,10,5cm +사람소품도있어요",3
트라이건 스탬피드,3
바이오하자드,3
bl,3
유희왕 브레인즈,3
문구,3
"엘소드,제5인격,솜인형",3
유희왕 VRAINS,3
코드기어스,3
더 킹 오브 파이터즈,3
"발더스 게이트3,콜 오브 듀티,레드 데드 리뎀션 2,위쳐3,디트로이트 비컴 휴먼",3
위치즈하트,3
다크소울,3
아이돌리쉬7,3
유희왕GX,3
존윅,3
탑로더,3
Free!,3
전용.,3
Fate/Samurai Remnant,3
TRPG,3
히로아카,3
슈퍼전대,3
신삼국,3
"공포 영화,미드,스타워즈",3
특촬,3
가면라이더 기츠,3
탈(TAL),3
창작 일러스트,3
코난,3
텐~천화거리의 쾌남아~,3
"발더게3,프롬게임,드래곤에이지",3
솜인형 의상,3
아이돌 마스터,3
기계전대 젠카이저,3
"팔콘과 윈터솔져,캡틴아메리카 브레이브 뉴 월드,썬더볼츠*",3
"빨강,파랑,어쨌든 찬란(영화)",3
"가면라이더 지오,가면라이더 위자드,가면라이더 더블",3
"약한영웅,두마리를 위한 뜰,평행도시",3
"파판14,작혼,블루록,아카기,피크민",3
A3!,3
룬의 아이들,3
가즈나이트,3
성황의 아이들,3
의다살,3
민감한 대리님,3
"에이펙스 레전드,발더스게이트3,몬스터헌터,데스티니 가디언즈(데스티니2) 등등 게임장르 위주 + 창작 굿즈",3
"탑로더,탑꾸,키링",3
무해한 과일 친구들,3
트위스테,3
"인세인,창작 룰,미니 RPG",3
"DnD,디앤디,던전 앤 드래곤",3
인세인,3
마도서대전 TRPG 마기카로기아,3
명조,3
"수공예,레진공예,비즈공예,뜨개공예",3
"의원,다시 살다,순정철학논고",3
터닝,3
메이플스토리,3
망아살,3
"빙위특,회멱데,김아싫",3
"괴담출근,의원다시살다,공작님회계해주세요,의다살,괴출,공회주",3
썬더일레븐,3
코우노도리,3
귀멸의 칼날,3
"1차 창작 HL,BL,GL 소설 / 개인창작 귀여운 캐릭터들",3
"쯔꾸르 게임 등,위치즈하트,안개비가내리는숲",3
"(쯔꾸르게임)ib,살육의 천사,피학의 노엘",3
"아이돌리쉬 세븐,86 -에이티식스-,비선실세 레이디,프리큐어",3
"비선실세 레이디,프리큐어,86 -에이티식스-,아이돌리쉬 세븐",3
"카드캡터사쿠라,히카루가 죽은 여름,오리지널(1차),캐릭캐릭체인지,달빛천사,너에게닿기를",3
"수공예.,레진공예,뜨개질 공예품,탑로더",3
"페르소나 시리즈,진여신전생,메타포 리판타지오,니어: 오토마타,니어 레플리칸트",3
"공조살,갓갓갓,아이카츠! (아이엠스타),명탐점 코난",3
베이블레이드,2
터무니없는 이야기,2
진혼기 반월당,2
"할로우나이트,산나비,가비지타임,프로젝트세카이,하츠네미쿠,화산귀환,데못죽",2
"역전재판 시리즈: 역전재판 후기,대역전재판,역전검사",2
인소의법칙,2
버튜버,2
임시,2
"뜨개소품,탑로더",2
얼어붙은 플레이어의 귀환,2
"의원,다시 살다(의다살) / 진혼기",2
진혼,2
적국의 왕자로 사는 법,2
"나혼렙,나혼자만레벨업",2
데뷔못하면죽음,2
"의원,다시 살다 / 의다살",2
"터닝,화산귀환,내가키운S급들,패션",2
"사이키 쿠스오의 재난,천지창조 디자인부,갈릴레오 시리즈",2
"1차 문구류,픽셀아트",2
창작인형,2
"에우리디케는 없다,계약아빠",2
데못죽.플레이브,2
인형,2
가히리,2
2024 조인허스 오리지널 엽서,2
역전재판1~4,2
단간론파 어나더,2
"산나비,슬램덩크,리쎌컴퍼니,주술회전",2
킹오브파이터즈,2
"마비노기,발더스 게이트3,리틀 나이트메어",2
포켓몬스터SV,2
엘든 링,2
"에반게리온,스플래툰,록맨,미쿠,페르소나",2
"드래곤에이지,매스이펙트,파이널판타지14",2
드래곤에이지,2
언더테일,2
드래곤 퀘스트 XI S 지나간 시간을 찾아서,2
데뷔못하면죽는병,2
데뷔못하면죽는병걸림 데못죽,2
데뷔 못하면 죽는 병,2
문호와 알케미스트,2
"꿈왕국,트위스테,파라라이",2
에리오스,2
"주술회전,도리벤",2
도박묵시록 카이지,2
"주술회전,게토고죠",2
일타강사 백사부,2
비녀,2
쿠베라,2
페르소나 아이돌리쉬세븐 우마무스메,2
"마비노기,언데드 언럭",2
유희왕 고러시!!,2
젠레스존제로,2
from 아르고나비스,2
라빗 아트토이,2
"캐릭캐릭체인지,카드캡터체리,슈가슈가룬",2
"1차창작,쯔꾸르게임",2
패션,2
팀 조인허스(JOIN_HUS) 오리지널 굿즈,2
"픽셀아트,문구류",2
기동전사 건담 SEED,2
"어바등,공회주",2
"레진 키링,요술봉",2
"포밍이와 친구들,무스",2
솜인형,2
"레진아트,탑로더",2
가면라이더 더블,2
탑건,2
가면라이더 류우키,2
"구미호뎐,구미호뎐1938",2
수퍼내추럴,2
가면라이더 W(더블),2
"질풍기획,집이없어,전자오락수호대",2
1차 창작 캐릭터 위주의 정기 발간 회지,2
"퇴마록,언데드 언럭",2
"히카루가 죽은 여름,니지산지,고전애니,스타레일",2
파판14,2
괴담출근 데못죽,2
뉴단간론파V3,2
"봇치더록,케이온 / 보컬로이드,포켓몬",2
젠레스 존 제로,2
"패션(PASSION),패션 라가(PASSION RAGA)",2
케이팝데몬헌터스 사카모토데이즈,2
"다크소울,위쳐,파이널판타지14",2
DC 코믹스,2
원펀맨,2
"스티커,다꾸 굿즈",2
"에반게리온,봇치더락,리리무",2
Lkyt.,2
델타룬,2
"Trpg,인세인",2
"가면라이더 지오,가면라이더 빌드",2
킹덤,2
"문나이트,씨너스",2
가면라이더 빌드,2
"특촬,가면라이더 류우키",2
울트라맨 제트,2
"가면라이더,슈퍼전대",2
"울트라맨 루브,염신전대 고온저",2
"위빙 기법을 사용하여 제작한 수제 매트를 판매합니다. 여름의 푸릇한 잔디를 닮은 잔디밭 위빙 매트,눈길 위에 뽀작뽀작 남은 발자국을 표현한 발자국 위빙 매트 등을 판매해요.",2
발로란트,2
플레이브 데못죽,2
문구류,2
"블러디 메리,블러디 메리",2
브리아노의 연구소,2
"수공예,일러스트,시집",2
"신삼국,곤투모로우",2
"언데드 언럭,페어리테일",2
레뷰,2
"공작님,회개해주세요",2
"<내가 키운 S급들>,<전지적 독자 시점>을 포함한 웹소설",2
