code,canonical_name,count
W0001,슬램덩크,1144
W0005,괴담에 떨어져도 출근을 해야 하는구나,1071
W0002,가비지 타임,870
W0004,데뷔 못 하면 죽는 병 걸림,785
W0003,화산귀환,725
W0008,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,417
W0007,아이돌리쉬 세븐,391
W0006,주술회전,372
W0009,앙상블 스타즈!!,262
W0014,이세계 착각 헌터,219
W0011,블루 록,216
W0015,어두운 바다의 등불이 되어,204
W0025,닌자보이 란타로,193
W0012,오오에,181
W0016,내가 키운 S급들,178
W0013,진혼기,175
W0018,붕괴: 스타레일,170
W0017,하이큐!!,135
W0021,명탐정 코난,133
W0019,트라이건,133
W0020,명일방주,124
W0032,전지적 독자 시점,117
W0031,포켓몬스터,117
W0024,플레이브,108
W0022,천관사복,107
W0037,페이트/그랜드 오더,96
W0029,발더스 게이트 3,94
W0023,원피스,89
W0053,윈드브레이커,88
W0026,블랙 배저,87
W0027,역전재판,83
W0030,히프노시스 마이크,81
W0033,마법명가 차남으로 살아남는 법,79
W0041,페르소나 시리즈,76
W0076,명문고 EX급 조연의 리플레이,75
W0028,MIU404,74
W0034,니지산지,70
W0049,파이널 판타지 XIV,69
W0067,유희왕,65
W0036,마법사의 약속,61
W0010,앙상블 스타즈!! Music,61
W0035,괴수 8호,58
W0060,죠죠의 기묘한 모험,54
W0040,원신,53
W0038,트랜스포머,53
W0039,세포신곡,51
W0058,"의원, 다시 살다",50
W0063,은혼,49
W0051,오리지널,48
W0047,나의 히어로 아카데미아,48
W0055,엘소드,47
W0046,골든카무이,47
W0080,누: 카니발,46
W0054,모브 사이코 100,46
W0056,대역전재판,45
W0048,혈계전선,44
W0075,보컬로이드,44
W0066,카리스마,44
W0045,아이실드 21,44
W0059,나루토,44
W0050,가정교사 히트맨 리본!,43
W0062,로드 오브 히어로즈,42
W0042,페르소나 5,42
W0052,수공예,42
W0057,인간 본성이 반파된 자구계통,40
W0082,오버워치,38
W0073,이나즈마 일레븐,37
W0043,페르소나 3,36
W0085,우마무스메 프리티 더비,36
W0069,18TRIP,36
W0079,도쿄 리벤저스,35
W0070,문과라도 안 죄송한 이세계로 감,35
W0102,헌터×헌터,34
W0119,가면라이더,34
W0159,페이트 시리즈,33
W0077,사카모토 데이즈,33
W0065,서브 남주가 파업하면 생기는 일,32
W0100,MCU,31
W0061,도검난무,31
W0068,해즈빈 호텔,31
W0107,100미터,31
W0115,크툴루의 부름,30
W0064,마도조사,30
W0071,백작가의 망나니가 되었다,29
W0106,너희들은 변호됐다,29
W0074,테일즈런너,28
W0090,반월당의 기묘한 이야기,27
W0101,콜 오브 듀티,27
W0072,쿠로코의 농구,26
W0084,잔차품,24
W0091,젤다의 전설,23
W0121,천마는 아이돌이 되었다,23
W0078,테니스의 왕자,23
W0087,닥터 스톤,22
W0097,가라오케 가자!,22
W0118,파라독스 라이브,21
W0137,탑로더 탑꾸,21
W0083,에리오스 라이징 히어로즈,21
W0096,리그 오브 레전드,21
