code,canonical_name,count
W0093,용과 같이,21
W0089,해리 포터,20
W0081,모모찌,20
W0088,블루 자이언트,20
W0125,더블크로스 3rd,20
W0086,메달리스트,20
W0114,역전재판 시리즈,19
W0110,스플래툰,19
W0099,열화요수,19
W0117,살파랑,19
W0044,페르소나 4,19
W0144,프롬 아르고나비스,18
W0098,사이퍼즈,18
W0092,다이아몬드 에이스,18
W0094,겁쟁이 페달,17
W0104,무기미도,17
W0139,케이팝 데몬 헌터스,17
W0153,FKMT,16
W0148,기동전사 건담,16
W0111,던전밥,16
W0105,블리치,16
W0243,슈퍼 전대 시리즈,16
W0095,흡혈귀는 툭하면 죽는다,15
W0171,아이돌 마스터 SideM,15
W0112,고서점가의 하시히메,15
W0184,단간론파,14
W0109,디지몬,14
W0181,크툴루 게임 속 천재 마법사가 되었다,14
W0157,회색도시,14
W0123,프로야구생존기,14
W0160,프리파라,14
W0124,킹 오브 프리즘,14
W0155,마기카로기아,13
W0108,메타포: 리파타지오,13
W0126,더 퍼스트 슬램덩크,12
W0130,적왕사,12
W0150,이합화타적백묘사존,12
W0103,스타트렉,12
W0138,진격의 거인,12
W0190,소닉 더 헤지혹,12
W0151,포켓몬스터 스칼렛·바이올렛,12
W0180,아카기,12
W0127,SPY×FAMILY,12
W0140,리버스: 1999,12
W0132,무림제일폐: 월한강천록,11
W0206,할로우 나이트,11
W0164,베리드 스타즈,11
W0129,문호 스트레이 독스,11
W0241,아이카츠!,11
W0188,록맨,11
W0247,스타워즈,11
W0185,봇치더락!,11
W0113,빛과 밤의 사랑,11
W0161,더블크로스,11
W0136,네가 죽어,10
W0116,프로메아,10
W0131,월야환담,10
W0268,마비노기,10
W0128,망각배터리,10
W0317,인세인,10
W0197,헬루바,10
W0269,바이오하자드,9
W0177,캐릭캐릭체인지,9
W0141,시광대리인,9
W0191,아머드코어 VI,9
W0277,더 킹 오브 파이터즈,9
W0236,신세기 에반게리온,9
W0143,검은방,9
W0165,키타로 탄생: 게게게의 수수께끼,9
W0122,드래곤볼,9
W0154,초심 잃은 아이돌을 위한 회귀백서,9
W0170,시노비가미,9
W0172,망나니 PD 아이돌로 살아남기,9
W0135,그랜드체이스,9
W0187,제5인격,8
W0322,묵독,8
W0341,패션,8
W0142,밀그램,8
W0175,파이어 엠블렘 풍화설월,8
W0309,드래곤 에이지,8
W0133,울트라맨 엑스,8
W0204,오란고교 호스트부,8
W0134,울트라맨 오브,7
W0248,DC 코믹스,7
W0156,광마회귀,7
W0201,사이키 쿠스오의 재난,7
W0146,동경과 거짓말,7
W0147,기동전사 건담 수성의 마녀,7
W0287,위치즈 하트,7
W0179,길티기어,7
W0145,청의 엑소시스트,7
W0152,월드 트리거,7
W0344,"공작님, 회개해주세요!",7
W0326,퇴마록,7
W0162,게게게의 키타로,7
W0324,공포소설 속 조연은 사람으로 살고 싶다,7
W0149,술탄의 게임,7
W0120,가면라이더 가브,7
W0186,체인소 맨,7
W0267,쿠키런 시리즈,6
W0211,길라잡이의 등불,6
W0183,장송의 프리렌,6
W0168,박앵귀,6
W0158,테일즈 오브 제스티리아,6
W0259,트위스티드 원더랜드,6
W0257,에일리언 스테이지,6
W0209,유희왕 (토에이),6
W0163,용기폭발 뱅브레이번,6
W0182,태팅레이스,6
W0195,가면라이더 리바이스,6
W0196,폭상전대 분붐저,6
W0174,집이 없어,6
W0189,메탈카드봇,6
W0315,던전 앤 드래곤,6
W0212,귀멸의 칼날,6
W0330,적국의 왕자로 사는 법,5
W0347,나 혼자만 레벨업,5
W0176,왕은 웃었다,5
W0173,누이소품샵,5
W0178,격기3반,5
W0301,데스티니,5
W0193,은과 금,5
W0348,Free!,5
W0230,언데드 언럭,5
W0369,젠레스 존 제로,5
W0203,마법소녀 마도카 마기카,5
W0166,VS AMBIVALENZ,5
W0167,볼트론: 전설의 수호자,5
W0219,히카루의 바둑,5
W0304,피크민,5
W0169,아오페라,5
W0338,룬의 아이들,5
W0343,김 대리는 아이돌이 싫어,5
W0202,소울이터,5
W0205,달빛천사,5
W0223,천막의 자두가르,5
W0210,주컨곤,4
W0296,산나비,4
W0327,터닝,4
W0208,회색도시 시리즈,4
W0299,데드 바이 데이라이트,4
W0270,데빌 메이 크라이,4
W0271,다크소울,4
W0192,라테일,4
W0342,탈(TAL),4
W0258,포밍이와 친구들,4
W0368,명조: 워더링 웨이브,4
W0263,블루 아카이브,4
W0194,울트라맨 타이가,4
W0364,합법해적 파르페,4
W0235,패밀리 레스토랑 가자.,4
W0297,봄이 오면 꽃이 피고,4
W0274,델타룬,4
W0261,아이돌 마스터 시리즈,4
W0325,민감한 대리님,4
W0331,변경백 서자는 황제였다,4
W0198,스티븐 유니버스,4
W0199,아울 하우스,4
W0200,앰피비아,4
W0349,다키스트 던전,4
W0265,메이플스토리,4
W0213,가치아쿠타,4
W0245,사우스파크,4
W0335,일타강사 백사부,3
W0237,코드 기어스: 를루쉬의 반역,3
W0272,엘든 링,3
W0273,언더테일,3
W0303,별의 커비,3
W0252,존윅,3
W0238,걸즈 밴드 크라이,3
W0234,슈가슈가 룬,3
W0283,쯔꾸르 게임,3
W0254,수퍼내추럴,3
W0345,전자오락수호대,3
W0354,러브 앤 딥스페이스,3
W0292,슬로우 데미지,3
W0222,텐~천화거리의 쾌남아~,3
W0255,거침없이 하이킥!,3
W0291,Lkyt.,3
W0346,약한 영웅,3
W0298,발로란트,3
W0350,A3!,3
W0365,브리아노의 연구소,3
W0229,페어리 테일,3
W0353,악마집사와 검은고양이,3
W0337,가즈 나이트,3
W0336,성황의 아이들,3
W0357,86 -에이티식스-,3
W0275,몬스터 헌터,3
W0215,이누야샤,3
W0227,충사,3
W0318,블러드패스,3
W0319,언성 듀엣,3
W0256,홀로라이브,3
W0246,어메이징 디지털 서커스,3
W0221,코우노도리,3
W0276,니어 시리즈,3
W0225,고깔모자의 아틀리에,3
W0351,베이블레이드,2
W0262,꿈왕국과 잠자는 100명의 왕자님,2
W0260,노래의 왕자님♪,2
W0217,최애의 아이,2
W0333,인소의 법칙,2
W0329,얼어붙은 플레이어의 귀환,2
W0334,이번 생은 우주대스타,2
W0358,천지창조 디자인부,2
W0363,최후의 금빛아이,2
W0266,로스트아크,2
W0280,궤적 시리즈,2
W0313,위쳐,2
W0311,디트로이트: 비컴 휴먼,2
W0300,에이펙스 레전드,2
W0310,매스이펙트,2
W0281,슈퍼로봇대전 시리즈,2
W0293,ZENO,2
W0295,문호와 알케미스트,2
W0224,히스토리에,2
W0366,쿠베라,2
W0231,카드캡터 사쿠라,2
W0253,탑건,2
W0218,히카루가 죽은 여름,2
W0216,원펀맨,2
W0220,킹덤,2
W0244,울트라맨 제트,2
W0226,블러디 메리,2
W0352,데스노트,2
W0249,위키드,2
W0340,던전을 그리는 화가,2
W0332,아포칼립스엔 고인물이 필요해요,2
W0359,약사의 혼잣말,2
W0278,동방 프로젝트,2
W0321,아론의 사제,2
W0228,다이아몬드의 공죄,2
W0355,언내추럴,2
W0264,이터널리턴,2
W0367,천지해,2
W0290,소년기의 끝,2
W0214,강철의 연금술사,2
W0288,안개비가 내리는 숲,2
W0362,마왕의 고백,2
W0356,그노시아,2
W0328,비선실세 레이디,2
W0240,프리큐어 시리즈,2
W0233,케이온!,2
W0294,HUNDRED LINE -최종방위학원-,2
W0250,오페라의 유령,1
W0306,오모리,1
W0339,스왈로우 나이츠 테일즈,1
W0323,육효,1
W0251,반지의 제왕,1
W0307,앨런 웨이크,1
W0242,SHOW BY ROCK!!,1
W0302,보더랜드,1
W0279,아틀리에 시리즈,1
W0289,무색의 카이나,1
W0312,레드 데드 리뎀션,1
W0314,리썰 컴퍼니,1
W0305,리틀 나이트메어,1
W0308,ULTRAKILL,1
W0282,영원한 7일의 도시,1
W0361,평행도시,1
W0320,둘이서 수사,1
W0316,취록의 플로리아,1
W0207,니디 걸 오버도즈,1
W0239,뱅드림!,1
W0285,살육의 천사,1
W0286,피학의 노엘,1
W0232,너에게 닿기를,1
