value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
"그랜드 체이스,사우스 파크: 프랙처드 벗 홀",3,,,
버튜버 애덕 닌타마 란타로,2,,,
"1차 창작 HL,BL,GL 소설 / 개인창작 귀여운 캐릭터들",2,,,
"가라오케 가자,여학교의 별,빠졌어 너에게",2,,,
페르소나 5 더 로열,2,,,
"오버워치,가쿠마스,블러드본",2,,,
아이돌 마스터 밀리언 라이브!,2,,,
허잇차! 세자님,1,,,
"무기미도,둥굴레차!,거침없이 하이킥!",1,,,
좀비고등학교,1,,,
지운대,1,,,
"프리파라,보컬로이드,베리베리 뮤우뮤우",1,,,
탑로더 후우링,1,,,
"헌터헌터,고전애니,니지산지,가비지타임,주술회전,프리파라,달빛천사,꼬마마법사 레미",1,,,
유희왕 원작,1,,,
창조주의 편애법,1,,,
해파리소녀,1,,,
"괴담출근,데못죽,1차 오리지널",1,,,
"Lkyt.,꿈의라이브프리즘스톤",1,,,
DC코믹스 슈퍼선즈,1,,,
트랜스포머 ONE,1,,,
"페이트,괴담출근,페스페",1,,,
명일방주 엔드필드,1,,,
"괴담에빠져도출근하는구나,전지적독자시점",1,,,
뽐뽐 스튜디오,1,,,
오리지널 캐릭터,1,,,
트랜스포머 원,1,,,
포스터가 36번지에는 괴물이 산다,1,,,
미스터리 쉘터 체리블랑,1,,,
원룸조교님,1,,,
breakmycase,1,,,
트랜스포머 G1,1,,,
페르소나3 리로드,1,,,
이나즈마 일레븐 시리즈,1,,,
레뷰,1,,,
"바이오하자드,아라비안즈로스트",1,,,
"파이어 엠블렘 시리즈,Fate 시리즈,Fate/Grand order",1,,,
잭잔느,1,,,
"프리즘스톤,포켓몬스터",1,,,
연운십육성,1,,,
"오오에,dmmd",1,,,
페르소나4 피어앤헝거2,1,,,
"파이어엠블렘 풍화설월,보이스1",1,,,
"(쯔꾸르게임)ib,살육의 천사,피학의 노엘",1,,,
"아이돌리쉬세븐,오오엥",1,,,
아이돌랜드 프리파라,1,,,
"데못죽,초심돌",1,,,
