value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
주인공이 컨셉충이면 곤란한가요&마법명가 차남으로 살아남는 법&괴담에 떨어져도 출근을 해야 하는 구나&명문고 EX급 조연의 리플레이,3,,,
명탐정 코난 / 매직 카이토,2,,,
"프로젝트 세카이,빛과 밤의 사랑,수상한 메신저,연애 경보~키스는 미션 후에",2,,,
"조회지,이환원,괴담출근",2,,,
"프롤스토,아월스,명급리",2,,,
"빙위특,회멱데,김아싫",2,,,
"의원,다시 살다. 괴담에 떨어져도 출근을 해야 하는구나.",2,,,
나루토 헌헌 은혼 괴출,1,,,
울C ADELTA,1,,,
"또봇,메탈카드봇",1,,,
"1차 창작,2차 창작(체인소맨,히스토리에,지저스크라이스트수퍼스타,지크슈)",1,,,
BYAKKO,1,,,
"봇치더락,수성의마녀,걸즈밴드크라이",1,,,
"낙제닌자 란타로,닌자보이 란타로,시광대리인",1,,,
수요전,1,,,
"가비지타임,파과",1,,,
오리지널 (1차창작) 만화&소설,1,,,
"새벽의 연화,니지산지",1,,,
"솜인형 옷장,소품 등",1,,,
우미네코 고서점,1,,,
탑꾸 데코덴,1,,,
"가바지타임,닥터스톤",1,,,
"수공예,일러스트",1,,,
카이지 외전(카이지없음),1,,,
"젠레스존제로,오아시스,슬램덩크",1,,,
게나조,1,,,
"걸밴크,뱅드림 마이고/아베무지카",1,,,
"괴담에 떨어져도 출근을 해야 하는구나,발더스게이트3,신비의 제왕",1,,,
페리오드 서바이벌 시리즈,1,,,
해파리소녀,1,,,
"살파랑,열화요수,프리스트 작",1,,,
"화산귀환,몰락 세가의 시한부 영약,천관사복",1,,,
svsss 인사반파자구계통,1,,,
상냥돌,1,,,
괴담에 빙의해도 출근해야 하는구나,1,,,
전원 사망이 예정된 세계관,1,,,
"괴담에 떨어져도 출근을 해야하는 구나,적기사는 눈먼 돈을 좇지 않는다,월야환담",1,,,
회귀자 멱살 잡고 데뷔합니다,1,,,
열화요수 - Priest,1,,,
