value,count
"해파리 소녀 : 스티커,키링,바다테마 레진아트 / 메론소다",4
해파리소녀,4
"잔차품,슬램덩크,천추,군유질부,야요타야에야와디,야요타야아이야와디",4
"광마회귀 드림,화산귀환 드림,히프노시스 마이크 드림,골든 카무이 드림",4
"솜인형 소품샵 5,10,5cm +사람소품도있어요",3
전용.,3
신삼국,3
"브래드 피트,가면라이더 오즈,스타워즈,엑스맨",3
"팔콘과 윈터솔져,캡틴아메리카 브레이브 뉴 월드,썬더볼츠*",3
"빨강,파랑,어쨌든 찬란(영화)",3
무해한 과일 친구들,3
"취록의 플로리아,플레지위치,컴즈,주사위",3
터무니없는 이야기,2
진혼기 반월당,2
"에우리디케는 없다,계약아빠",2
데못죽.플레이브,2
2024 조인허스 오리지널 엽서,2
드래곤 퀘스트 XI S 지나간 시간을 찾아서,2
데뷔못하면죽는병걸림 데못죽,2
페르소나 아이돌리쉬세븐 우마무스메,2
라빗 아트토이,2
팀 조인허스(JOIN_HUS) 오리지널 굿즈,2
"레진 키링,요술봉",2
"구미호뎐,구미호뎐1938",2
"공포 영화,미드,스타워즈",2
1차 창작 캐릭터 위주의 정기 발간 회지,2
괴담출근 데못죽,2
케이팝데몬헌터스 사카모토데이즈,2
"문나이트,씨너스",2
"울트라맨 루브,염신전대 고온저",2
"위빙 기법을 사용하여 제작한 수제 매트를 판매합니다. 여름의 푸릇한 잔디를 닮은 잔디밭 위빙 매트,눈길 위에 뽀작뽀작 남은 발자국을 표현한 발자국 위빙 매트 등을 판매해요.",2
플레이브 데못죽,2
"수공예,일러스트,시집",2
"신삼국,곤투모로우",2
레뷰,2
"<내가 키운 S급들>,<전지적 독자 시점>을 포함한 웹소설",2
"체크 위빙 매트,잔디밭 위빙 매트",2
윈브레 / 윈드브레이커,2
삼국지,2
"데레스테,진 삼국무쌍 오리진",2
"발더스게이트3,드래곤에이지시리즈,하데스",2
"의원,다시 살다,순정철학논고",2
"단간론파,괴수 8호,가쿠마스,포케미쿠,할로우나이트,니디걸오버도즈,봇치더락",2
악입문,2
"1차 창작 만화,1차 창작 스티커",2
잭잔느,2
BYAKKO,2
멸종위기동물 아트토이,2
"프로젝트 세카이,빛과 밤의 사랑,수상한 메신저,연애 경보~키스는 미션 후에",2
"걸밴크,뱅드림 마이고/아베무지카",2
"조회지,이환원,괴담출근",2
"프롤스토,아월스,명급리",2
"빙위특,회멱데,김아싫",2
"1차 창작 HL,BL,GL 소설 / 개인창작 귀여운 캐릭터들",2
오리지널 캐릭터,2
"가라오케 가자,여학교의 별,빠졌어 너에게",2
"오버워치,가쿠마스,블러드본",2
"페르소나4 골든,페르소나 4 골든",2
"내 무협 주인공이 나를 싫어한다,주나싫",2
"림버스 컴퍼니,아인",2
"기동전사 건담,기동전사 건담:역습의 샤아,기동전사 건담 시리즈",2
"러브라이브! 시리즈,러브라이브! 블루버드",2
슬램덩크 데못죽,1
창작커플(1차),1
버튜버(모로스),1
프로젝트 세카이 / 앙상블 스타즈,1
스타워즈 탑건 슬램덩크,1
가비지타임 세포신곡,1
"마블,스어유,신비한 동물사전,슬램덩크,드라마",1
"니지산지,레볼루션 하트",1
달빛아래,1
슬램덩크 한드,1
"플레이브,스파이더맨,슬램덩크,니지산지",1
진여신전생3,1
스파이더맨,1
"역전재판 시리즈: 역전재판 후기,대역전재판,역전검사",1
가비지타임 헌터헌터,1
슬램덩크,1
플레이브 슬램덩크,1
오리지널 1차 수공예 책상꾸미기 소품 키링 오브제(푸딩 거북이 당고),1
"화산귀환,약속의 네버랜드",1
명일방주 플레이브 데뷔못하면죽는병걸림,1
"의원,다시 살다(의다살) / 진혼기",1
데뷔 못하면 죽는 병 걸림 / 데못죽,1
"화산귀환,삼국지",1
이영도 소설,1
"화산귀환,데못죽,전독시 등",1
매직 미니윙,1
왕은웃었다 길라잡이의등불,1
데뷔 못하면 죽는 병 걸림/데못죽,1
"의원,다시 살다 / 의다살",1
내가키운에스급들,1
영화 존윅,1
"사이키 쿠스오의 재난,천지창조 디자인부,갈릴레오 시리즈",1
핸드메이드 위빙 매트,1
닌텐도 장르,1
니지산지 버튜버,1
솜인형 소품샵입니다❣️,1
써지컬 안경줄/귀걸이/비녀,1
솜인형 + 솜인형 악세사리 + 수공예품,1
슬기로운 문명생활,1
Marvel,1
"해리포터,디즈니,전독시,마블",1
도쿄 에일리언즈,1
어두운 바다의 등불이 되어/프로젝트 세카이,1
슬램덩크 던전밥 주술회전,1
오리지널 창작 문구 굿즈 / 카리스마 하우스,1
핑크파라다이스,1
"Fate,FGO,원탁의 기사",1
페르소나 5  로열,1
1차창작 쯔꾸르 게임,1
"아이나나,앙스타,플레이브등",1
DIG-ROCK,1
앙상블스타즈 뱅드림,1
하나돌,1
아이돌 마스터 밀리언 라이브! 시어터 데이즈 (밀리시타),1
드래곤볼GT,1
CoC7th_TRPG,1
더 게이머. 의다살,1
반월당 진혼기,1
전독시 데못죽,1
식물헬멧,1
랭커를 위한 바른 생활 안내서,1
소설,1
창작부스,1
변방의 외노자,1
꿈왕국과 100명의 왕자님,1
"신데마스,은혼",1
캐릭터 문구,1
프로젝트세카이 피처링하츠네미쿠,1
1차 창작 문구 일러스트,1
"블루 자이언트,데빌드롭",1
울트라맨 시리즈,1
니지산지EN,1
MIU404 파이널판타지14,1
CLAMP X,1
1차BL,1
위닝샷,1
슬램덩크/가비지타임,1
하이큐.슬램덩크,1
슬램덩크 / 가비지타임,1
가비지타임 / 하이큐,1
ㅇㅇ,1
플레이브.데못죽,1
"샹치와 텐링즈의 전설,명탐정코난",1
"콜 오브 듀티,마블,슬램덩크 등",1
풍화설월 파이어엠블렘,1
"신비한 별의 쌍둥이 공주,던전밥,골든카무이",1
1차 창작 일러스트,1
사카데이 윈드브레이커,1
아이돌 마스터 샤이니 컬러즈,1
콜 오브 듀티 모던 워페어 리부트 / 고스트,1
"웹소설,하이큐",1
헌터헌터 윈브레,1
불리가살,1
기동전사건담 시리즈,1
아머드코어,1
