value,count,decision,target,reason
"오리지널 창작 SF,오리지널 창작",1,,,
브레이크 마이 케이스(ブレマイ),1,,,
좋은놈 나쁜놈 이상한놈,1,,,
"스플래툰 시리즈,붕괴: 스타레일",1,,,
"닌자보이 란타로,앙상블 스타즈,히카고",1,,,
잔불의 기사,1,,,
"트라이건,지. -지구의 운동에 대하여",1,,,
"수공예품,창작 공예,레진공예",1,,,
호프,1,,,
반짝이는 프리채널,1,,,
"명탐정 코난,드림",1,,,
"도박묵시록 카이지,도박묵시룩 카이지,카이지 외전(카이지없음)",1,,,
DRAMAtical murder,1,,,
"죠죠의 기묘한 모험,헌터x헌터,마이 케미컬 로맨스",1,,,
"파이널판타지14,핫라인 마이애미",1,,,
"파이널판타지,스코시즘(버튜버)",1,,,
"앙상블 스타즈,앙상블",1,,,
불가해론,1,,,
"사카모토데이즈,고전 미소녀 장르",1,,,
"DC코믹스,DC엔터테인먼트 관련 컨텐츠(코믹스",1,,,
"프리파라,프리파라 (프리채널),프리파라 시리즈",1,,,
"고서점가의 하시히메,우우울트라C",1,,,
화산귀환 외 다,1,,,
"오오에,우우울트라C",1,,,
기타 등등,1,,,
"붕괴3rd,원신",1,,,
"dmmd,오오에,뉴 단간론파 V3,슬로우데미지,Lkyt.",1,,,
"포켓몬스터,슈퍼 단간론파,반도리(뱅드림),마법소녀 마도카★마기카(마마마)",1,,,
연운십육성,1,,,
"앙상블 스타즈,앙살블스타즈",1,,,
"스킵과로퍼,던전밥,오리지널(1차)",1,,,
드라마티컬 머더,1,,,
"어린 신인데 키워주시죠,나의 히어로 아카데미아",1,,,
"아카기,암마의 마미야,fkmt",1,,,
순정철학논고,1,,,
슬레이 더 스파이어,1,,,
"고서점가의 하시히메,하시히메,오오에",1,,,
"은혼,오리지널(1차),보카로,나루토",1,,,
사이버펑크2077,1,,,
"때 이른 검은 백합,오리지널(1차)",1,,,
"히카루의 바둑,오오에,크게 휘두르며,메달리스트",1,,,
"약사의 혼잣말,케이팝데몬헌터스,머메이드 멜로디 피치피치핏치",1,,,
마블 시리즈,1,,,
"오오에,보컬로이드,페르소나 5,슈퍼 단간론파",1,,,
"주술회전,고죠유지",1,,,
"MCU,마블 시네마틱 유니버스,데어데블",1,,,
특명전대 고버스터즈,1,,,
바람분댕,1,,,
굉굉전대 보우켄저,1,,,
"스타트렉,해적전대 고카이쟈",1,,,
울트라맨 트리거,1,,,
우주전대 큐렌쟈,1,,,
"가면라이더 지오,스타워즈,더 마블스",1,,,
베터 콜 사울,1,,,
해적전대 고카이쟈,1,,,
"가면라이더 가이무,가면라이더 가브",1,,,
"골든카무이,만달로리안과 그로구",1,,,
세븐킹덤의 기사,1,,,
멋진 징조들 ( Good Omens),1,,,
파워레인져 다이노포스(수전전대 쿄류쟈),1,,,
슬로우 트레인,1,,,
울트라맨 아크,1,,,
울트라맨 지드,1,,,
헤이세이 가면라이더,1,,,
"울트라맨,울트라맨 타이가,울트라맨 오메가",1,,,
"울트라맨 타이가,울트라맨 넥서스",1,,,
초우주형사 갸반 인피니티,1,,,
일본연극 <TRUMP> 시리즈,1,,,
"슈퍼전대,특수촬영물",1,,,
"가면라이더 이그제이드,기계전대 젠카이저",1,,,
히어로즈 플랜비(히플비),1,,,
