value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
프로젝트 헤일메리,23,,,
군체,9,,,
"지구의 운동에 대하여,지. -지구의 운동에 대하여,지운대",6,,,
"포켓몬스터,포켓몬스터 소드.실드,포켓몬스터 스칼렛·바이올렛,포켓몬스터 스칼렛 바이올렛,포켓몬스터 스페셜,포켓몬스터 레전드 za,포켓몬스터 ZA",6,,,
"포켓몬,용과같이,오오에,신도림,테일즈런너,만달로리안과 그로구,더 라스트 오브 어스,왕좌의게임,킹스맨",5,,,
"가면라이더 카부토,가면라이더 디케이드,가면라이더 드라이브,가면라이더 아마존즈,가면라이더 빌드,하이앤로우",5,,,
"怪獣8号,괴수8호",4,,,
페르소나 5 더 로열,4,,,
"록맨에그제,원아웃,하네배드,퍼펙트 서비스,록맨",4,,,
"뱅드림 잇츠 마이고!!!!!,뱅드림! 걸즈 밴드 파티",4,,,
"자캐,창작 오리지널 자캐,파이널판타지14,파이널판타지14 온라인",4,,,
"도검난무 뮤지컬,닌자보이 란타로,LIVE A HERO,Rain world",3,,,
"지. -지구의 운동에 대하여,지운대,지구의 운동에 대하여",3,,,
뱅드림! 걸즈 밴드 파티,3,,,
"지. -지구의 운동에 대하여,지운대,우오토",3,,,
"레이튼 교수와 최후의 시간여행,뿌요뿌요,마도물어,용과같이",3,,,
"보카로,용과같이,스타워즈 등 2.5D,케이온",3,,,
"보컬로이드 (미쿠,보컬로이드 등,이나즈마 일레븐",3,,,
지. -지구의 운동에 대하여,3,,,
"주술회전,원피스,가정교사 히트맨 리본,나루토,헌터x헌터,헌터×헌터,마법소녀들,세일러문 마법소녀들,스파패,포켓몬",3,,,
가면라이더 고스트,3,,,
"넘버원전대 고쥬저,가면라이더 에그제이드,임금님전대 킹오저(파워레인저 킹덤포스),해적전대 고카이쟈,폭상전대 분붐저",3,,,
"엑스맨,엑스맨(영화),엑스맨(프리퀄)",3,,,
"슈퍼전대(파워레인저) 시리즈,폭상전대 분붐저,특촬,전대 등 특촬물,슈퍼전대/파워레인저",3,,,
"가면라이더 고스트,가면라이더 에그제이드,루팡패트",3,,,
"지구의 운동에 대하여,지. -지구의 운동에 대하여",2,,,
기동전사건담 지쿠악스,2,,,
"세포신곡,카모카테(관을 가진 신의 손),카모카테",2,,,
"지운대,지. -지구의 운동에 대하여",2,,,
"은혼,킹오파,지운대,코난,가비지타임,유희왕",2,,,
"BEMANI,팝픈뮤직",2,,,
"마법학교 마법사로 살아가는 법,마법학교 마법사로 살아가는 법(마마살)",2,,,
"트랜스포머 프라임,고향최고",2,,,
스코시즘(버튜버),2,,,
"드라마티컬 머더,dmmd,오오에",2,,,
"블랙스타 시어터 스타레스,블랙스타",2,,,
"니디걸,프세카,디지캐럿 등 고전만화",2,,,
"DRAMAtical murder,dmmd,괴출,괴담에 떨어져도 출근을 해야 하는구나",2,,,
"카모카테(관을 가진 신의 손),압화 이야기",2,,,
"dmmd,DRAMAtical murder",2,,,
"기동전사 건담:역습의 샤아,퍼스트 건담,우주세기 건담",2,,,
"버츄얼 유튜버(니지산지),니지산지,메챠츠에",2,,,
"오리지널등 기타,오리지널 문구류",2,,,
"마법소녀 마도카★마기카(마마마),케이온,캐캐체,오란고교 사교클럽,사이키 쿠스오의 재난,오란고교 호스트부",2,,,
"드라마티컬 머더,dmmd",2,,,
"콜 오브 듀티,사이버펑크 엣지러너,마라톤",2,,,
"스플래툰 시리즈,나의 히어로 아카데미아,홀로라이브 리글로스",2,,,
Fate/stay night,2,,,
"은혼,콜 오브 듀티,괴담에 떨어져도 출근을 해야 하는구나,캐릭캐릭체인지,오늘부터 신령님,새벽의연화",2,,,
"트레이스유,꼼메디아 디 피노키오,약한영웅(드라마)",2,,,
"스타워즈 사가,스타워즈 만달로리안,스타워즈 로그원",2,,,
가면라이더 블레이드,2,,,
"울트라맨,울트라맨 지드,울트라맨 제로",2,,,
"열차전대 토큐쟈,쾌도전대 루팡렌쟈vs경찰전대 패트렌쟈",2,,,
"군체,괴물",2,,,
"모루인형,인형옷",2,,,
"탈주,군체",2,,,
"가면라이더 세이버,특명전대 고버스터즈,가면라이더",2,,,
모범택시,2,,,
"MIU404,슬로우 트레인,라스트마일",2,,,
가면라이더 가이무,2,,,
"팬레터,신삼국",2,,,
"메이즈러너,틴 울프",2,,,
"히카루의 바둑,크게 휘두르며,메달리스트",1,,,
아이돌랜드 프리파라,1,,,
"니지산지,버츄얼 유튜버(니지산지),메챠츠에",1,,,
"은혼,종말의 발키리",1,,,
케로로,1,,,
종원의 뷔르슈,1,,,
정킷뱅크,1,,,
"니지산지,메챠츠에",1,,,
"고전 미소녀 장르,사카모토데이즈",1,,,
지구의 운동에 대하여,1,,,
"닌자보이 란타로,낙제닌자 란타로",1,,,
"페르소나 4,어메이징 디지털 서커스,페스페",1,,,
"죠죠의 기묘한 모험 5부,죠죠",1,,,
"인형,인형옷",1,,,
"탑꾸,헤도레",1,,,
"도로헤도로,천막의 자두가르,쿠키런: 킹덤,고깔모자의 아틀리에",1,,,
"오오에, 어신키",1,,,
"자이언트로보,블랙잭",1,,,
"프라가리아 메모리즈,괴담에 떨어져도 출근을 해야 하는구나",1,,,
회귀자 멱살 잡고 데뷔합니다,1,,,
"죠죠의 기묘한 모험,죠죠의 기묘한 모험 5부,우마무스메 프리티 더비",1,,,
데코덴,1,,,
"오오에,고서점가의 하시히메,우우울트라C",1,,,
"헌터×헌터,요츠바랑,아이돌리쉬 세븐,나루토",1,,,
"헤즈빈호텔,헬루바보스,어메이징 디지털 서커스",1,,,
해리포터 시리즈,1,,,
"오오에,하시히메",1,,,
젤다의전설 야숨왕눈,1,,,
"유희왕 5’ds,진 삼국무쌍 오리진",1,,,
헌드레드 라인 -최종방위학원-,1,,,
콜오브듀티:모던워페어,1,,,
"패솔로직,은과 금,술탄의 게임",1,,,
"명조,DC코믹스,오리지널(1차),피타텐",1,,,
사이버펑크,1,,,
"모브사이코100,몹싸",1,,,
"오오에,고스트 바둑왕,집이 없어,히카루의 바둑",1,,,
