value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
"위빙 기법을 사용하여 제작한 수제 매트를 판매합니다. 여름의 푸릇한 잔디를 닮은 잔디밭 위빙 매트,눈길 위에 뽀작뽀작 남은 발자국을 표현한 발자국 위빙 매트 등을 판매해요.",2,,,
"수공예,일러스트,시집",2,,,
"신삼국,곤투모로우",2,,,
도자기 수공예,1,,,
타이니트래블러,1,,,
"파판14,작혼,블루록,아카기,피크민",1,,,
다이에이,1,,,
유가미 군은 친구가 없다,1,,,
디지몬 테이머즈,1,,,
토로와 로토 / 저세상 악마들,1,,,
역전재판 4,1,,,
프로젝트 세카이 피쳐링 하츠네미쿠,1,,,
이런영웅은싫어,1,,,
프로젝트 세카이 컬러풀 스테이지 피쳐링 하츠네 미쿠,1,,,
레뷰,1,,,
주인공이 컨셉충이면 곤란한가요,1,,,
"기동전사 건담 00,죠죠의 기묘한 모험",1,,,
역전재판 456,1,,,
회귀자 사용설명서,1,,,
글램핑,1,,,
이런 환생은 원치않아,1,,,
창조주의편애법,1,,,
"<내가 키운 S급들>,<전지적 독자 시점>을 포함한 웹소설",1,,,
무당기협,1,,,
빌런에게도 사연이 있다,1,,,
