value,count
오리지널 1차 수공예 책상꾸미기 소품 키링 오브제(푸딩 거북이 당고),7
2024 조인허스 오리지널 엽서,6
팀 조인허스(JOIN_HUS) 오리지널 굿즈,6
미스터리 방학 시리즈 (오리지널 단편 트윈지),5
멀티 장르 호러 TRPG inSANe 시나리오,5
"해파리 소녀 : 스티커,키링,바다테마 레진아트 / 메론소다",4
해파리소녀,4
"무대 히프노시스마이크 rule the stage,히프노시스마이크",4
"잔차품,슬램덩크,천추,군유질부,야요타야에야와디,야요타야아이야와디",4
"솜인형 소품샵 5,10,5cm +사람소품도있어요",3
신삼국,3
가면라이더 오즈 10th 부활의 코어메달,3
"빨강,파랑,어쨌든 찬란(영화)",3
"에이펙스 레전드,발더스게이트3,몬스터헌터,데스티니 가디언즈(데스티니2) 등등 게임장르 위주 + 창작 굿즈",3
"콜오브듀티,오버워치,스파이더맨 어크로스 더 유니버스",3
무해한 과일 친구들,3
"취록의 플로리아,플레지위치,컴즈,주사위",3
주인공이 컨셉충이면 곤란한가요&마법명가 차남으로 살아남는 법&괴담에 떨어져도 출근을 해야 하는 구나&명문고 EX급 조연의 리플레이,3
"그랜드 체이스,사우스 파크: 프랙처드 벗 홀",3
팬스가 체인소맨 니케 캐릭캐릭체인지 캐캐체 포켓몬스터 마법소녀마도카마기카 던전밥,3
터무니없는 이야기,2
"의원,다시 살다 / 의다살",2
"에우리디케는 없다,계약아빠",2
오리지널 창작 문구 굿즈 / 카리스마 하우스,2
더 게이머. 의다살,2
아이돌 마스터 샤이니 컬러즈,2
"레진 키링,요술봉",2
가면라이더 오즈 부활의 코어메달,2
"공포 영화,미드,스타워즈",2
"위빙 기법을 사용하여 제작한 수제 매트를 판매합니다. 여름의 푸릇한 잔디를 닮은 잔디밭 위빙 매트,눈길 위에 뽀작뽀작 남은 발자국을 표현한 발자국 위빙 매트 등을 판매해요.",2
"수공예,일러스트,시집",2
"신삼국,곤투모로우",2
레뷰,2
"체크 위빙 매트,잔디밭 위빙 매트",2
"오리지널 창작 1차 굿즈,괴담출근",2
오리지널 1차 창작,2
삼국지,2
오리지널 창작 1차 굿즈,2
인술배틀 TRPG 시노비가미,2
"파이어 엠블렘 무쌍 풍화설월,길티기어",2
"발더스게이트3,드래곤에이지시리즈,하데스",2
"의원,다시 살다,순정철학논고",2
"단간론파,괴수 8호,가쿠마스,포케미쿠,할로우나이트,니디걸오버도즈,봇치더락",2
페이트/스테이 나이트,2
"1차 창작 만화,1차 창작 스티커",2
잭잔느,2
명탐정 코난 / 매직 카이토,2
BYAKKO,2
"프로젝트 세카이,빛과 밤의 사랑,수상한 메신저,연애 경보~키스는 미션 후에",2
"조회지,이환원,괴담출근",2
"프롤스토,아월스,명급리",2
"빙위특,회멱데,김아싫",2
"의원,다시 살다. 괴담에 떨어져도 출근을 해야 하는구나.",2
버튜버 애덕 닌타마 란타로,2
"1차 창작 HL,BL,GL 소설 / 개인창작 귀여운 캐릭터들",2
오리지널 캐릭터,2
"가라오케 가자,여학교의 별,빠졌어 너에게",2
페르소나 5 더 로열,2
"오버워치,가쿠마스,블러드본",2
아이돌 마스터 밀리언 라이브!,2
"페르소나4 골든,페르소나 4 골든",2
"우마무스메 PRETTY DERBY,붕괴: 스타레일",2
"기동전사 건담,기동전사 건담:역습의 샤아,기동전사 건담 시리즈",2
