value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
팀 조인허스(JOIN_HUS) 오리지널 굿즈,6,,,
아이돌 마스터 샤이니 컬러즈,2,,,
"레진 키링,요술봉",2,,,
가면라이더 오즈 부활의 코어메달,2,,,
"공포 영화,미드,스타워즈",2,,,
"샹치와 텐링즈의 전설,명탐정코난",1,,,
터무니없는 이야기,1,,,
풍화설월 파이어엠블렘,1,,,
"신비한 별의 쌍둥이 공주,던전밥,골든카무이",1,,,
콜 오브 듀티 모던 워페어 리부트 / 고스트,1,,,
"웹소설,하이큐",1,,,
불리가살,1,,,
기동전사건담 시리즈,1,,,
회귀자 멱살잡고 데뷔합니다.,1,,,
도망을 잘 치는 도련님,1,,,
트랜스포머 프라임,1,,,
이세계 냥변,1,,,
콜린스가의 유산,1,,,
소라의 언어,1,,,
금붕어,1,,,
메이드 아가씨,1,,,
좀비시드,1,,,
트랜스포머 비스트워즈,1,,,
"포밍이와 친구들,무스",1,,,
소시민 시리즈,1,,,
"닌타마 란타로,멋진 징조들+루시퍼(크로스오버),모브사이코100",1,,,
"테일즈런너(국민캐주얼레이싱온라인PC게임),울트라맨 긴가S",1,,,
"블루아카,블리치,길티기어",1,,,
가면라이더 에그제이드,1,,,
신삼국,1,,,
가면라이더 블레이드,1,,,
똑 닮은 딸,1,,,
구주의 시간,1,,,
언더프린,1,,,
나쁜마법사의꿈,1,,,
나윤싫,1,,,
"질풍기획,집이없어,전자오락수호대",1,,,
어서오세요 305호에!,1,,,
