value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
"의원,다시 살다,순정철학논고",2,,,
"단간론파,괴수 8호,가쿠마스,포케미쿠,할로우나이트,니디걸오버도즈,봇치더락",2,,,
페이트/스테이 나이트,2,,,
"1차 창작 만화,1차 창작 스티커",2,,,
"화산귀환,진혼기,몰락세가의 시한부 영약",1,,,
좀비고,1,,,
무해한 과일 친구들,1,,,
"대역전재판,소드 아트 온라인",1,,,
관을 가진 신의 손,1,,,
김토리,1,,,
"나츠메 우인장,히프노시스 마이크",1,,,
"일곱개의 대죄,위치즈하트",1,,,
SCOOLBOYS!歩(아유미)!,1,,,
"스튜디오 묘니,포밍이와 친구들",1,,,
"MIU404,언내추럴,FF14,잔불의 기사,닌타마",1,,,
유희왕GX /A5,1,,,
기동전사건담 UC,1,,,
요츠메가미-재회-,1,,,
오리지널 일러스트,1,,,
잉여특공대,1,,,
탑로더 하트쉐이커,1,,,
"페르소나,건담,버츄얼 유투버",1,,,
주츄즈,1,,,
"발더스게이트3,프롬 게임",1,,,
"핸드메이드 창작,문구류",1,,,
SCHOOLBOYS!歩(아유미)！,1,,,
잭잔느,1,,,
"명일방주,스텔라이브,페르소나",1,,,
"유희왕(GX/5Ds/Zexal),요철세계",1,,,
"페이트/그랜드 오더,썬더일레븐 go",1,,,
지크프리트x파에톤(1차 커플),1,,,
슬램덩크 대만태웅..,1,,,
