token,count,example_cell
.,13,.
바이오하자드,9,바이오하자드
탑로더,9,"뜨개소품,탑로더"
1차,8,창작커플(1차)
솜인형,8,"엘소드,제5인격,페르소나 5,솜인형"
묵독,8,묵독
패션,8,패션(Passion)
마비노기,8,"마비노기,발더스 게이트3,리틀 나이트메어"
에반게리온,8,"에반게리온,스플래툰,록맨,미쿠,페르소나"
의다살,8,"의원 다시 살다,의다살"
스타워즈,8,"스타워즈,슬램덩크"
인세인,8,"Trpg,인세인"
버튜버,7,버튜버(모로스)
파판14,7,"파판14,마호야쿠"
없음,7,없음
퇴마록,7,"퇴마록,언데드 언럭"
케데헌,7,"괴담출근,케데헌"
문송안함,6,"명급리,문송안함,어바등"
문구,6,문구
위치즈하트,6,위치즈하트
드래곤에이지,5,"드래곤에이지,매스이펙트,파이널판타지14"
페그오,5,"페이트 그랜드 오더(페그오),엘소드"
탈,5,"탈(TAL),유희왕"
미정,5,미정
언데드 언럭,5,"마비노기,언데드 언럭"
슈퍼전대,5,슈퍼전대
특촬,5,특촬
사카데이,5,사카데이
카이지,5,"아카기,카이지,겁쟁이페달"
코난,5,코난
공조살,5,공조살
피크민,5,"플레이브,피크민"
김아싫,5,김 대리는 아이돌이 싫어(김아싫)
DX3rd,5,DX3rd
콜옵,5,"콜 오브 듀티(콜옵),오버워치"
천막의 자두가르,5,천막의 자두가르
산나비,4,"할로우나이트,산나비,가비지타임,프로젝트세카이,하츠네미쿠,화산귀환,데못죽"
백망되,4,"진혼기,명급리,백망되"
도리벤,4,"도리벤,가비지타임,카리스마"
트라이건 스탬피드,4,트라이건 스탬피드
의원,4,"의원,다시 살다(의다살) / 진혼기"
진혼,4,진혼
터닝,4,"터닝,화산귀환,내가키운S급들,패션"
픽셀아트,4,"1차 문구류,픽셀아트"
인형,4,인형
더 킹 오브 파이터즈,4,더 킹 오브 파이터즈
Fate/Samurai Remnant,4,"Fate/Samurai Remnant,프로젝트 세카이"
다크소울,4,다크소울
아이돌리쉬7,4,아이돌리쉬7
유희왕GX,4,유희왕GX
트위스테,4,"꿈왕국,트위스테,파라라이"
레진공예,4,"창작일러스트,창작시집,레진공예,매듭공예,수공예"
에일리언 스테이지,4,"에일리언 스테이지(에이스테,alien stage)"
