value,count
슬램덩크,1085
가비지타임,809
화산귀환,686
괴담출근,445
주술회전,350
괴담에 떨어져도 출근을 해야 하는구나,313
데뷔 못 하면 죽는 병 걸림,254
프로젝트 세카이,224
아이돌리쉬세븐,192
블루록,189
데못죽,187
오오에,164
진혼기,152
어두운 바다의 등불이 되어,143
데뷔 못하면 죽는 병 걸림,132
이세계 착각 헌터,121
앙상블스타즈,120
트라이건,115
명일방주,111
하이큐,106
천관사복,95
내가 키운 S급들,92
명탐정 코난,86
아이돌리쉬 세븐,83
원피스,79
플레이브,76
블랙배저,71
역전재판,69
닌타마 란타로,69
괴담에 떨어져도 출근을 해야하는구나,69
데뷔못하면죽는병걸림,63
MIU404,62
포켓몬스터,59
앙상블 스타즈!! Music,56
앙상블 스타즈,54
니지산지,48
프로젝트세카이,48
트랜스포머,46
원신,45
세포신곡,45
페르소나,44
붕괴 스타레일,43
아이실드21,43
앙상블스타즈!!,43
마법사의 약속,42
마법명가 차남으로 살아남는 법,42
페이트/그랜드 오더,41
혈계전선,40
나의 히어로 아카데미아,40
닌타마,40
프로세카,39
붕괴:스타레일,39
오리지널,38
윈브레,38
엘소드,37
괴수8호,37
대역전재판,36
발더스게이트3,36
인사반파자구계통,35
나루토,33
히프노시스마이크,33
닌자보이 란타로,33
포켓몬,32
도검난무,31
스타레일,31
전지적 독자 시점,30
은혼,30
죠죠의 기묘한 모험,29
마도조사,29
전독시,29
히프노시스 마이크,28
가정교사 히트맨 리본,27
카리스마,27
이세계착각헌터,27
유희왕,27
파이널판타지14,26
페르소나5,25
페르소나3,24
골든카무이,24
내가 키운 s급들,23
"의원,다시 살다",23
문과라도 안 죄송한 이세계로 감,23
쿠로코의 농구,22
수공예,22
백작가의 망나니가 되었다,22
테일즈런너,22
보컬로이드,22
명급리,21
18TRIP,21
누카니발,20
모모찌,20
명탐정코난,20
오버워치,20
윈드브레이커,20
붕괴: 스타레일,20
테니스의 왕자,20
전지적독자시점,19
모브사이코100,19
골든 카무이,19
잔차품,18
우마무스메,18
메달리스트,18
로드오브히어로즈,17
어바등,17
모브사이코 100,17
에리오스 라이징 히어로즈,17
앙스타,17
발더스 게이트 3,17
닥터스톤,17
이착헌,17
내가키운S급들,16
명문고 EX급 조연의 리플레이,16
사카모토데이즈,16
가비지 타임,15
해리포터,15
서브 남주가 파업하면 생기는 일,15
반월당의 기묘한 이야기,15
붕괴스타레일,15
해즈빈 호텔,15
용과같이,15
겁쟁이페달,14
흡혈귀는 툭하면 죽는다,14
서브남주가 파업하면 생기는 일,14
아이나나,14
로드 오브 히어로즈,14
리그오브레전드,14
이나즈마 일레븐,14
.,13
아이돌리쉬세븐(아이나나),13
어두운바다의등불이되어,13
페르소나4,13
도쿄리벤저스,12
블루 록,12
사이퍼즈,12
내스급,12
열화요수,12
이세계 착각헌터,12
블루자이언트,12
MCU,12
괴수 8호,12
너희들은 변호됐다,12
젤다의 전설,11
1차창작,11
스타트렉,11
무기미도,11
발더스 게이트3,11
Fate/Grand Order,11
아이돌리쉬 세븐(아이나나),11
하이큐!!,11
블리치,11
해즈빈호텔,11
디지몬,10
카리스마 하우스,10
다이아몬드 에이스,10
스플래툰,10
