value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
미스터리 방학 시리즈 (오리지널 단편 트윈지),5,,,
멀티 장르 호러 TRPG inSANe 시나리오,5,,,
"에이펙스 레전드,발더스게이트3,몬스터헌터,데스티니 가디언즈(데스티니2) 등등 게임장르 위주 + 창작 굿즈",3,,,
"콜오브듀티,오버워치,스파이더맨 어크로스 더 유니버스",3,,,
"취록의 플로리아,플레지위치,컴즈,주사위",3,,,
"체크 위빙 매트,잔디밭 위빙 매트",2,,,
"오리지널 창작 1차 굿즈,괴담출근",2,,,
오리지널 1차 창작,2,,,
오리지널 창작 1차 굿즈,2,,,
"해파리 소녀 : 스티커,키링,바다테마 레진아트 / 메론소다",2,,,
인술배틀 TRPG 시노비가미,2,,,
"파이어 엠블렘 무쌍 풍화설월,길티기어",2,,,
"발더스게이트3,드래곤에이지시리즈,하데스",2,,,
화산,1,,,
야냐의 간격,1,,,
"프로젝트세카이,포켓몬스터 스바",1,,,
마블 로키,1,,,
"프롤로그 스토리,천관사복",1,,,
슈퍼 단간론파 어나더,1,,,
신도야근을하나요,1,,,
"포밍이와 친구들,바닷속 친구들",1,,,
ㅊㅅㅇㅁ,1,,,
카르멘의 순애보,1,,,
무해한 과일 친구들,1,,,
"대니팬텀,회색도시,이세계착각헌터,데못죽",1,,,
갈릴레오 시리즈,1,,,
신삼국,1,,,
"유희왕,메타포,페그오",1,,,
삼국지,1,,,
"가비지타임,가부키초 배드트립 이케다와 리오",1,,,
바다토끼 릴리,1,,,
"봇치더록,우마무스메,창작GL",1,,,
가면라이더 스피리츠,1,,,
블랙스타 시어터 스타레스,1,,,
"1차 음반,스티커",1,,,
7인의 카리스마,1,,,
"건담,기동전사건담 지쿠악스",1,,,
기동전사 건담 시드,1,,,
새로운상사는귀여운허당,1,,,
볼택션(버튜버),1,,,
"Gravityfalls,헌터×헌터",1,,,
Call of Cthulhu 7th,1,,,
다이스타워,1,,,
모험기획국 인세인 inSANe,1,,,
마모노 스크램블,1,,,
크툴루의 부름 7판,1,,,
"더블크로스 3rd,키즈나불릿",1,,,
드라크루쥬,1,,,
"주인감염,언성듀엣",1,,,
광쇄의 리벌처,1,,,
"크툴루의 부름,시노비가미,블루밍하우스 만화",1,,,
"프린세스월드,CoC,인세인",1,,,
아니마 아니무스,1,,,
"CoC,설화학당",1,,,
COC 7TH,1,,,
"블러드패스,더블크로스,주인감염,시노비가미",1,,,
스트라토 샤우트,1,,,
"대역전재판,초탐정사건부 레인코드",1,,,
틱택토,1,,,
1차창작 쯔꾸르게임,1,,,
"포켓몬,세키로",1,,,
오쓰! 싸워라! 응원단,1,,,
"앙상블 스타즈!! Music,아케인",1,,,
