value,count,decision,target,reason
# 미매핑·판단 불가 고유 값 목록 (사람 확인용),,,,
"# 조치: 확실한 동일 작품이면 scripts/llm_batch_map.py 배치에 alias 병합,","#       작품 외 표기(굿즈·장르)면 noise, 정체 불명이면 uncertain(판단 불가) 유지",,,,
"무대 히프노시스마이크 rule the stage,히프노시스마이크",4,,,
"잔차품,슬램덩크,천추,군유질부,야요타야에야와디,야요타야아이야와디",4,,,
팬스가 체인소맨 니케 캐릭캐릭체인지 캐캐체 포켓몬스터 마법소녀마도카마기카 던전밥,3,,,
"페르소나4 골든,페르소나 4 골든",2,,,
해파리소녀,2,,,
"우마무스메 PRETTY DERBY,붕괴: 스타레일",2,,,
"기동전사 건담,기동전사 건담:역습의 샤아,기동전사 건담 시리즈",2,,,
"러브라이브! 시리즈,러브라이브! 블루버드",2,,,
BYAKKO,1,,,
망각소년,1,,,
무해한 과일 친구들,1,,,
마태인,1,,,
"지.-지구의운동에대하여-,100미터.",1,,,
re;quartz零度,1,,,
"100M.,지.-지구의 운동에 대하여-",1,,,
삼국지,1,,,
연극성 회귀 생활,1,,,
"붕괴: 스타레일,스터레일",1,,,
스티그마타,1,,,
"핸드메이드 봉제인형,솜인형 드레스",1,,,
"마왕의 고백,헌드레드 라인 -최종방위학원-",1,,,
"이나즈마 일레븐,이나즈마일레븐,이나이레",1,,,
"프로야구생존기(프야생),위닝샷,슬램덩크",1,,,
"GM,클로저이상용,프로야구생존기,GM시리즈,GM시리즈(최훈)",1,,,
"케이팝데몬헌터스,머메이드 멜로디 피치피치핏치,약사의 혼잣말",1,,,
"이누야샤,세일러문,원피스",1,,,
"림버스 컴퍼니,아인",1,,,
"젤다의 전설,작혼 : 리치마작",1,,,
[하늘연달],1,,,
바람분댕,1,,,
<극락왕생>,1,,,
"마법명가 차남으로 살아남는 법,니지산지 호시루베,유희왕,고서점가의 하시히메",1,,,
"명일방주,드림,페이트 스트레인지 페이크",1,,,
"인사반파자구계통,이합화타적백묘사존,너희들은 변호됐다,병안본",1,,,
"고서점가의 하시히메,우우울트라C",1,,,
"유희왕 (DM,우마무스메 등",1,,,
"우마무스메,닌자보이 란타로,아다치레이",1,,,
"할로우나이트,세포신곡,캐릭캐릭체인지,캐캐체,프로젝트 세카이 컬러풀 스테이지 feat.하츠네미쿠,테일즈런너,미쿠,장송의프리렌",1,,,
오리지널 캐릭터,1,,,
급리,1,,,
"데스노트,베리드 스타즈(베스타),인사반파자구계통,호시노겐",1,,,
"아이카츠 스타즈,아이카츠 아카데미",1,,,
"공조살,갓갓갓,아이카츠! (아이엠스타),명탐점 코난",1,,,
ABYSSOS,1,,,
"오리지널,창작디자인문구",1,,,
"DC코믹스,히티드라이벌리",1,,,
"18TRIP,18트립",1,,,
