code,canonical_name,count
W0001,슬램덩크,1142
W0005,괴담에 떨어져도 출근을 해야 하는구나,1071
W0002,가비지 타임,870
W0004,데뷔 못 하면 죽는 병 걸림,776
W0003,화산귀환,726
W0008,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,417
W0007,아이돌리쉬 세븐,387
W0006,주술회전,370
W0009,앙상블 스타즈!!,262
W0014,이세계 착각 헌터,219
W0011,블루 록,216
W0015,어두운 바다의 등불이 되어,204
W0025,닌자보이 란타로,193
W0012,오오에,181
W0016,내가 키운 S급들,178
W0013,진혼기,171
W0018,붕괴: 스타레일,170
W0017,하이큐!!,135
W0019,트라이건,129
W0021,명탐정 코난,127
W0020,명일방주,124
W0032,전지적 독자 시점,117
W0031,포켓몬스터,117
W0024,플레이브,108
W0022,천관사복,107
W0037,페이트/그랜드 오더,92
W0029,발더스 게이트 3,92
W0023,원피스,89
W0026,블랙 배저,87
W0051,오리지널,84
W0027,역전재판,83
W0053,윈드브레이커,83
W0030,히프노시스 마이크,79
W0033,마법명가 차남으로 살아남는 법,79
W0041,페르소나 시리즈,76
W0076,명문고 EX급 조연의 리플레이,75
W0028,MIU404,74
W0034,니지산지,67
W0049,파이널 판타지 XIV,62
W0036,마법사의 약속,61
W0010,앙상블 스타즈!! Music,61
W0035,괴수 8호,58
W0060,죠죠의 기묘한 모험,54
W0040,원신,53
W0038,트랜스포머,53
W0039,세포신곡,51
W0063,은혼,49
W0055,엘소드,47
W0046,골든카무이,47
W0080,누: 카니발,46
W0054,모브 사이코 100,46
W0056,대역전재판,45
W0047,나의 히어로 아카데미아,45
W0048,혈계전선,44
W0066,카리스마,44
W0045,아이실드 21,44
W0059,나루토,44
W0067,유희왕,44
W0062,로드 오브 히어로즈,42
W0042,페르소나 5,42
W0052,수공예,42
W0058,"의원, 다시 살다",40
W0057,인간 본성이 반파된 자구계통,40
W0050,가정교사 히트맨 리본!,40
W0075,보컬로이드,40
W0082,오버워치,38
W0043,페르소나 3,36
W0085,우마무스메 프리티 더비,36
W0069,18TRIP,36
W0102,헌터×헌터,34
W0079,도쿄 리벤저스,32
W0100,MCU,31
W0061,도검난무,31
W0068,해즈빈 호텔,31
W0107,100미터,31
W0115,크툴루의 부름,30
W0064,마도조사,30
W0070,문과라도 안 죄송한 이세계로 감,29
W0065,서브 남주가 파업하면 생기는 일,29
W0073,이나즈마 일레븐,29
W0106,너희들은 변호됐다,29
W0074,테일즈런너,28
W0077,사카모토 데이즈,28
W0090,반월당의 기묘한 이야기,27
W0072,쿠로코의 농구,26
W0071,백작가의 망나니가 되었다,25
W0159,페이트 시리즈,24
W0084,잔차품,24
W0101,콜 오브 듀티,24
W0091,젤다의 전설,23
W0121,천마는 아이돌이 되었다,23
W0078,테니스의 왕자,23
W0087,닥터 스톤,22
W0097,가라오케 가자!,22
W0118,파라독스 라이브,21
W0096,리그 오브 레전드,21
W0093,용과 같이,21
W0081,모모찌,20
W0088,블루 자이언트,20
W0086,메달리스트,20
W0110,스플래툰,19
W0089,해리 포터,19
W0099,열화요수,19
W0117,살파랑,19
W0083,에리오스 라이징 히어로즈,19
W0044,페르소나 4,19
W0098,사이퍼즈,18
W0092,다이아몬드 에이스,18
W0208,회색도시 시리즈,18
W0094,겁쟁이 페달,17
W0104,무기미도,17
W0177,캐릭캐릭체인지,17
W0144,프롬 아르고나비스,16
W0111,던전밥,16
W0105,블리치,16
W0095,흡혈귀는 툭하면 죽는다,15
W0171,아이돌 마스터 SideM,15
W0112,고서점가의 하시히메,15
W0130,적왕사,14
W0181,크툴루 게임 속 천재 마법사가 되었다,14
W0119,가면라이더,14
W0125,더블크로스 3rd,14
W0108,메타포: 리파타지오,13
W0126,더 퍼스트 슬램덩크,12
W0109,디지몬,12
W0150,이합화타적백묘사존,12
W0103,스타트렉,12
W0138,진격의 거인,12
W0190,소닉 더 헤지혹,12
W0180,아카기,12
W0127,SPY×FAMILY,12
W0160,프리파라,12
W0124,킹 오브 프리즘,12
W0140,리버스: 1999,12
W0164,베리드 스타즈,11
W0129,문호 스트레이 독스,11
W0188,록맨,11
W0123,프로야구생존기,11
W0113,빛과 밤의 사랑,11
W0161,더블크로스,11
W0114,역전재판 시리즈,10
W0155,마기카로기아,10
W0136,네가 죽어,10
W0116,프로메아,10
W0131,월야환담,10
W0148,기동전사 건담,10
W0139,케이팝 데몬 헌터스,10
W0128,망각배터리,10
W0197,헬루바,10
W0153,FKMT,9
W0206,할로우 나이트,9
W0184,단간론파,9
W0141,시광대리인,9
W0143,검은방,9
W0122,드래곤볼,9
W0154,초심 잃은 아이돌을 위한 회귀백서,9
W0170,시노비가미,9
W0135,그랜드체이스,9
W0187,제5인격,8
W0142,밀그램,8
W0175,파이어 엠블렘 풍화설월,8
W0132,무림제일폐: 월한강천록,8
W0133,울트라맨 엑스,8
W0137,탑로더 탑꾸,8
W0204,오란고교 호스트부,8
W0134,울트라맨 오브,7
W0156,광마회귀,7
W0201,사이키 쿠스오의 재난,7
W0146,동경과 거짓말,7
W0147,기동전사 건담 수성의 마녀,7
W0151,포켓몬스터 스칼렛·바이올렛,7
W0179,길티기어,7
W0145,청의 엑소시스트,7
W0165,키타로 탄생: 게게게의 수수께끼,7
W0152,월드 트리거,7
W0162,게게게의 키타로,7
W0149,술탄의 게임,7
W0185,봇치더락!,7
W0120,가면라이더 가브,7
W0186,체인소 맨,7
W0211,길라잡이의 등불,6
W0183,장송의 프리렌,6
W0168,박앵귀,6
W0158,테일즈 오브 제스티리아,6
W0209,유희왕 (토에이),6
W0163,용기폭발 뱅브레이번,6
W0182,태팅레이스,6
W0195,가면라이더 리바이스,6
W0196,폭상전대 분붐저,6
W0174,집이 없어,6
W0189,메탈카드봇,6
W0176,왕은 웃었다,5
W0173,누이소품샵,5
W0178,격기3반,5
W0191,아머드코어 VI,5
W0193,은과 금,5
W0203,마법소녀 마도카 마기카,5
W0166,VS AMBIVALENZ,5
W0167,볼트론: 전설의 수호자,5
W0169,아오페라,5
W0172,망나니 PD 아이돌로 살아남기,5
W0202,소울이터,5
W0205,달빛천사,5
W0210,주컨곤,4
W0192,라테일,4
W0194,울트라맨 타이가,4
W0198,스티븐 유니버스,4
W0199,아울 하우스,4
W0200,앰피비아,4
W0207,니디 걸 오버도즈,1
