부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
                                                                                                                                                                                                  공동정탈취범,훈,,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",,https://dongne.co/event/df2409/circles/434367,제27회 디. 페스타,Day2
                                                                                                                                                                                               ONLY GOGE,사뿐,,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,,https://dongne.co/event/df2409/circles/435707,제27회 디. 페스타,Day2
                                                                                                                                                                                              no friends,안건,S14,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",@goodteethguys,https://dongne.co/event/df2409/circles/432780,제27회 디. 페스타,Day2
                                                                                                                                                                                 CCTV No.572,cc,S17,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,@ggss_cc,https://dongne.co/event/df2409/circles/429823,제27회 디. 페스타,Day2
 Help Me Captain!,룬달,,2sp,원피스,,원피스 쁘띠존 4회,마르코 로우 코라손 루피 키드 에이스 사보 ,,,,"소설,만화",@OP_lune,https://dongne.co/event/df2409/circles/431165,제27회 디. 페스타,Day2
!!,시메,Z20a,1sp,하이큐,,SUN SHINE SHOYO 2,"카게야마 토비오,히나타 쇼요",카게야마 토비오X히나타 쇼요,로맨틱,,기타,@0621_ww,https://dongne.co/event/df2409/circles/437140,제27회 디. 페스타,Day2
#가보자고,라임,A4b,1sp,Fate 시리즈,,【時空合同著錄】 페이트 통합 쁘띠존: Destination of Last Order,,,,,만화,,https://dongne.co/event/df2409/circles/428158,제27회 디. 페스타,Day2
(주) 무림미식회,단팥빵,,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",@Annbbang,https://dongne.co/event/df2409/circles/431550,제27회 디. 페스타,Day2
.,wbdw1001,,2sp,모브사이코 100,,,모브사이코 100 등장인물 전반,,,,일러스트,,https://dongne.co/event/df2409/circles/431900,제27회 디. 페스타,Day2
.,22,,1sp,역전재판,,,,,,,만화,@LOVE__DIE_DIE,https://dongne.co/event/df2409/circles/428731,제27회 디. 페스타,Day2
