부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
.,.,B14,2sp,,,,,,,,,,https://dongne.co/event/df2401/circles/324730,제24회 디. 페스타,Day1
00,"선인장,제티",V4,2sp,가비지타임,하이큐,,,,,,일러스트,,https://dongne.co/event/df2401/circles/338503,제24회 디. 페스타,Day1
1042thDEAL,디일,O13,2sp,슬램덩크,"죠죠의 기묘한 모험, 스파이더맨",,,양호열X강백호,"로맨틱,섹슈얼","태웅백호, 루하나, 시죠세","만화,일러스트",,https://dongne.co/event/df2401/circles/332145,제24회 디. 페스타,Day1
131번째 강호유람,103호,M14,2sp,화산귀환,,,,,로맨틱,,"만화,일러스트",P103ho_1,https://dongne.co/event/df2401/circles/325988,제24회 디. 페스타,Day1
14가지맛보기스푼,악성개인팬,R18,2sp,슬램덩크,가비지타임,,"서태웅, 정대만",서태웅X정대만,,,,1114_akfan,https://dongne.co/event/df2401/circles/337163,제24회 디. 페스타,Day1
150 할아버지 너무 사랑하는데 이거 어카면좋으냐고 절망되,4B,K8,2sp,트라이건,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.","밧슈 더 스탬피드, 니콜라스 디 울프우드",밧슈 더 스탬피드X니콜라스 디 울프우드,"로맨틱,섹슈얼",,"일러스트,만화",@B4W8D,https://dongne.co/event/df2401/circles/322896,제24회 디. 페스타,Day1
1만 3천 297시간과 49분,윈저,X23a,1sp,아이실드21,,,히루마 요이치,무사시X히루마,섹슈얼,아히루,,,https://dongne.co/event/df2401/circles/343480,제24회 디. 페스타,Day1
1월에 갑타는 완결나있겠지,루우,R6a,1sp,가비지타임,,종수상호 쁘띠존 1회 : 종착역은 상대방입니다,"기상호, 최종수",최종수X기상호,"로맨틱,섹슈얼",,,ruu_ens,https://dongne.co/event/df2401/circles/339624,제24회 디. 페스타,Day1
1햄1케이지,히로히로,U23,2sp,가비지타임,,,박병찬,박병찬X기상호,로맨틱,,,@hirobears,https://dongne.co/event/df2401/circles/335906,제24회 디. 페스타,Day1
2024 운세 확인하기 ▶▶ 축 스팁레오 결혼 대운,"사라, 이사야",I7b,1sp,혈계전선,,혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,"스티븐 A 스타페이즈, 레오나르도 워치",스티븐 A 스타페이즈X레오나르도 워치,"로맨틱,섹슈얼",,소설,@on_se_renity,https://dongne.co/event/df2401/circles/334587,제24회 디. 페스타,Day1
2306년 전통 236대 곰네 동인국밥,한세디,R23,2sp,가비지타임,,종수상호 쁘띠존 1회 : 종착역은 상대방입니다,"최종수, 기상호",최종수X기상호,로맨틱,,"일러스트,소설",@HanseD257,https://dongne.co/event/df2401/circles/327608,제24회 디. 페스타,Day1
2321세종뱅러들의최후의끌어치기,핍,V10a,1sp,가비지타임,,,최종수 박병찬,최종수X박병찬,"로맨틱,섹슈얼",,소설,frompibb,https://dongne.co/event/df2401/circles/343433,제24회 디. 페스타,Day1
236 종상의 나라,일회용,R24,2sp,가비지타임,,종수상호 쁘띠존 1회 : 종착역은 상대방입니다,,최종수X기상호,"로맨틱,섹슈얼",,소설,@Hyun_xJin,https://dongne.co/event/df2401/circles/342088,제24회 디. 페스타,Day1
25시간 깨어있음,냠충,F2a,1sp,프로젝트 세카이,,,니고,,,,"만화,일러스트",kR21Pzg,https://dongne.co/event/df2401/circles/336740,제24회 디. 페스타,Day1
28x15m,향,V3,2sp,가비지타임,남궁혁(버튜버),,성준수 진재유,성준수X진재유,"로맨틱,섹슈얼",,"만화,일러스트,기타,공예",hyang_kalenim,https://dongne.co/event/df2401/circles/340000,제24회 디. 페스타,Day1
2D X 3D,이서,H15,2sp,플레이브,"앙스타, 헌터x헌터",,,,,,"일러스트,공예",@iseo_12,https://dongne.co/event/df2401/circles/336631,제24회 디. 페스타,Day1
30년 전통 호랑이 고로케,림좌,N14a,1sp,슬램덩크,,태웅백호 쁘띠존 : 호호신년,"서태웅, 강백호",서태웅X강백호,로맨틱,,소설,@Rimja_02,https://dongne.co/event/df2401/circles/334273,제24회 디. 페스타,Day1
31번의 4번들,철,V2,2sp,가비지타임,,,"성준수, 전영중, 진재유",성준수X전영중,"로맨틱,섹슈얼",성준수x진재유,"일러스트,만화",@kgse220,https://dongne.co/event/df2401/circles/339686,제24회 디. 페스타,Day1
3232,소롱,U17,2sp,내가키운s급들,화산귀환 가비지타임,,,,,,,@sorong33,https://dongne.co/event/df2401/circles/333252,제24회 디. 페스타,Day1
33년의 순애,페이지,Q20a,1sp,슬램덩크,,백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>,강백호,,,,소설,nooo_eezee,https://dongne.co/event/df2401/circles/339533,제24회 디. 페스타,Day1
3점슛을 110번 ,로봇,T3,2sp,가비지타임,,,,,,,,@robot__ch,https://dongne.co/event/df2401/circles/328000,제24회 디. 페스타,Day1
4825%,사파,D19,2sp,버튜버 ,앙상블스타즈,,,,해당없음,,"만화,일러스트",,https://dongne.co/event/df2401/circles/339475,제24회 디. 페스타,Day1
52도로 자전중,わゆ,Z20,2sp,주술회전,,고죠유지 쁘띠존 : 겨울을 녹이는 봄,"고죠 사토루,이타도리 유우지,후시구로 메구미,쿠기사키 노바라",고죠 사토루X이타도리 유우지,로맨틱,,일러스트,@wau_uu8,https://dongne.co/event/df2401/circles/327575,제24회 디. 페스타,Day1
7년 보장된 맛집: 프랑소와와패니즈코리안머튼커리파스타집,요븐,M11,4sp,화산귀환,,,"장일소, 청명",장일소X청명,"로맨틱,섹슈얼",,,,https://dongne.co/event/df2401/circles/339049,제24회 디. 페스타,Day1
<고죠유지 쁘띠존 : 겨울을 녹이는 봄> 주최부스,고죠유지 쁘띠존 : 겨울을 녹이는 봄,Z24,2sp,,,고죠유지 쁘띠존 : 겨울을 녹이는 봄,,,,,,,https://dongne.co/event/df2401/circles/383089,제24회 디. 페스타,Day1
<도쿄 에일리언즈 쁘띠존> 주최 부스 ,도쿄 에일리언즈 쁘띠존,Y11,2sp,,,어서 와 외계인은 1년만이지?,,,,,,,https://dongne.co/event/df2401/circles/383125,제24회 디. 페스타,Day1
"<밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.> 주최 부스","밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.",K14,2sp,,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.",,,,,,,https://dongne.co/event/df2401/circles/383099,제24회 디. 페스타,Day1
<백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>> 주최 부스 (1),백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>,Q1,2sp,,,백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>,,,,,,,https://dongne.co/event/df2401/circles/383136,제24회 디. 페스타,Day1
<백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>> 주최 부스 (2),백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>,Q24,2sp,,,백호열 쁘띠존 <순간포착 : 왜 백호랑 호열이가 사랑하는 것 같냐>,,,,,,,https://dongne.co/event/df2401/circles/383143,제24회 디. 페스타,Day1
<변호사가 역전을 숨김> 주최 부스,변호사가 역전을 숨김,J18,2sp,,,변호사가 역전을 숨김,,,,,,,https://dongne.co/event/df2401/circles/383117,제24회 디. 페스타,Day1
<부스의 원석들: 펑크는 LOCK OFF> 주최 부스,부스의 원석들: 펑크는 LOCK OFF,X13,2sp,,,부스의 원석들: 펑크는 LOCK OFF,,,,,,,https://dongne.co/event/df2401/circles/383146,제24회 디. 페스타,Day1
<세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계> 주최 부스,세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계,E13,2sp,,,세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계,,,,,,,https://dongne.co/event/df2401/circles/383135,제24회 디. 페스타,Day1
<종수상호 쁘띠존 1회 : 종착역은 상대방입니다> 주최 부스,종수상호 쁘띠존 1회 : 종착역은 상대방입니다,S19,2sp,,,종수상호 쁘띠존 1회 : 종착역은 상대방입니다,,,,,,,https://dongne.co/event/df2401/circles/383112,제24회 디. 페스타,Day1
<태웅백호 쁘띠존 : 호호신년> 주최 부스,태웅백호 쁘띠존 : 호호신년,N12,2sp,,,태웅백호 쁘띠존 : 호호신년,,,,,,,https://dongne.co/event/df2401/circles/383127,제24회 디. 페스타,Day1
<혈계전선 쁘띠존> 주최 부스,혈계전선 쁘띠존,I12,2sp,,,혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,,,,,,,https://dongne.co/event/df2401/circles/383104,제24회 디. 페스타,Day1
ADDICTION,순자,K19,2sp,명탐정코난,"슬램덩크, 트라이건",,아카이슈이치,아카이슈이치X아무로토오루,섹슈얼,울프우드밧슈,소설,I_A_Se,https://dongne.co/event/df2401/circles/333124,제24회 디. 페스타,Day1
ALL STAR 티켓 배부소,PP,W12,2sp,가비지타임,,,,X,,,,@2_PP22,https://dongne.co/event/df2401/circles/337419,제24회 디. 페스타,Day1
ALL STAR 티켓 배부소,PP,W13,2sp,가비지타임,,,,X,,,,@2_PP22,https://dongne.co/event/df2401/circles/326767,제24회 디. 페스타,Day1
ANGEL-IN-US sandwich club,염,J5,2sp,트라이건,세포신곡,,"밀리온즈 나이브스, 밧슈 더 스탬피드, 니콜라스 D 울프우드",나이브스X밧슈,섹슈얼,울프밧슈,"만화,일러스트",Citronplanet,https://dongne.co/event/df2401/circles/329660,제24회 디. 페스타,Day1
Blue is The New Black,과일소주,V16,2sp,가비지타임,,,박병찬 성준수 최종수,박병찬X성준수,"섹슈얼,로맨틱","박병찬×최종수, 전영중×성준수, 기상호×최종수",소설,@bb_soju,https://dongne.co/event/df2401/circles/327105,제24회 디. 페스타,Day1
BLUE LOCK이여 긴장하라! BL이 온다!,윌슨,X11a,1sp,블루록,,부스의 원석들: 펑크는 LOCK OFF,"이사기 요이치, 이토시 린, 나기 세이시로",이토시 린X이사기 요이치,로맨틱,나기이사,소설,@wewill_lxckyou ,https://dongne.co/event/df2401/circles/327618,제24회 디. 페스타,Day1
BL부스,러시아워,X18,2sp,블루록,,부스의 원석들: 펑크는 LOCK OFF,"나기 세이시로, 미카게 레오",나기 세이시로X미카게 레오,"로맨틱,섹슈얼",,만화,rushAawer,https://dongne.co/event/df2401/circles/328349,제24회 디. 페스타,Day1
BL의맛tv,멀미,X11b,1sp,블루록,,부스의 원석들: 펑크는 LOCK OFF,,나기 세이시로X이사기 요이치,,린이사,소설,,https://dongne.co/event/df2401/circles/334468,제24회 디. 페스타,Day1
BUSTER!!,winston,M15,2sp,화산귀환,,,청명,당보X청명,,"당청, 백청",,,https://dongne.co/event/df2401/circles/333451,제24회 디. 페스타,Day1
cell of 신라,차,L16,2sp,반월당,"세포신곡, 진혼기",,"백란, 유단, 알파, 하루키",백란X유단,해당없음,"자하설영, 포도하루","소설,일러스트",gakcha_N,https://dongne.co/event/df2401/circles/336416,제24회 디. 페스타,Day1
COLOR ROTATION,MEEMA,H22,2sp,명일방주 플레이브 데뷔못하면죽는병걸림,내가키운s급들,,,,,,,@M_33M4,https://dongne.co/event/df2401/circles/333696,제24회 디. 페스타,Day1
Crotti,kitami,O11,2sp,슬램덩크,"원피스, 스타트렉, 다이아몬드 에이스",,"이정환, 전호장, 신준섭",,,,만화,,https://dongne.co/event/df2401/circles/340805,제24회 디. 페스타,Day1
Dear. 공방,나비,G18,2sp,,,,,,,,공예,@Gongbangdear,https://dongne.co/event/df2401/circles/323337,제24회 디. 페스타,Day1
Endless Dream,루다,O3,2sp,슬램덩크,테일즈 오브 제스티리아,,"송태섭, 송아라",송태섭X이한나,로맨틱,"슬레미쿠,태섭한나",,karlin_123 ,https://dongne.co/event/df2401/circles/334595,제24회 디. 페스타,Day1
everblue,이온,V10b,1sp,가비지타임,,,기상호 박병찬,기상호X박병찬,로맨틱,논커플링(ncp),"만화,일러스트,소설",ionblue,https://dongne.co/event/df2401/circles/332991,제24회 디. 페스타,Day1
Fennel,tita,K11,2sp,TRIGUN,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.","밧슈 더 스탬피드, 니콜라스 D 울프우드",밧슈X니콜라스,"섹슈얼,로맨틱",,만화,https://twitter.com/tinetittaa0415,https://dongne.co/event/df2401/circles/323207,제24회 디. 페스타,Day1
gggggggggggoooooooooooooooooooooooooooogggggggggggggeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,lusch,Z15a,1sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,,lunchsetB,https://dongne.co/event/df2401/circles/336583,제24회 디. 페스타,Day1
GO,점,B8a,1sp,임시,,,임시,,,,기타,@,https://dongne.co/event/df2401/circles/335394,제24회 디. 페스타,Day1
guess what?," endian , 닉넴",N15,2sp,슬램덩크,,태웅백호 쁘띠존 : 호호신년,서태웅x강백호 ,,"로맨틱,섹슈얼",,"소설,만화",@endi_slam  @Nicknem__ ,https://dongne.co/event/df2401/circles/337804,제24회 디. 페스타,Day1
Gyuri,규리,C15a,1sp,디지몬,,,,,,,,,https://dongne.co/event/df2401/circles/336137,제24회 디. 페스타,Day1
hanabi rendezvous,nori,F21,2sp,프로젝트 세카이,,,,,,,,,https://dongne.co/event/df2401/circles/339670,제24회 디. 페스타,Day1
HH,재농,V18,2sp,가비지타임,화산귀환,,"조형석, 이현성, 강인석, 조신우, 조걸, 윤종, 당보, 청명",조형석X이현성,로맨틱,"인석신우, 조걸윤종, 당보청명","소설,기타",@interestingbsk,https://dongne.co/event/df2401/circles/329311,제24회 디. 페스타,Day1
HL State Of Mind,타라몬,I17,2sp,혈계전선,"트라이건, 해리포터",혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,"혈계전선 캐릭터, 트라이건 캐릭터",레오나르도 워치X재프 렌프로,해당없음,,소설,@tara_love_peace,https://dongne.co/event/df2401/circles/341911,제24회 디. 페스타,Day1
I'm fark moon dae,"Tt, 꼬깜",A11,2sp,데뷔 못하면 죽는 병 걸림,,,"박문대, 청려, 류청우, 배세진, 큰세진, 선아현, 차유진, 김래빈",청려X박문대,"로맨틱,섹슈얼","큰세문대, 유진래빈, 동갑조, 논컾",일러스트,@TteSTAR_ / @GGOGGAM_,https://dongne.co/event/df2401/circles/339712,제24회 디. 페스타,Day1
JJK 공동경비구역,"달래, 강, 궁맥",Z10,2sp,주술회전,,,"고죠 사토루, 게토 스구루, 이에이리 쇼코",,,,기타,"@ID_DAL_RAE, @pseudogang_, @Emaxx",https://dongne.co/event/df2401/circles/337625,제24회 디. 페스타,Day1
Kozmic*cosmo,Koz,O8,2sp,슬램덩크,,,해남대부속고 이정환 전호장,이정환X전호장,,,만화,nowhere616,https://dongne.co/event/df2401/circles/322758,제24회 디. 페스타,Day1
LOVE 1999,천사,D12,2sp,헌터x헌터,"유유백서, 슬램덩크, 죠죠의 기묘한 모험 ",,,,,,일러스트,@Love__ppi,https://dongne.co/event/df2401/circles/332036,제24회 디. 페스타,Day1
made by 자윤,자윤,G20,2sp,,,,,,,,공예,@jayun_blue,https://dongne.co/event/df2401/circles/333643,제24회 디. 페스타,Day1
MicroUniverse,유월은준,B23,2sp,,,,,,,,,@juneeunjune,https://dongne.co/event/df2401/circles/323961,제24회 디. 페스타,Day1
My☆Planet,행성지기,G7,2sp,핸드메이드 봉제인형,,,,,,,공예,My_Planet_Doll,https://dongne.co/event/df2401/circles/325300,제24회 디. 페스타,Day1
N 11+10,"오디, 하르",N21,2sp,슬램덩크,,태웅백호 쁘띠존 : 호호신년,"서태웅, 강백호",서태웅X강백호,"로맨틱,섹슈얼",,"소설,만화,공예",@odzp_ruhana @2hrrr,https://dongne.co/event/df2401/circles/326045,제24회 디. 페스타,Day1
nennen,넹,E23a,1sp,프로젝트 세카이,앙상블 스타즈,,,,,,,@nn_game1,https://dongne.co/event/df2401/circles/330523,제24회 디. 페스타,Day1
N회차 김치찌개,꿍요,O22,2sp,"슬램덩크, 겁쟁이페달",,,,,,,만화,@kkung_yo,https://dongne.co/event/df2401/circles/342450,제24회 디. 페스타,Day1
Platina Comet,트리아논,Y14,2sp,앙상블스타즈,버튜버,,유우키 마코토,,섹슈얼,트릭스타 넷이 사귐,"만화,일러스트,기타",@anon_ovs,https://dongne.co/event/df2401/circles/329988,제24회 디. 페스타,Day1
Pretty Savage,"폭, 그냥",I16,2sp,"트라이건, 혈계전선",,혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,,밧슈른,,,"일러스트,만화",@FIREPOK1 @gnyang27,https://dongne.co/event/df2401/circles/339720,제24회 디. 페스타,Day1
quinoli,케챠라챺빵,I23,2sp,Nu Carnival,트라이건,,케시 & 올리빈,케시X올리빈,"섹슈얼,로맨틱",울프우드른,"소설,만화",@xjcjdd__fscc,https://dongne.co/event/df2401/circles/337717,제24회 디. 페스타,Day1
Re-boot + 우리축구정상영업합니다,피망,X19,2sp,"블루록, 문호 스트레이독스",,,,,,,만화,@spade999_p,https://dongne.co/event/df2401/circles/330513,제24회 디. 페스타,Day1
Space cowboy ,Rozaroza ,J22,2sp,트라이건 맥시멈 ,,,리비오 라즐로,라즐로X리비오 ,"로맨틱,해당없음",,만화,@yBTjL4DZy7Wgp0j,https://dongne.co/event/df2401/circles/336492,제24회 디. 페스타,Day1
SPASE ANCIENT MAN YAOI ,냠냥,B6b,1sp,울트라맨 오브,가면라이더 가이무,,,,,,,,https://dongne.co/event/df2401/circles/327928,제24회 디. 페스타,Day1
stray kids,somesing,A14,2sp,데뷔 못 하면 죽는 병 걸림,"가비지타임, 앙상블 스타즈",,,차유진X김래빈,로맨틱,"청우배세, 문대아현, 큰세문대, 뱅상, 치아미도",소설,@onedogsing,https://dongne.co/event/df2401/circles/332046,제24회 디. 페스타,Day1
S급 외모 EX급 가창 그리고...(왕!),"비노, 함마",A9,2sp,데뷔 못하면 죽는 병 걸림,,,,,"로맨틱,섹슈얼","청려문대, 논커플링",일러스트,@Vino_dmj,https://dongne.co/event/df2401/circles/326234,제24회 디. 페스타,Day1
tkfkatkffu,사람살려,V22,2sp,가비지타임,슬램덩크,,"최종수,박병찬 / 서태웅,정대만",,"로맨틱,섹슈얼",서태웅x정대만,"만화,소설,일러스트",@_tkfkatkffu,https://dongne.co/event/df2401/circles/335845,제24회 디. 페스타,Day1
Two Rabbits & 자몽공방,Rabbits,G19,2sp,데못죽,"가비지타임, 하이큐, 앙스타, 슬램덩크 외",,,,,,"공예,조형,기타",@2rabbits ,https://dongne.co/event/df2401/circles/335129,제24회 디. 페스타,Day1
VELTUS(벨투스),쟈키퐁,I6,4sp,,,,,,,,"조형,기타,일러스트,음반",@veltus_lab,https://dongne.co/event/df2401/circles/343202,제24회 디. 페스타,Day1
wwwwwww,wave,F14,2sp,,,,,,,,,,https://dongne.co/event/df2401/circles/340886,제24회 디. 페스타,Day1
[최상급]산지직송 구식농장 꿀사과 6kg 21kg ,구식,V11b,1sp,가비지타임,,,"기상호, 박병찬",기상호X박병찬,로맨틱,,일러스트,@sickziguuu,https://dongne.co/event/df2401/circles/337734,제24회 디. 페스타,Day1
[활]화산횟집[어],미미광어,M8a,1sp,화산귀환,,,올캐릭터,,,,"공예,일러스트",@trapcardmim,https://dongne.co/event/df2401/circles/324820,제24회 디. 페스타,Day1
________로 만나 버튜버 되다,"야마, 2, 르타",D5,2sp,니지산지,,,,,,,,@diakghkrnl,https://dongne.co/event/df2401/circles/330643,제24회 디. 페스타,Day1
★잡덕부스★,융융래빗,B1a,1sp,마블,"슬램덩크, 스타워즈, 스타트렉, 데어데블, 캡틴마블, 테넷, 알라딘, 쥬라기월드, 버즈오브프레이",,,,,,"공예,조형,기타",@Y_GoodsY,https://dongne.co/event/df2401/circles/337792,제24회 디. 페스타,Day1
❤︎방문 시 [무/료/법/률/상/담] 100%만족 보장! 두뇌 섹시한 투디캐릭터들 상시 대기중❤︎,"N, 유닉",J15,2sp,역전재판 시리즈,,변호사가 역전을 숨김,,,"로맨틱,해당없음",,,,https://dongne.co/event/df2401/circles/329343,제24회 디. 페스타,Day1
⭐️새해오픈⭐️빵준네 제철귤농장,"공귤 , 새햄",T7,2sp,가비지타임,,,,전영중X성준수,,기상호x박병찬,,"@Gonggyul , @Sstofgoak_",https://dongne.co/event/df2401/circles/324223,제24회 디. 페스타,Day1
『 절대로 BL(blue lock)이 되는 부스 』 ,야키,X7a,1sp,블루록,,부스의 원석들: 펑크는 LOCK OFF,,나기 세이시로X미카게 레오,로맨틱,,"만화,일러스트",@yaki_bl,https://dongne.co/event/df2401/circles/322509,제24회 디. 페스타,Day1
『강경해피엔딩파』,이존버찌,K7,2sp,트라이건,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.","밧슈 더 스탬피드, 니콜라스 D. 울프우드 ",밧슈X울프우드,"로맨틱,섹슈얼",,"일러스트,소설",@trigunballsaram,https://dongne.co/event/df2401/circles/337533,제24회 디. 페스타,Day1
ㅅㅅㅅ,이삼,H7,2sp,오리지널,,,,,,,"일러스트,공예,조형,만화",@6_e_sam,https://dongne.co/event/df2401/circles/332875,제24회 디. 페스타,Day1
㈜ 텅 빈,레이지빈,A12,2sp,데뷔 못하면 죽는 병 걸림,,,,청려X박문대,"로맨틱,섹슈얼",,"만화,일러스트",@amibean,https://dongne.co/event/df2401/circles/343232,제24회 디. 페스타,Day1
가비지 슬램덩크타임,토드,Q21,2sp,슬램덩크,가비지타임,,,,로맨틱,,,todtodpic,https://dongne.co/event/df2401/circles/334276,제24회 디. 페스타,Day1
가족끼리 왜 이래...♡,무믓,J2,2sp,트라이건,,,"밧슈 더 스탬피드 , 밀리온즈 나이브스",밀리온즈 나이브스X밧슈 더 스탬피드,"로맨틱,섹슈얼",,"만화,소설,일러스트",,https://dongne.co/event/df2401/circles/338681,제24회 디. 페스타,Day1
가챠보다 짜릿한 미찌팡,"도롱뇽구, 무와",E24,2sp,마법사의 약속,,,,,,,,@Dorongnyongu,https://dongne.co/event/df2401/circles/339474,제24회 디. 페스타,Day1
감자가 맵니? 난 달기만 하던데?,파파,Z3b,1sp,주술회전,,고죠유지 쁘띠존 : 겨울을 녹이는 봄,고죠 사토루 이타도리 유지 ,고죠 사토루X이타도리 유지 ,로맨틱,,만화,@papa8_8,https://dongne.co/event/df2401/circles/337055,제24회 디. 페스타,Day1
감자칩,"유용, 사서",C14,2sp,적왕사,어바등,,"베른, 박무현",,,,일러스트,,https://dongne.co/event/df2401/circles/341899,제24회 디. 페스타,Day1
감자콩나물조림,"소팟, 포남",E14,2sp,세포신곡,,세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계,"아토 하루키, 이소이 레이지",,,,"기타,공예,일러스트","@so_redbean, @TL_GluvY02",https://dongne.co/event/df2401/circles/332796,제24회 디. 페스타,Day1
감자튀김XXL,cxuxe,I9a,1sp,혈계전선,,혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,"스티븐 A 스타페이즈, 레오나르도 워치",스티븐 A 스타페이즈X레오나르도 워치,"로맨틱,섹슈얼",,"소설,기타",,https://dongne.co/event/df2401/circles/327700,제24회 디. 페스타,Day1
갑타귀환못하면 서라벌에서 죽는병걸림,약지루엘안터생연와,M16,4sp,화산귀환,"화산귀환, 가비지타임, 진혼기, 데뷔못하면죽는병걸림",,"청명, 당보",당보X청명,"로맨틱,섹슈얼","NCP, 당보청명, 청명당보, 자하설영, 청려문대","만화,소설,일러스트,공예",@_Yakji,https://dongne.co/event/df2401/circles/340585,제24회 디. 페스타,Day1
강서부행,성부행,N11,2sp,슬램덩크,,태웅백호 쁘띠존 : 호호신년,"서태웅, 강백호",서태웅X강백호,"로맨틱,섹슈얼",,만화,@tjdqngod,https://dongne.co/event/df2401/circles/338344,제24회 디. 페스타,Day1
같은 아이돌끼리 돕고 삽시다,비온후,B20,2sp,,,,,,,,,,https://dongne.co/event/df2401/circles/332517,제24회 디. 페스타,Day1
개굴상점,chocogeguri,G10,2sp,"솜인형 소품샵 5,10,5cm +사람소품도있어요",모든장르 착용가능합니다❤️,,,,로맨틱,,공예,@geguri_store,https://dongne.co/event/df2401/circles/340744,제24회 디. 페스타,Day1
개상호의 발바닥은 말랑,룽,U18,2sp,가비지타임,"전지적 독자 시점, 데못죽",,기상호 지상고 김독자 유중혁,X기상호,,"중독, 중혁독자",,@nong_rune,https://dongne.co/event/df2401/circles/340550,제24회 디. 페스타,Day1
"건파우더 속, 참회를","네기, 덕개,펠멜",K15,2sp,트라이건,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.","밧슈 더 스탬피드, 니콜라스 D.울프우드",밧슈 더 스탬피드X니콜라스 D.울프우드,"섹슈얼,로맨틱",,"만화,소설",@negi_killer/@deockGae/@plml__,https://dongne.co/event/df2401/circles/340343,제24회 디. 페스타,Day1
