부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
1년째 공 튀기는 중,농구맘,R14,2sp,슬램덩크,,,올캐러,,,,만화,jagijudocat,https://dongne.co/event/df2401/circles/342294,제24회 디. 페스타,Day1
                                                                                                                                                                              572 no friends,안건,Z13,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",@goodteethguys,https://dongne.co/event/df2401/circles/327491,제24회 디. 페스타,Day1
                                                                                                                                                                              今際の際,ON,Z14,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",,https://dongne.co/event/df2401/circles/325389,제24회 디. 페스타,Day1
 B+R=P  , 만쥬/삥,O24a,1sp,슬램덩크,,,"윤대협, 서태웅",,"로맨틱,섹슈얼",,,@br_0522  ,https://dongne.co/event/df2401/circles/338554,제24회 디. 페스타,Day1
 ONLY GOGE,사뿐,Z12,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",,https://dongne.co/event/df2401/circles/338329,제24회 디. 페스타,Day1
 이 땅은 밥이 주식인 나라 , 쾅,U4,2sp,가비지타임,,,"박병찬, 기상호",박병찬X기상호,로맨틱,재석영중재,"일러스트,소설,기타",@pizzamatitdang,https://dongne.co/event/df2401/circles/326597,제24회 디. 페스타,Day1
( 비 ) 정상영업합니다. 100%할인중. 배포존,결,R2,2sp,가비지타임,,,"최종수, 기상호, 박병찬, 이초원",최종수X기상호,"로맨틱,해당없음",,"만화,일러스트,소설",@gyeul_230228,https://dongne.co/event/df2401/circles/333837,제24회 디. 페스타,Day1
(실은 모든 것을 알고 있음),"마키오토, 테마파크직원",E19,2sp,프로젝트 세카이,보컬로이드 (카이토 위주),,,,,,,@tmpk_in,https://dongne.co/event/df2401/circles/333997,제24회 디. 페스타,Day1
(주) 무림미식회의 기묘한 모험을 바이풋슈!,단팥빵,J7,2sp,월한강천록: 무림제일폐,"아카기, 죠죠의 기묘한 모험",,유소월,홍륜X소월,"로맨틱,섹슈얼","소월른, 아카난고","만화,일러스트",@Annbbang,https://dongne.co/event/df2401/circles/335961,제24회 디. 페스타,Day1
.,호두(クルミ),D2b,1sp,니지산지 JP,,,"카나에, 쿠즈하",,,,일러스트,@ku_urumii,https://dongne.co/event/df2401/circles/335981,제24회 디. 페스타,Day1
