개최일,부스 위치,자리수,대표작품,계정아이디,계정명,팔로워수,최상단트윗_알티,최상단트윗_마음,최상단트윗_노출수,최상단트윗_내용,multiple_ids
Day1,M8a,1sp,화산귀환,trapcardmim,,,,,,,
Day1,M8b,1sp,화산귀환,HQ_SEMO,,,,,,,
Day1,N11,2sp,슬램덩크,tjdqngod,,,,,,,
Day1,N12,2sp,,,,,,,,,
Day1,N13,2sp,슬램덩크,slr0o0mi,,,,,,,
Day1,N14a,1sp,슬램덩크,Rimja_02,,,,,,,
Day1,N14b,1sp,슬램덩크,hihihui1110,,,,,,,
Day1,N16,2sp,슬램덩크,basukemnmn,,,,,,,
Day1,N18a,1sp,슬램덩크,1110_94,,,,,,,
Day1,N18b,1sp,슬램덩크,YubChas,,,,,,,
Day1,N19,2sp,슬램덩크,laahyaa,,,,,,,
Day1,N20,2sp,슬램덩크,cherry_carrot_,,,,,,,
Day1,N23,2sp,슬램덩크,,,,,,,,
Day1,N24b,1sp,슬램덩크,limited_88_88,,,,,,,
Day1,N2a,1sp,슬램덩크,DaDa9191,,,,,,,
Day1,N4,2sp,슬램덩크,14eggmayo1110,,,,,,,
Day1,N6a,1sp,슬램덩크,mallangijoayo,,,,,,,
Day1,N6b,1sp,슬램덩크,1110bus,,,,,,,
Day1,O1,2sp,더퍼스트슬램덩크,MASOIDEA,,,,,,,
Day1,O10,2sp,슬램덩크,,,,,,,,
Day1,O11,2sp,슬램덩크,,,,,,,,
Day1,O12a,1sp,슬램덩크,ssassais44,,,,,,,
Day1,O12b,1sp,슬램덩크,ssile_11,,,,,,,
Day1,O13,2sp,슬램덩크,,,,,,,,
Day1,O14a,1sp,슬램덩크,4070303,,,,,,,
Day1,O14b,1sp,슬램덩크,,,,,,,,
Day1,O15,2sp,슬램덩크,,,,,,,,
Day1,O16,2sp,슬램덩크,,,,,,,,
Day1,O17,2sp,슬램덩크,Z3_1114,,,,,,,
Day1,O18,2sp,슬램덩크,babababbabbab,,,,,,,
Day1,O19,2sp,슬램덩크,farfromeit,,,,,,,
Day1,O2,2sp,슬램덩크,coriander_party,,,,,,,
Day1,O20,2sp,슬램덩크,jjaekkag0104,,,,,,,
Day1,O21,2sp,슬램덩크,Qww9x,,,,,,,
Day1,O22,2sp,"슬램덩크, 겁쟁이페달",kkung_yo,,,,,,,
Day1,O23,2sp,슬램덩크,s2nolangs2,,,,,,,
Day1,O24b,1sp,슬램덩크,dango_1110,,,,,,,
Day1,O5,2sp,슬램덩크,gyeomnol,,,,,,,
Day1,O6a,1sp,슬램덩크,10ho_0310,,,,,,,
Day1,O6b,1sp,슬램덩크,,,,,,,,
Day1,O7,2sp,슬램덩크,monampr,,,,,,,
Day1,O8,2sp,슬램덩크,nowhere616,,,,,,,
Day1,O9,2sp,슬램덩크,wagamamahimez,,,,,,,
Day1,P1,4sp,슬램덩크,DanHu_00,,,,,,,
Day1,P10,2sp,슬램덩크,Fe_minute,,,,,,,
Day1,P11,2sp,슬램덩크,fix0614,,,,,,,
Day1,P12a,1sp,슬램덩크,mozzarellaori,,,,,,,
Day1,P12b,1sp,가비지타임,from_changsick,,,,,,,
Day1,P13,2sp,슬램덩크,peaceturtIe,,,,,,,
Day1,P14,2sp,슬램덩크,,,,,,,,
Day1,P15a,1sp,슬램덩크,lol_monsta_x,,,,,,,
Day1,P15b,1sp,슬램덩크,pre55_7,,,,,,,
Day1,P17,2sp,슬램덩크,duuuums,,,,,,,
Day1,P19,2sp,슬램덩크,tasub_123,,,,,,,
Day1,P2,2sp,슬램덩크,,,,,,,,
Day1,P21,2sp,슬램덩크 웹소,fkelwldks2,,,,,,,
Day1,P22,2sp,슬램덩크,fhiyr17,,,,,,,
Day1,P23,2sp,슬램덩크,nogal_2,,,,,,,
Day1,P3,2sp,슬램덩크,,,,,,,,
Day1,P5,4sp,슬램덩크,queennongnol,,,,,,,
Day1,P6,2sp,슬램덩크,jigpanjang,,,,,,,
Day1,P7,2sp,슬램덩크,x_ggalong,,,,,,,
Day1,P8a,1sp,슬램덩크 데못죽,the_juicy_juice,,,,,,,
Day1,P9,2sp,슬램덩크,Broccolover_,,,,,,,
Day1,Q1,2sp,,,,,,,,,
Day1,Q10,2sp,슬램덩크,___stoneheart_,,,,,,,
Day1,Q11,2sp,슬램덩크,spinning_314,,,,,,,
Day1,Q12,2sp,슬램덩크,Rollyomie,,,,,,,
Day1,Q13,2sp,슬램덩크,,,,,,,,
Day1,Q14,2sp,슬램덩크,seungchil_sldk,,,,,,,
Day1,Q15,2sp,슬램덩크,,,,,,,,
Day1,Q16a,1sp,슬램덩크,gunmandu_du,,,,,,,
Day1,Q16b,1sp,슬램덩크,TTAMA_3,,,,,,,
Day1,Q17,2sp,슬램덩크,daeman_moms,,,,,,,
Day1,Q18a,1sp,슬램덩크,TdTd714,,,,,,,
Day1,Q18b,1sp,슬램덩크,appleberry0714,,,,,,,
Day1,Q19,2sp,슬램덩크,Bada_sagwa,,,,,,,
Day1,Q20a,1sp,슬램덩크,nooo_eezee,,,,,,,
Day1,Q20b,1sp,슬램덩크,deepdownsee_ome,,,,,,,
Day1,Q21,2sp,슬램덩크,todtodpic,,,,,,,
Day1,Q22,2sp,슬램덩크,beotnamu5,,,,,,,
Day1,Q23,2sp,마법사의 약속,5555,,,,,,,
Day1,Q24,2sp,,,,,,,,,
Day1,Q5,2sp,슬램덩크,mittoboom,,,,,,,
Day1,Q6,2sp,슬램덩크,nooy_nongnol,,,,,,,
Day1,Q7,2sp,슬램덩크,714madeinSHK,,,,,,,
Day1,Q8,2sp,슬램덩크,junggongjoo14,,,,,,,
Day1,Q9,2sp,슬램덩크,1110__love,,,,,,,
Day1,R10,2sp,"슬램덩크, 더 퍼스트 슬램덩크",KEEP_CALM_N_,,,,,,,
Day1,R11,2sp,슬램덩크,jjang_soso,,,,,,,
Day1,R12,4sp,슬램덩크,14ho_sd,,,,,,,
Day1,R14,2sp,슬램덩크,jagijudocat,,,,,,,
Day1,R15,2sp,슬램덩크,_rk_sd,,,,,,,
Day1,R18,2sp,슬램덩크,1114_akfan,,,,,,,
Day1,R19,2sp,가비지타임,dlqtldkrrnl,,,,,,,
Day1,R1a,1sp,가비지타임,,,,,,,,
Day1,R1b,1sp,가비지 타임,,,,,,,,
Day1,R2,2sp,가비지타임,gyeul_230228,,,,,,,
Day1,R20a,1sp,가비지타임,nalguem_,,,,,,,
Day1,R20b,1sp,가비지타임,Pks2hi,,,,,,,
Day1,R21,2sp,"가비지타임, 슬램덩크",zibakman,,,,,,,
Day1,R22,2sp,가비지타임,canele_8585,,,,,,,
Day1,R23,2sp,가비지타임,HanseD257,,,,,,,
Day1,R24,2sp,가비지타임,Hyun_xJin,,,,,,,
Day1,R3,2sp,슬램덩크,non9_nol2,,,,,,,
Day1,R4,2sp,슬램덩크,9ppyong2,,,,,,,
Day1,R6a,1sp,가비지타임,ruu_ens,,,,,,,
Day1,R6b,1sp,가비지타임,,,,,,,,
Day1,R7,2sp,슬램덩크,null6909,,,,,,,
Day1,R8,2sp,슬램덩크,DWLR__,,,,,,,
Day1,R9,2sp,슬램덩크,gajimuchim11,,,,,,,
Day1,S1,2sp,가비지타임,,,,,,,,
Day1,S19,2sp,,,,,,,,,
Day1,S21,2sp,가비지타임,0yster_b1rd,,,,,,,
Day1,S22,2sp,가비지타임,very_long_pig,,,,,,,
Day1,S23,2sp,가비지타임,Old_chicksoup,,,,,,,
Day1,S2a,1sp,가비지타임,toogoodtoluv,,,,,,,
Day1,S2b,1sp,가비지타임,nonong99099,,,,,,,
Day1,S3,2sp,가비지타임,deepsiyun,,,,,,,
Day1,S4,2sp,가비지타임,garbagenaya,,,,,,,
Day1,S5a,1sp,가비지타임,whdtkd0,,,,,,,
Day1,S5b,1sp,가비지타임,,,,,,,,
Day1,S6,2sp,가비지타임,,,,,,,,
Day1,T17,2sp,가비지타임,,,,,,,,
Day1,T18,2sp,"내스급, 가비지타임",,,,,,,,
Day1,T19,2sp,가비지타임,myoha_S2,,,,,,,
Day1,T2,2sp,가비지타임,Butterfl2ffect,,,,,,,
Day1,T20b,1sp,가비지타임,Dongo_time,,,,,,,
Day1,T21,2sp,가비지타임,,,,,,,,
Day1,T22,2sp,가비지타임,sistina_w,,,,,,,
Day1,T23a,1sp,가비지타임,GGGGG1NNN,,,,,,,
Day1,T23b,1sp,가비지타임,,,,,,,,
Day1,T24,2sp,가비지타임,junsang_only,,,,,,,
Day1,T3,2sp,가비지타임,robot__ch,,,,,,,
Day1,T5,2sp,가비지타임,agiBdan_17,,,,,,,
Day1,T6,2sp,가비지타임,,,,,,,,
Day1,T8,2sp,가비지타임,⁦‪@Salv_Temp14‬⁩,,,,,,,
Day1,U1,2sp,가비지타임,biYf3E4xidHbgSY,,,,,,,
Day1,U14,2sp,가비지타임,xswwwxsw,,,,,,,
Day1,U15,4sp,가비지타임,__inmang,,,,,,,
Day1,U17,2sp,내가키운s급들,sorong33,,,,,,,
Day1,U18,2sp,가비지타임,nong_rune,,,,,,,
Day1,U2,2sp,가비지타임,BeTyranno,,,,,,,
