개최일,부스 위치,자리수,대표작품,계정아이디,계정명,팔로워수,최상단트윗_알티,최상단트윗_마음,최상단트윗_노출수,최상단트윗_내용,multiple_ids
Day1,A1,2sp,데뷔 못하면 죽는 병 걸림,min5ko,,,,,,,
Day1,A10a,1sp,"데뷔못하면죽는병걸림, 데못죽",llllnetillll,,,,,,,
Day1,A10b,1sp,데못죽,pandagoonS,,,,,,,
Day1,A12,2sp,데뷔 못하면 죽는 병 걸림,amibean,,,,,,,
Day1,A13,2sp,데못죽,Jichu_Loviewer,,,,,,,
Day1,A14,2sp,데뷔 못 하면 죽는 병 걸림,onedogsing,,,,,,,
Day1,A15,2sp,데못죽,M_u_L_i_Y_a,,,,,,,
Day1,A16,4sp,데뷔 못 하면 죽는 병 걸림,Hwiyyen,,,,,,,
Day1,A19b,1sp,데뷔 못 하면 죽는 병 걸림,hasan_samdea,,,,,,,
Day1,A20,2sp,데못죽,ANu_loviewer,,,,,,,
Day1,A21,2sp,데뷔 못하면 죽는 병 걸림,mrmhrro,,,,,,,
Day1,A22,2sp,프로젝트 세카이,imbongg4,,,,,,,
Day1,A23,2sp,데못죽,rninbblong_,,,,,,,
Day1,A2a,1sp,데뷔 못 하면 죽는 병 걸림,seomunbada_DMJ,,,,,,,
Day1,A2b,1sp,데못죽,cookylove19,,,,,,,
Day1,A3a,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,,
Day1,A3b,1sp,데뷔 못하면 죽는 병 걸림,o17e_,,,,,,,
Day1,A4,2sp,데뷔 못 하면 죽는 병 걸림,zamkkan_dod,,,,,,,
Day1,A5,2sp,데뷔 못하면 죽는 병 걸림,bio12031113,,,,,,,
Day1,A7,4sp,데뷔 못하면 죽는 병 걸림,rayca01,,,,,,,
Day1,A9,2sp,데뷔 못하면 죽는 병 걸림,Vino_dmj,,,,,,,
Day1,B10,2sp,,,,,,,,,
Day1,B11,2sp,,,,,,,,,
Day1,B13,2sp,데뷔 못하면 죽는 병 걸림,,,,,,,,
Day1,B14,2sp,,,,,,,,,
Day1,B15a,1sp,,,,,,,,,
Day1,B15b,1sp,,,,,,,,,
Day1,B16,2sp,,TIRA_o2,,,,,,,
Day1,B17,2sp,,,,,,,,,
Day1,B18,2sp,코난,U_flavourful_O,,,,,,,
Day1,B1a,1sp,마블,Y_GoodsY,,,,,,,
Day1,B1b,1sp,스파이더맨,,,,,,,,
Day1,B2,2sp,배트맨,,,,,,,,
Day1,B20,2sp,,,,,,,,,
Day1,B21,2sp,,RanrindoS2,,,,,,,
Day1,B22,2sp,,beatplz2,,,,,,,
Day1,B23,2sp,,juneeunjune,,,,,,,
Day1,B24,2sp,스타워즈 탑건 슬램덩크,yune_0_0,,,,,,,
Day1,B3a,1sp,해리포터,Marron_House,,,,,,,
Day1,B3b,1sp,오페라의 유령,0_back_129,,,,,,,
Day1,B4,2sp,miu404,extension404,,,,,,,
Day1,B5,2sp, MIU404,,,,,,,,
Day1,B6a,1sp,MIU404,0520X0708,,,,,,,
Day1,B6b,1sp,울트라맨 오브,,,,,,,,
Day1,B7,2sp,,CHAYO_sq,,,,,,,
Day1,B8a,1sp,임시,,,,,,,,
Day1,B8b,1sp,.,momomommpp,,,,,,,
Day1,B9,2sp,,,,,,,,,
Day1,C1,2sp,어두운 바다의 등불이 되어,nok_k,,,,,,,
Day1,C10,2sp,fkmt,oqwertyui0,,,,,,,
Day1,C11,2sp,인소의법칙,__sherio,,,,,,,
Day1,C13,2sp,주컨곤,,,,,,,,
Day1,C14,2sp,적왕사,,,,,,,,
Day1,C15a,1sp,디지몬,,,,,,,,
Day1,C15b,1sp,페르소나5,roh_Ewoong,,,,,,,
Day1,C16a,1sp,버튜버(모로스),eunmilhan_,,,,,,,
Day1,C16b,1sp,바이오하자드 ,baemc95,,,,,,,
Day1,C17a,1sp,플레이브,No_non_ni,,,,,,,
Day1,C17b,1sp,붕괴 스타레일,nerine_cine,,,,,,,
Day1,C19a,1sp,누카니발,,,,,,,,
Day1,C19b,1sp,NU카니발,,,,,,,,
Day1,C2,2sp,어두운 바다의 등불이 되어,kkomsuri,,,,,,,
Day1,C20,2sp,누카니발,girin_qqq,,,,,,,
Day1,C21,2sp,로드오브히어로즈,sm5927602,,,,,,,
Day1,C22a,1sp,쿠키런 킹덤,Congbbang,,,,,,,
Day1,C22b,1sp,로드 오브 히어로즈(로오히),_linalord_,,,,,,,
Day1,C23,2sp,,,,,,,,,
Day1,C24b,1sp,어두운 바다의 등불이 되어,p_april_,,,,,,,
Day1,C3a,1sp,진여신전생3,moking999,,,,,,,
Day1,C3b,1sp,사이퍼즈,,,,,,,,
Day1,C5,2sp,네가죽어,ru_chi_i,,,,,,,
Day1,C6,2sp,단간론파,jabducklife,,,,,,,
Day1,C7,4sp,원신,,,,,,,,
Day1,C8,2sp,원신,sleep_againer,,,,,,,
Day1,C9,2sp,fkmt,126649J06,,,,,,,
Day1,D1,2sp,FGO,selfu_appeal,,,,,,,
Day1,D10,2sp,흡혈귀는 툭하면 죽는다,onlywonder200,,,,,,,
Day1,D11,2sp,흡혈귀는 툭하면 죽는다,wow_BlueBox,,,,,,,
Day1,D12,2sp,헌터x헌터,Love__ppi,,,,,,,
Day1,D14,2sp,죠죠의 기묘한 모험,hamon__o,,,,,,,
Day1,D15,2sp,,,,,,,,,
Day1,D16a,1sp,죠죠의 기묘한 모험,wilk_wink,,,,,,,
Day1,D16b,1sp,나의 히어로 아카데미아,qhsrP_moy,,,,,,,
Day1,D17,2sp,나의 히어로 아카데미아,hoduMHA,,,,,,,
Day1,D18,2sp,나의 히어로 아카데미아,mmmmm___p,,,,,,,
Day1,D19,2sp,버튜버 ,,,,,,,,
Day1,D20,2sp,파라독스 라이브,geomcheong,,,,,,,
Day1,D21,2sp,우타프리,10x14,,,,,,,
Day1,D22,2sp,"파라라이, 꿈왕국, 마호야쿠",,,,,,,,
Day1,D24,2sp,"Fate 시리즈, 명탐정 코난",eunyu0,,,,,,,
Day1,D2a,1sp,fate 시리즈,,,,,,,,
Day1,D2b,1sp,니지산지 JP,ku_urumii,,,,,,,
Day1,D3,2sp,"니지산지, 레볼루션 하트",,,,,,,,
Day1,D5,2sp,니지산지,diakghkrnl,,,,,,,
Day1,D6,2sp,아르고나비스,flat_brusj_argn,,,,,,,
Day1,D7,2sp,나의 히어로 아카데미아,skcm2728800,,,,,,,
Day1,D8,2sp,나의 히어로 아카데미아,XX__BX,,,,,,,
Day1,D9,2sp,흡혈귀는 툭하면 죽는다,salty_bread_of,,,,,,,
Day1,E1,2sp,마법사의 약속,Magic_holic,,,,,,,
Day1,E10,4sp,파이널 판타지 14,Coumarinnn,,,,,,,
Day1,E11,2sp,파이널판타지14,pinktokifire,,,,,,,
Day1,E12,2sp,세포신곡,hdong_st,,,,,,,
Day1,E13,2sp,,,,,,,,,
Day1,E15a,1sp,세포신곡,,,,,,,,
Day1,E15b,1sp,세포신곡,cook__zhffk,,,,,,,
Day1,E16,2sp,세포신곡,3nG4x,,,,,,,
Day1,E17,2sp,세포신곡,SalinmaMongoose,,,,,,,
Day1,E18,2sp,"엘소드, 제5인격, 페르소나 5, 솜인형",purple_1line,,,,,,,
Day1,E19,2sp,프로젝트 세카이,tmpk_in,,,,,,,
Day1,E2,2sp,마법사의 약속,P0r7r417,,,,,,,
Day1,E20,2sp,프로젝트 세카이,hb_rosemary,,,,,,,
Day1,E21,2sp,프로세카,9nong9,,,,,,,
Day1,E22,2sp,"프로젝트세카이, 마법사의 약속",,,,,,,,
Day1,E23a,1sp,프로젝트 세카이,nn_game1,,,,,,,
Day1,E24,2sp,마법사의 약속,Dorongnyongu,,,,,,,
Day1,E4,2sp,마법사의 약속,maho212020,,,,,,,
Day1,E5,2sp,아이나나(아이돌리쉬 세븐),1Tylenol_F,,,,,,,
Day1,E6,2sp,아이돌리쉬세븐(아이나나),letter4M,,,,,,,
Day1,E7,2sp,파이널 판타지14,HUSHL0V3,,,,,,,
Day1,E8,2sp,파이널판타지14,,,,,,,,
Day1,F1,2sp,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,magazlly,,,,,,,
Day1,F10,2sp,프세카,rkawkehtnwlq,,,,,,,
Day1,F11,2sp,프로젝트 세카이(프로세카),onprsk,,,,,,,
Day1,F12a,1sp,프로젝트 세카이 컬러풀 스테이지 feat. 하츠네 미쿠,zzinma__,,,,,,,
Day1,F12b,1sp,프로젝트 세카이 / 앙상블 스타즈,gimmaritta,,,,,,,
Day1,F13,2sp,프로젝트 세카이,m_2__o,,,,,,,
Day1,F14,2sp,,,,,,,,,
Day1,F15,2sp,"할로우나이트, 산나비, 가비지타임, 프로젝트세카이, 하츠네미쿠, 해리포터",Rarfait,,,,,,,
Day1,F17,2sp,프로세카,0_o_o0_0o_o_0,,,,,,,
Day1,F19,2sp,프로세카,_tiger_ovo,,,,,,,
Day1,F20,2sp,프로세카,,,,,,,,
Day1,F21,2sp,프로젝트 세카이,,,,,,,,
Day1,F22,2sp,프로젝트세카이,cherrymeing,,,,,,,
Day1,F23,2sp,프로세카,ukyangku,,,,,,,
Day1,F24,2sp,"프로세카, 프로젝트 세카이",lulu54569084,,,,,,,
Day1,F2a,1sp,프로젝트 세카이,kR21Pzg,,,,,,,
Day1,F2b,1sp,프로세카,⁦‪@touaki_numnum‬⁩,,,,,,,
Day1,F3,2sp,프로젝트 세카이,__MomMother_,,,,,,,
Day1,F4,2sp,프로젝트 세카이,,,,,,,,
Day1,F5,2sp,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,wwrin_k,,,,,,,
Day1,F6,2sp,프로젝트 세카이,bd_0_prsk,,,,,,,
Day1,F7,2sp,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,Hyang_prsk,,,,,,,
Day1,F8,2sp,프로젝트 세카이,b1gbambbang,,,,,,,
Day1,F9,2sp,프로젝트세카이,,,,,,,,
Day1,G1,4sp,,war_Som,,,,,,,
Day1,G10,2sp,"솜인형 소품샵 5,10,5cm +사람소품도있어요",geguri_store,,,,,,,
Day1,G11,2sp,1차창작,Hanol_clcl,,,,,,,
Day1,G12,2sp,수공예,,,,,,,,
Day1,G13,2sp,데못죽,,,,,,,,
Day1,G14,2sp,,Dreamy_garden,,,,,,,
Day1,G15,2sp,"뜨개소품, 탑로더",sudal_s,,,,,,,
Day1,G16,2sp,플레이브,scone_TopKKu,,,,,,,
Day1,G17,2sp,,sosohan611004,,,,,,,
Day1,G18,2sp,,Gongbangdear,,,,,,,
Day1,G2,2sp,,,,,,,,,
Day1,G20,2sp,,jayun_blue,,,,,,,
Day1,G21,2sp,,JJB_D_,,,,,,,
Day1,G22,2sp,오리지널,,,,,,,,
Day1,G23,2sp,오리지널,Richinmm,,,,,,,
Day1,G3,2sp,,,,,,,,,
Day1,G4,2sp,,,,,,,,,
Day1,G5,2sp,,,,,,,,,
Day1,G6a,1sp,,Y0ung0_weaving,,,,,,,
Day1,G6b,1sp,오리지널 1차 수공예 책상꾸미기 소품 키링 오브제(푸딩 거북이 당고),bu661y_hand5,,,,,,,
Day1,G7,2sp,핸드메이드 봉제인형,My_Planet_Doll,,,,,,,
Day1,H11,2sp,창작커플(1차),zziiz_,,,,,,,
Day1,H12,2sp,젤다의 전설,,,,,,,,
Day1,H15,2sp,플레이브,iseo_12,,,,,,,
Day1,H16,2sp,"플레이브,스파이더맨,슬램덩크,니지산지",dobaksanta,,,,,,,
Day1,H18,2sp,플레이브,,,,,,,,
Day1,H19,2sp,터무니없는 이야기 ,,,,,,,,
Day1,H1a,1sp,데뷔못하면죽는병걸림,pooruem_DMJ,,,,,,,
Day1,H1b,1sp,데뷔 못하면 죽는 병 걸림,takeyoursky,,,,,,,
Day1,H20,2sp,1차창작,homilpain,,,,,,,
Day1,H21,2sp,플레이브,CosMayon,,,,,,,
Day1,H22,2sp,명일방주 플레이브 데뷔못하면죽는병걸림,M_33M4,,,,,,,
Day1,H23a,1sp,가비지타임,olivine_olo0,,,,,,,
Day1,H24,2sp,모모찌,iamyunji,,,,,,,
Day1,H2a,1sp,,RH_h0use,,,,,,,
Day1,H3,2sp,,,,,,,,,
Day1,H4,2sp,,matsultang,,,,,,,
Day1,H5,2sp,,yoonzise,,,,,,,
Day1,H6a,1sp,,,,,,,,,
Day1,H6b,1sp,,_millcat,,,,,,,
Day1,H7,2sp,오리지널,6_e_sam,,,,,,,
Day1,H8,2sp,,sombasae,,,,,,,
Day1,H9,2sp,오리지널,alman_dawn,,,,,,,
Day1,I1,4sp,크툴루의 부름,projectkuki,,,,,,,
Day1,I10,2sp,혈계전선,Otamot007,,,,,,,
Day1,I11,2sp,혈계전선,Mazzy_2nd,,,,,,,
Day1,I12,2sp,,,,,,,,,
Day1,I14,2sp,혈계전선,,,,,,,,
Day1,I17,2sp,혈계전선,tara_love_peace,,,,,,,
Day1,I18,2sp,혈계전선,Jellyfish_BBB,,,,,,,
Day1,I20a,1sp,bl,,,,,,,,
Day1,I20b,1sp,,,,,,,,,
Day1,I21a,1sp,,dumpling0417,,,,,,,
Day1,I23,2sp,Nu Carnival,xjcjdd__fscc,,,,,,,
Day1,I2a,1sp,마기카로기아,Constellar_owl,,,,,,,
Day1,I3,2sp,,,,,,,,,
Day1,I4,2sp,,qazwsx1493,,,,,,,
Day1,I5,2sp,달빛아래,,,,,,,,
Day1,I6,4sp,,veltus_lab,,,,,,,
Day1,I7a,1sp,주술회전,,,,,,,,
Day1,I7b,1sp,혈계전선,on_se_renity,,,,,,,
Day1,I8,2sp,혈계전선,,,,,,,,
Day1,I9a,1sp,혈계전선,,,,,,,,
Day1,I9b,1sp,혈계전선,gingerywpd,,,,,,,
Day1,J10,2sp,혈계전선,__flamel_,,,,,,,
Day1,J11a,1sp,혈계전선,,,,,,,,
Day1,J11b,1sp,혈계전선,aohana_03,,,,,,,
Day1,J12,2sp,,julgi___,,,,,,,
Day1,J14a,1sp,역전재판 시리즈,meiareum,,,,,,,
Day1,J14b,1sp,역전재판,kiml0919,,,,,,,
Day1,J15,2sp,역전재판 시리즈,,,,,,,,
Day1,J17,2sp,역전재판 시리즈,,,,,,,,
Day1,J18,2sp,,,,,,,,,
Day1,J19,2sp,트라이건,,,,,,,,
Day1,J2,2sp,트라이건,,,,,,,,
Day1,J20a,1sp,트라이건 스탬피드,S22023AA,,,,,,,
Day1,J22,2sp,트라이건 맥시멈 ,yBTjL4DZy7Wgp0j,,,,,,,
Day1,J23,2sp,트라이건 맥시멈,,,,,,,,
Day1,J24,2sp,트라이건 맥시멈,gudoggyebal,,,,,,,
Day1,J3,2sp,트라이건,cmchoco2,,,,,,,
Day1,J4,2sp,"트라이건, 트라이건 맥시멈, 트라이건 스탬피드",,,,,,,,
Day1,J5,2sp,트라이건,Citronplanet,,,,,,,
Day1,J6,2sp,트라이건,,,,,,,,
Day1,J7,2sp,월한강천록: 무림제일폐,Annbbang,,,,,,,
Day1,J8,2sp,세포신곡.,Die_nier,,,,,,,
Day1,J9,2sp,세포신곡,kamhee_,,,,,,,
Day1,K1,2sp,전지적독자시점,SION_428,,,,,,,
Day1,K12,4sp,트라이건,VW_petit_kr,,,,,,,
Day1,K14,2sp,,,,,,,,,
Day1,K16,2sp,트라이건,vashwolwoowoo,,,,,,,
Day1,K18b,1sp,트라이건,danza_721,,,,,,,
Day1,K19,2sp,명탐정코난,I_A_Se,,,,,,,
Day1,K2,2sp,"전지적 독자 시점, 최애의 아이",Baekuan_10,,,,,,,
Day1,K20,2sp,명탐정 코난,detectseo,,,,,,,
Day1,K21,2sp,명탐정 코난,Gunan_222,,,,,,,
Day1,K22a,1sp,명탐정 코난,comet_xio,,,,,,,
Day1,K23a,1sp,"명탐정 코난, 닥터스톤",,,,,,,,
Day1,K24,2sp,명탐정코난,shjpt,,,,,,,
Day1,K3,2sp,전지적 독자 시점,lmyinuneko,,,,,,,
Day1,K4,2sp,전지적 독자 시점,gudokjungdok,,,,,,,
Day1,K6,2sp,명탐정 코난,,,,,,,,
Day1,K7,2sp,트라이건,trigunballsaram,,,,,,,
Day1,K8,2sp,트라이건,B4W8D,,,,,,,
Day1,K9,2sp,트라이건,handsofmaestro,,,,,,,
Day1,L1,2sp,"원피스, 화산귀환",karo_pic,,,,,,,
Day1,L10,2sp,진혼기,10n_nri,,,,,,,
Day1,L12,2sp,명급리(외 판소) & 콘솔게임 & 프로세카,,,,,,,,
Day1,L13,2sp,"명급리, 슬램덩크, 가비지타임",nongguon,,,,,,,
Day1,L14a,1sp,명급리,ththeks,,,,,,,
Day1,L14b,1sp,광마회귀,CREAM_liar,,,,,,,
Day1,L15,2sp,광마회귀,Matsuru_0823,,,,,,,
Day1,L16,2sp,반월당,gakcha_N,,,,,,,
Day1,L2,2sp,원피스,ye_190X666,,,,,,,
Day1,L21,2sp,화산귀환,,,,,,,,
Day1,L22,2sp,화산귀환,kkyigong,,,,,,,
Day1,L23,2sp,화산귀환,gimdongi1010,,,,,,,
Day1,L24a,1sp,화산귀환,facjangtory,,,,,,,
Day1,L24b,1sp,"화산귀환, 진혼기",josangnim_sorry,,,,,,,
Day1,L4a,1sp,원피스,oililiter,,,,,,,
Day1,L4b,1sp,내가 키운 s급들,,,,,,,,
Day1,L5,2sp,내가키운S급들,,,,,,,,
Day1,L6,2sp,내가키운S급들,,,,,,,,
Day1,L7,4sp,진혼기,C12151127H,,,,,,,
Day1,L8a,1sp,"진혼기, 나루토",syzhlv,,,,,,,
Day1,L9,2sp,진혼기 반월당,hosing_,,,,,,,
Day1,M11,4sp,화산귀환,,,,,,,,
Day1,M12,4sp,화산귀환,sagal_hwa,,,,,,,
Day1,M14,2sp,화산귀환,P103ho_1,,,,,,,
Day1,M15,2sp,화산귀환,,,,,,,,
Day1,M16,4sp,화산귀환,_Yakji,,,,,,,
Day1,M18,2sp,화산귀환,crying_06,,,,,,,
Day1,M19,2sp,화산귀환 ,back_9158,,,,,,,
Day1,M1a,1sp,화산귀환,,,,,,,,
Day1,M1b,1sp,화산귀환,_yi_hyeon__,,,,,,,
Day1,M20,2sp,화산귀환,piacere_s2,,,,,,,
Day1,M21,4sp,화산귀환 ,notcaryestea,,,,,,,
Day1,M23,2sp,화산귀환,Cchyapp55,,,,,,,
Day1,M24,2sp,프로젝트 세카이,prsk_sou,,,,,,,
Day1,M2a,1sp,화산귀환,,,,,,,,
Day1,M2b,1sp,화산귀환,rene_jdc,,,,,,,
Day1,M3,2sp,화산귀환,songjin_dovob,,,,,,,
Day1,M4,2sp,화산귀환,Tobby_new,,,,,,,
Day1,M6,2sp,"화산귀환, 약속의 네버랜드",p_phew77,,,,,,,
Day1,M7,2sp,화산귀환,dasik_ghkrnl,,,,,,,
