부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
1042thDEAL,디일,N14,2sp,슬램덩크,"죠죠의 기묘한 모험, 스파이더맨, 원피스",,,양호열X강백호,"로맨틱,섹슈얼","태웅백호, 시죠세, 에이루",만화,,https://dongne.co/event/df2404/circles/367682,제25회 디. 페스타,Day1
1114 말아드립니다,고농,O21b,1sp,슬램덩크,,,서태웅 정대만,,"로맨틱,섹슈얼",,"만화,일러스트",@gononglll,https://dongne.co/event/df2404/circles/367896,제25회 디. 페스타,Day1
12시가 되면 100%가 되는 부스,"뿌랭,12",T22,2sp,모브사이코100,TRPG,,"에쿠보,레이겐",,,,,"@bburang_100,@iqFMyIaYdo3NtBh",https://dongne.co/event/df2404/circles/372662,제25회 디. 페스타,Day1
150_15,4²,S13b,1sp,주술회전,,,"쵸소, 이타도리 유지, 스쿠나",,,,"만화,기타",YON2_42_,https://dongne.co/event/df2404/circles/362284,제25회 디. 페스타,Day1
1년간 농놀만 생각해왔겠지?,콘치,O4a,1sp,슬램덩크,x,,"정우성, 송태섭",X,,,"만화,일러스트",_CORNCHI_,https://dongne.co/event/df2404/circles/365565,제25회 디. 페스타,Day1
1시에 호떡집 앞에서 봐,싱,R9a,1sp,가정교사 히트맨 리본,,가히리요? 2024년에요?,,이명헌X송태섭,로맨틱,태섭른,"만화,일러스트",@ret_ooj,https://dongne.co/event/df2404/circles/370665,제25회 디. 페스타,Day1
1햄 1케이지,히로히로,W21,2sp,가비지타임,,,박병찬,박병찬X기상호,로맨틱,,,,https://dongne.co/event/df2404/circles/366094,제25회 디. 페스타,Day1
2024년에도 슬농 중,"톱, 자비",N15,2sp,슬램덩크,,,,호열X백호,,,"소설,일러스트","@SD_TOB, @wkqmfldpf",https://dongne.co/event/df2404/circles/372267,제25회 디. 페스타,Day1
204억마탘축의금,미주 / 주접스,T4,2sp,도쿄리벤저스,,2024 타케른 쁘띠존,"사노 만지로, 하나가키 타케미치",사노 만지로X하나가키 타케미치,"로맨틱,섹슈얼",,소설,"@mitsu_Umai, @llill11_mytak",https://dongne.co/event/df2404/circles/368713,제25회 디. 페스타,Day1
20대의 농구 나이트,희수,Q18,2sp,슬램덩크,"블루자이언트, 드래곤볼",,,정대만X권준호,"로맨틱,섹슈얼",타마다 른,만화,@00HUISU00 ,https://dongne.co/event/df2404/circles/362726,제25회 디. 페스타,Day1
2306년 전통 236대 곰네 동인국밥 4호점,"한세디, 돈고, 상우",W14,2sp,가비지타임,,기상호 오른쪽 쁘띠존,"최종수, 기상호",,,,"소설,일러스트","@HanseD257, @Dongo_time, @sh_right_06",https://dongne.co/event/df2404/circles/360652,제25회 디. 페스타,Day1
23시 모기장밖,연자두,D3,2sp,니지산지 JP,화산귀환,,"쿠즈하, 카나에, 청명, 당보",,,,"만화,기타",@phaleplum,https://dongne.co/event/df2404/circles/368418,제25회 디. 페스타,Day1
24년에도 종상영업중,재활,W18,2sp,가비지타임,,기상호 오른쪽 쁘띠존,"기상호,최종수",최종수X기상호,"로맨틱,섹슈얼",,소설,@rept_06,https://dongne.co/event/df2404/circles/360653,제25회 디. 페스타,Day1
27년간 넨도가 없어,"새부리, 설라",C13,2sp,원피스,,원피스 쁘띠존 3회,"에이스, 사보 등등 다양",,,,"일러스트,공예",asebury,https://dongne.co/event/df2404/circles/361119,제25회 디. 페스타,Day1
2D캐릭터를 수집,메이,J9,4sp,,,,,,,,,,https://dongne.co/event/df2404/circles/370161,제25회 디. 페스타,Day1
2마트,2,C24,2sp,버튜버(니지산지),전지적 독자 시점,,헥스 헤이와이어,유중혁X김독자,해당없음,,일러스트,@charon_22,https://dongne.co/event/df2404/circles/371567,제25회 디. 페스타,Day1
30대 치과의사가 해달일 확률을 구하시오.,쟈가비,J5b,1sp,어두운 바다의 등불이 되어,"블랙배저, 가비지타임","해량무현 쁘띠존 : 세상에서 제일 긴 웨딩 로드 3,000m","신해량, 박무현",신해량X박무현,로맨틱,,,@__hello_dear_06,https://dongne.co/event/df2404/circles/365139,제25회 디. 페스타,Day1
3232,소롱,J18,2sp,내가키운s급들,화산귀환,,,,,,,@sorong33,https://dongne.co/event/df2404/circles/374146,제25회 디. 페스타,Day1
3분 카레,하루반L,H20,2sp,화산귀환,,,,,,,일러스트,@kununk030,https://dongne.co/event/df2404/circles/364213,제25회 디. 페스타,Day1
431 anthology,그리무,X14,2sp,가비지타임,,Habitual romance on April 31st,"전영중, 성준수",전영중X성준수,로맨틱,,만화,_grimu,https://dongne.co/event/df2404/circles/373561,제25회 디. 페스타,Day1
431번째 프로포즈,한치,X16a,1sp,가비지타임,,Habitual romance on April 31st,"전영중, 성준수",전영중X성준수,로맨틱,,,,https://dongne.co/event/df2404/circles/366145,제25회 디. 페스타,Day1
4월에도 농놀하는 부스,순장고추장,P24,2sp,슬램덩크,,,정우성, 우성X명헌,로맨틱,정환른,소설,sunjang_chujang,https://dongne.co/event/df2404/circles/365624,제25회 디. 페스타,Day1
4월에도 이러고 있다,크림,P9,2sp,슬램덩크,,,,,,,소설,cream5989,https://dongne.co/event/df2404/circles/370742,제25회 디. 페스타,Day1
4월이면그만할줄알았는데,우주,Q5,4sp,슬램덩크,"가비지타임, 진혼기",,서태웅,X서태웅,섹슈얼,"센루, 대협태웅, 빵준, 영중준수, 자설, 자하설영","만화,일러스트,소설,기타",@_1__1__1__,https://dongne.co/event/df2404/circles/372618,제25회 디. 페스타,Day1
4차산업혁명시대의 메타버스와 인공지능의 위상과 발전방향,레몬,D8,2sp,유희왕 브레인즈,"니지산지, 프로젝트 세카이",,,,"로맨틱,섹슈얼",,"만화,소설,일러스트",,https://dongne.co/event/df2404/circles/361584,제25회 디. 페스타,Day1
4쿼터 마지막 0.31초,"김수박, 한유",X18,2sp,가비지타임,,Habitual romance on April 31st,"전영중, 성준수",전영중X성준수,로맨틱,,"소설,기타",@__hanyu_B__,https://dongne.co/event/df2404/circles/371949,제25회 디. 페스타,Day1
5cm,momo,F18b,1sp,DIGIMON ADVENTURE(디지몬 어드벤처),,,"야가미 타이치, 이시다 야마토",야마토X타이치,"로맨틱,섹슈얼",,"만화,일러스트",@momof0715,https://dongne.co/event/df2404/circles/361780,제25회 디. 페스타,Day1
60년 전통 마카롱김치찌개집,잡떡,N11,2sp,슬램덩크,가비지타임,,"강백호, 양호열, 기상호",양호열X강백호,해당없음,종상,만화,@jabtteok2,https://dongne.co/event/df2404/circles/373984,제25회 디. 페스타,Day1
8성계 귀시장,올씨,K21a,1sp,천관사복,잔차품,,"화성, 사련",화성X사련,로맨틱,,일러스트,@little_modao,https://dongne.co/event/df2404/circles/369386,제25회 디. 페스타,Day1
::IT SHOW TIME::,스노잉,C6,2sp,앙상블 스타즈,천관사복,,"세나이즈미 , 사쿠마리츠",화성X사련,로맨틱,드림,"만화,일러스트",,https://dongne.co/event/df2404/circles/362735,제25회 디. 페스타,Day1
<-카이리스의 삼왕자를 믿기/신라의 삼왕자를 믿기->,진미,K20,2sp,반월당의 기묘한 이야기,적국의 왕자로 사는 법,,삼왕자,,,,"일러스트,소설",@im_best_food,https://dongne.co/event/df2404/circles/363801,제25회 디. 페스타,Day1
<2024 타케른 쁘띠존> 주최부스,2024 타케른 쁘띠존,T6,2sp,,,2024 타케른 쁘띠존,,,,,,,https://dongne.co/event/df2404/circles/425749,제25회 디. 페스타,Day1
<Habitual romance on April 31st> 주최부스,Habitual romance on April 31st,X12,2sp,,,Habitual romance on April 31st,,,,,,,https://dongne.co/event/df2404/circles/425763,제25회 디. 페스타,Day1
<가히리요? 2024년에요?> 주최부스,가히리요? 2024년에요?,R12,2sp,,,가히리요? 2024년에요?,,,,,,,https://dongne.co/event/df2404/circles/425759,제25회 디. 페스타,Day1
<다정한 독 인간 태풍> 주최부스,다정한 독 인간 태풍,S19,2sp,,,다정한 독 인간 태풍,,,,,,,https://dongne.co/event/df2404/circles/425754,제25회 디. 페스타,Day1
<모브레이 쁘띠존 : 모브레이 폭발까지 99%> 주최부스,모브레이 쁘띠존 : 모브레이 폭발까지 99%,T12,2sp,,,모브레이 쁘띠존 : 모브레이 폭발까지 99%,,,,,,,https://dongne.co/event/df2404/circles/425744,제25회 디. 페스타,Day1
<설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지> 주최부스,설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지,E24,2sp,,,설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지,,,,,,,https://dongne.co/event/df2404/circles/425739,제25회 디. 페스타,Day1
"<해량무현 쁘띠존 : 세상에서 제일 긴 웨딩 로드 3,000m> 주최부스","해량무현 쁘띠존 : 세상에서 제일 긴 웨딩 로드 3,000m",J24,2sp,,,"해량무현 쁘띠존 : 세상에서 제일 긴 웨딩 로드 3,000m",,,,,,,https://dongne.co/event/df2404/circles/425762,제25회 디. 페스타,Day1
<후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?)> 주최부스,후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?),E13,2sp,,,후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?),,,,,,,https://dongne.co/event/df2404/circles/425773,제25회 디. 페스타,Day1
@@!@,셈미,U12b,1sp,은혼,나루토 가비지타임,,나루토,전영중,해당없음,"영중준수 , 상호병찬 , 종수상호 , 종수병찬 ",일러스트,@sem2_world,https://dongne.co/event/df2404/circles/362807,제25회 디. 페스타,Day1
AMIX,아미르,I15a,1sp,오리지널,마기카로기아,,,카블루X미스룬,"로맨틱,섹슈얼",,만화,,https://dongne.co/event/df2404/circles/364861,제25회 디. 페스타,Day1
A지상최강농구마켓,대기타임,W22,2sp,가비지타임,,,기상호,박병찬X기상호,섹슈얼,"형석현성, 종수상호","만화,소설",@lO9gy,https://dongne.co/event/df2404/circles/367807,제25회 디. 페스타,Day1
Blanc de Blanc,메타,U17,2sp,명탐정 코난,,,,후루야 레이X카자미 유우야,로맨틱,,"만화,일러스트",@prayer_meta,https://dongne.co/event/df2404/circles/364651,제25회 디. 페스타,Day1
BLUE CODE,화시,T10a,1sp,모브사이코 100,,모브레이 쁘띠존 : 모브레이 폭발까지 99%,"모브, 레이겐",,로맨틱,없음,만화,@rustina06,https://dongne.co/event/df2404/circles/364500,제25회 디. 페스타,Day1
Bluebird syndrome,34(삼사) / 연지,R20,2sp,트라이건,,다정한 독 인간 태풍,"나이브스, 밧슈",나이브스X밧슈,"로맨틱,섹슈얼",,"만화,일러스트",@TRGV_34_V / @Trigun_yeonji,https://dongne.co/event/df2404/circles/361448,제25회 디. 페스타,Day1
Call Of Elsword,"효자, 제나, KKR",D19,2sp,엘소드 ,,,애드,애드(2라인) X애드(4라인)X 4라인),"로맨틱,섹슈얼",셀레+매패 NCP,"만화,소설,일러스트","@goodbeing_, @MP_Fostress, @oKKRo_911",https://dongne.co/event/df2404/circles/361495,제25회 디. 페스타,Day1
Cerulean+blue,Sipir,Q24,2sp,하이큐,"가비지타임, 슬램덩크, 쿠키런",,히나타 쇼요,,,,만화,@sipir02,https://dongne.co/event/df2404/circles/370795,제25회 디. 페스타,Day1
CHIAKI,치아키,Y24,2sp,가비지타임,,,,최종수X박병찬,,,만화,@chiaki_0219,https://dongne.co/event/df2404/circles/363873,제25회 디. 페스타,Day1
Crotti,kitami,P21,2sp,슬램덩크,"원피스, 스타트렉",,"전호장, 이정환, 신준섭",,로맨틱,"정환준섭호장, 키드킬러키드",만화,kitami28,https://dongne.co/event/df2404/circles/372583,제25회 디. 페스타,Day1
d,싸싸,D5,2sp,죠죠,,,,,,,만화,,https://dongne.co/event/df2404/circles/374051,제25회 디. 페스타,Day1
Dear. 공방,나비,G15,2sp,,,,,,,,공예,@Gongbangdear,https://dongne.co/event/df2404/circles/371059,제25회 디. 페스타,Day1
DONUT UNIVERSE,"TN,밀뭇,뾰로",R19,2sp,트라이건,,다정한 독 인간 태풍,,,,,,@TNG2O_,https://dongne.co/event/df2404/circles/367324,제25회 디. 페스타,Day1
everblue,이온,Y3a,1sp,가비지타임,,,"기상호,박병찬",기상호X박병찬,로맨틱,논커플링(ncp),"만화,일러스트,소설",@ionblue,https://dongne.co/event/df2404/circles/362828,제25회 디. 페스타,Day1
go,"고슴, 우희",H17,2sp,,,,,,,,,,https://dongne.co/event/df2404/circles/366807,제25회 디. 페스타,Day1
Habitual Romance on April 31st 주최부스,NSAIDs,X13,2sp,가비지타임,,Habitual romance on April 31st,"전영중, 성준수",,로맨틱,,기타,@Habitromance431,https://dongne.co/event/df2404/circles/373423,제25회 디. 페스타,Day1
Handcuffs,삿갓,S12b,1sp,주술회전,,,나나미 켄토,이노 타쿠마X나나미 켄토,"로맨틱,섹슈얼",,만화,,https://dongne.co/event/df2404/circles/370016,제25회 디. 페스타,Day1
lemon trap,"레몽, 자렌",J14,2sp,내가 키운 s급들,,,한유현 한유진,한유현X한유진,"로맨틱,섹슈얼",,"만화,소설",@s_lemong @JAL_fn,https://dongne.co/event/df2404/circles/360522,제25회 디. 페스타,Day1
LOVE & PEACE !,피리아,S24b,1sp,트라이건 스탬피드,,다정한 독 인간 태풍,밧슈 더 스탬피드,니콜라스 D. 울프우드 X밧슈,,나이브스X밧슈,,filiaulcopt,https://dongne.co/event/df2404/circles/367941,제25회 디. 페스타,Day1
Love Nostalgic,천사,F20,2sp,아이돌리쉬세븐,헌터x헌터,,,,,,일러스트,@Love__ppi,https://dongne.co/event/df2404/circles/366441,제25회 디. 페스타,Day1
Lovely Mix,Lovely Mix,L4a,1sp,화산귀환,"내스급, 전독시, 데못죽",,,,,,,,https://dongne.co/event/df2404/circles/367488,제25회 디. 페스타,Day1
minesweeper,MISA,U20b,4sp,나의 히어로 아카데미아,,,바쿠고 카츠키,미도리야 이즈쿠X바쿠고 카츠키,섹슈얼,엔데버른,만화,,https://dongne.co/event/df2404/circles/368334,제25회 디. 페스타,Day1
Miracle Worker,사피엔스/배지밀,S24a,1sp,트라이건,,다정한 독 인간 태풍,,니콜라스 D. 울프우드X밧슈 더 스탬피드,,,,@SapiMustDie/@baefwood,https://dongne.co/event/df2404/circles/372926,제25회 디. 페스타,Day1
My☆Planet,행성지기,G2,2sp,핸드메이드 봉제인형,솜인형(10cm) 드레스,,,,,,공예,@My_Planet_Doll,https://dongne.co/event/df2404/circles/362993,제25회 디. 페스타,Day1
no power generation,쥐명호,O15b,1sp,슬램덩크,,,"양호열, 강백호 ",,"로맨틱,섹슈얼",,,yy_yy__yyy,https://dongne.co/event/df2404/circles/369439,제25회 디. 페스타,Day1
Pick and Roll!,삼다,W6,2sp,가비지타임,,기상호 오른쪽 쁘띠존,기상호,성준수X기상호,로맨틱,,소설,sjsksh_o,https://dongne.co/event/df2404/circles/364565,제25회 디. 페스타,Day1
POR&BB,BB,I22,2sp,어두운 바다의 등불이 되어/프로젝트 세카이 ,마법사의 약속,,김재희,,,,"일러스트,공예",B4MB0N,https://dongne.co/event/df2404/circles/371244,제25회 디. 페스타,Day1
Raindroppop,Lena,U16,2sp,원신,프로젝트 세카이,,루미네,,해당없음,,일러스트,raindroplena,https://dongne.co/event/df2404/circles/366863,제25회 디. 페스타,Day1
Simply blue,니니,X16b,1sp,가비지타임,,Habitual romance on April 31st,"전영중,성준수",전영중X성준수,,,,,https://dongne.co/event/df2404/circles/365069,제25회 디. 페스타,Day1
SOURPLACE,사워,P13,2sp,슬램덩크,,,서태웅,,"로맨틱,섹슈얼",,,sourcream0314,https://dongne.co/event/df2404/circles/373763,제25회 디. 페스타,Day1
SSS급 매화도사 상시 대기,낮궁,M1b,1sp,화산귀환,,,청명과 아이들,백천X청명,,,,,https://dongne.co/event/df2404/circles/363091,제25회 디. 페스타,Day1
tor,tor,G9,4sp,수공예,,,,X,해당없음,,공예,softyor_tor,https://dongne.co/event/df2404/circles/369296,제25회 디. 페스타,Day1
Two Rabbits & 자몽공방,Rabbits,G6,2sp,데못죽,"가비지타임, 하이큐, 앙스타, 슬램덩크 외",,,,,,"공예,조형,기타",2rabbits ,https://dongne.co/event/df2404/circles/366980,제25회 디. 페스타,Day1
Wuthering Heights,사계,H12,2sp,,,,,,,,"만화,일러스트",mei__sai,https://dongne.co/event/df2404/circles/369406,제25회 디. 페스타,Day1
xx.xx.xx,85,N8,2sp, 슬램덩크,,,"양호열, 강백호",,"로맨틱,섹슈얼",,"만화,소설",@info_xxxxxx,https://dongne.co/event/df2404/circles/367657,제25회 디. 페스타,Day1
yssey,yssey ,H2b,1sp,오리지널 창작 문구 굿즈 / 카리스마 하우스, 카리스마 하우스 (드라마 CD) 장르 굿즈를 함께 판매할 예정입니다. ,,"텐도 아마히코, 테라",,로맨틱,,일러스트,@ysseyssey,https://dongne.co/event/df2404/circles/360666,제25회 디. 페스타,Day1
[4/20 기념] 이곳이 너의 쁘띠 아카데미아다❗ 2주년 굿즈 한정판매,쁘띠아카,V6,2sp,나의 히어로 아카데미아,,,,바쿠고 카츠키X미도리야 이즈쿠,,,,heroaca_petit,https://dongne.co/event/df2404/circles/368393,제25회 디. 페스타,Day1
"[단독] 가히리, 스핀오프라도 내줘라 '제발'",바리아충신모임,R11a,1sp,가정교사 히트맨 리본,,가히리요? 2024년에요?,바리아,잔저스X스쿠알로,,,,@KHR_Varia_plz88,https://dongne.co/event/df2404/circles/365419,제25회 디. 페스타,Day1
[부적절한후견사정]크레갈로TS앤솔로지,카츄,U10b,1sp,프로메어,,,"크레이포사이트, 갈로티모스",크레이X갈로,"로맨틱,섹슈얼",,"만화,일러스트,소설",,https://dongne.co/event/df2404/circles/364916,제25회 디. 페스타,Day1
[최상급]산지직송 구식농장 꿀사과 6kg 21kg ,"구식,사과",Y15,2sp,가비지타임,,,"기상호,박병찬,전영중,성준수",기상호X박병찬,로맨틱,"상뱅, 상호병찬, 빵준, 영중준수","만화,기타","@sickziguuu,@pp10pple",https://dongne.co/event/df2404/circles/371365,제25회 디. 페스타,Day1
"~SASAGElol~ 이거 들으면 바로 ROCK, 해. 사랑하니까. ",MMEE,F5,2sp,"아이돌리쉬세븐, 쇼바이락, 리그오브레전드, 앙상블스타즈",,,,텐쇼인 에이치X하스미 케이토,,,"만화,일러스트",https://twitter.com/SasagelolURMine,https://dongne.co/event/df2404/circles/371905,제25회 디. 페스타,Day1
~비밀번호 431~,샴개,X17,2sp,가비지타임,,Habitual romance on April 31st,"전영중, 성준수",전영중X성준수,로맨틱,,소설,,https://dongne.co/event/df2404/circles/365126,제25회 디. 페스타,Day1
~비밀번호 431~ 분점,샴개,I12,2sp,가비지타임,,,전영중 성준수,,로맨틱,,,,https://dongne.co/event/df2404/circles/365183,제25회 디. 페스타,Day1
~사제가 정체성을 숨김~,달문,T9,2sp,모브사이코 100,,모브레이 쁘띠존 : 모브레이 폭발까지 99%,,카게야마 시게오X레이겐 아라타카,,,,moonmoon318,https://dongne.co/event/df2404/circles/372982,제25회 디. 페스타,Day1
ദ്ദി(⩌ᴗ⩌ ),임금,E14b,1sp,카리스마,,후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?),"이토 후미야, 텐도 아마히코",이토 후미야X텐도 아마히코,"섹슈얼,로맨틱",,일러스트,@imgeum_001,https://dongne.co/event/df2404/circles/365151,제25회 디. 페스타,Day1
「일련탁생(一蓮托生)」,랑,E22,2sp,진혼기,,설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지,"설영, 자하, 그 외",설영X자하,로맨틱,,"만화,일러스트,소설,기타",@SeolzaGuestbook,https://dongne.co/event/df2404/circles/361634,제25회 디. 페스타,Day1
가마쿠라리벤저스,리카/소란,T20,2sp,도쿄리벤저스,슬램덩크,,"하이타니 란, 하이타니 린도, 정대만, 송태섭",,"로맨틱,섹슈얼","대만태섭, 모브","만화,소설",,https://dongne.co/event/df2404/circles/372742,제25회 디. 페스타,Day1
가보자고,하운,P15,4sp,슬램덩크,"도리벤, 가비지타임, 화산귀환, 프세카",,,,,,"일러스트,소설",,https://dongne.co/event/df2404/circles/363537,제25회 디. 페스타,Day1
가보자고,도치,O6b,1sp,슬램덩크,,,"송태섭, 정대만, 이한나",태섭X대만,"로맨틱,섹슈얼",태섭한나,"소설,만화",__stoneheart_,https://dongne.co/event/df2404/circles/373057,제25회 디. 페스타,Day1
가보자고,갸오,V15,2sp,가비지타임,"전지적독자시점, 슬램덩크",,"유중혁, 김독자, 양호열, 강백호, 박병찬, 기상호, 최종수",최종수X기상호,"로맨틱,섹슈얼","중혁독자, 호열백호, 병찬상호, 준수상호","소설,만화,일러스트",@masitda_msor77,https://dongne.co/event/df2404/circles/371659,제25회 디. 페스타,Day1
가비지덩크슛샥샥쇽쇽,2510,R4,2sp,,,,,,,,,,https://dongne.co/event/df2404/circles/370595,제25회 디. 페스타,Day1
가비지슬램덩크타임,카민,V4,2sp,가비지타임,,,기상호 박병찬,현철X명헌,,,"만화,소설,일러스트",@syromire,https://dongne.co/event/df2404/circles/368508,제25회 디. 페스타,Day1
가비지앤드사운드,쵸,V18,2sp,가비지타임,프로젝트세카이,,,,,,"만화,소설",,https://dongne.co/event/df2404/circles/366856,제25회 디. 페스타,Day1
가족연례행사,근주,C7,2sp,원피스,,원피스 쁘띠존 3회,"백수해적단, 우타, 샹크스 ,DQ형제, 로코라",,로맨틱,,만화,z12341231556,https://dongne.co/event/df2404/circles/361182,제25회 디. 페스타,Day1
가지가지하는부스,리미,C11,2sp,원피스,포켓몬,원피스 쁘띠존 3회,상디,,로맨틱,,"만화,일러스트",@mob0322,https://dongne.co/event/df2404/circles/370102,제25회 디. 페스타,Day1
가히리 20주년 큰 거 온다. (간절함),철수,R17,2sp,가정교사 히트맨 리본 ,,가히리요? 2024년에요?,,X,,"야마고쿠,고쿠츠나",만화,@cheolsu_o,https://dongne.co/event/df2404/circles/365264,제25회 디. 페스타,Day1
각자도생,나발,J5a,1sp,,,,,,,,,,https://dongne.co/event/df2404/circles/365157,제25회 디. 페스타,Day1
"간부들, 연회 좀 그만해 주세요.","멐, 토링",C8,2sp,원피스,"화산귀환, 광마회귀",원피스 쁘띠존 3회,"샹크스, 버기, 마르코 외 뱃사람들과 무인들 다수",,,,일러스트,@muk_OP,https://dongne.co/event/df2404/circles/372959,제25회 디. 페스타,Day1
간이공간,역,N18,2sp,슬램덩크,,,"양호열, 강백호",양호열X강백호,,,"소설,만화,일러스트",@rksd1dur,https://dongne.co/event/df2404/circles/369777,제25회 디. 페스타,Day1
간절한 마음이 만두를 부른다,"름, 호시",F12,2sp,"반월당, 진혼기",,,"유단, 백란, 김자하, 김설영 (NCP)",,,,일러스트,"@llIIllIIlIlIo, @hosing_",https://dongne.co/event/df2404/circles/363810,제25회 디. 페스타,Day1
감놔라배놔라숟가락놔라젓가락놔라헌터놔라농놀놔라거인놔라백합놔라,쮸렙,Q1,2sp,"헌터x헌터, 슬램덩크, 진격의 거인",,,,,"로맨틱,섹슈얼","호장정환, 리바한지, 파크마치, 마치파크, 파크마치시즈","만화,일러스트",s2zzulevs2,https://dongne.co/event/df2404/circles/367424,제25회 디. 페스타,Day1
감자밭,감자,A8a,1sp,데못죽,가비지타임 등등,,테스타,,해당없음,,"일러스트,만화",@80o0o0o08,https://dongne.co/event/df2404/circles/370261,제25회 디. 페스타,Day1
강쥐러버부스,드리,U2b,1sp,명탐정코난,버디미션본드,,"아카이 슈이치, 후루야 레이",아카이슈이치X후루야레이,로맨틱,아론루크,,@fu_duri,https://dongne.co/event/df2404/circles/367014,제25회 디. 페스타,Day1
개구리뷔페,뻐터,D24b,1sp,파이널판타지14,오리지널,,"아이메리크, 에스티니앙",아이메리크X에스티니앙,로맨틱,,만화, @bbttup,https://dongne.co/event/df2404/circles/366159,제25회 디. 페스타,Day1
개굴상점,개구리,G23b,1sp,누이소품샵,,,,,,,공예,geguri_store,https://dongne.co/event/df2404/circles/373325,제25회 디. 페스타,Day1
개굴상점,개구리1,G23a,1sp,솜인형 소품샵입니다❣️,모든사이즈 착용가능합니다,,,,,,공예,geguri_store,https://dongne.co/event/df2404/circles/373896,제25회 디. 페스타,Day1
개와 늑대와 시바꺼,매일,W7b,1sp,가비지타임,,기상호 오른쪽 쁘띠존,기상호,성준수X기상호,,,소설,@meilmeil_0,https://dongne.co/event/df2404/circles/373803,제25회 디. 페스타,Day1
거양전 폐관수련중,연납,K24,2sp,천관사복,인사반파,,화성 사련 풍신 모정 빙하 청추 등 ,,,,일러스트,@renconabductor,https://dongne.co/event/df2404/circles/366251,제25회 디. 페스타,Day1
