부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
                                                                                                                                                                                              no friends,안건,S17,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"섹슈얼,로맨틱",,"만화,일러스트",@goodteethguys,https://dongne.co/event/df2404/circles/362258,제25회 디. 페스타,Day1
                      ONLY GOGE,사뿐,S16,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,,https://dongne.co/event/df2404/circles/364669,제25회 디. 페스타,Day1
 귤맛 해파리,young9701,U4b,1sp,도쿄 리벤저스,,,"사노 만지로, 하나가키 타케미치",,,,,@110Mandarin,https://dongne.co/event/df2404/circles/363181,제25회 디. 페스타,Day1
 당보야 그렇게 됐다2,띠띠,L12,4sp,화산귀환,,,당보 청명,당보X청명,"로맨틱,섹슈얼",,"만화,일러스트,기타",@s2ie77,https://dongne.co/event/df2404/circles/363081,제25회 디. 페스타,Day1
 마법소녀변신중,"크런치, 베띠",B3,2sp,캐릭캐릭체인지,"아이카츠, 소울이터",,,,,,일러스트,"@LUN_CH_, @xx_betti",https://dongne.co/event/df2404/circles/367887,제25회 디. 페스타,Day1
'4'sakure.'U'K × Anayama Dai'suke' - A'NU/NGKUL',사유,B1,2sp,프로젝트 세카이,,,"텐마 츠카사, 카미시로 루이, 시노노메 아키토, 아오야기 토우야",텐마 츠카사 중심 (츠카왼 + 츠카른)XCP 다수,"로맨틱,섹슈얼","아키츠카, 토우츠카, 츠카루이, 루이츠카","만화,소설",@i6to3,https://dongne.co/event/df2404/circles/366627,제25회 디. 페스타,Day1
(주) 무림미식회,단팥빵,K6,2sp,월한강천록: 무림제일폐,,,유소월,홍륜X유소월,"로맨틱,섹슈얼","유원소월, 지서소월, 소월른","만화,일러스트",Annbbang,https://dongne.co/event/df2404/circles/370222,제25회 디. 페스타,Day1
.,.,J10,2sp,,,,,,,,,.,https://dongne.co/event/df2404/circles/365672,제25회 디. 페스타,Day1
.,무명,H19b,1sp,,,,,,,,"만화,일러스트",,https://dongne.co/event/df2404/circles/368333,제25회 디. 페스타,Day1
...뭐냐고. 나 전생에 화랑도이기라도 한 거냐고.,"7세기 미소년, 신라국밥",E21,2sp,진혼기,,설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지,,설영X자하,,,,,https://dongne.co/event/df2404/circles/373470,제25회 디. 페스타,Day1
1,머그,T11,2sp,모브사이코100,,모브레이 쁘띠존 : 모브레이 폭발까지 99%,,,"섹슈얼,로맨틱",,"소설,일러스트",mug__1010,https://dongne.co/event/df2404/circles/360349,제25회 디. 페스타,Day1
10100p짜리호백책을내는그날까지,"WANDU, 9륌",O12,2sp,슬램덩크,,,,양호열X강백호,"로맨틱,섹슈얼",,,"wandu_sd, rn_fla_12123",https://dongne.co/event/df2404/circles/370838,제25회 디. 페스타,Day1
