,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
0,(주)무림미식회 중앙본부,중앙본부장,,2sp,월한강천록,무림제일폐,,유소월,문지서X유소월,"로맨틱,섹슈얼","홍륜소월, 유원소월","만화,소설",https://dongne.co/event/df2204/circles/145630,제 18회 디페스타,day1
1,0혼없음,강류흔,,2sp,백작가의 망나니가 되었다.,,,"알베르 크로스만, 케일 헤니투스",알베르 크로스만X케일 헤니투스,로맨틱,,만화,https://dongne.co/event/df2204/circles/147023,제 18회 디페스타,day1
2,2A YORK ROAD,코기앤소랏,,2sp,,,,,,,,"일러스트,만화,기타",https://dongne.co/event/df2204/circles/148505,제 18회 디페스타,day1
3,A,다혼,,1sp,주술회전,,,올캐릭터,,해당없음,,공예,https://dongne.co/event/df2204/circles/146451,제 18회 디페스타,day1
4,Alchemy Lab.,JunE,,2sp,볼트론:전설의 수호자,,,"키스, 시로, 알루라, 랜스, 피지, 헝크",키스X시로,"로맨틱,섹슈얼",알루랜스,소설,https://dongne.co/event/df2204/circles/144605,제 18회 디페스타,day1
5,AZ 3기 희망,다니,,1sp,알드노아 제로,화산귀환,,"이나호, 슬레인",이나호X슬레인,로맨틱,청명청문,소설,https://dongne.co/event/df2204/circles/145695,제 18회 디페스타,day1
6,A런치는 크림소다와 오므라이스입니다,놉,,2sp,히프노시스 마이크,,,"이자나미 히후미, 칸논자카 돗포, 누루데 사사라, 츠츠지모리 로쇼, 부스지마 메이슨 리오",이자나미 히후미X칸논자카 돗포,"로맨틱,섹슈얼","부스지마 메이슨 리오 X 칸논자카 돗포, 누루데 사사라 X 츠츠지모리 로쇼","소설,일러스트",https://dongne.co/event/df2204/circles/146022,제 18회 디페스타,day1
7,BN,BN,,2sp,전독시,,,,,,,,https://dongne.co/event/df2204/circles/146259,제 18회 디페스타,day1
8,Carmine red,Carmine*,,2sp,에스케이 에이트,그랑블루 판타지,,사쿠라야시키 카오루,난죠 코지로X사쿠라야시키 카오루,"로맨틱,섹슈얼","죠체리, 지크퍼시, 란레키","소설,기타",https://dongne.co/event/df2204/circles/147964,제 18회 디페스타,day1
9,cerealBox,신월,,1sp,내가 키운 S급들,,"Home, sweet home",한유현,,"로맨틱,섹슈얼",,만화,https://dongne.co/event/df2204/circles/146561,제 18회 디페스타,day1
10,Cerulean+Blue,Sipir,,2sp,하이큐,쿠키런,,히나타 쇼요,스가와라 코우시X히나타 쇼요,섹슈얼,츠키히나,만화,https://dongne.co/event/df2204/circles/145600,제 18회 디페스타,day1
11,DONNA DONNA ,mito,,2sp,오리지널(창작),"귀멸의칼날, 나츠메우인장",,,,,,"일러스트,공예",https://dongne.co/event/df2204/circles/146774,제 18회 디페스타,day1
12,"Error , not found",날Nal,,2sp,반지의 제왕,트랜스포머,,,,,,"소설,공예",https://dongne.co/event/df2204/circles/148059,제 18회 디페스타,day1
13,Frost Moon,라프엘,,2sp,"영원한 7일의 도시, 죠죠의 기묘한 모험",,,,,,,,https://dongne.co/event/df2204/circles/147452,제 18회 디페스타,day1
14,Fushigurocest,FEYE,,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"후시구로 토우지, 후시구로 메구미",후시구로 토우지X후시구로 메구미,"섹슈얼,로맨틱",,소설,https://dongne.co/event/df2204/circles/145837,제 18회 디페스타,day1
15,GLIMJA,글림자,,1sp,,,,,,,,일러스트,https://dongne.co/event/df2204/circles/145103,제 18회 디페스타,day1
