,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
0, 저쩔앙상블스퀘어,토기,,1sp,앙상블스타즈,,,"텐쇼인 에이치, 후시미 유즈루",텐쇼인 에이치X후시미 유즈루,"로맨틱,섹슈얼",레이카오,소설,https://dongne.co/event/vidol04/circles/143888,제 4회 어나더 스테이지,day2
1,(주) 렬리공사,"렬리,04",,2sp,데못죽(데뷔 못하면 죽는 병 걸림),,실낙원,"청려,문대",청려X문대,"로맨틱,섹슈얼",청려건우,"일러스트,공예,기타,소설",https://dongne.co/event/vidol04/circles/143397,제 4회 어나더 스테이지,day2
2,(주) 아이나나 유성애 위원회,YOU,,2sp,아이돌리쉬 세븐,,,,이즈미 이오리X나나세 리쿠,로맨틱,"야마토x소고, 나기x미츠키, 토라오x미나미",소설,https://dongne.co/event/vidol04/circles/107287,제 4회 어나더 스테이지,day2
3,*Starry Galaxy*,"히재, 쉐릴",,2sp,데못죽,,,"이세진, 박문대, 차유진, 김래빈",이세진X박문대,"로맨틱,섹슈얼","큰세문대, 유진래빈","소설,만화,일러스트",https://dongne.co/event/vidol04/circles/149388,제 4회 어나더 스테이지,day2
4,... 입니다,레크레카,,1sp,show by rock,,,,쿠스카X리카오,"로맨틱,섹슈얼",,"소설,공예",https://dongne.co/event/vidol04/circles/144607,제 4회 어나더 스테이지,day2
5,...의 외거노비,"신, 머트",,2sp,데뷔 못하면 죽는 병 걸림,,,올캐릭터,,해당없음,,"소설,일러스트",https://dongne.co/event/vidol04/circles/105668,제 4회 어나더 스테이지,day2
6,180년 전통 정의와 마법의 빨간맛,릴리아,,1sp,앙상블 스타즈!!,,,"사카사키 나츠메, 안즈,유성대",,로맨틱,,만화,https://dongne.co/event/vidol04/circles/108311,제 4회 어나더 스테이지,day2
7,2022 상반기 공로상,공로,,2sp,데뷔 못 하면 죽는 병,,,박문대,이세진X박문대,로맨틱,,소설,https://dongne.co/event/vidol04/circles/148789,제 4회 어나더 스테이지,day2
8,4825%,Sapphire,,2sp,,,,,,,,,https://dongne.co/event/vidol04/circles/145009,제 4회 어나더 스테이지,day2
9,5111122321,니타,,2sp,아이돌리쉬 세븐,,,"요츠바 타마키, 오오사카 소고",요츠바 타마키X오오사카 소고,섹슈얼,,"만화,소설",https://dongne.co/event/vidol04/circles/107671,제 4회 어나더 스테이지,day2
