,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
0,-,scaro,,1sp,파이널 판타지14,"데스티니 가디언즈, 폴아웃, 와치독스",,,,,,,https://dongne.co/event/game03/circles/145112,제 3회 오락관,day2
1,19살이 너무해!,19살연하공,,1sp,에리오스 라이징 히어로즈,,,,,"로맨틱,섹슈얼","빌리그레, 페이디노, 마리가스",만화,https://dongne.co/event/game03/circles/143540,제 3회 오락관,day2
2,2022년에 페르소나 파기,윳,,1sp,페르소나 시리즈,,,,,,,,https://dongne.co/event/game03/circles/143465,제 3회 오락관,day2
3,2인분 코퀴토스,"자고새, 이비",,2sp,세포신곡,,,"아토 하루키, 우츠기 노리유키, 이소이 사네미츠",,"로맨틱,섹슈얼",,"만화,소설",https://dongne.co/event/game03/circles/141692,제 3회 오락관,day2
4,4근1힐,청류,,2sp,사이퍼즈,,,,바레X데샹,섹슈얼,클리브제이 ,,https://dongne.co/event/game03/circles/104452,제 3회 오락관,day2
5,4컷전선부스,아닌겨,,2sp,소녀전선,,,,,,,만화,https://dongne.co/event/game03/circles/108011,제 3회 오락관,day2
6,9월 30일,9월 30일,,1sp,뉴단간론파V3,,,"오마 코키치, 사이하라 슈이치",오마 코키치X사이하라 슈이치,"로맨틱,섹슈얼",,,https://dongne.co/event/game03/circles/108212,제 3회 오락관,day2
7,ALWAYS BESIDE,빵도리,,2sp,,,,,,,,,https://dongne.co/event/game03/circles/115149,제 3회 오락관,day2
8,AMIX,미르,,1sp,로드 오브 히어로즈,영원한7일의도시,,요한,로드X요한,로맨틱,,만화,https://dongne.co/event/game03/circles/103618,제 3회 오락관,day2
9,Blue monday,크뭉,,1sp,페이트 그랜드오더,,,로마니 아키만,마리스빌리 아니무스피어X로마니 아키만,해당없음,,만화,https://dongne.co/event/game03/circles/149412,제 3회 오락관,day2
10,Cafe Aporia,아오자이조장,,2sp,창작 비주얼 노벨,관련 굿즈,,,X,해당없음,,"소설,게임",https://dongne.co/event/game03/circles/141764,제 3회 오락관,day2
11,COLOR ROTATION,MEEMA,,2sp,라이브러리오브루이나 로보토미코퍼레이션  ,파이널판타지14,,헤세드,헤세드X게부라,"섹슈얼,로맨틱",,만화,https://dongne.co/event/game03/circles/105208,제 3회 오락관,day2
12,COSMOS,VNI,,1sp,마비노기,,,"케흘렌, 마르에드",케흘렌X마르에드,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/144793,제 3회 오락관,day2
13,Couvee,한강물,,1sp,파이어엠블렘 풍화설월,,,마누엘라 카자그란다,페르디난트X마누엘라,"섹슈얼,로맨틱",,소설,https://dongne.co/event/game03/circles/147988,제 3회 오락관,day2
14,dance with devil,김철수,,1sp,진여신전생3 녹턴 매니악스,파이어 엠블렘 풍화설월,,"단테,인수라,픽시,펠릭스,실뱅",단테X인수라,로맨틱,"인수라←픽시,펠릭스X실뱅",만화,https://dongne.co/event/game03/circles/106328,제 3회 오락관,day2
15,Fitting Room,쓩늉,,1sp,베리드 스타즈,,,"한도윤, 이규혁, 플러그홀, 허우석",,해당없음,"플러그홀x한도윤, 허우석x한도윤","일러스트,만화,기타",https://dongne.co/event/game03/circles/110837,제 3회 오락관,day2
16,Go west,돼지불백,,1sp,에리오스 라이징 히어로즈,,,에리오스 캐릭터,,,,만화,https://dongne.co/event/game03/circles/148576,제 3회 오락관,day2
17,halogen,F,,1sp,회색도시2,,,"유상일, 올캐러",,,,"만화,일러스트",https://dongne.co/event/game03/circles/144174,제 3회 오락관,day2
18,Hypoxia,유보라,,1sp,앙상블스타즈,로드오브히어로즈,,"사쿠마레이, 하카제카오루",,섹슈얼,라샤다닐,소설,https://dongne.co/event/game03/circles/117082,제 3회 오락관,day2
19,Jailgrouncer,아리스시리아,,1sp,길티기어,페이트,,,X,,,만화,https://dongne.co/event/game03/circles/143328,제 3회 오락관,day2
20,KUMONE,쿠모,,1sp,버디미션 본드,,버디버디 ~사람과 사람을 잇는 본드~ 2회,,아론X루크,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/144438,제 3회 오락관,day2
21,MasagoTown,라비,,1sp,포켓몬스터,,,,,,,,https://dongne.co/event/game03/circles/106595,제 3회 오락관,day2
22,mero,mero,,1sp,,,,,,,,일러스트,https://dongne.co/event/game03/circles/104514,제 3회 오락관,day2
23,NINE,91,,1sp,로드 오브 히어로즈,,,"요한, 로드",요한X로드,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/106480,제 3회 오락관,day2
24,NO EYE DEER,離脱、Hizurida,,2sp,"제5인격, 파이널판타지 14","하데스, 역전재판, 슈퍼 단간론파2",,,,,,"일러스트,기타,만화,공예",https://dongne.co/event/game03/circles/147777,제 3회 오락관,day2
25,No.1 Party!,벤더,,1sp,뱅드림! 걸즈 밴드 파티!,"엘소드, 마법사의 약속, 쿠키런",,애드,도미네이터X마스터마인드,"로맨틱,해당없음",,일러스트,https://dongne.co/event/game03/circles/107025,제 3회 오락관,day2
26,ONSET,사비크,,2sp,파판14,,,,,,,,https://dongne.co/event/game03/circles/103593,제 3회 오락관,day2
27,orangepeel,라지엘,,1sp,마법사의 약속,,,"카인 나이트레이, 오웬",카인X오웬,로맨틱,,만화,https://dongne.co/event/game03/circles/145720,제 3회 오락관,day2
28,PS Vita 부흥위원회,불역파,,1sp,페르소나3,,,올캐러,아라가키 신지로X햄코,로맨틱,"3주x아이기스, 이오리 준페이x요시노 치도리, 타케바 유카리x키리조 미츠루","일러스트,만화,기타",https://dongne.co/event/game03/circles/142586,제 3회 오락관,day2
29,SAND LAKE,새벽네시,,2sp,록맨,,,,,,,,https://dongne.co/event/game03/circles/112739,제 3회 오락관,day2
30,silverforest,은림,,1sp,,,,,,,,,https://dongne.co/event/game03/circles/145131,제 3회 오락관,day2
31,The whole self ,모록,,1sp,섬의 궤적,,,린 슈바르처,,로맨틱,,소설,https://dongne.co/event/game03/circles/103623,제 3회 오락관,day2
32,to return,미도,,1sp,베리드 스타즈,,,"이규혁, 한도윤",,"로맨틱,섹슈얼",규혁도윤,소설,https://dongne.co/event/game03/circles/110718,제 3회 오락관,day2
33,Under the Sea,레밤,,2sp,로드 오브 히어로즈,,,미하일 블레이크,미하일X크롬,로맨틱,,만화,https://dongne.co/event/game03/circles/148424,제 3회 오락관,day2
34,[상시 무료배포] 품목: 신의 사랑,아단,,2sp,세포신곡(Cell of Empireo),마계전기 디스가이아,,요우니나/호스트조/백장미조,쟈부치 요우X야나기 니나,로맨틱,백장미조,"만화,기타",https://dongne.co/event/game03/circles/141849,제 3회 오락관,day2
35,[의욕:대성공] 나버린 부스,아델킴,,2sp,디스코 엘리시움,,,"해리 드 부아, 킴 키츠라기",해리X킴,로맨틱,,"소설,기타,만화",https://dongne.co/event/game03/circles/141781,제 3회 오락관,day2
36,昆蟲箱子 :: Insect Box,사나이,,2sp,버디미션BOND,영원한7일의도시,버디버디 ~사람과 사람을 잇는 본드~ 2회,,,,,만화,https://dongne.co/event/game03/circles/110206,제 3회 오락관,day2
