,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
37,가르그마크 텃밭,sr,,1sp,파이어엠블렘 풍화설월,,,벨레스 디미트리,,"로맨틱,섹슈얼",디미레스,"만화,일러스트,소설",https://dongne.co/event/game03/circles/109440,제 3회 오락관,day2
38,가보자고,얄루,,1sp,버디미션 BOND,,버디버디 ~사람과 사람을 잇는 본드~ 2회,,,,,,https://dongne.co/event/game03/circles/143937,제 3회 오락관,day2
39,가짜라이벌단속반에서나왔습니다,도현,,2sp,포켓몬스터 소드.실드,,,"단델, 금랑",단델X금랑,로맨틱,,소설,https://dongne.co/event/game03/circles/143581,제 3회 오락관,day2
40,간편하게 호로록 회색도시,김서린,,1sp,회색도시2,,,"정은창, 강재인",정은창X강재인,섹슈얼,,만화,https://dongne.co/event/game03/circles/145442,제 3회 오락관,day2
41,감시기지,ㅇㅅㅇ,,1sp,오버워치,,,,레예스X맥크리,"섹슈얼,로맨틱",올캐러,"소설,일러스트",https://dongne.co/event/game03/circles/109519,제 3회 오락관,day2
42,강쥐테라피,드리,,1sp,버디미션본드,,버디버디 ~사람과 사람을 잇는 본드~ 2회,루크 윌리엄스,아론X루크,,,,https://dongne.co/event/game03/circles/143940,제 3회 오락관,day2
43,거다이족쇄,에탁,,2sp,포켓몬스터 소드 실드,,,"단델, 금랑",단델X금랑,"섹슈얼,로맨틱",,"만화,소설",https://dongne.co/event/game03/circles/107786,제 3회 오락관,day2
44,관상식물,깊고깊은,,2sp,버디미션본드,베리드 스타즈,버디버디 ~사람과 사람을 잇는 본드~ 2회,"아론, 루크, 이규혁, 한도윤",아론X루크,로맨틱,규혁도윤,소설,https://dongne.co/event/game03/circles/143193,제 3회 오락관,day2
45,괴터데메룽 22-1번길 탐정 사무소,개롱이,,1sp,페이트 그랜드 오더,,,,신챠X셜록홈즈,"섹슈얼,로맨틱",,"만화,일러스트",https://dongne.co/event/game03/circles/105248,제 3회 오락관,day2
46,교부님의 그것은 큰가요? 후훗 염주말이에요,망상,,1sp,전국바사라,,,,,,,,https://dongne.co/event/game03/circles/109453,제 3회 오락관,day2
47,궁병극좌,크림빵,,2sp,페이트,,,"5차 아처, 에미야 시로",5차 아처X에미야 시로,"섹슈얼,로맨틱",,"만화,소설",https://dongne.co/event/game03/circles/106262,제 3회 오락관,day2
48,그런 안일한 마음으로 나블하는거니,망고도도,,2sp,엘소드,,,"엘소드, 아인",엘소드X아인,로맨틱,,"만화,기타",https://dongne.co/event/game03/circles/105172,제 3회 오락관,day2
49,까마귀 둥지,오운,,2sp,"로드오브히어로즈, 파이널판타지14",1차,,"에메트셀크, 수정공",,해당없음,,공예,https://dongne.co/event/game03/circles/103614,제 3회 오락관,day2
50,까마귀와 왕님은 사귀고있나요?,HSFS,,1sp,다크소울,다키스트 던전,,"키아란,아르토리우스",,,,"일러스트,만화",https://dongne.co/event/game03/circles/143559,제 3회 오락관,day2
51,날아다니는 미트볼교,01,,2sp,데스티니 가디언즈,"로드 오브 히어로즈, 오버워치",,,,,,"만화,일러스트,소설",https://dongne.co/event/game03/circles/144867,제 3회 오락관,day2
52,네 빵에 독을 탔어,프레첼,,1sp,에리오스,,,,,,,만화,https://dongne.co/event/game03/circles/143161,제 3회 오락관,day2
53,네크로맨틱 티파티,"네크로맨서, 호로롭",,2sp,에리오스,,,,,,,"소설,만화,일러스트",https://dongne.co/event/game03/circles/148231,제 3회 오락관,day2
54,다람쥐 귀여워,도치,,1sp,동물의숲(모동숲),"마비노기, 포켓몬스터",,,,,,"공예,조형,기타",https://dongne.co/event/game03/circles/142190,제 3회 오락관,day2
55,다올,다올,,1sp,파이널판타지14,,,,,,,"게임,공예",https://dongne.co/event/game03/circles/144045,제 3회 오락관,day2
56,단어혼용방지위원회,순자,,2sp,버디미션 BOND,,버디버디 ~사람과 사람을 잇는 본드~ 2회,루크 윌리엄스,,섹슈얼,,소설,https://dongne.co/event/game03/circles/143195,제 3회 오락관,day2
57,대타출동,녹녹,,2sp,"포켓몬스터 소드&실드,  노래하는 왕자님(우타프리), 파이널판타지14",,,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/104609,제 3회 오락관,day2
58,더블E,무라이,,1sp,슈퍼로봇대전OG시리즈,,,쿠스하 제오라 ,브릿트X쿠스하,"로맨틱,섹슈얼",아라드x제오라,만화,https://dongne.co/event/game03/circles/103584,제 3회 오락관,day2
59,도레미루레파시도,"YEM, 전과자",,2sp,마법사의 약속,,,,미스라X루틸,"로맨틱,섹슈얼",레녹스x파우스트,"만화,일러스트,기타",https://dongne.co/event/game03/circles/147414,제 3회 오락관,day2
60,도리도리랜드,도리도리,,2sp,그랜드체이스,리그오브레전드,,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/142578,제 3회 오락관,day2
61,도스임시서클명,준,,1sp,몬스터헌터 xx,,,,,해당없음,,만화,https://dongne.co/event/game03/circles/143927,제 3회 오락관,day2
62,도시에 사람 있어요 [정상영업 중],아브크,,2sp,회색도시 2,,,"정은창, 권현석",권현석X정은창,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/144276,제 3회 오락관,day2
63,동백나무의 가지,"쿠로센, 심해",,2sp,라이브러리 오브 루이나 ,"림버스 컴퍼니, 로드 오브 히어로즈 ",,,,,,"공예,기타,일러스트",https://dongne.co/event/game03/circles/141559,제 3회 오락관,day2
64,뒹굴뒹굴,돕돕돕,,2sp,DC코믹스,"오버워치, 롤",,배트맨,,해당없음,,일러스트,https://dongne.co/event/game03/circles/144502,제 3회 오락관,day2
65,드래곤 길들이기,도마뱀,,2sp,포켓몬스터 소드실드,,,금랑,,로맨틱,호브우리,만화,https://dongne.co/event/game03/circles/104536,제 3회 오락관,day2
66,디스코한무언가,해인,,1sp,디스코엘리시움,젤다의 전설 야생의 숨결,,"해리 드부아, 킴 키츠라기",,"해당없음,로맨틱",,기타,https://dongne.co/event/game03/circles/142006,제 3회 오락관,day2
67,딸기공장,슈님,,1sp,마법사의 약속,파이어엠블렘풍화설월,,루틸,,로맨틱,,만화,https://dongne.co/event/game03/circles/107152,제 3회 오락관,day2
68,랑야각 연합 오세요,청설모로드,,2sp,로드 오브 히어로즈,앙상블 스타즈,,,,,,게임,https://dongne.co/event/game03/circles/144519,제 3회 오락관,day2
69,레몬벨벳,초코호시,,2sp,꽃의 새벽,,,,,,,"음반,일러스트,기타",https://dongne.co/event/game03/circles/147627,제 3회 오락관,day2
70,렛츠 가락,SUMNI,,2sp,길티기어,,,,,해당없음,,만화,https://dongne.co/event/game03/circles/143847,제 3회 오락관,day2
71,로드의전설,얄롤리,,2sp,"젤다의전설, 로드오브히어로즈",,,,,,,,https://dongne.co/event/game03/circles/103984,제 3회 오락관,day2
72,마감도 롹이다,긍,,1sp,아르고나비스,,,,,로맨틱,,소설,https://dongne.co/event/game03/circles/147757,제 3회 오락관,day2
73,마남파격세일,"B, 친정어머님",,2sp,마법사의 약속,,,,카인X오웬,,미스라X루틸,"만화,일러스트",https://dongne.co/event/game03/circles/148797,제 3회 오락관,day2
74,마스크 끼고 푸드덕,훈새,,1sp,베리드 스타즈,,,"이규혁, 한도윤",이규혁X한도윤,"로맨틱,섹슈얼",,"만화,일러스트",https://dongne.co/event/game03/circles/110835,제 3회 오락관,day2
75,마이너의 끝,JOPOK,,1sp,샹치,어쌔신 크리드,,"웬우, 헤이담",레피X웬우,"섹슈얼,로맨틱",웬우른,소설,https://dongne.co/event/game03/circles/107575,제 3회 오락관,day2
76,맛있는 강정,도화,,1sp,회색도시2,테일즈위버,,강재인,강재인X정은창,로맨틱,,만화,https://dongne.co/event/game03/circles/141348,제 3회 오락관,day2
77,먹고구름,R,,2sp,쿠키런 킹덤,"쿠키런 오븐브레이크,마비노기 ,LoL",,,,,,일러스트,https://dongne.co/event/game03/circles/144670,제 3회 오락관,day2
78,메달리는 내내,내내,,2sp,"로드 오브 히어로즈, 파이널 판타지","동물의 숲, 쿠키런",,,,"로맨틱,섹슈얼",,"일러스트,만화,기타",https://dongne.co/event/game03/circles/142480,제 3회 오락관,day2
79,면죄도 동인도 되다 말았습니다.,이데아,,2sp,파이널판타지14,,,에메트셀크,휘틀로다이우스X에메트셀크,"로맨틱,섹슈얼",고대인,"소설,기타,일러스트",https://dongne.co/event/game03/circles/104541,제 3회 오락관,day2
80,명장,권생,,4sp,포켓몬스터,"FGO, 파이어엠블렘풍화설월,단간론파,월드엔드클럽,프로젝트 세카이,로보토미코퍼레이션,라이브러리 오브 루이나,앙스타",,,,,,,https://dongne.co/event/game03/circles/106587,제 3회 오락관,day2
81,모여봐요 장르콩가루의 숲,연수,,2sp,오토메게임,"완드 오브 포춘, 포켓몬스터, 영원한 7일의 도시",,미정,,"로맨틱,해당없음",미정,"일러스트,소설,기타",https://dongne.co/event/game03/circles/107710,제 3회 오락관,day2
82,뭐가 나올지 몰라용,aiueoatm,,2sp,,,,,,,,,https://dongne.co/event/game03/circles/108514,제 3회 오락관,day2
83,뭐든 내보겠습니다,snow_pasta,,1sp,파이널판타지14,길티기어,,"솔, 카이, 빛의전사 ,에메트셀크, 그라하티아",빛의전사X하데스(에메트셀크),"로맨틱,섹슈얼",솔×카이,"소설,일러스트",https://dongne.co/event/game03/circles/144247,제 3회 오락관,day2
84,뮤 로드가 푸딩 사갈게,돌,,2sp,로드 오브 히어로즈,,,올캐러 지향,,,,"만화,일러스트",https://dongne.co/event/game03/circles/143323,제 3회 오락관,day2
85,미슐랭3스타,골든램지,,2sp,"라이브러리 오브 루이나, 베리드 스타즈, 앙상블 스타즈",,,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/149215,제 3회 오락관,day2
86,미정,리리,,1sp,파이널판타지14,,,"에스티니앙,아이메리크",X,"로맨틱,섹슈얼",아이메리크x에스티니앙,"만화,일러스트,소설",https://dongne.co/event/game03/circles/143491,제 3회 오락관,day2
87,미카구라 불륜 산악회,늘보,,1sp,버디미션 본드,,버디버디 ~사람과 사람을 잇는 본드~ 2회,"체슬리, 루크, 팬텀",체슬리X루크,"로맨틱,섹슈얼",팬텀루크,"만화,일러스트,소설",https://dongne.co/event/game03/circles/141560,제 3회 오락관,day2
88,미팅찻집에서 방탈출을,jeno,,1sp,페르소나 Q,회색도시2,,P3주,,,,,https://dongne.co/event/game03/circles/107516,제 3회 오락관,day2
89,민트쵸코믹스,뮈우,,1sp,소녀전선,,,,,,,"만화,일러스트,기타",https://dongne.co/event/game03/circles/103963,제 3회 오락관,day2
90,바빌론 창고 계약한 인최마 군,카노,,1sp,페이트 그랜드 오더,,,"길가메쉬, 후지마루 리츠카",길가메쉬(캐스터)X후지마루 리츠카(구다오),"로맨틱,섹슈얼",,"소설,기타",https://dongne.co/event/game03/circles/147667,제 3회 오락관,day2
91,바웨와친구들,인어맨,,1sp,매스이펙트,,,셰퍼드 개러스 그런트,,해당없음,,만화,https://dongne.co/event/game03/circles/103706,제 3회 오락관,day2
92,바이오웨어 온리전 ~FORNAX : N7 SPECIAL EDITION~,이든&김쌍자,,2sp,매스이펙트,드래곤 에이지,,"셰퍼드, 개러스 외 다수",,"로맨틱,섹슈얼,해당없음","쉬리오스, 제브워든 외 다수","소설,만화,일러스트",https://dongne.co/event/game03/circles/141238,제 3회 오락관,day2
93,반반맥주많이,찐빵,,2sp,에리오스 라이징 히어로즈,,,"디노 알바니, 키스 맥스, 브래드 빔스",키스 맥스X브래드 빔스,"로맨틱,섹슈얼",디노키스,만화,https://dongne.co/event/game03/circles/141446,제 3회 오락관,day2
94,배신자의 뜰,람,,2sp,베리드 스타즈,,,"이규혁, 한도윤",이규혁X한도윤,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/110730,제 3회 오락관,day2
95,베스트라마도공병잡플래닛평점0.3점,무교,,1sp,파이어엠블렘 풍화설월,,,"페르디난트, 휴베르트",페르디난트X휴베르트,로맨틱,,,https://dongne.co/event/game03/circles/142499,제 3회 오락관,day2
96,별다섯개,감은눈,,1sp,페르소나5,ff14,,,모험가X수정공,섹슈얼,"빛전수정, 모험수정",만화,https://dongne.co/event/game03/circles/108763,제 3회 오락관,day2
97,부스명못정한부스,lilita,,2sp,엘소드,"그랜드체이스, 로드 오브 히어로즈",,,,해당없음,,"일러스트,기타",https://dongne.co/event/game03/circles/107780,제 3회 오락관,day2
98,비지찌개,비지,,1sp,페이트 그랜드 오더,,,,,,,,https://dongne.co/event/game03/circles/108482,제 3회 오락관,day2
99,빙글빙글 돌아가는 가라르의 하루,카밀렝,,2sp,포켓몬스터,사이퍼즈,,,,,,,https://dongne.co/event/game03/circles/107850,제 3회 오락관,day2
100,쀼 사기단,민,,1sp,리그오브레전드,"로보토미 코퍼레이션, 라이브러리 오브 루이나, 돈스타브 투게더",,세나,루시안X세나,로맨틱,"자야라칸, 롤랑안젤, 게부헤세, 헤세게부","만화,일러스트,소설",https://dongne.co/event/game03/circles/148767,제 3회 오락관,day2
101,사관학교로얄커플,킴비,,1sp,파이어엠블럼 풍화설월,,,디미트리 클로드,디미트리X클로드,로맨틱,,만화,https://dongne.co/event/game03/circles/108591,제 3회 오락관,day2
102,사랑의 둥지,테이큰,,1sp,슈퍼단간론파2,,,"히나타 하지메, 코마에다 나기토",,섹슈얼,,소설,https://dongne.co/event/game03/circles/142976,제 3회 오락관,day2
103,상자각,상자각(곽민선),,1sp,LOL,아이온,,,,,,일러스트,https://dongne.co/event/game03/circles/147836,제 3회 오락관,day2
104,생생정보통에 소개된 조슈바네 떡집,아이슈,,2sp,로드오브히어로즈,,,조슈아,,"로맨틱,섹슈얼",,"만화,일러스트,소설",https://dongne.co/event/game03/circles/143379,제 3회 오락관,day2
105,서클명 뭐할까?,나시,,1sp,아이돌리쉬세븐,쿠로위즈,,"모모, 유키",,"로맨틱,섹슈얼",아포바카,소설,https://dongne.co/event/game03/circles/142529,제 3회 오락관,day2
106,선생님 부스가 내고싶어요,철가면,,1sp,사이퍼즈,,,,,,,,https://dongne.co/event/game03/circles/110201,제 3회 오락관,day2
107,세계최강 양돌이,Cent,,1sp,마법사의 약속,프로젝트 세카이,,,미스라X루틸,해당없음,,,https://dongne.co/event/game03/circles/148210,제 3회 오락관,day2
108,소꿉친구가 알고보니 레즈?,장어덮밥,,2sp,"러브라이브 스쿨아이돌 페스티벌 올스타, 파이어 엠블렘 풍화설월",도쿄 세븐스 시스터즈,,"우에하라 아유무, 에델가르트 폰 흐레스벨그",우에하라 아유무X아나타쨩,"로맨틱,해당없음",파이어 엠블렘 풍화설월 흑수리 여캐 위주 논컾,만화,https://dongne.co/event/game03/circles/107999,제 3회 오락관,day2
109,소프트아이스크림부,도담,,1sp,테일즈 오브 제스티리아,,,"스레이, 미쿠리오",미쿠리오X스레이,로맨틱,,만화,https://dongne.co/event/game03/circles/142050,제 3회 오락관,day2
110,손도치,sondochi,,1sp,오리지널,모동숲,,,,,,공예,https://dongne.co/event/game03/circles/142809,제 3회 오락관,day2
111,순愛(아이)보,임무 ,,1sp,,,버디버디 ~사람과 사람을 잇는 본드~ 2회,"아론,루크, 올캐릭터",아론X루크,"로맨틱,섹슈얼,해당없음",,"만화,일러스트,기타",https://dongne.co/event/game03/circles/145470,제 3회 오락관,day2
112,신도 덕질하나요?,비야,,2sp,신도 야근을 하나요?,,,,,,,일러스트,https://dongne.co/event/game03/circles/144089,제 3회 오락관,day2
113,신아이메리크 꼬친 주세요,로유,,2sp,파이널 판타지 14,,,,아이메리크X에스티니앙,로맨틱,,"만화,소설",https://dongne.co/event/game03/circles/143729,제 3회 오락관,day2
114,신청하고본다,연비,,1sp,프린세스 커넥트 리다이브,,,무이미,오쿠토X무이미,해당없음,,만화,https://dongne.co/event/game03/circles/143410,제 3회 오락관,day2
115,신청해두면 뭐라도 나오겠지,z,,1sp,FF14,사이퍼즈,,,,,,,https://dongne.co/event/game03/circles/144764,제 3회 오락관,day2
116,아 언제열었데!!,알파깡,,1sp,데빌 메이 크라이,디 이블 위딘,,"단테,버질",버질X단테,로맨틱,,만화,https://dongne.co/event/game03/circles/109910,제 3회 오락관,day2
117,아동문학 읽는 어른,레아시스,,1sp,Fate/Grand Order,,,,안데르센X셰익스피어,"로맨틱,섹슈얼",신주쿠의 아처x셜록 홈즈,소설,https://dongne.co/event/game03/circles/104683,제 3회 오락관,day2
118,아르케늄 100% 화이트와인,레비,,2sp,세포신곡 시리즈,,,,우츠기 란기리X하라다 무테이,"로맨틱,섹슈얼",루츠세오(막간컾),소설,https://dongne.co/event/game03/circles/140708,제 3회 오락관,day2
119,아마라 네트워크,ㄴㅁㅋ,,1sp,진 여신전생 3,,,인수라,,해당없음,,"만화,공예,기타",https://dongne.co/event/game03/circles/106689,제 3회 오락관,day2
120,아마라별관,무이킹,,1sp,진여신전생3,,,"인수라, 단테",단테X인수라,"로맨틱,섹슈얼",,만화,https://dongne.co/event/game03/circles/141422,제 3회 오락관,day2
121,아무튼나갑니다오락관,힉쿠,,1sp,버디미션본드,ff14,버디버디 ~사람과 사람을 잇는 본드~ 2회,아론 체슬리 모쿠마 루크,,,,"만화,일러스트",https://dongne.co/event/game03/circles/142645,제 3회 오락관,day2
122,아발론과 티바트를 오고가는 겁나푸른 판타지한 기공사 ,루시오,,1sp,로드오브히어로즈,"원신,그랑블루판타지",,,,,,일러스트,https://dongne.co/event/game03/circles/143142,제 3회 오락관,day2
123,아발론에서 346 프로덕션과 베리드 스타즈를 추구하면 안되는걸까?,연웨리,,1sp,"로드오브히어로즈, 베리드 스타즈",아이돌 마스터 신데렐라 걸즈,,"자이라 , 엔진 , 타쿠미 , 나츠키 , 한도윤 , 이규혁 , 허우석",,,,"만화,공예,일러스트",https://dongne.co/event/game03/circles/144212,제 3회 오락관,day2
124,아발론왕립대학 문화예술학부,카루시안,,2sp,로드 오브 히어로즈 (로오히),,,,,,,"만화,일러스트,소설,공예",https://dongne.co/event/game03/circles/144076,제 3회 오락관,day2
125,아저씨는 이제 젊은이들의 혈기를 받아주기가 힘들어,"푸구, 라떼, 이기기",,2sp,버디미션 본드,,버디버디 ~사람과 사람을 잇는 본드~ 2회,"체슬리, 모쿠마, 에드워드, 아론, 루크",체슬리X모쿠마,로맨틱,"루크른, 에드루크","일러스트,만화",https://dongne.co/event/game03/circles/140869,제 3회 오락관,day2
126,알아 난 너 뿐인걸,제제,,1sp,프로젝트 세카이,마법사의 약속,,,시노노메 아키토X시노노메 에나,"로맨틱,섹슈얼",,소설,https://dongne.co/event/game03/circles/107174,제 3회 오락관,day2
127,암것도 안나오면 겜하느라 펑된겁니다,Lunch,,1sp,오버워치,"레드 데드 리뎀션2, 폴아웃, GTA5",,,,,,"만화,일러스트",https://dongne.co/event/game03/circles/108685,제 3회 오락관,day2
128,암어 C비지 네 지갑 C벼줄게,NAJJO,,1sp,사이퍼즈,,,샬럿/멜빈/티모시/클리브/티샤엘프/안타리우스,티샤X엘프리데,로맨틱,,일러스트,https://dongne.co/event/game03/circles/142504,제 3회 오락관,day2
129,앙소드,"494,헤일리",,1sp,"앙상블스타즈!!, 엘소드",,,엘소드노아,HiMERUX카제하야 타츠미,로맨틱,리버닉스,"만화,일러스트,기타",https://dongne.co/event/game03/circles/143454,제 3회 오락관,day2
130,앤젤라커튼열어,세라,,2sp,라이브러리오브루이나,로보토미 원더랩 뒤틀림 탐정 ,,,,,,"기타,일러스트",https://dongne.co/event/game03/circles/142737,제 3회 오락관,day2
131,"야가미, 너 친구 없지? ~ 그래서 남친이 되기로 했습니다 ~",밍,,1sp,더 킹오브 파이터즈 (KOF),,,"쿠사나기 쿄, 야가미 이오리",쿄X이오리,,,"소설,일러스트",https://dongne.co/event/game03/circles/142740,제 3회 오락관,day2
132,엉망진창 마구니네,욕망의 마구니's,,2sp,로보토미,라오루 세포신곡 롤 페그오 로오히 할나,,,,,,,https://dongne.co/event/game03/circles/143961,제 3회 오락관,day2
133,에테라이트,돠돠,,2sp,파이널판타지14,,,그라하티아,,,,"일러스트,공예",https://dongne.co/event/game03/circles/105411,제 3회 오락관,day2
134,여궁언니가 너무 좋아요,비월군,,1sp,페이트,,,TS아처,,"섹슈얼,로맨틱",창사,소설,https://dongne.co/event/game03/circles/106209,제 3회 오락관,day2
135,여기서부터 라쿤시티입니다,SARDINE,,1sp,바이오하자드 RE:2,,,"레온 케네디, 에이다 웡",,,,만화,https://dongne.co/event/game03/circles/142680,제 3회 오락관,day2
