,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
0,'그거' 있어요?,심연,,2sp,CoC 7th,"언성듀엣, inSANe",,,,,,"기타,소설",https://dongne.co/event/dice01/circles/106096,다이스 페스타,day1
1,2년 전에 신청하고 까먹고 있었는데 갑자기 행사가 한 달 뒤라고요?,9999,,2sp,COC,지금보니까 여기만 신간이 없잖아요 뭐라도 할수있게 힘내보겠습니다 안되면 재고만 들고가요....,,,,,,기타,https://dongne.co/event/dice01/circles/105096,다이스 페스타,day1
2,Bury Me,베리미,,2sp,수제 레진 주사위 ,,,,,,,공예,https://dongne.co/event/dice01/circles/105970,다이스 페스타,day1
3,CHERRY-PICKING-PARTY,최리,,2sp,크툴루의 부름 7판,,,,,,,,https://dongne.co/event/dice01/circles/106085,다이스 페스타,day1
4,Hidden Sweet,플,,1sp,더블크로스3rd,언성 듀엣,,,,,,공예,https://dongne.co/event/dice01/circles/169561,다이스 페스타,day1
5,J룰 하기 좋은 날,메로닝,,1sp,마기카로기아,블랙재킷 RPG,,,,,,소설,https://dongne.co/event/dice01/circles/143056,다이스 페스타,day1
6,Kil the Silver,그은,,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/169230,다이스 페스타,day1
7,Last Nighty,147,,1sp,CoC 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/140595,다이스 페스타,day1
8,LIMIT,SIHA,,1sp,"마기카로기아, 크툴루의 부름(CoC) 7판",,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/143190,다이스 페스타,day1
9,LOOK,look,,2sp,DX 3rd,,,,,,,게임,https://dongne.co/event/dice01/circles/105610,다이스 페스타,day1
10,Minari Handmade,끼랴,,1sp,Call of Cthulhu,피아스코,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/105898,다이스 페스타,day1
11,MY FIRST TABLETOP,우롱,,2sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142773,다이스 페스타,day1
12,n선상의 다이스,Team.cosmos,,2sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/144783,다이스 페스타,day1
13,Project KUKI 프로젝트 쿠키,프로젝트 쿠키,,2sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/169545,다이스 페스타,day1
14,RGBK,날치,,2sp,"마기카로기아, 더블크로스","인세인, 스트라토샤우트",문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/106235,다이스 페스타,day1
15,San체크 /r 1D100,해산물,,1sp,Coc,없음,,,,,,,https://dongne.co/event/dice01/circles/148055,다이스 페스타,day1
16,SAN치 핀치 오버드!,Team SHiKL,,1sp,더블크로스 3rd,크툴루의 부름,제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,소설",https://dongne.co/event/dice01/circles/104139,다이스 페스타,day1
17,Sarvant on the Ground,사라반트,,4sp,마도서대전 TRPG 마기카로기아,inSANe,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104981,다이스 페스타,day1
18,silverforest,은림,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/145123,다이스 페스타,day1
19,slice and dice,데지,,1sp,CoC 7th,,,,,,,기타,https://dongne.co/event/dice01/circles/167886,다이스 페스타,day1
20,Team HATS,"H_M, 파란모자",,1sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/106615,다이스 페스타,day1
21,TEAM HOGIZ,수석,,2sp,인세인,,,,,,,"일러스트,소설,기타",https://dongne.co/event/dice01/circles/104996,다이스 페스타,day1
22,TEAM MATIZ,B,,1sp,둘이서 수사,"CoC, 인세인",,,,,,"소설,기타",https://dongne.co/event/dice01/circles/142848,다이스 페스타,day1
23,TEAM SF,먼지,,2sp,둘이서 수사,inSANe,,,,,,게임,https://dongne.co/event/dice01/circles/142827,다이스 페스타,day1
24,Team. BeanDust,번,,1sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105795,다이스 페스타,day1
25,Team. MiLet,콜렛,,2sp,마도서대전 RPG마기카로기아,"로그 호라이즌 TRPG, 울타리 너머, 은검의 스텔라나이츠",,,,,,,https://dongne.co/event/dice01/circles/106304,다이스 페스타,day1
26,Team. Zodiac,태양,,2sp,"COC, 인세인",,,,,,,게임,https://dongne.co/event/dice01/circles/104518,다이스 페스타,day1
27,Team. 라퓨타,수연,,4sp,Call of Cthulhu 7th,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105293,다이스 페스타,day1
28,Team. 오아시스,팀 오아시스,,4sp,COC,,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/103657,다이스 페스타,day1
29,Team.LUNACY,MILK,,1sp,인세인,마기카로기아,,,,,,기타,https://dongne.co/event/dice01/circles/105711,다이스 페스타,day1
30,WE MAKE CODEX BETTER,세롬,,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/144859,다이스 페스타,day1
31,Xero Crescent,휴엔,,1sp,크툴루의 부름,,,,,,,,https://dongne.co/event/dice01/circles/109319,다이스 페스타,day1
32,You Are F,교수,,2sp,TRPG,COC 7th 팬메이드 시나리오,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/141940,다이스 페스타,day1
33,ZB,BLEN,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143079,다이스 페스타,day1
34,《마감》으로 공포판정,로맨틱쿼카,,2sp,inSANe,,,,,,,기타,https://dongne.co/event/dice01/circles/104988,다이스 페스타,day1
35,겁스민,스민,,1sp,"겁스, GURPS",,,,,,,기타,https://dongne.co/event/dice01/circles/143120,다이스 페스타,day1
36,공중화장실,선녀,,1sp,COC,,,X,,해당없음,,게임,https://dongne.co/event/dice01/circles/106410,다이스 페스타,day1
37,공포심 10개 모으면 괴이로 교환해드려요,사부,,2sp,마기카로기아,인세인,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105548,다이스 페스타,day1
38,그레이 스칼렛,스칼,,1sp,더블크로스3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/144731,다이스 페스타,day1
39,까까인,고슴도치,,1sp,인세인,,,,,,,게임,https://dongne.co/event/dice01/circles/105331,다이스 페스타,day1
40,꽁치수산,"제림, 엔난",,2sp,인세인,COC,,,,,,기타,https://dongne.co/event/dice01/circles/103733,다이스 페스타,day1
41,나라 얻은 아나키스트처럼 울었다,뽀,,1sp,인세인,크툴루의 부름,,,,,,기타,https://dongne.co/event/dice01/circles/106280,다이스 페스타,day1
42,날팔이,포리,,1sp,coc,,,,,,,,https://dongne.co/event/dice01/circles/143265,다이스 페스타,day1
43,남시우 디자인계,,,2sp,COC,ALL,,X,,해당없음,X,"공예,기타",https://dongne.co/event/dice01/circles/104439,다이스 페스타,day1
44,내멋대로 TRPG,연어,,1sp,미정,시티 오브 미스트,,,,,,"게임,공예",https://dongne.co/event/dice01/circles/105686,다이스 페스타,day1
45,노는 여자들,서한아,,2sp,마우스가드,언라이트(단순 홍보),,,,,,기타,https://dongne.co/event/dice01/circles/105905,다이스 페스타,day1
46,뇌크로노미콘 상회 UGN 지점,언데드,,1sp,"더블크로스 3rd, 크툴루의 부름",,제1회 UGN 한국지부 비공식 워크숍,,,,,"소설,기타",https://dongne.co/event/dice01/circles/104887,다이스 페스타,day1
47,느짓살이,단삭,,1sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,소설,https://dongne.co/event/dice01/circles/142867,다이스 페스타,day1
48,다시 태어나면 쨍(WoD)은 하지 않겠습니다.,팀더스테인 ,,2sp,World of Darkness,"Mage : the Ascension, Wraith : the Oblivion, Changeling : the dreaming, Demon : the Fallen",,,,,,게임,https://dongne.co/event/dice01/circles/169440,다이스 페스타,day1
49,다이스 파스타?,밤,,1sp,,,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/149752,다이스 페스타,day1
50,단칸방,호재,,1sp,coc,언성듀엣,,,,,,,https://dongne.co/event/dice01/circles/169279,다이스 페스타,day1
51,달 뒷면 토끼파,녹차하임,,1sp,마기카로기아,시노비가미,,,,,,,https://dongne.co/event/dice01/circles/105678,다이스 페스타,day1
52,달빛 다과회,유페,,2sp,크툴루의 부름,시노비가미,,,,,,"공예,게임,기타",https://dongne.co/event/dice01/circles/105937,다이스 페스타,day1
53,덥크시날집나옵니다아마도,김치트,,2sp,더블크로스,C.O.C,,,,,,기타,https://dongne.co/event/dice01/circles/105590,다이스 페스타,day1
54,도깨비상점,도깨비상점,,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/169643,다이스 페스타,day1
