,부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크,행사명,개최일
55,도토리 식냥,"Chito, 구남친, 먼지 ",,2sp,COC,X,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/141364,다이스 페스타,day1
56,두부만두,치쯔,,2sp,2차창작룰,"coc, 인세인",,,,,,기타,https://dongne.co/event/dice01/circles/104243,다이스 페스타,day1
57,둘이서 듀엣,유감,,1sp,둘이서 수사,언성 듀엣,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/167409,다이스 페스타,day1
58,둘이서 크툴루~당신과 친해지는.... 친해지나요? 하여튼 그겁니다~,용봉,,2sp,크툴루의 부름,둘이서 수사,,,,,,,https://dongne.co/event/dice01/circles/120857,다이스 페스타,day1
59,둘이서 하나,동전,,1sp,크툴루의 부름 7판,,,,,,,,https://dongne.co/event/dice01/circles/111433,다이스 페스타,day1
60,드림랜드,Zzz,,1sp,CoC,Insane,,신화생물,,해당없음,,"기타,게임",https://dongne.co/event/dice01/circles/105820,다이스 페스타,day1
61,라즈베리베리베리,서라,,2sp,크툴루의 부름 7th ,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/157790,다이스 페스타,day1
62,마롱이네 다이스가게,ohmarron,,1sp,TRPG/크툴루의 부름,,,,,,,"일러스트,공예,조형,기타",https://dongne.co/event/dice01/circles/108751,다이스 페스타,day1
63,마션,LD,,1sp,CoC,,,,,,,,https://dongne.co/event/dice01/circles/142826,다이스 페스타,day1
64,망치&아오빡쳐,AozukiRen,,1sp,더블 크로스 3rd,,,,,,,기타,https://dongne.co/event/dice01/circles/106105,다이스 페스타,day1
65,머리 넷 달린 생선,플랫피쉬,,1sp,더블크로스,마기카로기아...?,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142879,다이스 페스타,day1
66,멸망한 세계로도 김치를 담글 수 있나요,해진,,2sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/148217,다이스 페스타,day1
67,미정,"냠맹, 김익",,1sp,Call of Cthulhu 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/105013,다이스 페스타,day1
68,미정,ㄹㅇ,,1sp,CoC,,,,,,,,https://dongne.co/event/dice01/circles/166619,다이스 페스타,day1
69,미증유의 사태,미증유,,1sp,CoC 7th,,,,,,,소설,https://dongne.co/event/dice01/circles/169253,다이스 페스타,day1
70,밀가루로만든롱스틱,롱스틱,,1sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105965,다이스 페스타,day1
71,배쓰밤 진열대,팀 배쓰밤,,2sp,inSANe,CoC,,,,,,기타,https://dongne.co/event/dice01/circles/103639,다이스 페스타,day1
72,부스명뭐로해,팀 33,,1sp,COC 7,,,,,,,,https://dongne.co/event/dice01/circles/117242,다이스 페스타,day1
73,북극곰 이웃집,NAKA,,2sp,DX3(더블크로스),,,,,,,기타,https://dongne.co/event/dice01/circles/105586,다이스 페스타,day1
74,브루클린 육아일기,김수영,,1sp,COC,,,,,,,소설,https://dongne.co/event/dice01/circles/103708,다이스 페스타,day1
75,블루밍하우스,에피,,2sp,크툴루의 부름,,,,,,,"만화,기타,영상",https://dongne.co/event/dice01/circles/104442,다이스 페스타,day1
76,빵 굽는 공장,치즈빵,,2sp,인세인,마기카로기아,,,,,,게임,https://dongne.co/event/dice01/circles/104348,다이스 페스타,day1
77,사교도를 뛰어넘어 신화생물이 된다,김대리,,2sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/103900,다이스 페스타,day1
78,상앚동 여우집,앚,,2sp,더블크로스 3rd,크툴루의 부름,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/104549,다이스 페스타,day1
79,새 책을 내고 싶었습니다만 어느 틈에 벌써,기린,,1sp,은검의 스텔라나이츠,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105418,다이스 페스타,day1
80,색다르고 상상이상의 환장,Pluto,,2sp,더블크로스 3RD,"마도서대전 RPG 마기카로기아, 신화창세 RPG 아마데우스, 던전 앤 드래곤 5e",,,,,,소설,https://dongne.co/event/dice01/circles/105430,다이스 페스타,day1
81,생의찬가,플리,,1sp,COC,언성듀엣,,,,,,,https://dongne.co/event/dice01/circles/112527,다이스 페스타,day1
82,샤님네 둘수사 부스,샤님,,1sp,둘이서 수사,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/143009,다이스 페스타,day1
83,샤방샤방 샤그나판,비지,,2sp,크툴루의 부름,확실하지 않으나 퀼 예정,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/103700,다이스 페스타,day1
84,수달의 작업실,김수달,,1sp,TRPG용 주사위 외,,,,,,,공예,https://dongne.co/event/dice01/circles/104445,다이스 페스타,day1
85,쉿♥ 장어낚시 중 (키리타니 출입금지),쏘빙,,1sp,더블크로스 3rd Edition,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142636,다이스 페스타,day1
86,쉿♥︎ 장어손질중 (후지사키도 출입금지),DD,,1sp,더블크로스 3rd Edition,,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"소설,기타",https://dongne.co/event/dice01/circles/152836,다이스 페스타,day1
87,슈툴루공방,슈림,,2sp,CoC,,,,,,,소설,https://dongne.co/event/dice01/circles/105893,다이스 페스타,day1
88,스페셜 띄우세요,도고,,1sp,인세인,"언성 듀엣, CoC",,,,,,기타,https://dongne.co/event/dice01/circles/144196,다이스 페스타,day1
89,시나1,시나,,2sp,CoC,,,,,,,기타,https://dongne.co/event/dice01/circles/105391,다이스 페스타,day1
90,시나리오는 내가 쓸게 플레이는 누가 할래,퐁듀,,1sp,마기카로기아,둘이서 수사,,,,,,소설,https://dongne.co/event/dice01/circles/150231,다이스 페스타,day1
91,시미네,nilsoul.blog.me,,1sp,귀염뽀짝모음,동물초상화,,홍시,,,,,https://dongne.co/event/dice01/circles/111313,다이스 페스타,day1
92,신님은 주사위 게임 당근빳따죠,요븐,,1sp,CoC,"은검의 스텔라나이츠, 도쿄 고스트 리서치, 인세인",,,,,,"소설,공예,기타",https://dongne.co/event/dice01/circles/104565,다이스 페스타,day1
93,신조차모독하는사상최대의천재,호제,,2sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/109456,다이스 페스타,day1
94,아론의 사제,소율,,1sp,아론의 사제 (창작룰),,,,,,,게임,https://dongne.co/event/dice01/circles/105774,다이스 페스타,day1
95,아마도 해피엔딩,ADN,,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/108740,다이스 페스타,day1
96,아말감,해광,,1sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,공예,https://dongne.co/event/dice01/circles/169392,다이스 페스타,day1
97,아자 아자 아자토스!!,상자,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/105088,다이스 페스타,day1
98,아컴가 32번지,유칼리,,1sp,둘이서수사,13시대,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/142955,다이스 페스타,day1
99,에트랑제 앨리스,시나,,2sp,CoC,마기로기,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/147995,다이스 페스타,day1
100,여타 다를 것 없는 TRPG 부스,여타,,2sp,꽃의 언어,CoC,,,,,,게임,https://dongne.co/event/dice01/circles/167598,다이스 페스타,day1
101,왕의 죽음 그리고 삶 그리고 남겨진 사람들,얼음님,,1sp,국내 창작룰,국내 창작룰,,,,,,,https://dongne.co/event/dice01/circles/106441,다이스 페스타,day1
102,우리집 정수기는 압호스의 자식 나온다,덕금,,2sp,크툴루의 부름,인세인,,,,,,게임,https://dongne.co/event/dice01/circles/108469,다이스 페스타,day1
103,월요일은 아니지만 뭐든지 해봅니다: 더블크로스!,해바라이온,,2sp,더블크로스 3rd,,제1회 UGN 한국지부 비공식 워크숍,,,,,게임,https://dongne.co/event/dice01/circles/141120,다이스 페스타,day1
104,유 어 에프 You are F,교수,,1sp,coc7판,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105857,다이스 페스타,day1
105,이거 변경이 되나요?,치즈,,1sp,인세인,"크툴루, 드라크루쥬",,,,,,"기타,소설",https://dongne.co/event/dice01/circles/109672,다이스 페스타,day1
106,이경원양어선,율리피쉬,,2sp,마기카로기아,뭔가 나올지도..,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105626,다이스 페스타,day1
107,이름뭐하지,소낙,,2sp,"이야기꾼의 세계(WoS), 인세인",,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105619,다이스 페스타,day1
108,인세인은 거꾸로 말해도 인세인,연호,,2sp,멀티장르호러TRPG inSANe,,,,,,,기타,https://dongne.co/event/dice01/circles/105539,다이스 페스타,day1
109,일단 마법사를 우주로 던지고 시작한다,김예섭,,2sp,마기카로기아,Dx3rd,문호특설우정국 「낭만사서함」,,,,,"게임,일러스트",https://dongne.co/event/dice01/circles/144193,다이스 페스타,day1
110,일정은펌블나도마감은크리티컬,백쏘,,1sp,더블크로스 3rd,청춘밴드TRPG 스트라토샤우트,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/105381,다이스 페스타,day1
111,읽던 다중단편세계록을 덮는다. 과연 그렇게 된 것인가.,니에즈피,,2sp,마도서대전RPG마기카로기아,,,,,,,소설,https://dongne.co/event/dice01/circles/105659,다이스 페스타,day1
112,잉큼공방,호마마,,2sp,레진 주사위,,,,,,,공예,https://dongne.co/event/dice01/circles/141378,다이스 페스타,day1
113,자급자족,aken,,1sp,더블크로스,"인세인, CoC ",제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,공예",https://dongne.co/event/dice01/circles/120715,다이스 페스타,day1
114,"장면 개시, 신화생물의 기벽이 발동합니다. 1D6",슭곰,,2sp,"CoC, 둘이서수사",DX 3rd,,,,,,소설,https://dongne.co/event/dice01/circles/145634,다이스 페스타,day1
115,저랑 티알하실 분,도먀,,1sp,coc / 인세인,기타,,,,,,기타,https://dongne.co/event/dice01/circles/150368,다이스 페스타,day1
116,적장의 마감을 따왔습니다,"곽두칠, 밤나비",,2sp,크툴루의 부름,"DX3, 인세인",,,,,,기타,https://dongne.co/event/dice01/circles/106018,다이스 페스타,day1
117,전염병이 몰려와도 TRPG는 멈출 수 없어!,새미,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/169238,다이스 페스타,day1
118,제정신아닌부스,명몽,,1sp,크툴루의 부름,,,,,,,소설,https://dongne.co/event/dice01/circles/155524,다이스 페스타,day1
119,종말에 시간 되세요? 세션 하나 하실 수 있으세요?,아프로,,1sp,크툴루의 부름,스타트렉 어드벤처,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/105472,다이스 페스타,day1
120,주사위 아홉 번 굴리기,나인독,,1sp,TRPG,크툴루의 부름,,,,,,소설,https://dongne.co/event/dice01/circles/105529,다이스 페스타,day1
121,주사위 아홉 번 굴리기Ⅱ,나인독,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/169495,다이스 페스타,day1
122,주사위맹목회,이사부,,1sp,CoC(크툴루의 부름),퀼,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/103862,다이스 페스타,day1
123,최후의 직장인과 이성의 부름,사사,,1sp,크툴루의 부름,더블크로스 3rd,,,,,,기타,https://dongne.co/event/dice01/circles/142129,다이스 페스타,day1
124,카페인페인,루와즈,,2sp,"인세인, 시노비가미",,,,,,,기타,https://dongne.co/event/dice01/circles/142995,다이스 페스타,day1
125,코인세탁,하인,,1sp,시노비가미,,,,,,,"만화,게임",https://dongne.co/event/dice01/circles/104076,다이스 페스타,day1
126,큐리하게,큐리,,1sp,CoC,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/117986,다이스 페스타,day1
127,크리뜨면시날주는부스,"강하유, 마일",,1sp,"D20, CoC","마기카로기아, 아곤, 너냐?!V, 언성 듀엣 外",,,,,,"소설,게임",https://dongne.co/event/dice01/circles/150441,다이스 페스타,day1
128,크툴루의 부업,얀별,,1sp,크툴루의 부름,,,,,,,기타,https://dongne.co/event/dice01/circles/105203,다이스 페스타,day1
129,탁상예능,최믹하,,4sp,COC,오메가버스,,,,,,,https://dongne.co/event/dice01/circles/103537,다이스 페스타,day1
130,탐사자보호협회,집사,,1sp,COC,,,,,,,,https://dongne.co/event/dice01/circles/143008,다이스 페스타,day1
131,토깽이 TRPG 분점,K,,2sp,마기카로기아,인세인,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104769,다이스 페스타,day1
132,트리플 호구즈,한연서,,2sp,마기카로기아,,,,,,,기타,https://dongne.co/event/dice01/circles/104096,다이스 페스타,day1
133,팀 낙원,낙원,,2sp,coc,insane,,,,,,,https://dongne.co/event/dice01/circles/105562,다이스 페스타,day1
134,팀 푸른꽃,청염,,4sp,"사이버 퍼밀리어, 취록의 플로리아",동인룰 다수,,,,,,게임,https://dongne.co/event/dice01/circles/109470,다이스 페스타,day1
135,플라톤은 반드시 부흥한다,소쿠리단지,,2sp,마기카로기아,블러드패스,문호특설우정국 「낭만사서함」,,,,,"소설,게임",https://dongne.co/event/dice01/circles/142337,다이스 페스타,day1
136,피플여객 디페스타지점,펠타누,,2sp,"더블크로스3rd, 크툴루의 부름","인세인, 후타리 소우사",,,,,,소설,https://dongne.co/event/dice01/circles/104731,다이스 페스타,day1
137,핫스파이시크툴루버거세트,피바다,,2sp,CoC,,,-,,해당없음,-,기타,https://dongne.co/event/dice01/circles/105924,다이스 페스타,day1
138,해외 원양어선,상실 ,,1sp,마기카로기아,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/144079,다이스 페스타,day1
139,환상부엉공방,지현,,1sp,마도서대전 RPG 마기카로기아,,문호특설우정국 「낭만사서함」,,,,,"소설,공예",https://dongne.co/event/dice01/circles/142695,다이스 페스타,day1
140,휴식처,prekim02,,1sp,Coc,,,,,,,,https://dongne.co/event/dice01/circles/106282,다이스 페스타,day1
