부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
~창고~,,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2501/circles/135748,제28회 디. 페스타,Day1
~친구는 못 되는 사이~ 무현재희 앤솔로지,"한이, 아마",,,,,2sp,어두운 바다의 등불이 되어,,,"박무현,김재희",박무현X김재희,"로맨틱,섹슈얼",,"만화,소설,일러스트",@NOTFRIEND_MH,https://dongne.co/events/df2501/circles/136229,제28회 디. 페스타,Day1
<라이엇 쁘띠존> 주최부스,라이엇 쁘띠존,,,,,2sp,,,라이엇 쁘띠존,,,,,,,https://dongne.co/events/df2501/circles/136157,제28회 디. 페스타,Day1
<고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기> 주최부스,고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기,,,,,2sp,,,고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기,,,,,,,https://dongne.co/events/df2501/circles/137703,제28회 디. 페스타,Day1
<토우아키 쁘띠존 : 너와 함께 푸른 거리 속 새벽녘을> 주최부스,토우아키 쁘띠존 : 너와 함께 푸른 거리 속 새벽녘을,,,,,2sp,,,토우아키 쁘띠존 : 너와 함께 푸른 거리 속 새벽녘을,,,,,,,https://dongne.co/events/df2501/circles/135570,제28회 디. 페스타,Day1
<설영자하 쁘띠존: 월성영화제> 주최부스,설영자하 쁘띠존: 월성영화제,,,,,2sp,,,설영자하 쁘띠존: 월성영화제,,,,,,,https://dongne.co/events/df2501/circles/137741,제28회 디. 페스타,Day1
                                                                                                                                                                                                  공동정탈취범,훈,,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",ju_angbal_love,https://dongne.co/events/df2501/circles/136679,제28회 디. 페스타,Day1
                                                                                                                                                                                          타비신고 마중나온 푸른 봄,"UQU, 가응",,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"일러스트,만화",@UQUOOZZ @tonggong_00,https://dongne.co/events/df2501/circles/137780,제28회 디. 페스타,Day1
.,이개,,,,,2sp,,,,,,,,,@thrkks2,https://dongne.co/events/df2501/circles/136979,제28회 디. 페스타,Day1
.,숙면,,,,,2sp,NU:Carnival,페이트,,,,,,,@everydaysleep__,https://dongne.co/events/df2501/circles/135639,제28회 디. 페스타,Day1
...혹시 마감러십니까? -? 예.,"감새, 꽐, 에베",,,,,2sp,데뷔를 못하면 죽는병 걸림,괴담에 떨어져도 출근을 해야 하는구나,,박문대,,,,,,https://dongne.co/events/df2501/circles/135429,제28회 디. 페스타,Day1
(주) 무림미식회,단팥빵,,,,,1sp,무림제일폐: 월한강천록,우마무스메,,"유소월,정글 포켓,아그네스 타키온",홍륜X소월,"로맨틱,섹슈얼",포케타키,"만화,일러스트",@Annbbang,https://dongne.co/events/df2501/circles/137655,제28회 디. 페스타,Day1
"[동인] 프라로드, 시간의 틈새에서 찾아왔습니다",니난나,,,,,2sp,로드 오브 히어로즈,,,"프라우,로드",프라우X로드,로맨틱,여로드른,,@ni_nan_na,https://dongne.co/events/df2501/circles/136822,제28회 디. 페스타,Day1
왹,비비42,,,,,1sp,이세계착각헌터,"포켓몬,데못죽",,,,,,소설,,https://dongne.co/events/df2501/circles/135729,제28회 디. 페스타,Day1
점,점,,,,,2sp,페르소나 시리즈,,,삼주,,,,,ssabdeog,https://dongne.co/events/df2501/circles/138276,제28회 디. 페스타,Day1
흠,.,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136508,제28회 디. 페스타,Day1
한 지붕 세 살림,죠온,,,,,2sp,아이돌리쉬 세븐,,,,요츠바 타마키X오오사카 소고,로맨틱,"유키모모, 이오리쿠",만화,@jyoon_i77,https://dongne.co/events/df2501/circles/135802,제28회 디. 페스타,Day1
도 넘은 부스,머다당,,,,,2sp,화산귀환,,,청명,,,,소설,@mudaddddang,https://dongne.co/events/df2501/circles/137685,제28회 디. 페스타,Day1
운 좋게 토라 햝기,토라,,,,,2sp,프로세카,,토우아키 쁘띠존 : 너와 함께 푸른 거리 속 새벽녘을,"아오야기 토우야,시노노메 아키토",아오야기 토우야X시노노메 아키토,"로맨틱,섹슈얼",루이츠카,"소설,만화,일러스트",@_tiger_ovo,https://dongne.co/events/df2501/circles/137255,제28회 디. 페스타,Day1
한 고게 넘어 사랑!,양갱,,,,,2sp,주술회전,,,,고죠 사토루X게토 스구루,로맨틱,,,@za_yess,https://dongne.co/events/df2501/circles/136592,제28회 디. 페스타,Day1
흙 속의 인디고,인디고,,,,,1sp,도자기 수공예,,,,,,,공예,@digogo5220,https://dongne.co/events/df2501/circles/135776,제28회 디. 페스타,Day1
내 새끼 우쭈쭈 부스,"호늘, 조누",,,,,2sp,타이니트래블러,"달숨,레벨1용사",,"죠타로,카쿄인,아마히코,후미야,이오리,리카이,테라,사루카와,오오세,아돌,주인공",,,,"만화,소설,게임",,https://dongne.co/events/df2501/circles/135424,제28회 디. 페스타,Day1
못 먹어도 고우,파랑,,,,,4sp,주술회전,,고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기,"고죠 사토루,이오리 우타히메",,"섹슈얼,로맨틱",,"만화,일러스트,소설",comeonbabyblue,https://dongne.co/events/df2501/circles/137912,제28회 디. 페스타,Day1
이 부스가 열렸다는 건 제가 무사히 대학에 합격했다는 뜻이겠죠,선인장,,,,,2sp,"무기미도,보컬로이드",S급 짐꾼의 슬기로운 성좌 사냥 생활,,"랭글리,(여)국장,헤카테,예현성,하츠네 미쿠,시유,유니,카사네 테토",랭글리X국장,로맨틱,,"일러스트,소설",@Cactus_teapot,https://dongne.co/events/df2501/circles/136981,제28회 디. 페스타,Day1
눈 떠보니 마피아가 됐던 건에 대하여,05,,,,,1sp,가정교사히트맨리본,,가히리요? 2025년에요?,야마모토타케시/고쿠데라하야토,야마모토 타케시X고쿠데라 하야토,로맨틱,,일러스트,G_Hayato59,https://dongne.co/events/df2501/circles/138171,제28회 디. 페스타,Day1
왜 변호사는 늘 검사랑 사귀나요,nkio,,,,,1sp,역전재판,P5R,,오도로키 호스케,오도로키호스케X가류쿄야,"로맨틱,섹슈얼",,만화,dgs_nkio,https://dongne.co/events/df2501/circles/135652,제28회 디. 페스타,Day1
내 마피아가 이렇게 귀여울 리가 없어,죽사,,,,,2sp,가정교사히트맨리본,,가히리요? 2025년에요?,,,,,"만화,일러스트",@tydlclwnrehfhr1,https://dongne.co/events/df2501/circles/135471,제28회 디. 페스타,Day1
와 아오야기 하지메는 테시마 준타가 핀치일 때마다 구원해준다고? 리스펙한다진짜,랏츠,,,,,2sp,겁쟁이페달,이터널리턴,,,아오야기 하지메X테시마 준타,로맨틱,,만화,@g_g_9999,https://dongne.co/events/df2501/circles/137860,제28회 디. 페스타,Day1
또 어른조로 참가한다고?,"밍, 시나림",,,,,2sp,모브사이코 100,,,"에쿠보,레이겐 아라타카,세리자와 카츠야",에쿠보X레이겐 아라타카,"로맨틱,섹슈얼",세리레이,"만화,일러스트,소설","@mingx100, @sinarim100",https://dongne.co/events/df2501/circles/136595,제28회 디. 페스타,Day1
네? 데.못.죽을 모르신다고요?,콘,,,,,2sp,데뷔 못하면 죽는 병 걸림,,,"데스타,브이틱",시라이시 안X아즈사와 코하네,해당없음,"아사히나 마후유×요이사키 카나데, 아키야마 미즈키×시노노메 에나, 버틴×소네트, 쿠사나기 네네×오오토리 에무",기타,@coon_owo,https://dongne.co/events/df2501/circles/137520,제28회 디. 페스타,Day1
"전""미쿠""죠",전자미녀,,,,,2sp,프로젝트세카이,에이트리,토우아키 쁘띠존 : 너와 함께 푸른 거리 속 새벽녘을,,아오야기 토우야X시노노메 아키토,로맨틱,,만화,@coffeexhotcake,https://dongne.co/events/df2501/circles/137247,제28회 디. 페스타,Day1
꼬옥,꼬옥,,,,,2sp,슬램덩크,내스급 전독시 섀헌 마블 디씨 체리마호 하앤로,,서태웅 정대만,,로맨틱,호열백호,"만화,일러스트,공예",kkoog_TT,https://dongne.co/events/df2501/circles/135421,제28회 디. 페스타,Day1
리본,챠비별,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136537,제28회 디. 페스타,Day1
릴리,하다월,,,,,4sp,,,,,,,,공예,,https://dongne.co/events/df2501/circles/135718,제28회 디. 페스타,Day1
만듦,jini0305,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136047,제28회 디. 페스타,Day1
멍왈,JC,,,,,1sp,,,,,,,,"일러스트,기타",jjfgesw23,https://dongne.co/events/df2501/circles/135777,제28회 디. 페스타,Day1
무제,ㄹㅇ,,,,,1sp,데뷔 못 하면 죽는 병 걸림,,,"박문대,청려",청려X박문대,"로맨틱,섹슈얼",,"소설,기타",,https://dongne.co/events/df2501/circles/135541,제28회 디. 페스타,Day1
미정,까뿡,,,,,2sp,리그오브레전드,오버워치,라이엇 쁘띠존,"아케인과 협곡챔,옵치 조금",케인X아칼리,로맨틱,,일러스트,@baby_koito @f0r_L0L ,https://dongne.co/events/df2501/circles/136569,제28회 디. 페스타,Day1
뵤옷,댜람,,,,,1sp,하이큐,,,,,,,,,https://dongne.co/events/df2501/circles/136662,제28회 디. 페스타,Day1
부슥,구슬,,,,,1sp,,,,,,,,,@bbing_zzi,https://dongne.co/events/df2501/circles/136566,제28회 디. 페스타,Day1
아므,마루,,,,,1sp,,,,,,,,일러스트,jjk,https://dongne.co/events/df2501/circles/136588,제28회 디. 페스타,Day1
야데,야데,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136276,제28회 디. 페스타,Day1
여행,여행,,,,,4sp,사카모토,,,,,,,,,https://dongne.co/events/df2501/circles/136040,제28회 디. 페스타,Day1
우끼,MONKEY,,,,,2sp,주술회전,,게토고죠 쁘띠존 <온대성 연인>,"게토 스구루,고죠사토루",,로맨틱,,"만화,일러스트",@725GXG,https://dongne.co/events/df2501/circles/137895,제28회 디. 페스타,Day1
이름,이름,,,,,2sp,엘소드,가비지타임,,"라비,노아",,,,게임,@n1shalaby,https://dongne.co/events/df2501/circles/137352,제28회 디. 페스타,Day1
잡덕,소금,,,,,2sp,"슬램덩크,패션",,,최동오,,섹슈얼,,소설,@sogeum_otk,https://dongne.co/events/df2501/circles/137730,제28회 디. 페스타,Day1
텅빈,레이지빈,,,,,2sp,데뷔 못하면 죽는 병 걸림,,,,청려X박문대,로맨틱,,,,https://dongne.co/events/df2501/circles/136543,제28회 디. 페스타,Day1
혼종,한마리,,,,,2sp,사카모토 데이즈,"동방프로젝트,모브사이코100,은혼,봇치더록,나의 히어로 아카데미아",,,,,,일러스트,@inamna_h,https://dongne.co/events/df2501/circles/137732,제28회 디. 페스타,Day1
회귀,회귀,,,,,4sp,하이큐,해즈빈호텔 가비지타임,,,,,,,@ronno_5,https://dongne.co/events/df2501/circles/137407,제28회 디. 페스타,Day1
히링,쿠키,,,,,1sp,,,,,,,,공예,,https://dongne.co/events/df2501/circles/136417,제28회 디. 페스타,Day1
