부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
히히,bluebird,,,,,1sp,데뷔못하면죽는병걸림,,,"박문대,신재현",,,,"일러스트,공예",,https://dongne.co/events/df2501/circles/137321,제28회 디. 페스타,Day1
ㅍㅍ^^의 역습,석쇠,,,,,2sp,앙상블 스타즈!! Music,닌자보이 란타로,,"오우카와 코하쿠,미케지마 마다라,하치야 사부로,후와 라이조",오우카와 코하쿠X미케지마 마다라,로맨틱,하치라이,소설,@dolsoe185993,https://dongne.co/events/df2501/circles/137232,제28회 디. 페스타,Day1
"여기 ""같씨피 팔 때까지 숨 안 쉼""...이라고 써있는데요 박사님","uni, 맴돌",,,,,2sp,역전재판 시리즈,,,"아소기 카즈마,바로크 반직스,유가미 진,유가미 카구야,키즈키 마리",종자X바로크,로맨틱,"유가미 남매, 진코코카구, 유가코코조합","일러스트,소설,만화,공예","@asogi_sexyman, @maamdoll",https://dongne.co/events/df2501/circles/137611,제28회 디. 페스타,Day1
머슬 속 꽃 한송이,나시,,,,,2sp,앙상블스타즈,,,무도가심,,로맨틱,"마다안즈, 테츠쿠로, 마다쿠로, 히이테토","만화,일러스트",@nasi_backup,https://dongne.co/events/df2501/circles/136306,제28회 디. 페스타,Day1
역전 앞 할매,히즈리다&달안개,,,,,2sp,역전재판,"대역전재판,역전검사",,"종자,바로크 반직스",종자X바로크 반직스,,,"만화,일러스트,소설",@hizurida / @Dalfog_ ,https://dongne.co/events/df2501/circles/135498,제28회 디. 페스타,Day1
출소 후 유일한 낙입니다,"계란, 잡, 전어",,,,,2sp,역전재판,페르소나4,,"유가미 진,키즈키 코코네,가류 쿄야,호우즈키 아카네",유가미X코코네,로맨틱,쿄아카,만화,@egg_bst,https://dongne.co/events/df2501/circles/136272,제28회 디. 페스타,Day1
내가 네 이름을 불렀을때 너는 나에게로 와 그 뭐냐 나이떼네에요!!! 케에고!!!,Soul_4043,,,,,2sp,주술회전,,고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기,"고죠 사토루,이오리 우타히메",고죠 사토루X이오리 우타히메,"로맨틱,섹슈얼",,"만화,일러스트,소설",@Soul_4043,https://dongne.co/events/df2501/circles/137704,제28회 디. 페스타,Day1
영영 위빙,영영위빙,,,,,2sp,"위빙 기법을 사용하여 제작한 수제 매트를 판매합니다. 여름의 푸릇한 잔디를 닮은 잔디밭 위빙 매트,눈길 위에 뽀작뽀작 남은 발자국을 표현한 발자국 위빙 매트 등을 판매해요.",,,,,,,공예,y0ung0_weaving,https://dongne.co/events/df2501/circles/137409,제28회 디. 페스타,Day1
적먹 사랑,"YES, 이사",,,,,2sp,쿠로코의 농구,,,"아카시,마유즈미",아카시 세이쥬로X마유즈미 치히로,"로맨틱,섹슈얼",,"만화,소설","1220x0301, otasa_1203",https://dongne.co/events/df2501/circles/135894,제28회 디. 페스타,Day1
장르 시식 코너,.,,,,,1sp,"데못죽,전독시","내스급,화귀,천관,갑타 등등( 가능하다면...)",,.,,,,일러스트,@nyu_kkeu,https://dongne.co/events/df2501/circles/137093,제28회 디. 페스타,Day1
친구 잘못 배운 남자를 왼쪽으로 밀어 추진력 얻는 법,과자,,,,,2sp,포켓몬스터,"주술회전,가비지타임",,카지,카지X푸름,로맨틱,"고죠게토, 빵준","만화,일러스트,소설",@GGwauisigjaing,https://dongne.co/events/df2501/circles/136816,제28회 디. 페스타,Day1
같이 야구 할래?,꿍쫙,,,,,1sp,망각 배터리,이착헌,,카나메 케이,하루X케이,로맨틱,,일러스트,@ggung_zz,https://dongne.co/events/df2501/circles/137053,제28회 디. 페스타,Day1
볕이 드는 언덕길,쿠렌,,,,,2sp,윈브레,"카리스마 하우스,사카모토 데이즈,가정교사 히트맨 리본",,,,,,,@do__kuku,https://dongne.co/events/df2501/circles/136791,제28회 디. 페스타,Day1
우리 법정 말랑해요?,Putti,,,,,1sp,대역전재판,역전재판,,"221B,올드베일리 조,나루호도 만능 사무소,검사국",,,,일러스트,@Putti_95,https://dongne.co/events/df2501/circles/138115,제28회 디. 페스타,Day1
도립 주술 게고전문학과 연구생 모임,"멸망, 망사랑, 파산",,,,,2sp,주술회전,,게토고죠 쁘띠존 <온대성 연인>,"게토 스구루,고죠 사토루",게토 스구루X고죠 사토루,로맨틱,,"만화,일러스트,소설","@byeol_lo, @luvinruin725, @pasan_S5",https://dongne.co/events/df2501/circles/137265,제28회 디. 페스타,Day1
공방 프리즘,리즈,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2501/circles/137089,제28회 디. 페스타,Day1
른이 싸패임,스불재,,,,,2sp,페르소나,,,,,,,"만화,일러스트","@doublechya, @Pulljjae",https://dongne.co/events/df2501/circles/137974,제28회 디. 페스타,Day1
장르 짬뽕탕,뱀팡,,,,,2sp,도쿄리벤져스,윈드브레이커 아이나나 헌터헌터 하이큐,,하나가키 타케미치,,,,,@nupaeng_DRB ,https://dongne.co/events/df2501/circles/136429,제28회 디. 페스타,Day1
킹덤 만물상,4R,,,,,2sp,발로란트,,라이엇 쁘띠존,발로란트 올캐릭터,,해당없음,,"일러스트,기타",@4_rval,https://dongne.co/events/df2501/circles/138274,제28회 디. 페스타,Day1
탱댐 잡상인,레트,,,,,2sp,슬램덩크,,,"서태웅,정대만",서태웅X정대만,,,공예,let2e5,https://dongne.co/events/df2501/circles/138106,제28회 디. 페스타,Day1
햇님 잡화점,나기,,,,,2sp,플레이브 데못죽,,,,,,,,,https://dongne.co/events/df2501/circles/136358,제28회 디. 페스타,Day1
카페 엘피스 - 아모로트 대의사당점,꿀쿠,,,,,2sp,파이널판타지 14,,,,,,,"일러스트,소설",@H0NEYC00,https://dongne.co/events/df2501/circles/136186,제28회 디. 페스타,Day1
네가 수건만 안 썼어도,딜루,,,,,2sp,슬램덩크,,,최동오,정우성X최동오,"로맨틱,섹슈얼",,"만화,일러스트",umairukawa,https://dongne.co/events/df2501/circles/137546,제28회 디. 페스타,Day1
아직 서클명 안 정해짐 ,코핀,,,,,2sp,오리지널,포켓몬,,,,,,,@wkrrhks,https://dongne.co/events/df2501/circles/136773,제28회 디. 페스타,Day1
결혼 그리고 교미,"교근, 건결",,,,,2sp,주술회전,,게토고죠 쁘띠존 <온대성 연인>,게토스구루 고죠사토루,게토 스구루X고죠 사토루,"로맨틱,섹슈얼",,"만화,일러스트",masseter_0,https://dongne.co/events/df2501/circles/136915,제28회 디. 페스타,Day1
우리 끝없이 농놀 하자...,에르,,,,,2sp,가비지타임,,,"전영중,성준수",,로맨틱,,일러스트,@eru18831,https://dongne.co/events/df2501/circles/137857,제28회 디. 페스타,Day1
제가 당신을 전지적 페르소나로 만들어 드리겠습니다,필망,,,,,2sp,아이돌리쉬 세븐,"페르소나,전지적 독자 시점",,,,,,"일러스트,만화",@mpm0909 @mossupF,https://dongne.co/events/df2501/circles/137345,제28회 디. 페스타,Day1
몽솜 잡화점&마요공방,몽솜,,,,,2sp,,,,,,,,공예,@mongle_softly,https://dongne.co/events/df2501/circles/135314,제28회 디. 페스타,Day1
봄봄 스튜디오,아사,,,,,1sp,플레이브,"화산귀환,가공낙원,가비지타임",,,,,,,https://x.com/BOMBOM_asa,https://dongne.co/events/df2501/circles/137785,제28회 디. 페스타,Day1
일단 설영자하,ㅇ▽ㅇ,,,,,2sp,진혼기,,설영자하 쁘띠존: 월성영화제,"설영,자하",설영X자하,로맨틱,,"만화,소설",,https://dongne.co/events/df2501/circles/135657,제28회 디. 페스타,Day1
주술 스파이크,밤빵,,,,,2sp,하이큐,주술회전,,히나타 쇼요,카게야마 토비오X히나타 쇼요,로맨틱,,만화,@bbangpppang,https://dongne.co/events/df2501/circles/135316,제28회 디. 페스타,Day1
딸기 타피오카 ,크헹,,,,,2sp,프로젝트 세카이,붕괴스타레일,,,,,,,k_heng1223,https://dongne.co/events/df2501/circles/136764,제28회 디. 페스타,Day1
셑펠 앤솔로지 <<탑봇 랑데뷰>>,.,,,,,2sp,리그오브레전드,,라이엇 쁘띠존,"세트라이,아펠리오스",,로맨틱,,"만화,일러스트,소설",@settphel_anthol,https://dongne.co/events/df2501/circles/136711,제28회 디. 페스타,Day1
어느 마이너의 재고 목록,로든,,,,,2sp,문구류,,,,,,,공예,@raud_ann,https://dongne.co/events/df2501/circles/136251,제28회 디. 페스타,Day1
충격 성게이격 진짜 실존,순봉식,,,,,2sp,명일방주,,,,엘리시움X쏜즈,,,,@ANSUSANG,https://dongne.co/events/df2501/circles/136037,제28회 디. 페스타,Day1
청엑 린유키가 보고 싶어서 내는 부스,u,,,,,1sp,청의 엑소시스트,,,,오쿠무라 린X오쿠무라 유키오,,,,,https://dongne.co/events/df2501/circles/136271,제28회 디. 페스타,Day1
아유 저거저거 누굴 닮아서 저러나 몰라 당신 닮아서겠지 와타시와 안타다케요!!!,Soul,,,,,2sp,주술회전,,고죠우타 쁘띠존 | 럭키 뉴이얼 : 롯기비기,"고죠 사토루,이오리 우타히메",고죠 사토루X이오리 우타히메,"로맨틱,섹슈얼",,,@_Soul_shadow,https://dongne.co/events/df2501/circles/138245,제28회 디. 페스타,Day1
도쿄 시부야구 동성 파트너십 제도,왕밤빵,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136287,제28회 디. 페스타,Day1
피로 매듭지은 사랑은,악쓰리,,,,,2sp,가비지타임,,,기상호,최종수X기상호,"로맨틱,섹슈얼",뱅상,"만화,소설,일러스트",,https://dongne.co/events/df2501/circles/135267,제28회 디. 페스타,Day1
화음 저잣거리 노점상,테리,,,,,2sp,화산귀환,,,,,,,소설,@Tobby_new,https://dongne.co/events/df2501/circles/137125,제28회 디. 페스타,Day1
고게 숙이지마 고게를 들어,충치,,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,로맨틱,,만화,Chung_chie,https://dongne.co/events/df2501/circles/136466,제28회 디. 페스타,Day1
오직 인자로만 세상을 판단한다,+ω,,,,,2sp,세포신곡,,,"원흉조,은자조",우츠기 란기리X하라다 무테이,,,"만화,소설,일러스트",@Plus_Omega_A,https://dongne.co/events/df2501/circles/137216,제28회 디. 페스타,Day1
"우리 나이대에 사랑이나 돈은 좀 늦게 올 수도 있지만, 정글은 늦게 오면 안 된다.",달아홉,,,,,2sp,리그오브레전드,,라이엇 쁘띠존,,,,,"일러스트,만화,소설",@indigo_blue77,https://dongne.co/events/df2501/circles/136727,제28회 디. 페스타,Day1
망각 스트라이커,KENZIE,,,,,1sp,망각배터리,블루록,,,,"섹슈얼,로맨틱","하루케이, 나츠슈, 린이사",,Kenji__Jang,https://dongne.co/events/df2501/circles/137174,제28회 디. 페스타,Day1
"화산, 그곳",AmunHer,,,,,1sp,화산귀환,,,"청명,당보,장일소",당보X청명,,,"일러스트,소설",@JinAmunHer,https://dongne.co/events/df2501/circles/136744,제28회 디. 페스타,Day1
안아. 나 말고 니네끼리,"아꼰, 화, 다온, 설",,,,,4sp,화산귀환,주술회전,화산귀환 쁘띠존,"화산귀환,고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"소설,만화,일러스트","agiggonmu, da0nnthgg_",https://dongne.co/events/df2501/circles/136572,제28회 디. 페스타,Day1
소문(안)난 동네 맛집,모리,,,,,2sp,전지적 독자 시점,,,,유중혁X김독자,"로맨틱,섹슈얼",,"만화,일러스트",mori_gy,https://dongne.co/events/df2501/circles/135214,제28회 디. 페스타,Day1
비따&버튼버터,버튼버터,,,,,2sp,발더스게이트3,,,,,,,,,https://dongne.co/events/df2501/circles/136071,제28회 디. 페스타,Day1
ㅇㅅㅇ,하얀악마,,,,,1sp,,,,,,,,공예,,https://dongne.co/events/df2501/circles/136055,제28회 디. 페스타,Day1
개조심,포찌,,,,,1sp,프로젝트 세카이,,,,시노노메 아키토X아오야기 토우야,로맨틱,모모유키,일러스트,@p0z2i,https://dongne.co/events/df2501/circles/137809,제28회 디. 페스타,Day1
개조심,포찌,,,,,1sp,프로젝트 세카이,,,,시노노메 아키토X아오야기 토우야,로맨틱,모모유키,일러스트,@p0z2i,https://dongne.co/events/df2501/circles/137809,제28회 디. 페스타,Day1
까막북,Dowon,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/137020,제28회 디. 페스타,Day1
난장판,서아란,,,,,4sp,마법명가 차남으로 살아남는 법,마법사의 약속,,"루카스,피가로",루카스X레오나르드,로맨틱,오즈피가,,,https://dongne.co/events/df2501/circles/135835,제28회 디. 페스타,Day1
냥다토,째무 ,,,,,2sp,모브사이코100,슬램덩크,,카게야마 리츠,리츠X레이겐,,"슬램덩크 호백호 , 리츠레이","공예,사진,일러스트",JJrato_illust,https://dongne.co/events/df2501/circles/135170,제28회 디. 페스타,Day1
라쓰고,민프,,,,,2sp,"진혼기,플레이브",,설영자하 쁘띠존: 월성영화제,"설영,자하",,,,"일러스트,만화",@boriboo1160,https://dongne.co/events/df2501/circles/136848,제28회 디. 페스타,Day1
루미붐,밀티,,,,,2sp,원신,,,,,,,,,https://dongne.co/events/df2501/circles/135322,제28회 디. 페스타,Day1
멈머냥,HamiFR,,,,,2sp,,,,,,,,"일러스트,공예",,https://dongne.co/events/df2501/circles/136404,제28회 디. 페스타,Day1
모락스,모라,,,,,4sp,스타레일,"원신,주술 회전",,,,,,,,https://dongne.co/events/df2501/circles/135445,제28회 디. 페스타,Day1
비빔밥,hiwnfk,,,,,2sp,데못죽/가비지타임,은혼/오란고교 호스트부/윈드브레이커/그외 기타/ 1차창작,,,,,,일러스트,@hiwnfk,https://dongne.co/events/df2501/circles/138179,제28회 디. 페스타,Day1
서클명,닉네임,,,,,1sp,기타,,,,,,,,,https://dongne.co/events/df2501/circles/136678,제28회 디. 페스타,Day1
손부림,라야,,,,,2sp,태팅레이스,,,,,,,공예,@sonbulim,https://dongne.co/events/df2501/circles/136322,제28회 디. 페스타,Day1
안경군,가나쵸,,,,,2sp,슬램덩크 전독시,,,권준호 야마토 중독,정대만X권준호,,중혁독자,,@_ghanacho,https://dongne.co/events/df2501/circles/137446,제28회 디. 페스타,Day1
온장고,카스테라,,,,,2sp,진혼기,,설영자하 쁘띠존: 월성영화제,"설영,자하",설영X자하,로맨틱,,일러스트,@c_a_stella,https://dongne.co/events/df2501/circles/137769,제28회 디. 페스타,Day1
우베런,.,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2501/circles/136845,제28회 디. 페스타,Day1
웹이소,레고,,,,,2sp,전지적 독자 시점,"데못죽,화산귀환",,,,,,,,https://dongne.co/events/df2501/circles/135515,제28회 디. 페스타,Day1
이사모,파구,,,,,2sp,아이돌리쉬세븐,,,이즈미 이오리,,,,소설,,https://dongne.co/events/df2501/circles/137775,제28회 디. 페스타,Day1
이오리,챠,,,,,1sp,아이돌리쉬세븐,,,"이즈미 이오리,나나세 리쿠",이즈미 이오리X나나세 리쿠,해당없음,,,@cha_i_nana,https://dongne.co/events/df2501/circles/137804,제28회 디. 페스타,Day1
이요웅,시옷,,,,,2sp,윈드브레이커,,,,,로맨틱,,만화,,https://dongne.co/events/df2501/circles/135677,제28회 디. 페스타,Day1
재판소,"천민,라미",,,,,1sp,박앵귀,"데못죽,박앵귀",,,,해당없음,,만화,,https://dongne.co/events/df2501/circles/136598,제28회 디. 페스타,Day1
쟈키퐁,쟈키퐁,,,,,2sp,"에반게리온,스플래툰",,,,,,,"일러스트,사진",@ZAKiPONG_v,https://dongne.co/events/df2501/circles/135399,제28회 디. 페스타,Day1
제철소,김철,,,,,1sp,아이돌리쉬세븐,,,"쿠죠 텐,나나세 리쿠",쿠죠 텐X나나세 리쿠,로맨틱,이오미츠,만화,@SW_trg,https://dongne.co/events/df2501/circles/137536,제28회 디. 페스타,Day1
조각보,황바다,,,,,2sp,,버디미션본드,,,,,,만화,hocean0117,https://dongne.co/events/df2501/circles/136952,제28회 디. 페스타,Day1
쥬네스,BABAKUN,,,,,2sp,페르소나4,지. -지구의 운동에 대하여,,"나루카미 유우,하나무라 요스케",나루카미 유우X하나무라 요스케,"로맨틱,섹슈얼",,"만화,일러스트",@Babakun9,https://dongne.co/events/df2501/circles/135443,제28회 디. 페스타,Day1
지뇽기,상어,,,,,2sp,진혼기,,설영자하 쁘띠존: 월성영화제,,,,,,@ru__0905,https://dongne.co/events/df2501/circles/137947,제28회 디. 페스타,Day1
티포투,이트,,,,,2sp,,,,,,,,,@iiiiiite1,https://dongne.co/events/df2501/circles/137816,제28회 디. 페스타,Day1
