부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
<무>암존 가오 다 뒤짐<적>,"솔고, 무무, 먹물",,,,,2sp,화산귀환,,화산귀환 쁘띠존: 天下俠義,"청명,장일소,당보,임소병,남궁도위",당보X청명,"로맨틱,섹슈얼","청당, 도소, 일청","기타,소설,일러스트,공예",@solgocheong2,https://dongne.co/events/df2407/circles/126135,제26회 디. 페스타,Day1
<반월당 쁘띠존 : 나쁜 꿈은 끝났어> 주최부스,반월당 쁘띠존 : 나쁜 꿈은 끝났어,,,,,2sp,,,반월당 쁘띠존 : 나쁜 꿈은 끝났어,,,,,,,https://dongne.co/events/df2407/circles/123455,제26회 디. 페스타,Day1
<긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다> 주최부스,긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다,,,,,2sp,,,긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다,,,,,,,https://dongne.co/events/df2407/circles/124562,제26회 디. 페스타,Day1
<게토고죠 쁘띠존> 주최부스,게토고죠 쁘띠존,,,,,2sp,,,게토고죠 쁘띠존 《END UP》,,,,,,,https://dongne.co/events/df2407/circles/123101,제26회 디. 페스타,Day1
<재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~> 주최부스,재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~,,,,,2sp,,,재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~,,,,,일러스트,,https://dongne.co/events/df2407/circles/125026,제26회 디. 페스타,Day1
<청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>> 주최부스,청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>,,,,,2sp,,,청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>,,,,,,,https://dongne.co/events/df2407/circles/124606,제26회 디. 페스타,Day1
                                                                                                                                                                                                    국사무우,"lusch, 안건",,,,,4sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,,고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,"@lunchsetB, @goodteethguys",https://dongne.co/events/df2407/circles/125750,제26회 디. 페스타,Day1
                                                                                                                                                                                                 공동정탈취범,훈,,,,,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",@Ju_angbal_love,https://dongne.co/events/df2407/circles/124945,제26회 디. 페스타,Day1
                                                                                                                                                                                타비신고 마중 나온 푸른 봄,UQU,,,,,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,로맨틱,,일러스트,UQUOOZZ,https://dongne.co/events/df2407/circles/123475,제26회 디. 페스타,Day1
 신나! 신나게!,메탈전사GT,,,,,1sp,드래곤볼GT,,,팡(드래곤볼 GT),,,,만화,@MetalwarriorZ,https://dongne.co/events/df2407/circles/124640,제26회 디. 페스타,Day1
