부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
~믿으세요~,ㅇㅂ,,,,,1sp,이착헌,,창호기려 쁘띠존~부부사기단~,강창호 김기려,,,,,whoisdachy,https://dongne.co/events/df2510/circles/153027,제31회 디. 페스타(토),Day1
<쥰히요 쁘띠존 :: 연일순정> 주최부스,쥰히요 쁘띠존 :: 연일순정,,,,,2sp,,,쥰히요 쁘띠존 :: 연일순정,,,,,,,https://dongne.co/events/df2510/circles/151632,제31회 디. 페스타(토),Day1
<어떤방 무슨도시 어드메스타즈 올앳원스> 주최부스,어떤방 무슨도시 어드메스타즈 올앳원스,,,,,2sp,,,어떤방 무슨도시 어드메스타즈 올앳원스,,,,,,,https://dongne.co/events/df2510/circles/153003,제31회 디. 페스타(토),Day1
<이빨요정> 주최부스,이빨요정,,,,,2sp,,,이빨요정,,,,,,,https://dongne.co/events/df2510/circles/151237,제31회 디. 페스타(토),Day1
<창호기려 쁘띠존~부부사기단~> 주최부스,창호기려 쁘띠존~부부사기단~,,,,,2sp,,,창호기려 쁘띠존~부부사기단~,,,,,,,https://dongne.co/events/df2510/circles/152288,제31회 디. 페스타(토),Day1
<준수영중 쁘띠존 ~준빵제빵소~> 주최부스,준수영중 쁘띠존 ~준빵제빵소~,,,,,2sp,,,준수영중 쁘띠존 ~준빵제빵소~,,,,,,,https://dongne.co/events/df2510/circles/152881,제31회 디. 페스타(토),Day1
<마호야쿠 쁘띠존 : 현자의 마법관 ~한국 지부~> 주최부스,마호야쿠 쁘띠존 : 현자의 마법관 ~한국 지부~,,,,,2sp,,,마호야쿠 쁘띠존 : 현자의 마법관 ~한국 지부~,,,,,,,https://dongne.co/events/df2510/circles/151387,제31회 디. 페스타(토),Day1
 마(이데이)님은 왜 구세주에게 황허팬을 주셨을까,메메,,,,,1sp,붕괴:스타레일,,,"파이논,마이데이",파이논X마이데이,로맨틱,,,meme_honkai,https://dongne.co/events/df2510/circles/153322,제31회 디. 페스타(토),Day1
 괴담,"나나, 쏭쏭, 팡투, 모짜",,,,,2sp,괴담출근,괴담출근,,,,,,,,https://dongne.co/events/df2510/circles/151222,제31회 디. 페스타(토),Day1
 환상뜨락,환상뜨락,,,,,2sp,탑로더 탑꾸,,,,,,,공예,@Dreamy_garden,https://dongne.co/events/df2510/circles/152113,제31회 디. 페스타(토),Day1
