부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
~(‘-’)~,뮤미,,,,,1sp,가비지타임,,,,,,,,meegadtd16,https://dongne.co/events/df2504/circles/142229,제29회 디. 페스타,Day1
<골든 카무이 쁘띠존> 주최부스,골든 카무이 쁘띠존,,,,,2sp,,,골든 카무이 쁘띠존 ,,,,,,,https://dongne.co/events/df2504/circles/141937,제29회 디. 페스타,Day1
<신른 쁘띠존_ 추리와 연애의 상관관계> 주최부스,신른 쁘띠존_ 추리와 연애의 상관관계,,,,,2sp,,,신른 쁘띠존_ 추리와 연애의 상관관계,,,,,,,https://dongne.co/events/df2504/circles/141316,제29회 디. 페스타,Day1
<윈브레 쁘띠존 : 방풍림 문화제> 주최부스,윈브레 쁘띠존 : 방풍림 문화제,,,,,2sp,,,윈브레 쁘띠존 : 방풍림 문화제,,,,,,,https://dongne.co/events/df2504/circles/141740,제29회 디. 페스타,Day1
<태웅른 쁘띠존 : 모두의 카에데> 주최부스,태웅른 쁘띠존 : 모두의 카에데,,,,,1sp,,,태웅른 쁘띠존 : 모두의 카에데,,,,,,,https://dongne.co/events/df2504/circles/142797,제29회 디. 페스타,Day1
<드레스로자 분쟁조정위원회> 주최부스,드레스로자 분쟁조정위원회,,,,,2sp,,,드레스로자 분쟁조정위원회,,,,,,,https://dongne.co/events/df2504/circles/142385,제29회 디. 페스타,Day1
 밀플,밀플,,,,,2sp,슬램덩크,,,강백호,,,,,milkflash_,https://dongne.co/events/df2504/circles/140937,제29회 디. 페스타,Day1
-,-,,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,소설",,https://dongne.co/events/df2504/circles/141712,제29회 디. 페스타,Day1
?,cake,,,,,2sp,원피스,가비지타임,,에이스 사보 루피 성준수,사보X에이스,"로맨틱,해당없음","성준수, 드림","만화,일러스트,기타","___c_a_k_e___, bscgya_",https://dongne.co/events/df2504/circles/142928,제29회 디. 페스타,Day1
.,국,,,,,1sp,골든카무이,,골든 카무이 쁘띠존 ,오가타 아시리파,코이토 오토노신X츠키시마 하지메,해당없음,,"만화,일러스트",mob4ycho,https://dongne.co/events/df2504/circles/142993,제29회 디. 페스타,Day1
.,..,,,,,1sp,명탐정 코난,,,,,,,,____,https://dongne.co/events/df2504/circles/140577,제29회 디. 페스타,Day1
.,삼삼오오징어,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2504/circles/142130,제29회 디. 페스타,Day1
...혹시 마감러십니까? -? 예.,"감새, 에베, 꽐",,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,데못죽,,,,,,,,https://dongne.co/events/df2504/circles/140765,제29회 디. 페스타,Day1
'보내는 이'에 이름을 쓰세요,이소,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,브라운,,,,"만화,일러스트",BBB_liso,https://dongne.co/events/df2504/circles/141974,제29회 디. 페스타,Day1
"""이거 무슨 왹져예요? 맛있네.""","배스,설기",,,,,2sp,이세계 착각 헌터,,,,,,중혁독자,,bbaatthh,https://dongne.co/events/df2504/circles/141961,제29회 디. 페스타,Day1
(주) 무림미식회,단팥빵,,,,,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",Annbbang,https://dongne.co/events/df2504/circles/141322,제29회 디. 페스타,Day1
두 줌,공박,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2504/circles/141812,제29회 디. 페스타,Day1
냥 공 멍 수,ㅋㅊ,,,,,1sp,앙상블스타즈!!,,,,히다카 호쿠토X아케호시 스바루,로맨틱,히지카타 토시로X오키타 소고,만화,,https://dongne.co/events/df2504/circles/142639,제29회 디. 페스타,Day1
딱 대! 마물! 마교!,당향,,,,,2sp,화산귀환,던전밥,,"당보,청명",,로맨틱,"청명,당보",소설,raena_0301,https://dongne.co/events/df2504/circles/142090,제29회 디. 페스타,Day1
물 좋은 사천,오작,,,,,2sp,화산귀환,,,청명,청명X당보,섹슈얼,,소설,oooOjaxk77,https://dongne.co/events/df2504/circles/141846,제29회 디. 페스타,Day1
왜 항상 말을 안들어,양,,,,,1sp,골든카무이,,골든 카무이 쁘띠존 ,"츠키시마 하지메,코이토 오토노신",츠키시마 하지메X코이토 오토노신,,,,yan9nagk,https://dongne.co/events/df2504/circles/142340,제29회 디. 페스타,Day1
흙 속의 인디고,인디고,,,,,1sp,,,,,,,,공예,digogo5220,https://dongne.co/events/df2504/circles/141034,제29회 디. 페스타,Day1
