부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
<나기이사 쁘띠존> 주최부스,나기이사 쁘띠존,F-23,F,23,,2sp,블루록,,나기이사 쁘띠존,"나기 세이시로,이사기 요이치",,,,,nagiisagizone,https://dongne.co/events/df2604/circles/164090,제33회 디. 페스타(토),Day1
<복스알래 쁘띠존-사슴 꼬리의 진실-> 주최부스,복스알래 쁘띠존-사슴 꼬리의 진실-,K-04,K,04,,2sp,,,복스알래 쁘띠존-사슴 꼬리의 진실-,,,,,,,https://dongne.co/events/df2604/circles/162282,제33회 디. 페스타(토),Day1
___이케이케돈돈ㅣ______오시에테,"단새, 요운",A-04a,A,04,a,1sp,닌타마,나의 히어로 아카데미아,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","도이 한스케,키리마루 (유사가좍) 코헤이타,몬지로,쵸지 (단련조) / 팻껌,타마키,키리시마 (팻사무소)",,,,만화,"danlyeonsae, ye_oun",https://dongne.co/events/df2604/circles/162251,제33회 디. 페스타(토),Day1
?,cake,L-12,L,12,,2sp,원피스,닌타마,,,,해당없음,,"기타,일러스트",___c_a_k_e___,https://dongne.co/events/df2604/circles/163606,제33회 디. 페스타(토),Day1
.,에르,T-23,T,23,,2sp,가비지타임,,,"전영중,성준수",전영중X성준수,,,일러스트,eru18831,https://dongne.co/events/df2604/circles/163426,제33회 디. 페스타(토),Day1
(주) 무림미식회,단팥빵,U-03a,U,03,a,1sp,무림제일폐: 월한강천록,닥터스톤,,유소월,홍륜X소월,"로맨틱,섹슈얼",츠카센,"만화,일러스트,소설",Annbbang,https://dongne.co/events/df2604/circles/162121,제33회 디. 페스타(토),Day1
"[속보] 텐키님 실존, 실종?",이비,C-08b,C,08,b,1sp,닌타마,"괴담출근,유희왕","닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,H_la2626,https://dongne.co/events/df2604/circles/162948,제33회 디. 페스타(토),Day1
ᆞ,gggggggg,Q-05b,Q,05,b,1sp,데못죽,괴담출근,,,,,,,,https://dongne.co/events/df2604/circles/163330,제33회 디. 페스타(토),Day1
닌,.,C-14a,C,14,a,1sp,닌타마란타로,,,,,,,,,https://dongne.co/events/df2604/circles/162502,제33회 디. 페스타(토),Day1
뿡,혁,I-13b,I,13,b,1sp,,,,,,,,소설,,https://dongne.co/events/df2604/circles/162698,제33회 디. 페스타(토),Day1
한 평 밭 무농약 ,옆집토마토,J-21b,J,21,b,1sp,,,이빨요정,,,,,,N_D_do,https://dongne.co/events/df2604/circles/161622,제33회 디. 페스타(토),Day1
한 살 차이는 친구지 ,nong,A-12,A,12,,2sp,닌타마 란타로,단간론파,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""",,,,,,"O83ON, cH_eck0620",https://dongne.co/events/df2604/circles/162293,제33회 디. 페스타(토),Day1
밥 한번 먹고 가,고롤,D-16,D,16,,2sp,"던전밥,괴담출근,우마무스메,할로우나이트,블루아카이브,코난",뜨개,,"던전밥캐릭터,코난 나가노조,괴담출근캐릭터",,,,"공예,기타",,https://dongne.co/events/df2604/circles/163596,제33회 디. 페스타(토),Day1
이 둘로 보고 싶은 게 생겼다면…,도동,A-17a,A,17,a,1sp,닌자보이 란타로,,"닌타마 쁘띠존 : 인술학원 혜성제 ""입학시험의 단!""","케마 토메사부로,젠포우지 이사쿠",케마 토메사부로X젠포우지 이사쿠,로맨틱,,만화,p_w4v,https://dongne.co/events/df2604/circles/164098,제33회 디. 페스타(토),Day1
퀸 오브 디바. 미다스의 황금손. 이 세계의 떠오르는 슈퍼스타.,슈,O-06,O,06,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,"김솔음,최요원,류재관",,,,만화,syu625327,https://dongne.co/events/df2604/circles/161978,제33회 디. 페스타(토),Day1
