부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
얘 요즘 딸기가 달고 맛있단다,Eggcat,J-09a,J,09,a,1sp,BLEACH,,"블리치 쁘띠존 - 어서와라, 나의 블리치 쁘띠존에",쿠로사키 이치고,참월X이치고,"로맨틱,섹슈얼",이치고른,"만화,일러스트",@terionip,https://dongne.co/events/df2610/circles/172647,제35회 디. 페스타(토),Day1
ㅇ ㅣ런 기가차는 게이들 첨봄,"장벅, 뿜키, Ho9","P-01, P-34",P,01,,4sp,괴담에 떨어져도 출근을 해야 하는구나,변호됨,,,,,,"만화,일러스트",,https://dongne.co/events/df2610/circles/171819,제35회 디. 페스타(토),Day1
손 들어! 신센구미다!!!,"강 파베 , 뇨마",A-13a,A,13,a,1sp,"은혼,종말의 발키리",,,,,,,"소설,일러스트","@_PBe_K_ , @nyoma6666",https://dongne.co/events/df2610/circles/172178,제35회 디. 페스타(토),Day1
내 컴퓨터 누가 해킹했어 로그인도 안 되지롱,슼,K-03,K,03,,2sp,"소년기의 끝,페르소나 3",,,,캄파넬라X조반니,"로맨틱,섹슈얼",,만화,Li5rim,https://dongne.co/events/df2610/circles/171940,제35회 디. 페스타(토),Day1
이 부스가 세상에 나올쯤엔 너희 이름이 나왔을까?,삿,R-22a,R,22,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"최 요원,김솔음",최요원X김솔음,로맨틱,,,@SSO_YYO,https://dongne.co/events/df2610/circles/172582,제35회 디. 페스타(토),Day1
저 됐어요! 괴담됐어요! 그런데 그때. 괴담 담당 변호사가 나타났다?!,"강예성, 팡이",S-18,S,18,,2sp,괴담출근 등,"변호됨,우호정,던그화,연회생",,,,,,,@L_S_A_0521,https://dongne.co/events/df2610/circles/171843,제35회 디. 페스타(토),Day1
덜 낡은이들,,P-24b,P,24,b,1sp,"괴담에 떨어져도 출근을 해야 하는구나,블랙배저",,,,,,,,@TFfnxC37VYVUZQN,https://dongne.co/events/df2610/circles/173292,제35회 디. 페스타(토),Day1
쿤 몽환기록,쿤,V-29a,V,29,a,1sp,,,,,,,,,@kun_draw,https://dongne.co/events/df2610/circles/171660,제35회 디. 페스타(토),Day1
내 사숙질이 중원 애나벨 부부라니 ,화련,T-23,T,23,,2sp,화산귀환,"진혼기,몰락세가의 시한부 영약,천관사복",,청명,백천X청명,로맨틱,"화륜련, 화성사련, 자하설영",소설,@4PR1C0T_R ,https://dongne.co/events/df2610/circles/171829,제35회 디. 페스타(토),Day1
두 콜옵남만 내면 안되나요,연못,M-11a,M,11,a,1sp,Call of duty,,Call of Duty :: 10월 디페 쁘띠존,"크루거,오니",,해당없음,,일러스트,@Sleep_dreamzz,https://dongne.co/events/df2610/circles/172720,제35회 디. 페스타(토),Day1
내 사과까지 갈변 되었겠군요,별담,T-06b,T,06,b,1sp,마차살,진혼기,,,아드리안 아스카니엔X알버트 메클렌부르크,로맨틱,자하설영,소설,@byeoldam374567 @05odd,https://dongne.co/events/df2610/circles/171792,제35회 디. 페스타(토),Day1
내 사숙질이 털뭉치라니,동우,T-12b,T,12,b,1sp,화산귀환,,,'화산귀환' 등장 캐릭터,백천X청명,"로맨틱,섹슈얼",,"만화,소설",,https://dongne.co/events/df2610/circles/173667,제35회 디. 페스타(토),Day1
이 살인축구에서 이사린,참내,U-29b,U,29,b,1sp,블루록,,,"이사기 요이치,이토시 린",이사기 요이치X이토시 린,로맨틱,,"만화,일러스트",chamna404,https://dongne.co/events/df2610/circles/172126,제35회 디. 페스타(토),Day1
희:삐아체레 사천당가에디션,김보경,T-26,T,26,,2sp,화산귀환,,,,,,,"공예,일러스트",,https://dongne.co/events/df2610/circles/173312,제35회 디. 페스타(토),Day1
와!델타룬아시는구나,데이,L-07,L,07,,2sp,명일방주,델타룬,,,,,,"일러스트,기타",@mocoN_14,https://dongne.co/events/df2610/circles/171438,제35회 디. 페스타(토),Day1
닌/닌니오,참치,E-06,E,06,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171997,제35회 디. 페스타(토),Day1
ㄱㄱ,삼삼오오징어,E-22a,E,22,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172154,제35회 디. 페스타(토),Day1
ㄱㄴ,yaming,V-15,V,15,,2sp,"이세계 착각 헌터(이착헌) 등,이세계 착각 헌터",이세계 착각 헌터,,"이착헌,이착헌 김기려,이착헌 강창호,레밍",,,,"만화,일러스트,공예",@kimnarbi,https://dongne.co/events/df2610/circles/172157,제35회 디. 페스타(토),Day1
가자,가자,I-12b,I,12,b,1sp,블리치,,"블리치 쁘띠존 - 어서와라, 나의 블리치 쁘띠존에",,,,,,,https://dongne.co/events/df2610/circles/172820,제35회 디. 페스타(토),Day1
가자,모짜,V-34,V,34,,2sp,,,,,,,,,@azzzomm,https://dongne.co/events/df2610/circles/172511,제35회 디. 페스타(토),Day1
냠냠,혁,Q-23a,Q,23,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172030,제35회 디. 페스타(토),Day1
노챠,노챠,F-20,F,20,,2sp,주술회전,,,주술회전,쵸소우X이타도리 유지,로맨틱,,일러스트,@iamhodu,https://dongne.co/events/df2610/circles/173438,제35회 디. 페스타(토),Day1
녹체,녹체,R-19a,R,19,a,1sp,"괴담에 떨어져도 출근을 해야 하는구나,전지적 독자 시점",,,,,,,,@Noche_official_,https://dongne.co/events/df2610/circles/173298,제35회 디. 페스타(토),Day1
달야,달야,P-18,P,18,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"데뷔 못 하면 죽는 병 걸림,마법명가 차남으로 살아남는 법",,,,,,일러스트,dalya_png,https://dongne.co/events/df2610/circles/172084,제35회 디. 페스타(토),Day1
또토,또토,E-01,E,01,,2sp,"보컬로이드,슬램덩크",,,,,,,일러스트,https://x.com/ddoto_o,https://dongne.co/events/df2610/circles/172230,제35회 디. 페스타(토),Day1
레샤,레샤,Q-08,Q,08,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,제강제이제강,,@Resha_082,https://dongne.co/events/df2610/circles/172534,제35회 디. 페스타(토),Day1
마뱜,구마뱜,U-06,U,06,,2sp,블루록,괴담에 떨어져도 출근을 해야 하는구나,,카이저 이사기,미하엘 카이저X이사기 요이치,"섹슈얼,로맨틱",자헌솔음,,https://x.com/gumabyam,https://dongne.co/events/df2610/circles/171650,제35회 디. 페스타(토),Day1
미정,,D-26,D,26,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/173350,제35회 디. 페스타(토),Day1
배놀,리다,H-16b,H,16,b,1sp,원피스,,,,몽키 D 루피X빈스모크 상디,로맨틱,,,@lukkikki,https://dongne.co/events/df2610/circles/172273,제35회 디. 페스타(토),Day1
부슥,"혀니,삥찌",S-02,S,02,,2sp,데뷔 못 하면 죽는 병 걸림,"괴담에 떨어져도 출근을 해야 하는구나,어두운 바다의 등불이 되어",,,선아현X박문대,,,,,https://dongne.co/events/df2610/circles/171966,제35회 디. 페스타(토),Day1
소록,소록,V-29b,V,29,b,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171633,제35회 디. 페스타(토),Day1
어흥,재택,O-09,O,09,,2sp,괴담에 떨어져도 출근을 해야 하는구나,가비지타임,,김솔음,,,,"만화,일러스트",,https://dongne.co/events/df2610/circles/172270,제35회 디. 페스타(토),Day1
왼뜨,왼뜨,Q-19b,Q,19,b,1sp,괴담에 떨어져도 출근을 해야 하는구나,,괴담출근 쁘띠존 : 룩키마트에 어서오세요!,김솔음,,,,"일러스트,기타",jd_closet,https://dongne.co/events/df2610/circles/172566,제35회 디. 페스타(토),Day1
움파,aa,C-25,C,25,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171536,제35회 디. 페스타(토),Day1
이리,이리,R-23,R,23,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,해당없음,,소설,,https://dongne.co/events/df2610/circles/173528,제35회 디. 페스타(토),Day1
임시,김스팸,B-31,B,31,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171498,제35회 디. 페스타(토),Day1
임시,.,V-31a,V,31,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172013,제35회 디. 페스타(토),Day1
조류,초코보,P-23,P,23,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,"김솔음,쵸파",,로맨틱,김솔음,만화,@Scottish_Fold12,https://dongne.co/events/df2610/circles/172262,제35회 디. 페스타(토),Day1
코야,코야,F-16,F,16,,2sp,케로로,나루토 헌터헌터 은혼,,,,,,"일러스트,공예",koya_kita,https://dongne.co/events/df2610/circles/172619,제35회 디. 페스타(토),Day1
크림,,B-02,B,02,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/173632,제35회 디. 페스타(토),Day1
하루,Ha5eAn1ceday,M-03b,M,03,b,1sp,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠,,,"카미시로 루이,쿠사나기 네네",카미시로 루이X쿠사나기 네네,"로맨틱,해당없음",,만화,@ha5eAn1ceday,https://dongne.co/events/df2610/circles/171814,제35회 디. 페스타(토),Day1
후후,심마,U-16a,U,16,a,1sp,어바등,,,,,,,,@shimma_0531,https://dongne.co/events/df2610/circles/171604,제35회 디. 페스타(토),Day1
☆야~호☆,B,"P-32, P-33",P,32,,4sp,괴담에 떨어져도 출근을 해야 하는구나,"괴수8호,너희들은 변호됐다",,"김솔음,백사헌,나루미,호시나",김솔음X백사헌,로맨틱,나루호시,"만화,일러스트",B_vivic,https://dongne.co/events/df2610/circles/171952,제35회 디. 페스타(토),Day1
민나~오이데 괴출 메이드카페 다요-☆,연화.삼화.두부콩.다로,"O-12, O-23",O,12,,4sp,괴담에 떨어져도 출근을 해야 하는구나,,,김솔음,브라운X김솔음,"로맨틱,섹슈얼",,"일러스트,공예,기타",@lotus_flower432,https://dongne.co/events/df2610/circles/172111,제35회 디. 페스타(토),Day1
푸딩 한 스푼 가득,쿠쿠,Q-06b,Q,06,b,1sp,괴담에 떨어져도 출근을 해야 하는구나,보컬로이드,,"미쿠,테토",,,,,@kukukuku0000_,https://dongne.co/events/df2610/circles/172138,제35회 디. 페스타(토),Day1
주문 안 하신 비바렌 나왔습니다,귤,J-05b,J,05,b,1sp,"vs ambivalenz 비바렌,비바렌",,,,,,,,3kan_S2,https://dongne.co/events/df2610/circles/173504,제35회 디. 페스타(토),Day1
딸기 한 바구니,WDBerry,J-08,J,08,,2sp,블리치,,"블리치 쁘띠존 - 어서와라, 나의 블리치 쁘띠존에",,시로 이치고X쿠로사키 이치고,,,만화,WDBerry0715,https://dongne.co/events/df2610/circles/171476,제35회 디. 페스타(토),Day1
십리 밖 얌묘마트,"십리, 얌묘",S-17,S,17,,2sp,"괴담에 떨어져도 출근을 해야 하는구나,너희들은 변호됐다,전지적 독자 시점",붕괴: 스타레일,,,,,,,,https://dongne.co/events/df2610/circles/171699,제35회 디. 페스타(토),Day1
어이 군! 기초교양이 없는데 이 자리에 오는 게 아니야!,"철판야끼, 밀몽, 소리",D-22,D,22,,2sp,"명탐정 코난,헌터x헌터",,,,,,,,,https://dongne.co/events/df2610/circles/173136,제35회 디. 페스타(토),Day1
검은 새벽,김래곤,D-28b,D,28,b,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/173436,제35회 디. 페스타(토),Day1
빵의 하렘,파앙,G-14,G,14,,2sp,명탐정 코난,,,,쿠도 신이치X모리 란,,"다카사, 카이신, 아유아이, 레이히로, 히로타카, 이것저것 기타등등...",,@pocapoca_pang,https://dongne.co/events/df2610/circles/172630,제35회 디. 페스타(토),Day1
영영 위빙,영영위빙,A-31,A,31,,2sp,,,,,,,,공예,,https://dongne.co/events/df2610/circles/172241,제35회 디. 페스타(토),Day1
이름 없음,이사,P-28,P,28,,2sp,괴담에 떨어져도 출근을 해야 하는구나,변호안함 등,,김솔음 등등,,,,"일러스트,공예",hihi_ingasila,https://dongne.co/events/df2610/circles/172502,제35회 디. 페스타(토),Day1
히쥐 타임,몬쥐,E-30,E,30,,2sp,마마마,우마무스메,,,,,,,@meonGEE_G,https://dongne.co/events/df2610/circles/173756,제35회 디. 페스타(토),Day1
닌자 먹자 아~,쎄니,E-26a,E,26,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172593,제35회 디. 페스타(토),Day1
작전 중립 구역,이름 미정,M-10,M,10,,2sp,Call of duty,,Call of Duty :: 10월 디페 쁘띠존,"소프,고스트,가즈,프라이스,라스웰,알레한드로,루디,발레리아,파라,하디르,알렉스,그레이브스,크루거,골렘,쾨니히,닉토,호랑이,오니",콜오브듀티 캐릭터XY/N (드림캐릭터),로맨틱,,"만화,일러스트,기타,소설",@HongJe_H,https://dongne.co/events/df2610/circles/171756,제35회 디. 페스타(토),Day1
밥을 너무 빨리 먹지 마라,엄숙한청,K-17a,K,17,a,1sp,명일방주,,,,,,,만화,@D8G3S_X0D,https://dongne.co/events/df2610/circles/171486,제35회 디. 페스타(토),Day1
나는 강한 놈이 좋다. 강할수록 좋다.,PN,F-21,F,21,,2sp,주술회전,,,"고죠 사토루,옷코츠 유타,료멘 스쿠나",료멘 스쿠나X고죠 사토루,"섹슈얼,로맨틱",,"일러스트,소설",@gojokko,https://dongne.co/events/df2610/circles/171433,제35회 디. 페스타(토),Day1
일단 부스 한번 내보죠,튜닝,P-10a,P,10,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,류재관 김솔음,류재관X김솔음,로맨틱,,소설,,https://dongne.co/events/df2610/circles/172059,제35회 디. 페스타(토),Day1
자나 깨나 잊지 못하고,오매불,S-01,S,01,,2sp,진혼기,,,,,,,,,https://dongne.co/events/df2610/circles/172113,제35회 디. 페스타(토),Day1
이번 역은 괴담. 괴담라라역 입니다.,너울,P-17a,P,17,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,<괴담에 떨어져도 출근을 해야 하는구나> 작 중 캐릭터,최 요원X김솔음,해당없음,,,@Neoeul_00,https://dongne.co/events/df2610/circles/172333,제35회 디. 페스타(토),Day1
볕이 드는 언덕길,쿠렌,S-15,S,15,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"은혼,가치아쿠타,사이쿠스,블리치,소울이터",,,,,,,,https://dongne.co/events/df2610/circles/172040,제35회 디. 페스타(토),Day1
손목 핏줄 탐방기,선댄스,P-16,P,16,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,,최요원X김솔음,"로맨틱,섹슈얼",,,,https://dongne.co/events/df2610/circles/173489,제35회 디. 페스타(토),Day1
죠죠 부스 여깄음,젠티,G-04b,G,04,b,1sp,죠죠의 기묘한 모험,,,"죠타로,DIO",,,,"일러스트,만화",@genti4747,https://dongne.co/events/df2610/circles/172776,제35회 디. 페스타(토),Day1
네가 찾는 히메가 어떤 히메냐,물수,J-18,J,18,,2sp,블리치,체인소맨,,"우르키오라,오리히메,하야카와 아키,히메노",우르키오라X오리히메,로맨틱,하야카와 아키 x 히메노,"만화,일러스트",@Mulsu_ww,https://dongne.co/events/df2610/circles/172757,제35회 디. 페스타(토),Day1
초심 잃은 서브남주를 위한 파업 백서,봉구밭,S-29,S,29,,2sp,초심 잃은 아이돌을 위한 회귀 백서,서브 남주가 파업하면 생기는 일,,"윤이든,정예서",견하준X윤이든,"로맨틱,섹슈얼","세드예서, 지브예서",,@gbg_2727,https://dongne.co/events/df2610/circles/171416,제35회 디. 페스타(토),Day1
가을 큐에이,aran,D-07,D,07,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171889,제35회 디. 페스타(토),Day1
공방 프리즘,리즈,R-27a,R,27,a,1sp,"괴담에 떨어져도 출근을 해야 하는구나,블랙배저","플레이브,어메이징 디지털 서커스,보석의 나라",,,,,,,,https://dongne.co/events/df2610/circles/172135,제35회 디. 페스타(토),Day1
구라 같은데,"왕투, C7(진공파)",M-24b,M,24,b,1sp,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠,,,"텐마 츠카사,카미시로 루이",텐마 츠카사X카미시로 루이,로맨틱,,소설,"@tks__rui,@te4bw6",https://dongne.co/events/df2610/circles/172484,제35회 디. 페스타(토),Day1
국산 오타쿠,피나토,Q-20a,Q,20,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,"데못죽,전독시",괴담출근 쁘띠존 : 룩키마트에 어서오세요!,김솔음,,,,,@pinytus,https://dongne.co/events/df2610/circles/172005,제35회 디. 페스타(토),Day1
그래 강차해,살,T-17,T,17,,2sp,너희들은 변호됐다,,,,강민재X차주한,로맨틱,,"만화,기타",,https://dongne.co/events/df2610/circles/171749,제35회 디. 페스타(토),Day1
단풍 혼마루,디리고,E-24,E,24,,2sp,도검난무,,,"도검남사,도검남사X창작 사니와,코기츠네마루,이치몬지 노리무네",도검남사X창작 사니와,로맨틱,,"만화,일러스트",@Dirigo_kk,https://dongne.co/events/df2610/circles/173648,제35회 디. 페스타(토),Day1
웹소 마라탕,맥계,P-25,P,25,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"어두운 바다의 등불이 되어,누카니발,포켓몬",,김솔음,,,,,@pink_kim,https://dongne.co/events/df2610/circles/171738,제35회 디. 페스타(토),Day1
지구 돌리자,타라뮬,C-22b,C,22,b,1sp,"지구의 운동에 대하여,지. -지구의 운동에 대하여",,,"오크지,바데니",오크지X바데니,"로맨틱,섹슈얼,해당없음",,"소설,만화",@taramon_222,https://dongne.co/events/df2610/circles/171925,제35회 디. 페스타(토),Day1
하나 스티치,nazo,A-29,A,29,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171577,제35회 디. 페스타(토),Day1
수성 내행성 지점,W3,R-05,R,05,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"어바등,이착헌,웹소설",,,,,,"일러스트,기타",,https://dongne.co/events/df2610/circles/172015,제35회 디. 페스타(토),Day1
과연 부스에 뭐가 있을까?,닷,T-21a,T,21,a,1sp,어두운 바다의 등불이 되어,가비지타임,,,신해량X박무현,로맨틱,,소설,,https://dongne.co/events/df2610/circles/172363,제35회 디. 페스타(토),Day1
지금 너희가 처먹는 볶음김치도 선배님이 볶아주신 거라고,"세로, 여름 ",T-01,T,01,,2sp,마법명가 차남으로 살아남는 법,,,,알버트 메클렌부르크X아드리안 아스카니엔,로맨틱,레오루카,"만화,소설,일러스트","@Ssideline_, @1_000kilometers",https://dongne.co/events/df2610/circles/171767,제35회 디. 페스타(토),Day1
내가 부스에 서겠다. ,허리,V-33a,V,33,a,1sp,블리치,,,"그림죠 재거잭,아이젠 소스케",,,,,@Mc_COL3,https://dongne.co/events/df2610/circles/172636,제35회 디. 페스타(토),Day1
한번 다녀온 여자라서 더 관심이 있습니다,saga,G-19a,G,19,a,1sp,명탐정 코난,,"칸유이 쁘띠존: 바람처럼 빠르게, 불꽃처럼 강렬하게!","야마토 칸스케,우에하라 유이,모로후시 타카아키",야마토 칸스케X우에하라 유이,"로맨틱,섹슈얼",,소설,ngn7682,https://dongne.co/events/df2610/circles/172806,제35회 디. 페스타(토),Day1
너는 여전히 오타쿠야?,이야압,Q-16b,Q,16,b,1sp,괴담에 떨어져도 출근을 해야 하는구나,데못죽,괴담출근 쁘띠존 : 룩키마트에 어서오세요!,,,,,,,https://dongne.co/events/df2610/circles/171934,제35회 디. 페스타(토),Day1
우리 장르를 소개합니다,펙토,E-25,E,25,,2sp,"도검난무 뮤지컬,닌자보이 란타로,LIVE A HERO,Rain world",,,"하치스카,나가소네,이사쿠",,로맨틱,케마이사,"소설,일러스트,공예",https://x.com/pectolite_NT,https://dongne.co/events/df2610/circles/172104,제35회 디. 페스타(토),Day1
이게 부슨지 잡탕가겐지,.,D-10a,D,10,a,1sp,,,,,,로맨틱,,,,https://dongne.co/events/df2610/circles/172594,제35회 디. 페스타(토),Day1
피는 물보다 히프노시스 마이크,타네,K-01,K,01,,2sp,히프노시스마이크,,,유메노 겐타로,,,,"만화,소설",@mina0493,https://dongne.co/events/df2610/circles/172427,제35회 디. 페스타(토),Day1
괴담 푸드코트,공룡,R-02a,R,02,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"현무1팀,백일몽",,,,"공예,조형,일러스트",@Scared_dino,https://dongne.co/events/df2610/circles/171834,제35회 디. 페스타(토),Day1
청홍 꽁지상점,냥라,J-16,J,16,,2sp,체인소맨,보컬로이드,,"하야카와 아키,천사의 악마,히메노,카이토 KAITO",,,,"기타,일러스트",@nyangra_,https://dongne.co/events/df2610/circles/172235,제35회 디. 페스타(토),Day1
