부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
 요도 [별 뽀개기],차슈,A-13b,A,13,b,1sp,은혼,"모브사이코100,주술회전,패밀리 레스토랑 가자",,"사카타 긴토키,카게야마 시게오 외 다수",,,,일러스트,,https://dongne.co/events/df2610/circles/172355,제35회 디. 페스타(토),Day1
.,모나,D-25a,D,25,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172257,제35회 디. 페스타(토),Day1
.,커피,E-19,E,19,,2sp,주술회전,히카루의 바둑,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,로맨틱,히카사이,만화,@coffee_3330,https://dongne.co/events/df2610/circles/172342,제35회 디. 페스타(토),Day1
.,왼,E-22b,E,22,b,1sp,명탐정 코난,캐릭캐릭체인지,,후루야 레이,,,,,,https://dongne.co/events/df2610/circles/173737,제35회 디. 페스타(토),Day1
.,냥,I-13b,I,13,b,1sp,블리치,,"블리치 쁘띠존 - 어서와라, 나의 블리치 쁘띠존에",,아바라이 렌지X쿠치키 루키아,,,,,https://dongne.co/events/df2610/circles/173531,제35회 디. 페스타(토),Day1
.,이온,A-30,A,30,,2sp,"히카루의 바둑,크게 휘두르며,메달리스트","오오에,가비지타임",,,,"로맨틱,섹슈얼,해당없음",ncp,일러스트,@ionblue,https://dongne.co/events/df2610/circles/171761,제35회 디. 페스타(토),Day1
.,락의효능,M-22,M,22,,2sp,아이돌랜드 프리파라,,,,마리오X카타스미 아마리,,,,@666_S2S2,https://dongne.co/events/df2610/circles/172651,제35회 디. 페스타(토),Day1
.,,P-11a,P,11,a,1sp,괴담출근 등,"오란고교 호스트부,이누야샤",,,,,,,,https://dongne.co/events/df2610/circles/173339,제35회 디. 페스타(토),Day1
.,옌,E-12a,E,12,a,1sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,로맨틱,,"만화,소설",@yen_9507,https://dongne.co/events/df2610/circles/173162,제35회 디. 페스타(토),Day1
.,롱,D-29b,D,29,b,1sp,미정,,,미정,,,,소설,.,https://dongne.co/events/df2610/circles/172300,제35회 디. 페스타(토),Day1
.,머렝,C-19a,C,19,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/171964,제35회 디. 페스타(토),Day1
(( 곽과장님 침 닦으세요! )),싟4,R-13a,R,13,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"J3,곽제강",,,,일러스트,,https://dongne.co/events/df2610/circles/173293,제35회 디. 페스타(토),Day1
(주) 무림미식회,단팥빵,U-08b,U,08,b,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",Annbbang,https://dongne.co/events/df2610/circles/171746,제35회 디. 페스타(토),Day1
(호)모로마치,라탕,F-09,F,09,,2sp,닌자보이 란타로,,,,케마 토메사부로X시오에 몬지로,"섹슈얼,로맨틱","리도이,센몬,이사케마",,,https://dongne.co/events/df2610/circles/171586,제35회 디. 페스타(토),Day1
(네가)하면 해,야찬,P-09,P,09,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"데뷔 못 하면 죽는 병 걸림,망나니 PD 아이돌로 살아남기",,,,,,,@ya_chan0303,https://dongne.co/events/df2610/circles/171901,제35회 디. 페스타(토),Day1
←마법사를 믿기/아이돌을 믿기→,"날치, 나철",L-04,L,04,,2sp,"아이돌리쉬 세븐,마법명가 차남으로 살아남는 법",,,,,,,,"@narke1eft, @kwaknanacheol",https://dongne.co/events/df2610/circles/172128,제35회 디. 페스타(토),Day1
♡,"제쯔보, 댕강",R-26,R,26,,2sp,"괴담에 떨어져도 출근을 해야 하는구나,블루록","헌터물 흑막에 빙의했는데 적성에 너무 잘 맞음,가정교사 히트맨 리본",,,,,,"일러스트,만화","@cpcp_in, @yunsi07",https://dongne.co/events/df2610/circles/171929,제35회 디. 페스타(토),Day1
ㅇ,studio._.choi,D-09,D,09,,2sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172110,제35회 디. 페스타(토),Day1
냥,N,J-03a,J,03,a,1sp,,,,,,,,,,https://dongne.co/events/df2610/circles/172362,제35회 디. 페스타(토),Day1
뿅,뿅,E-11,E,11,,2sp,,,,,,,,,@qazwsx1493,https://dongne.co/events/df2610/circles/171384,제35회 디. 페스타(토),Day1
왜 제 장르 같이 안해주시는데요,13,J-24,J,24,,2sp,"디즈니 트위스티드 원더랜드,앙상블 스타즈!! Music,명탐정 코난",,,,야마토 칸스케X우에하라 유이,해당없음,,일러스트,@13th_1st,https://dongne.co/events/df2610/circles/172847,제35회 디. 페스타(토),Day1
한 살 차이는 친구지,"nong, 체온",G-24,G,24,,2sp,"닌자보이 란타로,단간론파",,,"5학년,4학년",,,,,"  @O83ON, @cH_eck0620",https://dongne.co/events/df2610/circles/173384,제35회 디. 페스타(토),Day1
나 낸다 부스,페이지,Q-23b,Q,23,b,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,,,,,,nooo_eezee,https://dongne.co/events/df2610/circles/171701,제35회 디. 페스타(토),Day1
봄 바다 벚꽃,반닌반개,G-10a,G,10,a,1sp,닌자보이 란타로,,,"케마 토메사부로,젠포우지 이사쿠,사스가 오지,사이온지 코운",케마 토메사부로X젠포우지 이사쿠,로맨틱,오지코운,"소설,공예",@_ntki_rh @pureun_ninnin,https://dongne.co/events/df2610/circles/171791,제35회 디. 페스타(토),Day1
콜 오브 쁘띠,사슴,M-12,M,12,,2sp,콜 오브 듀티,,Call of Duty :: 10월 디페 쁘띠존,"고스트,쾨니히,닉토,크루거,호랑이",,,,"조형,공예",@sake_daze,https://dongne.co/events/df2610/circles/171673,제35회 디. 페스타(토),Day1
아 그냥 따로 할 걸,레이드,"A-08, A-09",A,08,,4sp,포켓몬스터,"적왕사,오버워치,해즈빈호텔,괴담에 떨어져도 출근을 해야 하는구나,나루토,적국의 왕자로 사는 법",,,,,,,@riilll_89537,https://dongne.co/events/df2610/circles/172374,제35회 디. 페스타(토),Day1
이 세상 모든 히어로분들 힘내십쇼,이장,U-01b,U,01,b,1sp,"니지산지,버츄얼 유튜버(니지산지),메챠츠에",히카고,,"디티카,메챠츠에",,,,,@2z4444ng,https://dongne.co/events/df2610/circles/172215,제35회 디. 페스타(토),Day1
흙 속의 인디고,인디고,A-06,A,06,,2sp,,,,,,,,,@digogo5220,https://dongne.co/events/df2610/circles/171608,제35회 디. 페스타(토),Day1
난 가족 아니면 안 돼!,엔뿌,T-04,T,04,,2sp,망나니 PD 아이돌로 살아남기,"공조살(공포소설 속 조연은 사람으로 살고 싶다),잔불의 기사,마법명가 차남으로 살아남는 법",,,,해당없음,,,NF_vn_nv,https://dongne.co/events/df2610/circles/171926,제35회 디. 페스타(토),Day1
"난 그저 만화를 읽고 있었을 뿐인데 이치루키가 먼저,",이블릿,J-12,J,12,,2sp,블리치,,"블리치 쁘띠존 - 어서와라, 나의 블리치 쁘띠존에","쿠로사키 이치고,쿠치키 루키아",쿠로사키 이치고X쿠치키 루키아,로맨틱,,소설,@ruki_eve_lit,https://dongne.co/events/df2610/circles/173343,제35회 디. 페스타(토),Day1
