부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
^ㅔ카이에 갇힌 돼지들,"데미소다, ml인공수집",,,,,2sp,프로젝트세카이,,,,카미시로 루이X텐마 츠카사,,"토우아키, 렌카이",,,https://dongne.co/events/df2601/circles/157769,제32회 디. 페스타,Day1
~마감이 두려운 칼겜부스~ 정상영업중,쓰읍,,,,,1sp,도검난무,,시간정부명예공무원 복지위원회,올캐릭터,검X사니와,"로맨틱,해당없음",,"일러스트,기타",@iuoyi11,https://dongne.co/events/df2601/circles/158816,제32회 디. 페스타,Day1
<무협 통합 온리전> 주최부스,무협 통합 온리전,,,,,2sp,,,무협 통합 온리전,,,,,,,https://dongne.co/events/df2601/circles/157040,제32회 디. 페스타,Day1
<버디 퍼니 데이트 타임!> 주최부스,버디 퍼니 데이트 타임!,,,,,2sp,,,버디 퍼니 데이트 타임!,,,,,,,https://dongne.co/events/df2601/circles/157435,제32회 디. 페스타,Day1
"<끝나지 않는 축제, 라이브라> 주최부스","끝나지 않는 축제, 라이브라",,,,,2sp,혈계전선,,"끝나지 않는 축제, 라이브라",혈계전선 등장 캐릭터 전반(애니 오리지널 캐릭터 포함),,,,,@Hello_BBB_petit,https://dongne.co/events/df2601/circles/157492,제32회 디. 페스타,Day1
<과부만들지마> 주최부스,과부만들지마,,,,,2sp,콜 오브 듀티,,과부만들지마,,,,,일러스트,@coddreamzone ,https://dongne.co/events/df2601/circles/156789,제32회 디. 페스타,Day1
<시간정부명예공무원 복지위원회> 주최부스,시간정부명예공무원 복지위원회,,,,,2sp,,,시간정부명예공무원 복지위원회,,,,,,,https://dongne.co/events/df2601/circles/156329,제32회 디. 페스타,Day1
 ㅇㅇㅇ,서머,,,,,2sp,니지산지,,,,,,,,,https://dongne.co/events/df2601/circles/157467,제32회 디. 페스타,Day1
 쁘띠뽀짝,뽀짝쿵야,,,,,2sp,"괴담출근,이착헌,케데헌,데못죽","플레이브,전독시,내스급,슬램덩크,하이큐,스파이패밀리,코난,뮤지컬 프랑켄슈타인,최애의 아이",,,,,,,@BBoJJaKKyu,https://dongne.co/events/df2601/circles/156339,제32회 디. 페스타,Day1
 화령열사, 화령열사,,,,,2sp,명일방주,,2026 로도스 아일랜드 정기발표회,,,,,일러스트,,https://dongne.co/events/df2601/circles/157888,제32회 디. 페스타,Day1
.,오브,,,,,2sp,,,,,,,,,@imbongg4,https://dongne.co/events/df2601/circles/157617,제32회 디. 페스타,Day1
.,사샤,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2601/circles/157753,제32회 디. 페스타,Day1
.,김당무,,,,,2sp,블루록,,,"이토시 린,이토시 사에",이토시 사에X이토시 린,"로맨틱,섹슈얼,해당없음",,"만화,일러스트",@blue_puliya_,https://dongne.co/events/df2601/circles/158629,제32회 디. 페스타,Day1
