부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
~사랑은 시루코샌드를 타고~,사산쿠아,,,,,1sp,from ARGONAVIS,,슬기로운 로디생활! 프롬 아르고나비스 쁘띠존,팬텀이리스,쿠스노키 다이몬X미츠루기 코하루,로맨틱,,"만화,기타",44n_qua,https://dongne.co/events/df2409/circles/132961,제27회 디. 페스타(토),Day1
<<충격>>일하기 싫음,대표24,,,,,2sp,이세계 착각 헌터,,『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존,,,,,,Chief24_OTK,https://dongne.co/events/df2409/circles/131411,제27회 디. 페스타(토),Day1
<리츠레이 쁘띠존: 숟가락 가득 솔트 스플래시!> 주최부스,리츠레이 쁘띠존: 숟가락 가득 솔트 스플래시!,,,,,2sp,,,리츠레이 쁘띠존: 숟가락 가득 솔트 스플래시!,,,,,,,https://dongne.co/events/df2409/circles/131346,제27회 디. 페스타(토),Day1
<슬기로운 로디생활! 프롬 아르고나비스 쁘띠존> 주최부스,슬기로운 로디생활! 프롬 아르고나비스 쁘띠존,,,,,2sp,,,슬기로운 로디생활! 프롬 아르고나비스 쁘띠존,,,,,,,https://dongne.co/events/df2409/circles/131946,제27회 디. 페스타(토),Day1
<『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존> 주최부스,『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존,,,,,2sp,,,『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존,,,,,,,https://dongne.co/events/df2409/circles/130950,제27회 디. 페스타(토),Day1
!!,시메,,,,,1sp,하이큐,,SUN SHINE SHOYO 2,"카게야마 토비오,히나타 쇼요",카게야마 토비오X히나타 쇼요,로맨틱,,기타,0621_ww,https://dongne.co/events/df2409/circles/131875,제27회 디. 페스타(토),Day1
.,부스,,,,,2sp,,,,,최종수X기상호,로맨틱,,일러스트,,https://dongne.co/events/df2409/circles/131508,제27회 디. 페스타(토),Day1
.,.,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2409/circles/130627,제27회 디. 페스타(토),Day1
(주) 무림미식회,단팥빵,,,,,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",Annbbang,https://dongne.co/events/df2409/circles/131217,제27회 디. 페스타(토),Day1
[활]화산횟집[어],연푸른,,,,,2sp,화산귀환,,,,,섹슈얼,"백천청명,도위소병","소설,일러스트,공예",trapcardmim,https://dongne.co/events/df2409/circles/131634,제27회 디. 페스타(토),Day1
[채널단독] 충격! 이 세상은 이미 버추얼이 지배하고 있었다? 현 동인러가 말하는 경악의 진실,레몬,,,,,2sp,니지산지,"쿠로코의농구,트위스테",,,,,,"만화,소설",,https://dongne.co/events/df2409/circles/131374,제27회 디. 페스타(토),Day1
#가보자고,라임,,,,,1sp,Fate 시리즈,,【時空合同著錄】 페이트 통합 쁘띠존: Destination of Last Order,,,,,만화,,https://dongne.co/events/df2409/circles/132821,제27회 디. 페스타(토),Day1
쿤,쿤,,,,,1sp,,,,,,,,일러스트,kun_draw,https://dongne.co/events/df2409/circles/131055,제27회 디. 페스타(토),Day1
쿱,윰,,,,,2sp,쿠베라,,,,,,,,,https://dongne.co/events/df2409/circles/131978,제27회 디. 페스타(토),Day1
흚,흚,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2409/circles/130878,제27회 디. 페스타(토),Day1
어 나 이거 알아,비서,,,,,2sp,"아이카츠(아이엠스타),젤다의 전설","러브라이브,스플래툰,발더스게이트3,레이디버그,괴도조커",,"이치고,스타아니스,젤다,링크,뮤즈,리엘라",,,,,"GAMPANGPANG_, gmwalwal",https://dongne.co/events/df2409/circles/132364,제27회 디. 페스타(토),Day1
한 고게 넘어 사랑!,양갱,,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,,za_yess,https://dongne.co/events/df2409/circles/132335,제27회 디. 페스타(토),Day1
잘 놀다 갑니다,청가,,,,,1sp,가비지타임,,,"성준수,기상호",성준수X기상호,,,소설,_js3106,https://dongne.co/events/df2409/circles/131122,제27회 디. 페스타(토),Day1
통 속의 외계인,"소방챠, 빈칸",,,,,2sp,이세계 착각헌터,,『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존,김기려,정하성X김기려,"섹슈얼,로맨틱",창호기려,"만화,소설",Sobangchacha_,https://dongne.co/events/df2409/circles/130811,제27회 디. 페스타(토),Day1
흙 속의 인디고,인디고,,,,,1sp,,,,,,,,공예,digogo5220,https://dongne.co/events/df2409/circles/130956,제27회 디. 페스타(토),Day1
목 마른 사람이 우물 판 부스,Noshel,,,,,1sp,"유희왕  DM,유희왕 토에이",,,"어둠의 유희,죠노우치 등 유희왕 DM 및 토에이의 등장인물 캐릭터",,해당없음,,"일러스트,만화",NO_Shelter2287,https://dongne.co/events/df2409/circles/131422,제27회 디. 페스타(토),Day1
집 나간 며느리는 전어에 돌아오고 장르이탈 덕후는 부스에 돌아온다,사로,,,,,1sp,은혼,,,"긴토키,카구라,소고,히지카타",소고X카구라,로맨틱,,"일러스트,공예",saro_Gin,https://dongne.co/events/df2409/circles/132100,제27회 디. 페스타(토),Day1
귤 까묵기,필명,,,,,1sp,하이큐,,SUN SHINE SHOYO 2,히나타 쇼요,미야 아츠무X히나타 쇼요,로맨틱,,소설,,https://dongne.co/events/df2409/circles/132115,제27회 디. 페스타(토),Day1
또 공식한테 졋죠?,EZandSR,,,,,2sp,앙상블 스타즈,,,"앙스타 나이츠,언데드",스오우츠카사X츠키나가레오,로맨틱,,"만화,일러스트",EZ_SR_S2,https://dongne.co/events/df2409/circles/131546,제27회 디. 페스타(토),Day1
ㅂㅂ,삼삼오오징어,,,,,1sp,은혼,은혼,,ㅂㅂ,,,,,,https://dongne.co/events/df2409/circles/132113,제27회 디. 페스타(토),Day1
ㅇㅇ,타밍,,,,,1sp,ㅇㅇ,,,ㅇㅇ,,,,,,https://dongne.co/events/df2409/circles/132022,제27회 디. 페스타(토),Day1
글루,글루,,,,,4sp,주술회전,,,,,,,,,https://dongne.co/events/df2409/circles/131198,제27회 디. 페스타(토),Day1
나베,령촌건일,,,,,2sp,에리오스라이징히어로즈,,,,,,,,,https://dongne.co/events/df2409/circles/131001,제27회 디. 페스타(토),Day1
릴리,하다월,,,,,2sp,,,,,,,,공예,warhwa12,https://dongne.co/events/df2409/circles/132099,제27회 디. 페스타(토),Day1
릴리,하다월,,,,,2sp,,,,,,,,공예,warhwa12,https://dongne.co/events/df2409/circles/130899,제27회 디. 페스타(토),Day1
만두,B,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2409/circles/131793,제27회 디. 페스타(토),Day1
만듦,jini0305,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2409/circles/131204,제27회 디. 페스타(토),Day1
맘마,맘마,,,,,4sp,"1차 문구류,픽셀아트",,,,,,,기타,wiggle_eworm,https://dongne.co/events/df2409/circles/131966,제27회 디. 페스타(토),Day1
멍왈,JC,,,,,1sp,도쿄리벤저스,,,하나가키 타케미치,,,,,,https://dongne.co/events/df2409/circles/130958,제27회 디. 페스타(토),Day1
몽실,구름,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2409/circles/130545,제27회 디. 페스타(토),Day1
무제,ㅌㅇ,,,,,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,,,https://dongne.co/events/df2409/circles/130744,제27회 디. 페스타(토),Day1
바도,바도,,,,,2sp,플레이브,,,,,,,,Bnanadoto,https://dongne.co/events/df2409/circles/131840,제27회 디. 페스타(토),Day1
야호,쨩상,,,,,1sp,Free! (프리),앙스타,Free! 쁘띠존,free 모든 캐릭터,,,,일러스트,Rinzzang_San,https://dongne.co/events/df2409/circles/131661,제27회 디. 페스타(토),Day1
영원,냐냐냥,,,,,1sp,주술회전,,,,,,,,,https://dongne.co/events/df2409/circles/132052,제27회 디. 페스타(토),Day1
왹왹,완두콩,,,,,1sp,이세계 착각 헌터,,『착헌민국 헌터협회 본부』- 이세계 착각 헌터 통합 쁘띠존,올 캐릭터,,,,"공예,조형,일러스트",,https://dongne.co/events/df2409/circles/131388,제27회 디. 페스타(토),Day1
재마,"totete,바멍",,,,,1sp,페르소나 아이돌리쉬세븐 우마무스메,,,쿠죠텐 나나세리쿠 도지마 나나코 아그네스 타키온,,,,일러스트,"totetenr, damongsel",https://dongne.co/events/df2409/circles/132828,제27회 디. 페스타(토),Day1
체뱜,김체리,,,,,2sp,"마비노기,언데드 언럭",헌터X헌터,,,,,,일러스트,KMCHRR_L,https://dongne.co/events/df2409/circles/131513,제27회 디. 페스타(토),Day1
