링크,부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,행사명,개최일,팔로워수,미확보수
https://dongne.co/events/df2607/circles/167387,희:삐아체레 사천당가에디션,삐아체레,Y-19,Y,19,,2sp,화산귀환,,,,,,,"일러스트,공예",,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167396,룩?히마트,MD,S-11,S,11,,2sp,"괴담에떨어져도출근해야하는구나,괴담출근",,,"현무1팀,<괴담에 떨어져도 출근을 해야 하는구나> 작 중 캐릭터",,,,"공예,기타",MD_S168,제34회 디. 페스타(토),Day1,534,0
https://dongne.co/events/df2607/circles/168977,오. 안대썼네, 섬진,E-03b,E,03,b,1sp,오오에,,,"오오사키,신바시",오오사키X신바시,"로맨틱,섹슈얼,로맨틱",,"만화,일러스트",sobose_jin,제34회 디. 페스타(토),Day1,1142,0
https://dongne.co/events/df2607/circles/167768,너... 직업 바꿨냐?,닛츄,I-04,I,04,,2sp,엘소드,,엘소드 쁘띠존 :: 엘리오스 100년 살기,"청,라비,노아",셀레스티아X닉스피에타,로맨틱,,일러스트,u_uzz1,제34회 디. 페스타(토),Day1,223,0
https://dongne.co/events/df2607/circles/169051,ㅁㅁ,아사,D-05a,D,05,a,1sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167575,가자,밀재,U-05,U,05,,2sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168041,가자,삼삼오오징어,S-02a,S,02,a,1sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167549,게고,Iso,M-05,M,05,,2sp,주술회전,,게토고죠 쁘띠존 「맛있어져라~♥︎ 스구사토큥♡」,,,"로맨틱,섹슈얼",,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168389,고게,!,L-09a,L,09,a,1sp,주술회전,,,고죠 사토루 x게토 스구루,고죠 사토루X게토 스구루,로맨틱,,만화,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167458,곰굴,sara,J-16,J,16,,2sp,명탐정코난,,2026 아카아무 쁘띠존: 10VE 10OP,,아카이 슈이치X아무로 토오루,,,,ssr_akam,제34회 디. 페스타(토),Day1,153,0
https://dongne.co/events/df2607/circles/166911,기창,비비안,T-18a,T,18,a,1sp,이세계 착각 헌터,,기려창호 쁘띠존 : 함께 가요 2026 기창 엑스포,"김기려,강창호,기려창호",김기려X강창호,,,소설,sigbian,제34회 디. 페스타(토),Day1,892,0
https://dongne.co/events/df2607/circles/167434,달야,달야,D-09a,D,09,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,"데뷔 못 하면 죽는 병 걸림,마법 명가 차남으로 살아남는 법",,ALL,,,,일러스트,Dalya_png,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167770,띨롱, 이새,R-17b,R,17,b,1sp,괴담에 떨어져도 출근을 해야 하는구나,"진혼기,사이퍼즈,러브라이브 선샤인",,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/169166,리티,리티,C-19b,C,19,b,1sp,,,,,,,,,riti_1014,제34회 디. 페스타(토),Day1,5,0
https://dongne.co/events/df2607/circles/167092,미정,빼앰,Q-02,Q,02,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"이세계 착각 헌터,젤다의 전설",,"김솔음,이자헌,최요원,브라운,젤다,레밍",,,,,kkwaek_duck,제34회 디. 페스타(토),Day1,104,0
https://dongne.co/events/df2607/circles/168025,미정,콘,R-02,R,02,,2sp,"괴담에 떨어져도 출근을 해야 하는구나,데뷔 못 하면 죽는 병 걸림",,,"<데뷔 못 하면 죽는 병 걸림> 작 중 캐릭터,<괴담에 떨어져도 출근을 해야 하는구나> 작 중 캐릭터",,,,,coon_owo,제34회 디. 페스타(토),Day1,521,0
https://dongne.co/events/df2607/circles/168190,미정,김유록,D-20a,D,20,a,1sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168093,미정,기솜,D-16,D,16,,2sp,트라이건,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168471,미정,챠이,R-06,R,06,,2sp,"괴담출근,데못죽",,,,,,,,CHA_E_moum,제34회 디. 페스타(토),Day1,15800,0
https://dongne.co/events/df2607/circles/168268,배놀,리다,K-20b,K,20,b,1sp,원피스,미정,,"루피,상디,로우,코라손",루피X상디,"로맨틱,로맨틱",,만화,lukkikki,제34회 디. 페스타(토),Day1,1337,0
https://dongne.co/events/df2607/circles/167649,부슥,삥찌,T-05b,T,05,b,1sp,데뷔못하면죽는병걸림(데못죽),"괴담에 떨어져도 출근을 해야 하는구나,어두운바다의등불이되어(어바등),어두운 바다의 등불이 되어",,,,,,,bbing_zzi,제34회 디. 페스타(토),Day1,11300,0
https://dongne.co/events/df2607/circles/167021,소록,소록,G-19b,G,19,b,1sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168898,이리,이리,S-15,S,15,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,올캐러,,,,소설,iri0012draw,제34회 디. 페스타(토),Day1,14700,0
https://dongne.co/events/df2607/circles/167726,짜잔,,Z-03,Z,03,,2sp,포켓몬,가쿠마스,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167909,크림,💙,L-05,L,05,,2sp,수공예,수공예품,,,,로맨틱,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168219,회귀,여끼,F-19,F,19,,2sp,괴담출근 데못죽,"괴담출근,해즈빈호텔,해즈빈 호텔",✦ 웰컴 투 헬 ✦ - 헬라버스 쁘띠존,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167197,드림 컴 트루,리얼충,Y-01a,Y,01,a,1sp,프리파라,"사이퍼즈,카구라바치",,드림,,,,"만화,소설",,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167956,오오 또 부스 냇네,다희,Z-23,Z,23,,2sp,은혼,골든 카무이,,"타카스기,긴토키",타카스기 신스케X사카타 긴토키,로맨틱,,"만화,소설",Udi_ee,제34회 디. 페스타(토),Day1,1781,0
https://dongne.co/events/df2607/circles/167279,옷장 안 주막 세카이,"국주, 랙랙",A-22,A,22,,2sp,프로젝트 세카이,,루이츠카 쁘띠존【 달을 향해 별을 쏘아라 】,"텐마 츠카사,카미시로 루이",카미시로 루이X텐마 츠카사,로맨틱,,"만화,일러스트",LLS_0529,제34회 디. 페스타(토),Day1,14900,0
https://dongne.co/events/df2607/circles/168432,그딴 건 내가 그려야 해,덴트,H-03,H,03,,2sp,,,,,,,,"만화,일러스트",R8dent,제34회 디. 페스타(토),Day1,274,0
https://dongne.co/events/df2607/circles/166707,데뷔 못 하면 괴담에 떨어져서 해저기지 탈출하는 부스,하나이,P-01,P,01,,2sp,괴담에 떨어져도 출근을 해야 하는구나,"데뷔 못 하면 죽는 병 걸림,어두운 바다의 등불이 되어",,,,,,,_00365,제34회 디. 페스타(토),Day1,3573,0
https://dongne.co/events/df2607/circles/167154,떼인 돈 대신 갚아드립니다,먀먕,Z-14,Z,14,,2sp,너희들은 변호됐다,괴담에 떨어져도 출근을 해야 하는구나,,,강민재X차주한,로맨틱,,일러스트,mya_myang___,제34회 디. 페스타(토),Day1,1341,0
https://dongne.co/events/df2607/circles/168207,세븐 투 파이브,"♥♡, 칠오",M-07,M,07,,2sp,주술회전,,게토고죠 쁘띠존 「맛있어져라~♥︎ 스구사토큥♡」,"게토 스구루,고죠 사토루",게토 스구루X고죠 사토루,"섹슈얼,로맨틱",,,"Charcoal_725, tjgkwls",제34회 디. 페스타(토),Day1,5987,0
https://dongne.co/events/df2607/circles/168092,일단 쇼 하시오 ,호밬,A-24a,A,24,a,1sp,프로젝트 세카이,,루이츠카 쁘띠존【 달을 향해 별을 쏘아라 】,"루이,츠카사",카미시로 루이X텐마 츠카사,"로맨틱,로맨틱",,만화,hobak88fa,제34회 디. 페스타(토),Day1,3781,0
https://dongne.co/events/df2607/circles/167023,절대 안 비키실게요,치이,J-08a,J,08,a,1sp,명탐정 코난,,2026 아카아무 쁘띠존: 10VE 10OP,"아카이 슈이치,아무로 토오루",아카이슈이치X아무로토오루,"로맨틱,섹슈얼",,소설,chii_AASR,제34회 디. 페스타(토),Day1,2,0
https://dongne.co/events/df2607/circles/168648,경비 구역,미나,Q-10b,Q,10,b,1sp,괴담에 떨어져도 출근을 해야하는구나,,,,,,,,Mnna_pleasure,제34회 디. 페스타(토),Day1,220,0
https://dongne.co/events/df2607/circles/166697,꿈과 희망,ㄲㅁ,Y-05,Y,05,,2sp,Hollow knight (할로우 나이트),"소닉,Dead by daylight(데바데),오버워치",,,,,,,kkam_kiwi,제34회 디. 페스타(토),Day1,314,0
https://dongne.co/events/df2607/circles/166804,마리 공방,마리,G-15a,G,15,a,1sp,자수 수공예품,,,,,,,공예,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/169146,배구 경기 중 파문 및 스탠드 사용은 반칙입니다.,공주,K-14,K,14,,2sp,죠죠의 기묘한 모험,하이큐,,"시저 체펠리,죠셉 죠스타",시저 체펠리X죠셉 죠스타,"로맨틱,섹슈얼","(죠죠의 기묘한 모험) 죠린에르, (하이큐) 보쿠아카, 쿠로켄, ","만화,소설,일러스트",hhoddoo,제34회 디. 페스타(토),Day1,6202,0
https://dongne.co/events/df2607/circles/167734,장르 협상 실패,메이,S-21,S,21,,2sp,,"네가죽어,아이돌마스터,파라독스라이브,보컬로이드,캐릭캐릭체인지",,,,,,,Maii_050225,제34회 디. 페스타(토),Day1,1219,0
https://dongne.co/events/df2607/circles/166614,지금 가장 갖고 싶은 것 : 세계평화,도담,J-14a,J,14,a,1sp,명탐정 코난,,2026 아카아무 쁘띠존: 10VE 10OP,,아카이 슈이치X아무로 토오루,로맨틱,,소설,dd_akam,제34회 디. 페스타(토),Day1,270,0
https://dongne.co/events/df2607/circles/167343,진짜 ㄹㅇ 뭔가 보여 드립니다,레몬,W-20,W,20,,2sp,트위스테,,,,에이스 트래폴라X리들 로즈하트,,,소설,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/169320,정신 들면 한참 전부터 돈 없다,"재파, 사탕",C-08a,C,08,a,1sp,히프노시스 마이크,,히프노시스 마이크 쁘띠존,"아메무라 라무다,유메노 겐타로,아리스가와 다이스",아리스가와 다이스X유메노 겐타로,로맨틱,,"만화,일러스트","FPRGB_247, difficu1t_R",제34회 디. 페스타(토),Day1,102,0
https://dongne.co/events/df2607/circles/169147,나무 현재 희망 중에서 가장 좋은 건 무현재희,달빛,Y-09b,Y,09,b,1sp,어두운 바다의 등불이 되어,,,"박무현,김재희",박무현X김재희,,,소설,selenophi1ic,제34회 디. 페스타(토),Day1,131,0
https://dongne.co/events/df2607/circles/169293,둘이 먹다 세명 죽어도 모를 지로사부,바우리,C-20,C,20,,2sp,히프노시스마이크,,히프노시스 마이크 쁘띠존,"버스터브로스,야마다 이치로,야마다 지로,야마다 사부로",야마다 지로X야마다 사부로,"로맨틱,로맨틱",,"만화,일러스트,소설",hpmic_old,제34회 디. 페스타(토),Day1,275,0
https://dongne.co/events/df2607/circles/166899,네버 엔딩 스토리,쵸이,U-25,U,25,,2sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167811,볕이 드는 언덕길,쿠렌,U-03,U,03,,2sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167406,손목 핏줄 탐방기,SUNDANCE,O-02,O,02,,2sp,,,최솔 쁘띠존 : 달달하고 달콤한 세레나데,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/169041,푸른 용의 수호자,"후추, 십오, 경",T-15b,T,15,b,1sp,이세계 착각 헌터,,기려창호 쁘띠존 : 함께 가요 2026 기창 엑스포,"김기려,강창호",김기려X강창호,,,"만화,일러스트",hongtt000,제34회 디. 페스타(토),Day1,108,0
https://dongne.co/events/df2607/circles/166946,착한 아이 츄러스 하나 더 준다,jz,P-03,P,03,,2sp,괴담에 떨어져도 출근을 해야 하는구나,데뷔 못 하면 죽는 병 걸림,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167938,지는 쪽이 투지가 되는 걸로,뫄,I-19,I,19,,2sp,엘소드,,엘소드 쁘띠존 :: 엘리오스 100년 살기,,,,,"만화,일러스트",Mwamwa41,제34회 디. 페스타(토),Day1,67,0
https://dongne.co/events/df2607/circles/166706,저도 연애 아니면 관심 없어요,무광,H-14a,H,14,a,1sp,,,,,,,,,0doredore,제34회 디. 페스타(토),Day1,40,0
https://dongne.co/events/df2607/circles/167142,랩도 하고 마법도 씁니다.,kng01071,B-09,B,09,,2sp,파라라이,"마호야쿠,초심돌",,,,"로맨틱,섹슈얼","오웬카인, 하준이든, 현민재희",,SemoPara,제34회 디. 페스타(토),Day1,576,0
https://dongne.co/events/df2607/circles/167565,요샌 그냥 부대찌개,lmors,X-18b,X,18,b,1sp,어두운 바다의 등불이 되어,"이세계 착각 헌터,괴담에 떨어져도 출근은 해야 하는구나,데뷔 못하면 죽는 병 걸림,적국의 왕자로 사는 법",,,,,,"일러스트,소설",,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/166989,우리 가게 정상영업 합니다,QB,F-06,F,06,,2sp,해즈빈 호텔,헬루바보스,✦ 웰컴 투 헬 ✦ - 헬라버스 쁘띠존,헬라버스 캐릭터 다수,복스X알래스터,"로맨틱,해당없음",(뭐가나올지모름),"만화,일러스트",qb_hh_hb,제34회 디. 페스타(토),Day1,1758,0
https://dongne.co/events/df2607/circles/167566,이게 무슨 상황인가?,시민이,B-16,B,16,,2sp,히프노시스마이크,,히프노시스 마이크 쁘띠존,"야마다 지로,야마다 사부로",,로맨틱,,"만화,소설,기타",lbddu3,제34회 디. 페스타(토),Day1,52,0
https://dongne.co/events/df2607/circles/167606,장르 통일 실패했습니다,마멜,F-24b,F,24,b,1sp,"아이돌리쉬 세븐,86 -에이티식스-,비선실세 레이디,프리큐어",,,,,,,"만화,일러스트,소설",,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167605,장르 통일 실패했습니다,마멜,F-24a,F,24,a,1sp,"비선실세 레이디,프리큐어,86 -에이티식스-,아이돌리쉬 세븐",,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168010,공방 프리즘,리즈,G-10a,G,10,a,1sp,"괴담에 떨어져도 출근을 해야 하는구나,블랙배저","플레이브,어메이징 디지털 서커스,보석의나라",,,,,,공예,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/166608,니키 보호소,EK,E-09b,E,09,b,1sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168380,물을 마시자,모래두더지,L-18b,L,18,b,1sp,나의 히어로 아카데미아,"슬램덩크,헌터헌터,골든카무이,100m,주술회전,히카루가 죽은 여름",,"강백호,양호열,바쿠고,키리시마,키르아,곤,레오리오,크라피카 등등",,해당없음,키리시마x바쿠고,일러스트,molaedu02,제34회 디. 페스타(토),Day1,1221,0
https://dongne.co/events/df2607/circles/168422,블루 시프트,쓈,K-10a,K,10,a,1sp,유희왕 고러시!!,,,,즈위죠X유디아스,로맨틱,,,dareunsum06,제34회 디. 페스타(토),Day1,34,0
https://dongne.co/events/df2607/circles/167515,새싹 지킴이,밐미,V-25,V,25,,2sp,블루록,,,,,,,만화,alzalz025,제34회 디. 페스타(토),Day1,845,0
https://dongne.co/events/df2607/circles/169274,전자 제과점,Axice,F-02a,F,02,a,1sp,해즈빈 호텔,,✦ 웰컴 투 헬 ✦ - 헬라버스 쁘띠존,,복스X발렌티노,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168867,주민 쪼꼬지,주민,P-04,P,04,,2sp,괴담출근,"하이큐,은혼,나루토",,"나루토,카카시,긴토키,케로로,도로로,기로로",,,,일러스트,villager_zumin0,제34회 디. 페스타(토),Day1,8,0
https://dongne.co/events/df2607/circles/166630,지친 특덕들,mtona,W-06,W,06,,2sp,,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/175391,최솔 쁘띠존 : 달달하고 달콤한 세레나데 주최부스,,O-24,O,24,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,최솔 쁘띠존 : 달달하고 달콤한 세레나데,"최 요원,김솔음",최 요원X김솔음,"로맨틱,섹슈얼",,,choisollov,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168489,피는 물보다 달다,ura,U-07,U,07,,2sp,나루토,,,,,,,,,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/168395,룬의 아이들 완결 기념 최후의 끌어치기,은하,Y-12,Y,12,,2sp,룬의 아이들,,,<룬의 아이들> 작 중 캐릭터,막시민 리프크네X조슈아 폰 아르님,"로맨틱,섹슈얼",막핀(막시이스),소설,givmegalaxy,제34회 디. 페스타(토),Day1,71,0
https://dongne.co/events/df2607/circles/166967,마감 못하면 개가 되는 멍멍왈왈,아리스틸다,K-11,K,11,,2sp,죠죠의 기묘한 모험,국내 판무,,,,,,"만화,일러스트,소설",,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167577,카일 단장님 활짝 웃고 계시는데?,시오,W-14,W,14,,2sp,블랙배저,,블랙배저 NCP 쁘띠존: Mother tree's lullaby,힐데베르트,,,,"만화,일러스트,소설",dankixio,제34회 디. 페스타(토),Day1,1214,0
https://dongne.co/events/df2607/circles/167902,잇쨩 여기가 어디야 이분들 누구셔,서,B-18b,B,18,b,1sp,히프노시스마이크,,히프노시스 마이크 쁘띠존,"야마다 이치로,도안 카즈사토,하라이 쿠코,아이모노 쥬시",하라이쿠코X아이모노 쥬시,로맨틱,,"만화,일러스트","si_neba_iinoni, ynmbankai",제34회 디. 페스타(토),Day1,865,0
https://dongne.co/events/df2607/circles/167232,나랑 동시에 태어난 운명적인 공명 파트너,지기,D-07a,D,07,a,1sp,트라이건,,,밧슈 더 스탬피드,밀리온즈 나이브스X밧슈 더 스탬피드,"로맨틱,섹슈얼",,,_plantlover,제34회 디. 페스타(토),Day1,686,0
https://dongne.co/events/df2607/circles/167198,냄비 받침이 나옵니다,(0v0),N-21a,N,21,a,1sp,괴담에 떨어져도 출근을 해야 하는구나,,최솔 쁘띠존 : 달달하고 달콤한 세레나데,,최 요원X김솔음,,,만화,bsky:d-0v0-b,제34회 디. 페스타(토),Day1,,0
https://dongne.co/events/df2607/circles/167411,충격 외계인 진짜있음,MAYO,X-04a,X,04,a,1sp,"트랜스포머,별의 커비,바이오하자드,할로우나이트","이세계 착각 헌터,괴담에 떨어져도 출근을 해야 하는구나,울트라맨 시리즈",,,,"섹슈얼,로맨틱",,일러스트,frozenmayo_,제34회 디. 페스타(토),Day1,568,0
