부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
~사제가 정체성을 숨김~,달문,,,,,2sp,모브사이코 100,,모브레이 쁘띠존 : 모브레이 폭발까지 99%,,카게야마 시게오X레이겐 아라타카,,,,moonmoon318,https://dongne.co/events/df2404/circles/120318,제25회 디. 페스타,Day1
<-카이리스의 삼왕자를 믿기/신라의 삼왕자를 믿기->,진미,,,,,2sp,반월당의 기묘한 이야기,적국의 왕자로 사는 법,,삼왕자,,,,"일러스트,소설",im_best_food,https://dongne.co/events/df2404/circles/118497,제25회 디. 페스타,Day1
<다정한 독 인간 태풍> 주최부스,다정한 독 인간 태풍,,,,,2sp,,,다정한 독 인간 태풍,,,,,,,https://dongne.co/events/df2404/circles/120783,제25회 디. 페스타,Day1
<후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?)> 주최부스,후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?),,,,,2sp,,,후미텐 쁘띠존: 월드섹시엠버서더 지갑 탈취 대작전 (안돼? 왜?),,,,,,,https://dongne.co/events/df2404/circles/119232,제25회 디. 페스타,Day1
 귤맛 해파리,young9701,,,,,1sp,도쿄 리벤저스,,,"사노 만지로,하나가키 타케미치",,,,,110Mandarin,https://dongne.co/events/df2404/circles/119048,제25회 디. 페스타,Day1
 마법소녀변신중,"크런치, 베띠",,,,,2sp,캐릭캐릭체인지,"아이카츠,소울이터",,,,,,일러스트,"LUN_CH_, xx_betti",https://dongne.co/events/df2404/circles/119909,제25회 디. 페스타,Day1
.,무명,,,,,1sp,,,,,,,,"만화,일러스트",,https://dongne.co/events/df2404/circles/119572,제25회 디. 페스타,Day1
...뭐냐고. 나 전생에 화랑도이기라도 한 거냐고.,"7세기 미소년, 신라국밥",,,,,2sp,진혼기,,설영자하 쁘띠존: 악월(惡月)부터 고월(辜月)까지,,설영X자하,,,,,https://dongne.co/events/df2404/circles/119750,제25회 디. 페스타,Day1
(주) 무림미식회,단팥빵,,,,,2sp,월한강천록: 무림제일폐,,,유소월,홍륜X유소월,"로맨틱,섹슈얼","유원소월, 지서소월, 소월른","만화,일러스트",Annbbang,https://dongne.co/events/df2404/circles/119091,제25회 디. 페스타,Day1
"[단독] 가히리, 스핀오프라도 내줘라 '제발'",바리아충신모임,,,,,1sp,가정교사 히트맨 리본,,가히리요? 2024년에요?,바리아,잔저스X스쿠알로,,,,KHR_Varia_plz88,https://dongne.co/events/df2404/circles/121154,제25회 디. 페스타,Day1
@@!@,셈미,,,,,1sp,은혼,나루토 가비지타임,,나루토,전영중,해당없음,"영중준수 , 상호병찬 , 종수상호 , 종수병찬 ",일러스트,sem2_world,https://dongne.co/events/df2404/circles/120407,제25회 디. 페스타,Day1
날,톨톨,,,,,1sp,,,,,,,,만화,,https://dongne.co/events/df2404/circles/120125,제25회 디. 페스타,Day1
핫,갱,,,,,2sp,프로젝트 세카이,,,올캐릭,,,,일러스트,,https://dongne.co/events/df2404/circles/119263,제25회 디. 페스타,Day1
뭐 할 말 있어?,기하,,,,,2sp,가비지타임,,기상호 오른쪽 쁘띠존,기상호,최종수X기상호,"섹슈얼,해당없음",,"공예,만화",nongsig06,https://dongne.co/events/df2404/circles/120814,제25회 디. 페스타,Day1
두 가지 맛 농구,빡미,,,,,4sp,슬램덩크,가비지타임,,정우성,정우성X이명헌,"로맨틱,섹슈얼",종수찬양(가비지타임),"일러스트,소설,만화",bbakmakemecrazy,https://dongne.co/events/df2404/circles/118971,제25회 디. 페스타,Day1
두 마리 똑같은 다비냥?!,휴,,,,,2sp,나의 히어로 아카데미아,,,"다비,호크스",다비X호크스,"로맨틱,섹슈얼",,"소설,만화",huesark,https://dongne.co/events/df2404/circles/120242,제25회 디. 페스타,Day1
용 조심! 다 잡아먹음!,냥도,,,,,1sp,진혼기,,,"자하,설영,온이선배",,,,기타,nyangdoooo,https://dongne.co/events/df2404/circles/120211,제25회 디. 페스타,Day1
곧 죽어도 존 윅 하는 사람,바구리,,,,,2sp,영화 존윅,슬램덩크,,존윅,,,,,baguri_wick,https://dongne.co/events/df2404/circles/118652,제25회 디. 페스타,Day1
복 내려온다,오복,,,,,1sp,천관사복,,,사련 화성,화성X사련,,,일러스트,obok_5,https://dongne.co/events/df2404/circles/120722,제25회 디. 페스타,Day1
이 햄바거가 네 햄바거냐,규남,,,,,1sp,가비지타임,,Habitual romance on April 31st,"전영중,성준수",,,,만화,Salv_Temp14,https://dongne.co/events/df2404/circles/119079,제25회 디. 페스타,Day1
아 우리장르 마이너 아니라고요,스,,,,,1sp,"사이키 쿠스오의 재난,천지창조 디자인부,갈릴레오 시리즈",,,,,,,,,https://dongne.co/events/df2404/circles/119164,제25회 디. 페스타,Day1
