부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
< 팀 앙상블 >,별모래,,,,,2sp,"수공예,레진공예,비즈공예,뜨개공예","일러스트,일러스트 문구",,,,,,"일러스트,공예,조형,기타",,https://dongne.co/events/df2507/circles/146661,제30회 디. 페스타(토),Day1
"<우리 백청이지 않은가, 소형제?> 주최부스","우리 백청이지 않은가, 소형제?",,,,,2sp,,,"우리 백청이지 않은가, 소형제?",,,,,,,https://dongne.co/events/df2507/circles/147050,제30회 디. 페스타(토),Day1
<추억이 밧울밧울> 주최부스,추억이 밧울밧울,,,,,2sp,,,추억이 밧울밧울,,,,,,,https://dongne.co/events/df2507/circles/147266,제30회 디. 페스타(토),Day1
<게토고죠 쁘띠존> 주최부스,게토고죠 쁘띠존,,,,,2sp,,,게토고죠 쁘띠존 ROOM No. 725,,,,,,,https://dongne.co/events/df2507/circles/145849,제30회 디. 페스타(토),Day1
<견원지간(=?) : 나루호시 쁘띠존> 주최부스,견원지간(=?) : 나루호시 쁘띠존,,,,,2sp,,,견원지간(=?) : 나루호시 쁘띠존,,,,,,,https://dongne.co/events/df2507/circles/148031,제30회 디. 페스타(토),Day1
                                                                               정령정 대신 전해드립니다,"어묵, 노다지",,,,,2sp,블리치,,,"아바라이 렌지,쿠치키 루키아,이치마루 긴,마츠모토 란기쿠",아바라이 렌지X쿠치키 루키아,"로맨틱,섹슈얼",긴란,"만화,일러스트",amugonagurim__,https://dongne.co/events/df2507/circles/147081,제30회 디. 페스타(토),Day1
  세포동아리,주야,,,,,2sp,세포신곡,,세포신곡 쁘띠존 2회 因子 : 梅雨 ,"아토 하루키,카노 아오구",,,,"만화,일러스트,기타",ax_v7i,https://dongne.co/events/df2507/circles/146590,제30회 디. 페스타(토),Day1
-                                                                                                                                                                                        게토가고죠를앙앙앙,-,,,,,1sp,주술회전,,게토고죠 쁘띠존 ROOM No. 725,"게토 스구루,고죠 사토루",게토 스구루X고죠 사토루,"섹슈얼,로맨틱",,"일러스트,기타",,https://dongne.co/events/df2507/circles/147430,제30회 디. 페스타(토),Day1
.,.,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2507/circles/148008,제30회 디. 페스타(토),Day1
.,추후변경,,,,,1sp,,,,,,,,만화,,https://dongne.co/events/df2507/circles/146939,제30회 디. 페스타(토),Day1
....웨옹,사구,,,,,1sp,괴담에 떨어져도 출근을 해야 하는구나,,,"김솔음,백사헌,최요원,이자헌",,,,,SAAGU49,https://dongne.co/events/df2507/circles/147134,제30회 디. 페스타(토),Day1
"""어둠 그까이꺼 기세면 되지않겠습니까"" [실종엔딩]",설담,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,,,"김기려,김솔음,김독자",,,,일러스트,seol_dam_,https://dongne.co/events/df2507/circles/147261,제30회 디. 페스타(토),Day1
"( ᐢ, ,ᐢ) 내겐너무거대한티비",타지,,,,,1sp,괴담출근,죠죠의기묘한모험,,"김솔음,브라운",김솔음X브라운,로맨틱,,"일러스트,만화",baekilmong91,https://dongne.co/events/df2507/circles/146022,제30회 디. 페스타(토),Day1
(주) 호장물산,최고점수,,,,,2sp,아이돌리쉬 세븐,,,,미도 토라오X오오사카 소고,,,"만화,일러스트",YOURBESTSCORE,https://dongne.co/events/df2507/circles/147191,제30회 디. 페스타(토),Day1
(주) 무림미식회,단팥빵,,,,,1sp,무림제일폐: 월한강천록,,,유소월,홍륜X소월,"로맨틱,섹슈얼","유원소월,소월른","만화,일러스트",Annbbang,https://dongne.co/events/df2507/circles/146571,제30회 디. 페스타(토),Day1
(주)다이바건설,sikeun/오진,,,,,2sp,오오에,,,,오오사키X시즈마,,오오신,,"uzxkarma, ooojinjin",https://dongne.co/events/df2507/circles/147418,제30회 디. 페스타(토),Day1
[종착역 : 낙원],실컷 & 만두,,,,,2sp,주술회전,,게토고죠 쁘띠존 ROOM No. 725,"게토 스구루,고죠 사토루",게토 스구루X고죠 사토루,"로맨틱,섹슈얼",,"만화,일러스트,소설","Silkeot_, man_du0817",https://dongne.co/events/df2507/circles/148312,제30회 디. 페스타(토),Day1
&&___**,"올리브, 함",,,,,2sp,프로젝트 세카이,,,"쿠사나기 네네,카미시로 루이",카미시로 루이X쿠사나기 네네,,,소설,,https://dongne.co/events/df2507/circles/146511,제30회 디. 페스타(토),Day1
← 양기 수집가를 믿기       음기 수집가를 믿기 →,"마, 헤즈",,,,,2sp,데뷔 못 하면 죽는 병 걸림,,,차유진 김래빈 신재현 류건우,차유진X김래빈,,청려건우,,M03061111,https://dongne.co/events/df2507/circles/148051,제30회 디. 페스타(토),Day1
ㅂ,Nacho,,,,,1sp,,,,,,,,,,https://dongne.co/events/df2507/circles/147557,제30회 디. 페스타(토),Day1
냠,,,,,,2sp,,,,,,,,일러스트,,https://dongne.co/events/df2507/circles/147323,제30회 디. 페스타(토),Day1
넵,챠비별,,,,,2sp,,,,,,,,,,https://dongne.co/events/df2507/circles/146967,제30회 디. 페스타(토),Day1
왹,비비42,,,,,1sp,이세계착각헌터,"괴담출근,데못죽",,레밍,,,,소설,hb_dkr,https://dongne.co/events/df2507/circles/146271,제30회 디. 페스타(토),Day1
음,갸옹,,,,,2sp,괴담출근,전독시,,김솔음,최요원X김솔음,"로맨틱,섹슈얼","사헌솔음, 자헌솔음, 브라운솔음, 중혁독자","일러스트,만화",masitdaghost_77,https://dongne.co/events/df2507/circles/146749,제30회 디. 페스타(토),Day1
잉,.,,,,,2sp,괴담에 떨어져도 출근을 해야 하는구나,슬램덩크,,,,,,,,https://dongne.co/events/df2507/circles/147578,제30회 디. 페스타(토),Day1
헷,해현,,,,,2sp,원피스,,,트라팔가 로우,,,,,Law_S2__,https://dongne.co/events/df2507/circles/145877,제30회 디. 페스타(토),Day1
