부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크
시미네,nilsoul.blog.me,,1sp,,,,홍시,,,,,https://dongne.co/event/dice01/circles/111313
신님은 주사위 게임 당근빳따죠,요븐,,1sp,,,,,,,,"소설,공예,기타",https://dongne.co/event/dice01/circles/104565
아컴가 32번지,유칼리,,1sp,,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/142955
여타 다를 것 없는 TRPG 부스,여타,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/167598
우리집 정수기는 압호스의 자식 나온다,덕금,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/108469
유 어 에프 You are F,교수,,1sp,,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105857
이경원양어선,율리피쉬,,2sp,,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/105626
인세인은 거꾸로 말해도 인세인,연호,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105539
일단 마법사를 우주로 던지고 시작한다,김예섭,,2sp,,,문호특설우정국 「낭만사서함」,,,,,"게임,일러스트",https://dongne.co/event/dice01/circles/144193
일정은펌블나도마감은크리티컬,백쏘,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/105381
잉큼공방,호마마,,2sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/141378
자급자족,aken,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,공예",https://dongne.co/event/dice01/circles/120715
"장면 개시, 신화생물의 기벽이 발동합니다. 1D6",슭곰,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/145634
적장의 마감을 따왔습니다,"곽두칠, 밤나비",,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/106018
친구 따라 티알하자,큐,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/105529
탁상예능,최믹하,,4sp,,,,,,,,,https://dongne.co/event/dice01/circles/103537
트리플 호구즈,한연서,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/104096
피플여객 디페스타지점,펠타누,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/104731
핫스파이시크툴루버거세트,피바다,,2sp,,,,-,,해당없음,-,기타,https://dongne.co/event/dice01/circles/105924
2년 전에 신청하고 까먹고 있었는데 갑자기 행사가 한 달 뒤라고요?,9999,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105096
CHERRY-PICKING-PARTY,최리,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/106085
Dreadful Romanticism,오피디아,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/111544
J룰 하기 좋은 날,메로닝,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/143056
Last Nighty,147,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/140595
LIMIT,SIHA,,1sp,,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/143190
n선상의 다이스,Team.cosmos,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/144783
Project KUKI 프로젝트 쿠키,프로젝트 쿠키,,4sp,,,,,,,,,https://dongne.co/event/dice01/circles/105375
San체크 /r 1D100,해산물,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/148055
silverforest,은림,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/145123
slice and dice,데지,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/167886
Team HATS,"H_M, 파란모자",,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/106615
TEAM MATIZ,B,,1sp,,,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/142848
Team. MiLet,콜렛,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/106304
Team.LUNACY,MILK,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105711
Xero Crescent,휴엔,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/109319
You Are F,교수,,2sp,,,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/141940
ZB,BLEN,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143079
겁스민,스민,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/143120
공중화장실,선녀,,1sp,,,,X,,해당없음,,게임,https://dongne.co/event/dice01/circles/106410
그레이 스칼렛,스칼,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/144731
금서가 말아주는 마법 한 술! 아 맛있다!,솔잎,,1sp,,,문호특설우정국 「낭만사서함」,1차,,해당없음,,소설,https://dongne.co/event/dice01/circles/144910
날팔이,포리,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143265
너와 나의 세계,김로엘,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/103823
노는 여자들,서한아,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105905
뇌크로노미콘 상회 UGN 지점,언데드,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,"소설,기타",https://dongne.co/event/dice01/circles/104887
다이스 파스타?,밤,,1sp,,,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/149752
달 뒷면 토끼파,녹차하임,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/105678
달빛 다과회,유페,,2sp,,,,,,,,"공예,게임,기타",https://dongne.co/event/dice01/circles/105937
덥크시날집나옵니다아마도,김치트,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105590
도토리 식냥,"Chito, 구남친, 먼지",,2sp,,,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/141364
둘이서 하나,동전,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/111433
드림랜드,Zzz,,1sp,,,,신화생물,,해당없음,,"기타,게임",https://dongne.co/event/dice01/circles/105820
마그네틱 러브 하이웨이,헤르츠,,2sp,,,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/105140
마롱이네 다이스가게,ohmarron,,1sp,,,,,,,,"일러스트,공예,조형,기타",https://dongne.co/event/dice01/circles/108751
마션,LD,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/142826
망치&아오빡쳐,AozukiRen,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/106105
머리 넷 달린 생선,플랫피쉬,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142879
멸망한 세계로도 김치를 담글 수 있나요,해진,,2sp,,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/148217
미정,ㄹㅇ,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/166619
밀가루로만든롱스틱,롱스틱,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105965
배쓰밤 진열대,팀 배쓰밤,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/103639
부스명뭐로해,팀 33,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/117242
브루클린 육아일기,김수영,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/103708
생의찬가,플리,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/112527
쉿♥ 장어낚시 중 (키리타니 출입금지),쏘빙,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142636
쉿♥︎ 장어손질중 (후지사키도 출입금지),DD,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"소설,기타",https://dongne.co/event/dice01/circles/152836
시나1,시나,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105391
시나리오는 내가 쓸게 플레이는 누가 할래,퐁듀,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/150231
신조차모독하는사상최대의천재,호제,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/109456
아론의 사제,소율,,1sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/105774
아마도 해피엔딩,ADN,,1sp,,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/108740
아자 아자 아자토스!!,상자,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/105088
에트랑제 앨리스,시나,,2sp,,,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/147995
월요일은 아니지만 뭐든지 해봅니다: 더블크로스!,해바라이온,,2sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,게임,https://dongne.co/event/dice01/circles/141120
이거 변경이 되나요?,치즈,,1sp,,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/109672
이름뭐하지,소낙,,2sp,,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105619
읽던 다중단편세계록을 덮는다. 과연 그렇게 된 것인가.,니에즈피,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/105659
저랑 티알하실 분,도먀,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/150368
제정신아닌부스,명몽,,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/155524
종말에 시간 되세요? 세션 하나 하실 수 있으세요?,아프로,,1sp,,,,,,,,"게임,기타",https://dongne.co/event/dice01/circles/105472
주사위맹목회,이사부,,1sp,,,,,,,,"소설,기타",https://dongne.co/event/dice01/circles/103862
최후의 직장인과 이성의 부름,사사,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/142129
카페인페인,루와즈,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/142995
코인세탁,하인,,1sp,,,,,,,,"만화,게임",https://dongne.co/event/dice01/circles/104076
큐리하게,큐리,,1sp,,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/117986
크리뜨면시날주는부스,"강하유, 마일",,1sp,,,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/150441
크툴루와 함께하는 둘이서 수사,"냠맹, 김익",,1sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/105013
크툴루의 부업,얀별,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105203
탐사자보호협회,집사,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/143008
토깽이 TRPG 분점,K,,2sp,,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104769
팀 낙원,낙원,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/105562
팀 푸른꽃,청염,,4sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/109470
플라톤은 반드시 부흥한다,소쿠리단지,,2sp,,,문호특설우정국 「낭만사서함」,,,,,"소설,게임",https://dongne.co/event/dice01/circles/142337
해외 원양어선,상실,,1sp,,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/144079
환상부엉공방,지현,,1sp,,,문호특설우정국 「낭만사서함」,,,,,"소설,공예",https://dongne.co/event/dice01/circles/142695
휴식처,prekim02,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/106282
