부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,링크
"""당신만이 살 수 있는 굿즈입니다""",MAE,,2sp,,,제1회 UGN 한국지부 비공식 워크숍,,,해당없음,,"일러스트,소설",https://dongne.co/event/dice01/circles/144172
'그거' 있어요?,심연,,2sp,,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/106096
Bury Me,베리미,,2sp,,,,,,,,"공예,소설",https://dongne.co/event/dice01/circles/105970
Chat_Noir,샤님,,1sp,,,,,,,,"기타,공예,게임",https://dongne.co/event/dice01/circles/143009
LOOK,look,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/105610
Minari Handmade,끼랴,,1sp,,,,,,,,"공예,기타",https://dongne.co/event/dice01/circles/105898
MY FIRST TABLETOP,우롱,,2sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,기타,https://dongne.co/event/dice01/circles/142773
RGBK,날치,,2sp,,,문호특설우정국 「낭만사서함」,,,,,,https://dongne.co/event/dice01/circles/106235
SAN치 핀치 오버드!,Team SHiKL,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,"기타,소설",https://dongne.co/event/dice01/circles/104139
Sarvant on the Ground,사라반트,,4sp,,,문호특설우정국 「낭만사서함」,,,,,소설,https://dongne.co/event/dice01/circles/104981
TEAM HOGIZ,수석,,2sp,,,,,,,,"일러스트,소설,기타",https://dongne.co/event/dice01/circles/104996
TEAM SF,먼지,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/142827
Team. BeanDust,번,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105795
Team. Zodiac,태양,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/104518
Team. 라퓨타,수연,,4sp,,,,,,,,"게임,소설",https://dongne.co/event/dice01/circles/105293
Team. 오아시스,팀 오아시스,,4sp,,,,,,,,"소설,게임",https://dongne.co/event/dice01/circles/103657
WE MAKE CODEX BETTER,세롬,,1sp,,,문호특설우정국 「낭만사서함」,,,,,기타,https://dongne.co/event/dice01/circles/144859
《마감》으로 공포판정,로맨틱쿼카,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/104988
공포심 10개 모으면 괴이로 교환해드려요,사부,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/105548
까까인,고슴도치,,1sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/105331
꽁치수산,"제림, 엔난",,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/103733
나라 얻은 아나키스트처럼 울었다,뽀,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/106280
남시우 디자인계,,,2sp,,,,X,,해당없음,X,"공예,기타",https://dongne.co/event/dice01/circles/104439
내멋대로 TRPG,연어,,1sp,,,,,,,,"게임,공예",https://dongne.co/event/dice01/circles/105686
느짓살이,단삭,,1sp,,,제1회 UGN 한국지부 비공식 워크숍,,,,,소설,https://dongne.co/event/dice01/circles/142867
다시 태어나면 쨍(WoD)은 하지 않겠습니다.,팀더스테인,,1sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/142911
두 개의 나선,얼음님,,1sp,,,,,,,,,https://dongne.co/event/dice01/circles/106441
두부만두,치쯔,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/104243
둘이서 듀엣,유감,,1sp,,,,,,,,"기타,소설",https://dongne.co/event/dice01/circles/167409
둘이서 크툴루~당신과 친해지는.... 친해지나요? 하여튼 그겁니다~,용봉,,2sp,,,,,,,,,https://dongne.co/event/dice01/circles/120857
북극곰 이웃집,NAKA,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/105586
블루밍하우스,에피,,2sp,,,,,,,,"만화,기타,영상",https://dongne.co/event/dice01/circles/104442
빵 굽는 공장,치즈빵,,2sp,,,,,,,,게임,https://dongne.co/event/dice01/circles/104348
사교도를 뛰어넘어 신화생물이 된다,김대리,,2sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/103900
상앚동 여우집,앚,,2sp,,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/104549
새 책을 내고 싶었습니다만 어느 틈에 벌써,기린,,1sp,,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/105418
색다르고 상상이상의 환장,Pluto,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/105430
샤방샤방 샤그나판,비지,,2sp,,,,,,,,"기타,게임",https://dongne.co/event/dice01/circles/103700
수달의 작업실,김수달,,1sp,,,,,,,,공예,https://dongne.co/event/dice01/circles/104445
슈툴루공방,슈림,,2sp,,,,,,,,소설,https://dongne.co/event/dice01/circles/105893
스페셜 띄우세요,도고,,1sp,,,,,,,,기타,https://dongne.co/event/dice01/circles/144196
