작품(장르)명,1위,2위,3위,4위,5위
아이돌 마스터 신데렐라 걸즈,아이돌 마스터 신데렐라걸즈,아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸스,아이돌 마스터
아이돌 마스터 side M,아이돌마스터sideM,아이돌마스터 sideM,아이돌마스터 SideM,아이돌마스터 sidem,아이돌 마스터
Sidem,,,,,
아이돌 마스터 밀리언 라이브,아이돌 마스터 밀리언 라이브!,아이돌마스터 밀리언라이브,아이돌마스터 밀리언 라이브,아이돌 마스터,아이돌 마스터 시리즈
아이돌리쉬 세븐,아이돌리쉬 세븐.,아이돌리쉬세븐,아이돌리쉬7,아이돌리쉬 세븐(IDOLiSH7),아이돌리 프라이드
아이돌마스터,아이돌 마스터,아이돌마스터/페이트,아이돌마스터sideM,아이돌마스터 사이드M,아이돌 마스터 시리즈
러브라이브,러브라이브!,러브라이브 선샤인,러브라이브! 선샤인,러브라이브! 선샤인!!,러브라이브 스쿨아이돌 페스티벌 올스타
킹 오브 프리즘,킹오브프리즘,킹프리 프리즘스톤,,,
앙상블 스타즈(앙스타),앙상블 스타즈!(앙스타),앙상블스타즈(앙스타),앙상블 스타즈!!(앙스타),앙상블 스타즈 앙스타,앙상블스타즈 앙스타
The Idolm@ster Cinderella Girls,,,,,
츠키우타,,,,,
반야로,반야로(밴드하자!),반야로 (밴드하자!,,,
아이돌마스터 side m,아이돌마스터 sidem,아이돌마스터 sideM,아이돌마스터 Side M,아이돌마스터sideM,아이돌마스터 SideM
아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸스,아이돌 마스터 신데렐라걸즈,아이돌 마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지
idolm@ster SideM,,,,,
B-Project,B-project,-,,,
King of prism,king of prism,King Of Prism,킹오브프리즘(킹프리/king of prism),,
아이돌마스터 Side M,아이돌마스터 SideM,아이돌마스터 sideM,아이돌마스터 side m,아이돌마스터sideM,아이돌마스터 sidem
아이돌마스터신데렐라걸즈 스타라이트스테이지 (데레스테),아이돌마스터 신데렐라걸즈 스타라이트스테이지(신데마스/데레스테),아이돌마스터 신데렐라걸즈 스타라이트 스테이지,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,아이돌마스터 신데렐라 걸스,아이돌마스터 신데렐라걸즈
앙상블스타즈!,앙상블 스타즈!,앙상블스타즈!!,앙상블스타즈,앙상블 스타즈!!,앙상블 스타즈
러브라이브! 선샤인!!,러브라이브! 선샤인,러브라이브 선샤인,러브라이브!,러브라이브,
츠키노예능프로덕션,츠키프로,츠키프로(츠키노 프로덕션),,,
.,D.Gray-man,,,,
아이돌마스터 밀리언 라이브,아이돌마스터 밀리언라이브,아이돌 마스터 밀리언 라이브,아이돌 마스터 밀리언 라이브!,아이돌마스터,아이돌마스터 사이드M
아이나나,,,,,
king of prism,King of prism,King Of Prism,킹오브프리즘(킹프리/king of prism),,
아이돌 마스터,아이돌마스터,아이돌 마스터 시리즈,아이돌 마스터 side M,아이돌 마스터 신데렐라걸즈,아이돌 마스터 신데렐라 걸즈
A3!(에스리),A3!(에이쓰리),A3!,A3,,
아이돌마스터 SideM,아이돌마스터 Side M,아이돌마스터 sideM,아이돌마스터sideM,아이돌마스터 sidem,아이돌마스터 side m
킹오브프리즘,킹 오브 프리즘,킹프리,킹오브프리즘(킹프리/king of prism),킹프리 프리즘스톤,
앙상블스타즈(앙스타),앙상블 스타즈(앙스타),앙상블 스타즈!(앙스타),앙상블 스타즈!!(앙스타),앙상블스타즈 앙스타,앙상블 스타즈 앙스타
밴드하자!(반야로),밴드하자!,,,,
반도리,,,,,
아이돌리쉬세븐,아이돌리쉬 세븐,아이돌리쉬 세븐.,아이돌리쉬7,아이돌리쉬 세븐(IDOLiSH7),
아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,아이돌마스터 신데렐라걸즈 스타라이트 스테이지,아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸스,아이돌마스터 신데렐라걸즈 스타라이트스테이지(신데마스/데레스테),아이돌마스터 신데렐라걸즈
앙스타/앙상블 스타즈,앙스타 / 앙상블 스타즈,앙스타(앙상블 스타즈!!),앙스타 앙상블 스타즈,앙스타 (앙상블 스타즈),앙상블 스타즈 앙스타
앙스타 (앙상블 스타즈),앙스타 앙상블 스타즈,앙스타(앙상블 스타즈!!),앙상블 스타즈(앙스타),앙상블 스타즈!(앙스타),앙스타 / 앙상블 스타즈
아이돌마스터 신데렐라걸즈 스타라이트스테이지(신데마스/데레스테),아이돌마스터 신데렐라걸즈 스타라이트 스테이지,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,아이돌마스터신데렐라걸즈 스타라이트스테이지 (데레스테),아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸즈
King Of Prism,King of prism,king of prism,킹오브프리즘(킹프리/king of prism),,
꿈의라이브프리즘스톤,꿈의라이브프리즈스톤,이브,,,
아이돌 마스터 신데렐라걸즈,아이돌 마스터 신데렐라 걸즈,아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸스,아이돌 마스터
반야로(밴드하자!),반야로 (밴드하자!,밴드하자!,반야로,,
뱅드림(반도리),뱅드림,뱅드림!,,,
츠키프로,츠키노예능프로덕션,츠키프로(츠키노 프로덕션),,,
뱅드림!,뱅드림,뱅드림! 걸즈밴드파티!,뱅드림! 걸즈 밴드 파티!,뱅드림(반도리),
러브라이브 선샤인,러브라이브! 선샤인,러브라이브! 선샤인!!,러브라이브,러브라이브!,
노래의 왕자님,노래하는 왕자님(우타프리),,,,
아이돌마스터 sidem,아이돌마스터 side m,아이돌마스터 sideM,아이돌마스터sideM,아이돌마스터 SideM,아이돌마스터 Side M
아이돌마스터 신데렐라걸즈 스타라이트 스테이지,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,아이돌마스터 신데렐라걸즈 스타라이트스테이지(신데마스/데레스테),아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸스
신데렐라스테이지,데레스테,신데마스,,,
아이돌리쉬7,아이돌리쉬세븐,아이돌리쉬 세븐,아이돌리쉬 세븐.,아이돌리쉬 세븐(IDOLiSH7),아이돌리 프라이드
앙스타 데레스테,앙스타,앙스타 +a,앙상블스타즈 앙스타,,
아이돌마스터 sideM (사이마스),아이돌마스터 sideM,아이돌마스터sideM,아이돌마스터 side m,아이돌마스터 SideM,아이돌마스터 sidem
앙상블 스타즈!(앙스타),앙상블 스타즈!!(앙스타),앙상블 스타즈(앙스타),앙상블스타즈(앙스타),앙상블 스타즈 앙스타,앙상블 스타즈!
아이돌마스터sideM,아이돌마스터 sideM,아이돌 마스터 side M,아이돌마스터 SideM,아이돌마스터 sidem,아이돌마스터 side m
러브라이브! 선샤인,러브라이브 선샤인,러브라이브! 선샤인!!,러브라이브!,러브라이브,
아이돌마스터 사이드M,아이돌마스터,아이돌마스터 sideM,아이돌마스터 SideM,아이돌 마스터,아이돌마스터 Side M
사운드볼텍스,,,,,
단간론파,슈퍼단간론파,슈퍼단간론파2,뉴단간론파V3,슈퍼 단간론파2,단간론파 시리즈
오토메 게임,오토메게임,오토메게임 이것저것,메트로 게임,,
idolish7,Idolish 7,,,,
마기아레코드,,,,,
Fate grand oder,Fate/Grand oder,Fate/GrandOrder,fate/grand order,Fate,Fate/Grand Order
페이트그랜드오더,페이트/그랜드오더,페이트 그랜드오더,페이트 그랜드 오더,페이트/그랜드 오더,페이트그랜드 오더 etc)
Ff14,FF14,FF14),ff14),,
MELTING (2018/3월 모바일게임 출시 예정),,,,,
페이트 그랜드 오더,페이트 그랜드오더,페이트그랜드오더,페이트/그랜드오더,페이트 그랜드 오더(페그오),페이트/그랜드 오더
파이널판타지15,파이널판타지14,파이널판타지,파이널 판타지14,파이널판타지 14,파이널 판타지
페르소나3,페르소나,페르소나5,페르소나4,페르소나 Q,페르소나 시리즈
파이널 판타지 14 파판14,파이널 판타지 14(파판14,파이널 판타지 14,파이널 판타지14,파이널 판타지 4,파이널판타지14
섬의궤적,섬의 궤적,하늘의 궤적,,,
Fate,fate,Fate/GrandOrder,Fate grand oder,Fate/Grand oder,Fate/stay night
슈퍼 단간론파 2,슈퍼 단간론파2,슈퍼단간론파2,슈퍼단간론파,단간론파,뉴 단간론파 V3
FF14,FF14),Ff14,FF14(파이널판타지14),OFF,
SHOW BY ROCK!!,SHOW BY ROCK!,,,,
소닉 더 헤지혹 (게임),소닉,,,,
TRPG,TRPG 인세인 팬메이드 시나리오,,,,
페그오,페이트그랜드 오더 etc),페이트 그랜드 오더(페그오),,,
파이어 엠블렘,파이어엠블렘,파이어 엠블렘 풍화설월,파이어엠블렘풍화설월,파이어엠블렘 시리즈,파이어엠블렘 풍화설월
그랑블루판타지,그랑블루 판타지,,,,
트럼프. 화투,,,,,
앙스타 반야로,앙스타,앙스타 +a,,,
Fgo,fgo,,,,
섬의 궤적,섬의궤적,하늘의 궤적,,,
슈퍼단간론파2,슈퍼 단간론파2,슈퍼단간론파,슈퍼 단간론파 2,단간론파,슈퍼단간론파2~안녕히 절망학원~
슈퍼 단간론파2,슈퍼 단간론파 2,슈퍼단간론파2,슈퍼단간론파,단간론파,슈퍼단간론파2~안녕히 절망학원~
하늘의 궤적,섬의 궤적,섬의궤적,,,
라이프 이즈 스트레인지,닥터 스트레인지,닥터스트레인지,,,
검은방,,,,,
파이널 판타지14,파이널 판타지 14,파이널판타지14,파이널 판타지,파이널 판타지 4,파이널판타지 14
월드오브워크래프트,,,,,
매스이펙트,매스 이펙트,,,,
머나먼 시공 속에서6,,,,,
소녀전선,,,,,
페이트 (fate),페이트,,,,
마비노기,마비노기 영웅전,,,,
리니지,오리지널,오리지날,니지산지,,
데드 바이 데이라이트,데드바이데이라이트),데바데,,,
단간론파 시리즈,단간론파,소닉 시리즈,슈퍼단간론파,궤적 시리즈,파이어엠블렘 시리즈
소닉,소닉 시리즈,소닉 더 헤지혹 (게임),,,
파이널 판타지,파이널판타지,파이널 판타지14,파이널 판타지 4,파이널 판타지 14,파이널 판타지 시리즈
포탈,,,,,
서양게임,,,,,
소닉 시리즈,페르소나 시리즈,소닉,궤적 시리즈,페이트 시리즈,유희왕 시리즈
메이플,메이플스토리,,,,
슈퍼로봇대전,슈퍼로봇대전OG시리즈,슈퍼전대,,,
몬스터헌터,몬스터헌터 xx,,,,
Rayark Games,,,,,
FFXIV,FFXV,,,,
레벨1 용사,레벨1용사,,,,
레트로게임,메트로 게임,,,,
메이플스토리,메이플,스타스토리,,,
장미에 감춰진 베리테,,,,,
록맨,,,,,
그랜드체이스,,,,,
절벽토끼,,,,,
오버워치/파이널판타지,오버워치,,,,
슈퍼단간론파2~안녕히 절망학원~,슈퍼단간론파2,슈퍼단간론파,슈퍼 단간론파2,단간론파,슈퍼 단간론파 2
Fate/Grand Order,Fate/GrandOrder,Fate/Grand oder,fate/grand order,Fate,Fate grand oder
돈스타브,앙스타,,,,
fate,Fate,fate/stay night,fate/grand order,fate stay night(UBW),
슈퍼단간론파,슈퍼단간론파2,슈퍼 단간론파2,단간론파,슈퍼 단간론파 2,슈퍼단간론파2~안녕히 절망학원~
크툴루의 부름 TRPG,크툴루의 부름,,,,
테일즈 오브 제스티리아,테일즈오브제스티리아,,,,
킹프리 프리즘스톤,킹프리,킹 오브 프리즘,킹오브프리즘,,
디트로이트 : 비컴 휴먼,디트로이트 비컴 휴먼,디트로이트비컴휴먼,,,
그랑블루 판타지,그랑블루판타지,,,,
페이트/그랜드 오더,페이트/그랜드오더,페이트그랜드오더,페이트 그랜드오더,페이트 그랜드 오더,페이트그랜드 오더 etc)
디트로이트 비컴 휴먼,디트로이트비컴휴먼,디트로이트 : 비컴 휴먼,,,
오버워치(OVERWATCH),오버워치,,,,
드래곤에이지 인퀴지션,드래곤에이지,드에,,,
구운몽 ~어느 소녀의 사랑이야기~,,,,,
클로저스,,,,,
페스나,페르소나,,,,
뉴단간론파v3 (단간론파 시리즈),단간론파,뉴단간론파V3,,,
수상한 메신저,,,,,
씰(운명의 여행자),,,,,
타입문(페이트시리즈/월희/멜티블러드/공의경계/마법사의밤),페이트시리즈,,,,
디트로이트비컴휴먼,디트로이트 비컴 휴먼,디트로이트 : 비컴 휴먼,,,
페르소나,페르소나3,페르소나5,페르소나4,페르소나 Q,페르소나 시리즈
Fate/Grand oder,Fate/Grand Order,Fate/GrandOrder,fate/grand order,Fate grand oder,Fate
영웅전설 섬의 궤적,영웅전설 시리즈,,,,
블러드본,,,,,
파이어엠블렘 시리즈,파이어엠블렘,파이어 엠블렘,파이어엠블렘 풍화설월,페이트 시리즈,파이어엠블렘풍화설월
용과 같이,용과같이,,,,
뉴 단간론파 V3,뉴 단간론파V3,뉴단간론파V3,단간론파,슈퍼 단간론파 2,슈퍼 단간론파2
파이널 판타지 4,파이널 판타지 14,파이널 판타지14,파이널 판타지,파이널판타지,파이널판타지14
팝픈뮤직,,,,,
fate/stay night,Fate/stay night,fate stay night(UBW),fate,,
파크라이5,파크라이4,파라라이,,,
젤다의 전설,젤다의전설,,,,
음양사,,,,,
마비노기 영웅전,마비노기,,,,
폴아웃3,폴아웃,폴아웃 4,폴아웃 뉴베가스,,
핫라인 마이애미,,,,,
파판15,파판14,파판14),,,
페이트 스트레인지 페이크,페이트/스트레인지 페이크,페이트,페이트 스테이 나이트,,
파이어엠블렘,파이어 엠블렘,파이어엠블렘 시리즈,파이어엠블렘풍화설월,파이어엠블렘 풍화설월,파이어 엠블렘 풍화설월
페이트 시리즈,페이트시리즈,페이트 시리즈(스테이나이트,페이트,페이트 시리즈(페이트 아포크리파,페르소나 시리즈
폴아웃,폴아웃3,폴아웃 4,폴아웃 뉴베가스,,
오리지널(창작),오리지널(1차창작),오리지널창작,오리지널 창작,오리지널,오리지널 캐릭터(oc)
에스케이에이트,에스케이 에이트,에스케이에이트 SK8,sk8 에스케이 에이트,에스케이 에이트 sk8,SK8(에스케이에이트)
파이어 엠블렘 풍화설월,파이어엠블렘풍화설월,파이어엠블렘 풍화설월,파이어엠블럼 풍화설월,파이어 엠블렘,파이어엠블렘
1차 창작 봉제 인형,1차 창작,1차창작,1차 창작 - 네꾸,1차 창작 만화,창작
어그레츠코,,,,,
오리지널창작,오리지널 창작,오리지널(창작),오리지널,오리지널(1차창작),오리지날
데뷔 못하면 죽는 병 걸림(데못죽),데뷔 못하면 죽는 병 걸림 (데못죽),데뷔못하면죽는병걸림(데못죽),데뷔 못하면 죽는 병 걸림,데뷔 못 하면 죽는 병 걸림 (데못죽),데뷔 못하면 죽는 병에 걸림
주술회전,,,,,
화산귀환,,,,,
귀멸의 칼날,귀멸의칼날,귀멸의칼날/ 앙상블스타즈,,,
쿠키런킹덤,쿠키런 킹덤,쿠키런,,,
MIU404,,,,,
특촬,특촬류,특촬물,특촬물.,특촬 전반,특촬 (가면라이더)
내가 키운 S급들,내가키운S급들,내가 키운 s급들,내가키운s급들,내가키운 s급들,내가키운s급
광마회귀,,,,,
