작품(장르)명,1위,2위,3위,4위,5위
Fate/GrandOrder,Fate/Grand Order,Fate/Grand oder,fate/grand order,Fate grand oder,Fate
명탐정 코난,명탐정코난,명탐정코난 등,,,
나의 히어로 아카데미아,나의 히어로아카데미아,나의히어로아카데미아,나의 히어로 아카데미아 히로아카,마이 히어로 아카데미아,히어로 아카데미아
히로아카,히로아카 등등,히어로 아카데미아,나의히어로아카데미아,나의히어로아카데이마,나의 히어로아카데미아
하이큐,하이큐!,하이큐!!,하이큐/히로아카/디씨마블,하이큐/문스독/오소마츠상/러브라이브/리제로,
사이퍼즈,,,,,
아이돌마스터 신데렐라걸즈,아이돌마스터 신데렐라 걸즈,아이돌마스터 신데렐라 걸스,아이돌 마스터 신데렐라걸즈,아이돌 마스터 신데렐라 걸즈,아이돌마스터 신데렐라걸즈 스타라이트 스테이지
죠죠의 기묘한 모험,죠죠의 기묘한 모혐,죠죠의기묘한모험,죠죠의 기묘한 모험 3부,죠죠의 기묘한 모험 (5부),죠죠의 기묘한 모험 5부 위주
토르,토르/마블,토르1~3,토르 라그나로크,토르 시리즈(MCU),
스타트렉,스타 트렉,스타트랙,스타트렉 AOS,스타트렉(AOS,스타트렉(AOS)
앙상블 스타즈!,앙상블 스타즈!!,앙상블 스타즈,앙상블스타즈!,앙상블스타즈,앙상블스타즈!!
포켓몬,포켓몬스터,포켓몬시리즈,포켓몬스터 소드실드,포켓몬스터 소드.실드,포켓몬스터 소드 실드
슈퍼내추럴,슈퍼내츄럴,슈내,언내추럴,,
마블(캡틴아메리카),마블(캡틴 아메리카),마블 캡틴아메리카,캡틴아메리카,캡틴 아메리카,마블
하이큐/문스독/오소마츠상/러브라이브/리제로,오소마츠상,하이큐,문스독,,
배트맨,더배트맨,배트맨 대 슈퍼맨,앤트맨,배트맨 대 슈퍼맨 : 돈 오브 저스티스,
문호스트레이독스,문호 스트레이독스,문호 스트레이 독스,스트레이키즈,,
마블,마블무비,마블-토르,마블MCU,마블(토르,마블유니버스
마법소녀마도카마기카,마법소녀 마도카 마기카,,,,
어벤저스,어벤져스,마블(어벤저스),도쿄리벤저스,어벤져스 영화,마블(어벤져스)
에반게리온,,,,,
보석의나라,보석의 나라,,,,
모노노케,,,,,
오소마츠상,오소마츠상!,오소마츠 상,하이큐/문스독/오소마츠상/러브라이브/리제로,오비츠 의상,
Marvel,Marvel\'s the Avengers,,,,
혈계전선,,,,,
다이아몬드 에이스,다이아몬드에이스,,,,
창작백합,창작,,,,
디그레이맨,,,,,
스파이더맨,스파이더맨 홈커밍,스파이더맨 실사영화,마블(스파이더맨_홈커밍),MCU - 스파이더맨 홈커밍,스파이패밀리
은혼,,,,,
엑스맨무비,엑스맨,엑스맨 로건,,,
마블유니버스,마블시네마틱유니버스,마블,마블 시네마틱 유니버스(통칭 MCU),스티븐유니버스,스티븐 유니버스
마블 캡틴아메리카,마블(캡틴 아메리카),마블(캡틴아메리카),캡틴아메리카,캡틴 아메리카,MCU 캡틴아메리카 트릴로지
섀도우헌터스,섀도우 헌터스,섀도우헌터,섀도우 헌터,섀도우헌터스(미드),
진삼국무쌍,진 삼국무쌍,,,,
앙상블 스타즈,앙상블 스타즈!,앙상블스타즈,앙상블 스타즈!!,앙상블스타즈!,앙상블 스타즈!!뮤직
엘소드,,,,,
쿠로코의 농구,쿠로코의농구,,,,
충사,,,,,
앙스타,앙상블스타즈,앙스타 +a,앙상블스타즈!,앙스타 반야로,앙상블 스타즈!
Free!,free!,Free!(프리),,,
포켓몬스터,포켓몬,포켓몬스터 소드실드,포켓몬스터 소드.실드,포켓몬스터 소드 실드,포켓몬스터 소드/실드
나의히어로아카데미아,나의 히어로아카데미아,나의 히어로 아카데미아,히어로 아카데미아,나의히어로아카데이마,나의 히어로 아카데미아 히로아카
나의 히어로 아카데미아 히로아카,나의 히어로 아카데미아,나의 히어로아카데미아,나의히어로아카데미아,마이 히어로 아카데미아,히어로 아카데미아
바후발리,,,,,
킹프리,킹오브프리즘,킹프리 프리즘스톤,프리파라,킹오브프리즘(킹프리/king of prism),
앤틱 드롭스타일 이어링,앤틱 드롭 이어링,,,,
80\\\\\\\'s city girl style,80\\\'s city ガール,,,,
호오즈키의 냉철,,,,,
A3,A3!,A3!(에스리),A3!(에이쓰리),ACCA 13구 감찰과,
살육의 천사,,,,,
액셀월드 러브라이브,,,,,
블랙팬서,블랙팬서),블랙팬서(마블),블랙서바이벌,,
페이트 아포크리파,페이트,페이트 시리즈,페이트시리즈,,
뱅드림,뱅드림!,뱅드림(반도리),뱅드림! 걸즈밴드파티!,뱅드림! 걸즈 밴드 파티!,드림캐쳐
진격의거인,진격의 거인,,,,
DC,DSC),DCEU,DC코믹스,DC 영화,DC 코믹스
앙상블스타즈,앙상블 스타즈,앙상블스타즈!,앙상블 스타즈!,앙상블스타즈!!,앙상블 스타즈!!
창작 마블 디씨,마블,창작,,,
MCU,MCUㅇㅁ,MCU 토르,MCU(닥스2,MCU 블랙팬서,마블 MCU 어벤져스
XXX 보호구역,,,,,
킹스맨,엑스맨,,,,
보컬로이드,,,,,
새벽의 연화,,,,,
페이트/그랜드오더,페이트/그랜드 오더,페이트그랜드오더,페이트 그랜드오더,페이트 그랜드 오더,페이트그랜드 오더 etc)
FGO,,,,,
DC 코믹스,DC코믹스,DC코믹스 숲뱃,DC,마블 코믹스,dc 코믹스
덩케르크,,,,,
진격의 거인,진격의거인,,,,
오션스 8,,,,,
인저스티스,저스티스리그,,,,
원펀맨/쿠로바스/하이큐,쿠로바스,,,,
1차 HL/GL,1차 BL,,,,
월한강천록,,,,,
천지해,,,,,
가담항설,,,,,
스파이더맨 홈커밍,스파이더맨,마블(스파이더맨_홈커밍),스파이더맨 실사영화,MCU - 스파이더맨 홈커밍,
가면라이더 에그제이드,가면라이더 이그제이드,가면라이더 디케이드,가면라이더 빌드,가면라이더 포제,가면라이더
스타 트렉,스타트렉,스타트렉 AOS,스타트렉 덩케르크,스타트랙,스타트렉 디스커버리
도검난무,,,,,
파이널판타지14,파이널 판타지14,파이널판타지 14,파이널 판타지 14,파이널판타지15,파이널판타지
하이큐!!,하이큐!,하이큐,,,
레히삼,레전드 히어로 삼국전(레히삼),,,,
어벤져스,어벤져스 영화,어벤저스,마블(어벤져스),어벤져스 메이즈러너,마블/어벤져스/블랙팬서
페이트 스테이 나이트,페이트 시리즈(스테이나이트,페이트,페이트 스트레인지 페이크,,
오버워치 디씨 마블,오버워치,마블 오버워치 디씨 스타트렉 스타워즈,,,
은혼 히지긴(히지카타 토시로X사카타 긴토키),,,,,
나츠메우인장,나츠메 우인장,,,,
파이널 판타지 14,파이널 판타지14,파이널 판타지 4,파이널판타지14,파이널 판타지,파이널판타지 14
Batman v Superman : dawn of justice,,,,,
명탐정코난,명탐정 코난,명탐정코난 등,,,
페이트,페이트/제로,페이트시리즈,페이트 시리즈,페이트그랜드오더,페이트 아포크리파
킹오브프리즘(킹프리/king of prism),king of prism,King of prism,킹오브프리즘,King Of Prism,킹프리
그 판타지 세계에서 사는 법 (그판세),그 판타지 세계에서 사는 법(그판세),그 판타지 세계에서 사는 법,,,
히프노시스마이크,히프노시스 마이크,히프마이,,,
DC 배트맨,DC,DC 슈퍼맨,더배트맨,DC 영화,
1차 BL,1차BL소설,1차 HL/GL,1차 창작,,
제네레이션 킬,제너레이션 킬,제너레이션킬,,,
메트로 게임,레트로게임,오토메 게임,오토메게임,,
토르 라그나로크,라그나로크,토르,,,
문스독,하이큐/문스독/오소마츠상/러브라이브/리제로,,,,
레진공예악세사리,수공예 악세사리,,,,
마블-토르,마블(토르,마블,마블관련 토르,,
천연석 팔찌,,,,,
죠죠의 기묘한 모혐,죠죠의 기묘한 모험,죠죠의 기묘한 모험 3부,죠죠의기묘한모험,죠죠의 기묘한 모험 (5부),죠죠의 기묘한 모험 5부 위주
월야환담,,,,,
레이디버그,레이디 버그,미라큘러스: 레이디버그와 블랙캣,,,
디씨 DC,디씨,디씨(DCEU),디씨 마블,,
나루토,,,,,
coc 시나리오,,,,,
신비한 동물사전,신비한동물사전,신비한동물사전 (신동사),,,
봉신연의,,,,,
섀도우 헌터스,섀도우헌터스,섀도우 헌터,섀도우헌터,섀도우헌터스(미드),
창작,창작백합,창작문구,창작 소설,창작 만화,창작 악세사리
봄이 오면 꽃이 피고,,,,,
MCU 블랙팬서,MCU,MCU 토르,,,
배트맨 대 슈퍼맨,배트맨 대 슈퍼맨 : 돈 오브 저스티스,배트맨,,,
마블(mcu),마블,마블(MCU),,,
ㅣ,,,,,
마블 (베네딕트 컴버배치) . 닥터 스트레인지.,,,,,
avengers,,,,,
1차창작,1차 창작,1차bl창작,1차 창작 만화,1차 창작 - 네꾸,1차 창작 봉제 인형
월드트리거,월드 트리거,,,,
그림책,그림집,,,,
핸드메이드 스팀펑크&레진아트 악세사리,핸드메이드,,,,
가면라이더,가면라이더 오즈,가면라이더 빌드,가면라이더 더블,가면라이더 덴오,가면라이더 포제
밴드하자!,밴드하자!(반야로),반야로(밴드하자!),,,
MCU(마블 시네마틱 유니버스),마블 시네마틱 유니버스),마블 시네마틱 유니버스,마블시네마틱유니버스,MCU 마블 시네마틱 유니버스,MCU
언더테일,라테일,,,,
캡틴 아메리카,캡틴아메리카,마블(캡틴 아메리카),마블 캡틴아메리카,캡틴 아메리카(MCU),마블(캡틴아메리카)
개같이 살자,,,,,
왕은 웃었다,왕은웃었다,,,,
MCU 캡틴아메리카 트릴로지,캡틴아메리카,캡틴 아메리카,마블 캡틴아메리카,MCU,
동방 프로젝트,동방프로젝트,,,,
리그오브레전드,리그 오브 레전드(롤),,,,
꿈의라이브프리즈스톤,꿈의라이브프리즘스톤,이브,,,
레전드 히어로 삼국전,레전드히어로삼국전,레전드히어로 삼국전,레전드 히어로 삼국전(레히삼),,
오버워치,오버워치 디씨 마블,오버워치/파이널판타지,오버워치(OVERWATCH),마블 오버워치 디씨 스타트렉 스타워즈,
비밀의 숲,비밀의숲,동물의 숲,,,
오리지널,오리지널창작,오리지널 창작,오리지널 BL,오리지날,오리지널(창작)
삼국지: 명장 관우,삼국지,,,,
스틸 볼 런 (죠죠의 기묘한 모험 7부),스틸 볼 런(죠죠의 기묘한 모험 7부),죠죠의기묘한모험,죠죠의 기묘한 모험 (5부),,
쿠키런,쿠키런킹덤,쿠키런 킹덤,,,
이런 영웅은 싫어,,,,,
모브사이코100,모브사이코 100,모브사이코,,,
BBC셜록,BBC 셜록,BBC 셜록 / 스타워즈 / IT / 기묘한 이야기,,,
마블히어로즈,마블,로드오브히어로즈,로드오브 히어로즈,히어로즈 플랜 비,
해리포터,,,,,
메이즈러너,메이즈 러너,메이즈러너 데스큐어,,,
캡틴아메리카,캡틴 아메리카,마블 캡틴아메리카,마블(캡틴아메리카),마블(캡틴 아메리카),캡틴아메리카(MCU)
미생,,,,,
1차bl,1차bl창작,,,,
오리지날,오리지널,오리지널창작,오리지널 창작,오리지널 BL,리니지
마블 어벤져스,마블(어벤져스,마블 MCU 어벤져스,마블(어벤져스),마블 무비 어벤저스,마블/어벤져스/블랙팬서
페이트/제로,페이트,페이트/그랜드오더,,,
프리파라,킹프리,,,,
파판14,파판14),파판15,파판14 (파이널판타지14,파이널 판타지 14 파판14,파이널 판타지 14(파판14
영웅전설 시리즈,역전재판 시리즈,소닉 시리즈,궤적 시리즈,영웅전설 섬의 궤적,
드레니아신탁,,,,,
역전재판,대역전재판,역전재판 시리즈,,,
보석의 나라,보석의나라,,,,
앙상블 스타즈.사이마스.,앙상블 스타즈,앙상블스타즈,앙상블 스타즈!,앙상블 스타즈 앙스타,앙상블스타즈!
틱택토,,,,,
모브사이코 100,모브사이코100,모브사이코,,,
스틸 볼 런(죠죠의 기묘한 모험 7부),스틸 볼 런 (죠죠의 기묘한 모험 7부),죠죠의기묘한모험,죠죠의 기묘한 모험 (5부),,
악세사리,,,,,
가면라이더 오즈,가면라이더 덴오,가면라이더 시리즈,가면라이더,가면라이더 빌드,가면라이더 더블
원피스,윈피스,해피니스,,,
동방프로젝트,동방 프로젝트,프로젝트 세카이,,,
A3!,A3,A3!(에스리),A3!(에이쓰리),,
-,쇼-트 스토리즈,B-Project,B-project,,
나의 히어로아카데미아,나의 히어로 아카데미아,나의히어로아카데미아,나의 히어로 아카데미아 히로아카,히어로 아카데미아,마이 히어로 아카데미아
미라큘러스: 레이디버그와 블랙캣,레이디버그,,,,
아이돌마스터 sideM,아이돌마스터sideM,아이돌마스터 SideM,아이돌마스터 sidem,아이돌마스터 side m,아이돌마스터 Side M
