,부스명,대표자,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체
18,문대른 게스트북,하현,1sp,데뷔 못하면 죽는 병 걸림(데못죽),,,박문대,X박문대,로맨틱,"배세문대, 아현문대, 유진문대, 청려문대, 청우문대, 큰세문대, 래빈문대","소설,만화"
19,바리바리스타밤하늘의펄,백수와 주인,2sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루, 후시구로 메구미",고죠 사토루X후시구로 메구미,,,"기타,만화"
20,밝을 명,엠알,1sp,화산귀환,,,청명,백천X청명,"로맨틱,섹슈얼",,만화
21,변호사인권보호협회,Minn,1sp,히프노시스마이크,,,나고야디비젼,아이모노 쥬시X아마구니 히토야,"로맨틱,섹슈얼",,만화
22,부스 전개 원고살 마감,핑감,1sp,귀멸의 칼날,,,아카자,렌고쿠X아카자,섹슈얼,"도우아카, 하쿠코유,","만화,일러스트,기타"
23,삐약공작소,삐약콩,1sp,,,,,,,,일러스트
24,사과정원,빨간사숨,1sp,쿠키런킹덤,,,"마들렌맛쿠키, 에스프레소맛쿠키",마들렌X에스프레소,"로맨틱,섹슈얼",,만화
25,삼각형에 대한 광기는 더욱 커져만 갔다.,TAKUO,1sp,죠죠의 기묘한 모험,,,"디오 브란도, 죠나단 죠스타, 에리나 펜들턴",디오 브란도X죠나단 죠스타,"로맨틱,섹슈얼","죠나에리, 시죠세","만화,일러스트"
26,소라의 언어,이주,2sp,,,,,,,,일러스트
27,스윗트일러,스윗트일러,1sp,,,,,,,,일러스트
28,심의결과 ······ 교제입니다 축하합니다,식량,1sp,주술회전,,갑작스럽지만 여러분은 이타른에 대해 아십니까?,"후시구로 메구미, 이타도리 유우지",,,,
29,아카이는 아무로에게 그래요,Missa,1sp,명탐정 코난,,,아무로 토오루,,"로맨틱,섹슈얼",,"일러스트,소설"
30,어떻게든 해줘!,요이루,2sp,MIU404,,,이부시마,,로맨틱,,소설
31,"용봉탕, 곤약을 곁들인",파다닭,2sp,,"죠죠의 기묘한 모험, 포켓몬스터 소드 쉴드, 흡혈귀는 툭하면 죽는다",,,,,,"만화,소설"
32,울트라맨 엑스 보세요,사성구,1sp,특촬,"울트라맨 엑스, 기계전대 젠카이쟈 등",,"엑스, 오오조라 다이치",엑스X다이치,"섹슈얼,로맨틱",,"만화,일러스트"
33,원작사골오타쿠의 말로,럿,1sp,주술회전,,,"나나미 켄토, 하이바라 유우",하이바라 유우X나나미 켄토,로맨틱,,만화
34,유유상종,썬연료,1sp,내가 키운 S급들,,"Home, sweet home","한유현, 한유진",한유현X한유진,"섹슈얼,로맨틱",,"소설,만화"
35,이번 역은 '회귀'역입니다.,여화,2sp,광마회귀,"화산귀환, 월한강천록",,"이자하, 청명, 서량, 유소월",왼X이자하,"섹슈얼,로맨틱",여러가지...,"소설,기타"
36,청백 올리고 백청 내려 백청 올리고 청백 내려,"물뭉, 홍단",2sp,화산귀환,"의원, 다시살다 (의다살)",,"청명, 백천",리버X시블,"로맨틱,섹슈얼",청명백천청명,"일러스트,소설,만화"
37,청설모와 두꺼비 삼천갑자 동박삭,두꺼비와 청설모,1sp,"파라라이, 파라독스 라이브, paradox live",파라라이,『하든가 죽든가 ~DO or DIE~』,,,,,"기타,일러스트"
38,쿠키맞고요.푸드아닙니다.,쿵,1sp,쿠키런킹덤,,,"마들렌맛쿠키, 에스프레소맛쿠키",마들렌맛쿠키X에스프레소맛쿠키,"해당없음,로맨틱",,"일러스트,기타"
39,펑크강도단♥,"창공,★,핍스",2sp,죠죠의 기묘한 모험,,,죠죠,X,해당없음,,"일러스트,기타"
40,포타 밖을 나온 겁 없는 문어,우루루슬라,1sp,데뷔 못하면 죽는 병 걸림,,,"신청려, 박문대",,"로맨틱,섹슈얼","모브문대, 문대른",소설
41,하늘고양이 시엘로,시엘로,1sp,,,,,X,,,공예
42,한유진이랑 한유현이 유현유진 하라고 했다,kimbooak7,2sp,내가 키운 S급들,,"Home, sweet home","한유현, 한유진",한유현X한유진,"로맨틱,섹슈얼",,"소설,만화"
43,호밀빵의밀수꾼,호밀,2sp,1차 창작,,,1차 오리지널,,"로맨틱,해당없음",,"만화,일러스트"
44,호얀스튜디오,호얀,2sp,,,,,,,,"일러스트,기타"
45,호형호여보,해다,1sp,내가 키운 S급들,,"Home, sweet home","한유현, 한유진",한유현X한유진,"섹슈얼,로맨틱",,"소설,만화"
46,흙 속의 인디고&호박씨,인디고,2sp,"도자기 미니어처, 오비츠 의상","도자기 미니어처, 한지공예품, 오비츠 의상",,,,해당없음,,"공예,조형"
47,흰나비가 나는 숲,가온뉘,1sp,"MIU404, 언내추럴",괴수를 위한 시간,,,,,,소설
48,0혼없음,강류흔,2sp,백작가의 망나니가 되었다.,,,"알베르 크로스만, 케일 헤니투스",알베르 크로스만X케일 헤니투스,로맨틱,,만화
49,A,다혼,1sp,주술회전,,,올캐릭터,,해당없음,,공예
50,AA,배찌,1sp,,,,,,,,일러스트
51,aa,aa,2sp,,,,,,,,
52,Alchemy Lab.,JunE,2sp,볼트론:전설의 수호자,,,"키스, 시로, 알루라, 랜스, 피지, 헝크",키스X시로,"로맨틱,섹슈얼",알루랜스,소설
53,AZ 3기 희망,다니,1sp,알드노아 제로,화산귀환,,"이나호, 슬레인",이나호X슬레인,로맨틱,청명청문,소설
54,A런치는 크림소다와 오므라이스입니다,놉,2sp,히프노시스 마이크,,,"이자나미 히후미, 칸논자카 돗포, 누루데 사사라, 츠츠지모리 로쇼, 부스지마 메이슨 리오",이자나미 히후미X칸논자카 돗포,"로맨틱,섹슈얼","부스지마 메이슨 리오 X 칸논자카 돗포, 누루데 사사라 X 츠츠지모리 로쇼","소설,일러스트"
55,BN,BN,2sp,전독시,,,,,,,
56,Carmine red,Carmine*,2sp,에스케이 에이트,그랑블루 판타지,,사쿠라야시키 카오루,난죠 코지로X사쿠라야시키 카오루,"로맨틱,섹슈얼","죠체리, 지크퍼시, 란레키","소설,기타"
57,cerealBox,신월,1sp,내가 키운 S급들,,"Home, sweet home",한유현,,"로맨틱,섹슈얼",,만화
58,Cerulean+Blue,Sipir,2sp,하이큐,쿠키런,,히나타 쇼요,스가와라 코우시X히나타 쇼요,섹슈얼,츠키히나,만화
59,"Error , not found",날Nal,2sp,반지의 제왕,트랜스포머,,,,,,"소설,공예"
60,Frost Moon,라프엘,2sp,"영원한 7일의 도시, 죠죠의 기묘한 모험",,,,,,,
61,Fushigurocest,FEYE,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"후시구로 토우지, 후시구로 메구미",후시구로 토우지X후시구로 메구미,"섹슈얼,로맨틱",,소설
62,GLIMJA,글림자,1sp,,,,,,,,일러스트
63,KR+,카린,1sp,,,,,,,,소설
64,llllnoonllll,llllnoonllll,1sp,데뷔못하면죽는병걸림,내스급 해리포터,,,,,,
65,Lovely Mix,Lovely Mix,1sp,데뷔 못 하면 죽는 병 걸림,"전독시, 내스급",,,,,,
66,made by 자윤,자윤,2sp,,,,,,,,공예
67,MGR,jz,1sp,데뷔 못하면 죽는 병,,,,,,,
68,Moonlight pink,Pink,2sp,인사반파자구계통,마도조사,,"막북군, 상청화",,"섹슈얼,로맨틱",남망기x위무선,"만화,일러스트,소설"
69,Paper Moon,라하,2sp,전지적 독자 시점,,,"유중혁, 김독자",유중혁X김독자,"로맨틱,섹슈얼",,소설
70,PLAN A-Z,김이응,1sp,,,,,,,,"사진,일러스트"
71,Plus+ Ultra,꺼리,1sp,명탐정 코난,,,"아카이 슈이치, 아무로 토오루",아카이 슈이치X아무로 토오루,"로맨틱,섹슈얼",,"만화,소설"
72,RoseDrop,Yue,2sp,죠죠의 기묘한 모험,,,"죠나단 죠스타, 디오 브란도, DIO, 죠르노 죠바나",죠나단 죠스타X디오 브란도,,,
73,smile box,Jude,2sp,오리지널 창작,,,,,,,"만화,일러스트,소설,공예"
74,Sourplace,사워,1sp,쿠키런 킹덤,,,,,"섹슈얼,로맨틱",,만화
75,Sweet Sea *,힐끼,2sp,주술회전,,,나나미 켄토,하이바라 유우X나나미 켄토,,,
76,TANG♡ 샤봉 런처!,365&7,2sp,죠죠의 기묘한 모험,원피스,,,,해당없음,,"일러스트,공예"
77,The great escape,스팸,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],,이타도리 유지X후시구로 메구미,로맨틱,,만화
78,Zero523,NEED,2sp,,,,,,,,
79,Zzz,고구마,1sp,귀멸의 칼날,"월간순정 노자키군, 내가 키운 S급들 ,도쿄 리벤저스",,렌고쿠 쿄주로,,해당없음,,만화
80,~수상한 24시 중점밀행 메론빵부스~,구이,2sp,MIU404,,,이부키아이 시마카즈미,,로맨틱,,만화
81,가좍아니면아기공아니면둘다,pon,1sp,도쿄 리벤저스,,,마츠노 치후유,마츠노 치후유 X,"섹슈얼,로맨틱",,"만화,일러스트"
82,간장게장&마카롱&만두,시안,2sp,죠죠의 기묘한 모험,,,쿠죠 죠타로,죠타로X카쿄인,"섹슈얼,로맨틱,해당없음","쿠죠부부, 공컾","만화,일러스트"
83,간장게장마카롱파스타,G,1sp,"동물의 숲, 죠죠의 기묘한 모험, 마블 시네마틱 유니버스, 페이트 시리즈",일단 이렇게 많이 적어두면 언젠가 다 그리겠지?,,,,해당없음,,"기타,사진,일러스트"
84,강다의 도토리창고,강하,1sp,전지적독자시점,"내스급,데뷔못하면죽는병걸림,로판 등",,,,,,
85,걸즈 파문 파티!,"잡상인, 사성",1sp,"죠죠의 기묘한 모험, 뱅드림! 걸즈 밴드 파티!",,,,,,,
86,검은 새벽,김래곤,2sp,,,,,,,,일러스트
87,고담 베이커리 카페,증기,2sp,배트맨,,,배트맨 브루스웨인,,"로맨틱,섹슈얼,해당없음",,"소설,공예,일러스트,기타"
88,고죠게토 재혼 추진 위원회,처절,2sp,주술회전,,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트"
89,공포영화팟,이나연,2sp,,,,,,,,만화
90,공화국제조쿠키역시맛있다,감초,1sp,쿠키런 킹덤,,,"마들렌,에스프레소",마들렌X에스프레소,"로맨틱,섹슈얼",,
91,그룹내 연애는 상관없지 않나?,판사,1sp,데뷔못하면죽는병걸림,,,,,,,
92,그림나무열매,야누스,2sp,이누야샤,디지몬 어드벤쳐,,키쿄우,,,,"만화,일러스트"
93,근본없는 부스,젤제리,2sp,죠죠의 기묘한 모험,,,,,,,
94,꿈꾸는 모냐,모냐,1sp,오리지널,"사이퍼즈, ff14",,,,,,일러스트
95,꿈에서 만나요,곰돌실업 뜨개사업부,1sp,MCU 토르,,,토르로키,,해당없음,,공예
96,나쵸치즈,나즈,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루, 후시구로 메구미",고죠 사토루X후시구로 메구미,"로맨틱,섹슈얼",,만화
97,난약간귀여운게아닐까,물물,1sp,,,"Home, sweet home",,,,,
98,너는 어쩌고 싶어? 대답은 필요없어,-1°C,1sp,MIU404,,,"이부키, 시마",이부키X시마,"섹슈얼,로맨틱",,소설
99,너도밤나무,밤식빵,1sp,,,,,,,,"일러스트,만화"
100,네코마마,"레이카, 마키시, 시에",2sp,데뷔 못하면 죽는 병 걸림,"내스급, 하이큐",,테스타,,,"테스타, 청려, 논커플링",
101,달콤한일러스트,iamyunji,2sp,모모찌,,,모모찌,,해당없음,,일러스트
102,도쿄아저씨,아저씨,2sp,도쿄 리벤저스,,,,이누이 세이슈X코코노이 하지메,"로맨틱,섹슈얼",,"만화,일러스트"
103,독자야할미왔다,"조탁,rov",2sp,전지적독자시점,내가키운S급들,,"유중혁, 김독자",유중혁X김독자,"로맨틱,섹슈얼",현제유진,소설
104,돌고래 밭으로 놀러오세요,moraegorae,1sp,"나루토, 혈계전선",,,"카카시, 이루카",하타케 카카시X우미노 이루카,,"크라스팁, 청흑",
105,뒹굴뒹굴,돕돕돕,1sp,DC 코믹스,"아케인, 오버워치",,배트맨,,해당없음,,
106,또롱별,이데아,2sp,내가 키운 S급들,,,"한유현, 한유진",한유현X한유진,로맨틱,,일러스트
107,래퍼는 아이돌이! 아이돌은 래퍼가 될 수 있다!!,새토,2sp,히프노시스마이크,앙스타,,"이자나미 히후미, 칸논자카 돗포, 세나 이즈미, 하카제 카오루, 모리사와 치아키",칸논자카 돗포X이자나미 히후미,로맨틱,"3A트리오, 나이츠","만화,일러스트"
108,랩하는 현자님,꼼치,2sp,"마법사의 약속, 히프노시스 마이크","히프노시스 마이크, 마법사의 약속",,"북법/남법, 신주쿠 위주 올캐러",,해당없음,,"일러스트,공예,기타"
109,리미스토리,LIMI,2sp,창작,포켓몬,,,,,,일러스트
110,리틀타이니룸,ACOO,2sp,,,,,,,,"일러스트,조형,공예,기타"
111,말랑사과문댕,근,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,일러스트
112,메구미는 이불밖에 못 깔아,메굼머핀,1sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루, 후시구로 메구미",고죠 사토루X후시구로 메구미,로맨틱,,소설
113,메자스노와 메론빵엔딩,"29, 그루",1sp,MIU404,마법사의 약속,,"이부키, 시마",,,,
114,면죄도 동인도 되다 말았습니다,이데아,2sp,파이널판타지14,,,에메트셀크,에메트셀크X빛의 전사,"로맨틱,섹슈얼","휘틀에메, 고대인","소설,기타"
115,뫄뫄장르,on,1sp,쩜오,,,,,,,
116,묘묘 묘한 맛,묘미,1sp,,,,,,,,소설
117,뭐라도들고갈수있을까,냥비삐용,1sp,,,,,,해당없음,,공예
118,미래의 나 부탁해,시온,1sp,전지적 독자 시점,"데뷔 못하면 죽는 병 걸림, 백작가의 망나니가 되었다",,,유중혁X김독자,로맨틱,,
119,미래의 내가 뭐든 해주겠지,녹차시럽,2sp,명급리,내스급,,,,,,
120,미정,치어,2sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],"이타도리 유지, 고죠 사토루, 후시구로 메구미",,,,만화
121,바니,바니,1sp,윈피스,"히로아카,그외",,,,,,
122,바오밥나무 12번지,바오,2sp,"해리포터, 화산귀환, 마블, MCU, 스파이더맨, 로스쿨, 해피니스",,,,,,,
123,발리볼 NOT FOUND,고야,1sp,하이큐,MIU 404,,키타 신스케,미야 아츠무X키타 신스케,"로맨틱,섹슈얼",이부시마,"소설,일러스트"
124,베리파티,화화,1sp,,,,,X,"로맨틱,해당없음,섹슈얼",,"소설,기타"
125,부리님이 다하는 부스,다온,2sp,데뷔 못하면 죽는 병 걸림,전지적 독자 시점,,박문대 신청려,,섹슈얼,,"소설,일러스트"
126,부스가 있으면 뭔가 나오지 않을까,이실isil,2sp,마블,화산귀환,,토르,,"로맨틱,섹슈얼",,소설
127,부스명 또 고민,라이,2sp,내가키운S급들,"수퍼맨,배트맨,데못죽,은혼",,"성현제,한유진,수퍼맨,배트맨,테스타,긴토키,히지카타",성현제X한유진,"로맨틱,섹슈얼","숲뱃,히지긴","만화,일러스트"
128,북극기지,한기,2sp,도쿄리벤저스,용과 같이,,,카쿠쵸X쿠로카와 이자나,"로맨틱,섹슈얼",,"만화,일러스트,기타"
129,빠져라대기얍,뮤실리,2sp,,,,,,,,
130,빵떡이시스마이크,차푸,1sp,히프노시스마이크,,,ALL 캐릭터,X,해당없음,,일러스트
131,쁘띠뽀짝,뽀짝쿵야 참비,1sp,전지적 독자 시점,"하이큐, 데뷔 못 하면 죽는 병 걸림",,,,,,
132,사르디나 이주 서비스 센터,하열,2sp,로드오브히어로즈,,,,,,,"만화,일러스트"
133,사를 표방하는 이들은 얕보이면 안된단다,솜미루,1sp,화산귀환,적국의왕자로사는법,,호가명 장일소,호가명X장일소,"섹슈얼,로맨틱,해당없음",저도 모릅니다,소설
134,산딸기프레첼 홍보위원회,아몽르,2sp,케프리와 깃털,,,,,"로맨틱,섹슈얼",,소설
135,산지직송,강원도감자,2sp,죠죠의 기묘한 모험,,,올캐릭터,,,,
136,상메네 만두가게,이만세,2sp,,,,,,,,만화
137,서뱀프 봐주세요,리벨타,2sp,서뱀프,,,탐욕조,,로맨틱,,"만화,일러스트,소설"
138,석조의 죠죠죠죠,석조,1sp,죠죠의 기묘한 모험,,,카쿄인 노리아키,X,,,소설
139,선아현내가낳을껄,동그라미,1sp,데뷔 못하면 죽는 병 걸림,,,선아현 박문대 이세진,,해당없음,,일러스트
140,소꿉친구 커플은 최고야,플레,1sp,앙상블 스타즈!,,,"이사라 마오, 사쿠마 리츠, 츠키나가 레오, 세나 이즈미",이사라 마오X사쿠마 리츠,"로맨틱,섹슈얼",레오이즈,"소설,기타"
141,소라공방,소라님,2sp,데뷔 못 하면 죽는 병 걸림,화산귀환,,,,,,공예
142,손도치,sondochi,1sp,,,,,,,,공예
143,수정할거야,cell,1sp,,,,,,,,
144,수조 밖,무냠,1sp,,,,,,,,"만화,일러스트"
145,스티커 광인 부스,귤쌈,2sp,하이큐,"내스급, 백망되, 약네랜",,,,,,일러스트
146,습관적부스신청,백수백숙,2sp,,,,,,,,소설
147,신청해두면 뭐라도 내지 않을까요,sabo,1sp,MIU404,프로젝트 세카이,,"시마 카즈미, 이부키 아이",이부키 아이X시마 카즈미,로맨틱,토우안,"소설,일러스트"
148,신흥종교,마들렌,2sp,주술회전,"도리벤,데못죽",,고죠,,"로맨틱,섹슈얼",,소설
149,아르르르ㅡ,방브레,2sp,적국의 왕자로 사는 법,,,칼리안,칼리안X플란츠,로맨틱,"베른플란,칼리플란,적왕사논컾","소설,일러스트"
150,아보카도 위 명란젓,코바,1sp,하프 헤일로,,,,,,,만화
151,아빠가좋아엄마가좋아가있기전부터형이좋았다,ahl0325,2sp,내가 키운 S급들,"데뷔 못하면 죽는 병 걸림, 전지적 독자 시점","Home, sweet home","한유현, 한유진",한유현X한유진,섹슈얼,아현문대,
152,아이스박스,BVKIM,1sp,스타워즈,,,그로구,,,,"일러스트,만화"
153,안가네 김가네,"가나쵸, 뮤실리, 질리언, 팝콘",2sp,백작가의 망나니가 되었다,"데못죽, 마호야쿠, 전독시",,알베르 크로스만,,로맨틱,,
154,암향매화,O,2sp,화산귀환,얼하 파판14,,당보 청명,당보X청명,로맨틱,연만 라하히카,만화
155,야 진짜 신간 나온다,5새벽,2sp,내가 키운 S급들,전지적 독자 시점,"Home, sweet home",한유현,,섹슈얼,,만화
156,어떻게든 되겠지,지한,1sp,로드 오브 히어로즈,,,올캐릭터,,,,
157,어쩌다가 이렇게 됐지,drc,2sp,백작가의 망나니가 되었다,,,"알베르 크로스만, 케일 헤니투스",알베르 크로스만X케일 헤니투스,로맨틱,,"만화,소설"
158,"얼유해빙뻔, 마이 썬?",소란,2sp,에스케이에이트,,,"하세가와 란가, 캰 레키",하세가와 란가X캰 레키,"로맨틱,섹슈얼",,"만화,일러스트"
159,여우가 시집가는 날,김메밀,2sp,명탐정 코난,,,"아카이 슈이치, 아무로 토오루",아카이 슈이치X아무로 토오루,"로맨틱,섹슈얼",,"만화,일러스트,공예,기타"
160,연애빼고다하기,연애좀해,1sp,트위스테,앙스타,,,에이스X듀스,"섹슈얼,로맨틱",이즈마코,만화
161,예나디자인,예나,2sp,"드림캐쳐, 썬캐쳐 등",,,,,해당없음,,공예
162,예민연하공추진위원회,퓨퓨,2sp,"마블, 괴물",,,"토르, 로키, 이동식, 한주원",,로맨틱,"로키토르, 주원동식",만화
163,오늘의 메뉴,,,,,,,,,,
164,오덕제작소,미카시키,2sp,버디미션,,,루크와 아론,,"로맨틱,섹슈얼",,"만화,기타"
165,오리댄스,SUNDANCE,2sp,전지적독자시점,"데뷔못하면죽는병에걸림, 내스급",,"유중혁, 김독자",유중혁X김독자,"로맨틱,섹슈얼","청려문대, 현제유진","소설,만화"
166,완두콩 올린 딸기케잌,김말콩,1sp,적국의 왕자로 사는법,,,"칼리플란, 베른플란",,로맨틱,칼리플란,소설
167,우리 조슈아가 이렇게 예뻐요,월님,2sp,로드오브 히어로즈,사이퍼즈,,조슈아,요한X조슈아,로맨틱,,공예
168,우리사랑하게해줘요,"환타,사라다",2sp,주술회전,,[ MEGUMI IS ALWAYS RIGHT ],고죠사토루 후시구로메구미,고죠사토루X후시구로 메구미,"로맨틱,섹슈얼",,
169,원더 아일랜드,미노,1sp,하늘 기록집,,,,,,,일러스트
170,유칼립투스 숲,류하,2sp,,,,,,,,
171,유칼립투투스,유칼립투스,2sp,데못죽,,,,,,,
172,윻윶관찰일지,행오,1sp,내가키운s급,데뷔못하면죽는병,"Home, sweet home","한유현, 한유진",,"로맨틱,섹슈얼",큰세문대,"일러스트,만화"
173,음유시가(吟遊詩歌),강태헌,2sp,라테일,마도조사 마도조사 엘소드 라테일,,"검호,히어로,노아,그외(ect)",,,히어검호,
174,이 장르로 부스를 낼 줄이야,"신씨야, 간식",2sp,사이퍼즈,파이널 판타지 14,,,,"로맨틱,섹슈얼",,
175,이거 게이볼그 아냐 아쳐,아렌트,1sp,FGO,,,에미야,쿠훌린X에미야,,,
176,이게 되면... 죠죠를 낼지도요,먹꾸,1sp,죠죠의 기묘한 모험,,,,,해당없음,,
177,이래저래 여차저차,깨알,1sp,하이큐,명탐정 코난,,"미야 아츠무, 키타 신스케, 아카이 슈이치, 아무로 토오루",,로맨틱,,"소설,공예,기타"
178,인간의 빛나는 선동과 날조로!,물,1sp,,,,,,,,
179,인포,대표자,1sp,작품,,,,하세가와 란가X캰 레키,,,"만화,기타"
180,자하,루각,1sp,화산귀환,,,청명,당보X청명,"로맨틱,섹슈얼",,소설
181,잘키운동생하나열남편안부럽다,독유,2sp,내가 키운 S급들,"외의 현판소들, 데못죽","Home, sweet home",한유진,,"로맨틱,섹슈얼",중혁독자,"일러스트,소설,기타"
182,잡식성과식증후군,오티엘라,1sp,데뷔 못하면 죽는 병 걸림,로드오브히어로즈,,"박문대, 청려, 바네사 테레즈 알드 룬, 조슈아 레비턴스, 카르티스, 요한 발켄슈트",문대X청려,로맨틱,"바네조슈, 황제요한",소설
183,장르통합실패,종달새,1sp,화산귀환,"데뷔 못하면 죽는 병 걸림, 전지적 독자 시점, 내가 키운 s급들",,,,,,공예
184,저녁의 목소리,돌,2sp,,,,,,로맨틱,,"만화,일러스트"
185,전방에 배드엔딩 주의,파랑,1sp,A3!,"오토기노우타, 프로젝트세카이, 아르고나비스(입실론파이)",,,츠카사X루이,해당없음,"이타사쿠, 봄조","소설,기타"
186,조류둥지,두루미,2sp,포켓몬스터 소드실드,FF14,,"금랑, 빛전",,"섹슈얼,로맨틱",,소설
187,조류출몰지역 어게인,JUAN,2sp,죠죠의 기묘한 모험,스타트렉,,,,,,"만화,일러스트,소설,기타"
188,죠죠의 기묘한 마라탕 (다있음),덩이,2sp,죠죠의 기묘한 모험,할로우나이트 소량 / 스타듀밸리 소량 / 브로드처치 소량,,"죠나단, 디오, 죠셉, 시져, 수지큐, 폴나레프, 압둘, 도피오/디아볼로",시져 체펠리X죠셉 죠스타,해당없음,"접목조, 시죠세시, 시죠세큐, 폴압폴, 도피보스도피","소설,일러스트,기타"
189,중독이지만 도핑은 하지 않았습니다,Dalo,1sp,전지적 독자 시점,,,김독자 유중혁,유중혁X김독자,로맨틱,,
190,중독행복안심증진위원회,mikanpuding,1sp,전지적 독자 시점,,,"유중혁, 김독자",,섹슈얼,,소설
191,중혁아 가보자고,COX,2sp,전지적독자시점,,,,유중혁X김독자,"섹슈얼,로맨틱",,
192,즐거운 지옥 #가보자고,"제로, 김말국",2sp,주술회전,,갑작스럽지만 여러분은 이타른에 대해 아십니까?,"고죠 사토루, 이타도리 유우지",고죠 사토루 X이타도리 유우지,"로맨틱,섹슈얼",,"만화,소설,일러스트"
193,지방디비죤부흥위원회,아무개,2sp,히프노시스 마이크,,,,,,,
194,치트가 행복하다면 ok입니다 진짜로,가리비,1sp,전자오락수호대,,,"치트, 패치",치트X패치,섹슈얼,,만화
195,치트패치가 보고 싶어 신청한 부스2,이실,1sp,전자오락수호대,,,"치트, 패치, 매뉴얼, 컨티뉴",,섹슈얼,컨티뉴얼,소설
196,코드크러쉬,1000,2sp,죠죠의 기묘한 모험,전독시,,죠셉죠스타,,해당없음,중독,
197,"쿠도 신이치, 괴도키드 정체에 대해 묻자 ...'우리는 단순히 협력관계, 억측삼가' 뜬금없는 발언...",하니,2sp,명탐정코난,"전지적독자시점, 원피스, 화산귀환",,"(괴도키드) 쿠로바 카이토, 쿠도 신이치(코난)",카이토X신이치,해당없음,"중혁독자, 삼형제 논컾",
198,쿠키 타임,리모네,1sp,쿠키런 킹덤,,,,,,,
199,쿠키왕국 만두집,껌딱지,1sp,쿠키런 킹덤,,,,,,,
200,크림무스 creammousse,크림무스,1sp,,,,,,,,일러스트
201,테스타사진관,이은,1sp,데뷔 못 하면 죽는 병 걸림,,,,,해당없음,,일러스트
202,토끼나라,Nia,2sp,쿠로코의 농구,,,쿠로코테츠야,아카시세이쥬로X쿠로코테츠야,,,소설
203,퇴사성공시 책내는 특덕,m,1sp,,,,,,,,
204,파란 토끼의 집,파란세운,1sp,앙상블 스타즈,,,"스오우 츠카사, 츠키나가 레오",,섹슈얼,,만화
205,판타지후죠라이프,홍씨,1sp,내가키우는s급들,데뷔하면못하면죽는병,,한유진와박문대,한유현X한유진,섹슈얼,청려문대,
