,부스명,대표자,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체
0,(주)무림미식회 중앙본부,중앙본부장,2sp,월한강천록,무림제일폐,,유소월,문지서X유소월,"로맨틱,섹슈얼","홍륜소월, 유원소월","만화,소설"
1,DONNA DONNA,mito,2sp,오리지널(창작),"귀멸의칼날, 나츠메우인장",,,,,,"일러스트,공예"
2,Kozmic*cosmo,Koz,2sp,죠죠의 기묘한 모험,,,"쿠죠 죠타로, 카쿄인 노리아키",죠타로X카쿄인,"로맨틱,섹슈얼",,"만화,소설"
3,Nottelatte,notte,1sp,,,,,,,,"만화,일러스트"
4,겨울의 달유리 꿈,모스까뚀우&겨울의꿈,4sp,,,,,,,,
5,곰굴,DMWM,2sp,1차창작,닌타마 란타로,,,,,,"소설,기타,사진"
6,관짝 공동 구매 부흥회,"FEL , 서하",2sp,히프노시스마이크,"아이돌리쉬세븐,TRPG",,"칸논자카 돗포, 이자나미 히후미, 진구지 쟈쿠라이, 마천랑",이자나미 히후미X칸논자카 돗포,"섹슈얼,해당없음,로맨틱",,"만화,기타"
7,광야에서 부스내러 지구 옴,"지넹,:3c",1sp,에스케이에이트,기븐,,"하세가와 란가, 캰 레키",란가X레키,로맨틱,"리츠마후, 시즈히이","기타,일러스트,소설"
8,군청본색 群靑本色,군청,2sp,"코우노도리1,2(드라마)","MIU404, 크로스오버(아인x플라주)",,"코우노토리 사쿠라, 시노미야 하루키",코우노토리 사쿠라X시노미야 하루키,"로맨틱,섹슈얼","이부시마(이부키 아이×시마 카즈미), 사토타카(사토×요시무라 타카오)",소설
9,굿즈러+소비러+알못러가 함께 합니다,악개,1sp,MCU,팔콘앤윈터솔져,,,,"섹슈얼,로맨틱",,"만화,일러스트,소설"
10,그렇게 울지 말기를,녹차맛별사탕,1sp,파이어 엠블렘 풍화설월,은혼,,,디미트리X벨레스,로맨틱,"실잉, 오키카구",만화
11,꼬누비,꼬누비,1sp,1차 창작 봉제 인형,,,,,,,공예
12,녹색의 마녀,정예진,1sp,,,,,,,,"공예,조형,기타"
13,달과 오렌지,SB,2sp,어그레츠코,,,,타다노X레츠코,"로맨틱,섹슈얼",,만화
14,도란도란,산채,2sp,,,,,,,,"일러스트,공예"
15,리틀캣스튜디오,memmoom,2sp,오리지널창작,,,,,,,일러스트
16,만듦,jini0305,2sp,,,,,,,,공예
17,무제,mm,1sp,,,,준호,,"섹슈얼,로맨틱",,"만화,일러스트"
