부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
<고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦> 주최부스 / 1,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,B12,2sp,,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,,,,,,,https://dongne.co/event/df2407/circles/452911,제26회 디. 페스타,Day1
<고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦> 주최부스 / 2,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,B13,2sp,,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,,,,,,,https://dongne.co/event/df2407/circles/452919,제26회 디. 페스타,Day1
<긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다> 주최부스,긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다,E1,2sp,,,긴히지 쁘띠존 : 사랑에는 당분도 마요네즈도 없다,,,,,,,https://dongne.co/event/df2407/circles/452924,제26회 디. 페스타,Day1
<무>암존 가오 다 뒤짐<적>,"솔고, 무무, 먹물",M11,2sp,화산귀환,,화산귀환 쁘띠존: 天下俠義,"청명, 장일소, 당보, 임소병, 남궁도위",당보X청명,"로맨틱,섹슈얼","청당, 도소, 일청","기타,소설,일러스트,공예",@solgocheong2,https://dongne.co/event/df2407/circles/392578,제26회 디. 페스타,Day1
<반월당 쁘띠존 : 나쁜 꿈은 끝났어> 주최부스,반월당 쁘띠존 : 나쁜 꿈은 끝났어,I13,2sp,,,반월당 쁘띠존 : 나쁜 꿈은 끝났어,,,,,,,https://dongne.co/event/df2407/circles/452954,제26회 디. 페스타,Day1
<시리무 쁘띠존: Summer Dog on the Moon> 주최부스,시리무 쁘띠존: Summer Dog on the Moon,I6,2sp,,,시리무 쁘띠존: Summer Dog on the Moon,,,,,,,https://dongne.co/event/df2407/circles/452964,제26회 디. 페스타,Day1
<재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~> 주최부스,재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~,T6,2sp,,,재희무현 쁘띠존 ~이 쁘띠존은 오늘의 상이에요~,,,,,,,https://dongne.co/event/df2407/circles/452901,제26회 디. 페스타,Day1
<청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>> 주최부스,청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>,K24,2sp,,,청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>,,,,,,,https://dongne.co/event/df2407/circles/452940,제26회 디. 페스타,Day1
<후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ]> 주최부스,후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ],A1,2sp,,,후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ],,,,,,,https://dongne.co/event/df2407/circles/452931,제26회 디. 페스타,Day1
ALL BLACK: 在日米軍,센먹,D10,2sp,닥터스톤,,,"스탠리 스나이더, 제노 휴스턴 윙필드, 이시가미 센쿠, 시시오 츠카사",스탠리 스나이더X제노 휴스턴 윙필드,"로맨틱,섹슈얼","이시가미 센쿠, 시시오 츠카사","만화,일러스트",@sentsukamugum,https://dongne.co/event/df2407/circles/393306,제26회 디. 페스타,Day1
Apple story,모해,O22,4sp,명일방주,,,,,"로맨틱,섹슈얼",,"공예,기타",@Id_mohae,https://dongne.co/event/df2407/circles/394071,제26회 디. 페스타,Day1
Arch crown,시나스,D6a,1sp,명탐정 코난,매직 카이토,,괴도 키드,쿠도 신이치X쿠로바 카이토,"로맨틱,섹슈얼",,소설,,https://dongne.co/event/df2407/circles/399543,제26회 디. 페스타,Day1
Aster☆잡동사니★화분,알만다이트,H7,2sp,CLAMP X,,,시로우 카무이,,"로맨틱,섹슈얼",,"소설,일러스트",@alman_dawn,https://dongne.co/event/df2407/circles/405604,제26회 디. 페스타,Day1
BACK4G,"베, 단고",E17,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,게토스구루 x 고죠사토루,,로맨틱,,"기타,일러스트",wxbgego,https://dongne.co/event/df2407/circles/390552,제26회 디. 페스타,Day1
But your idol 플레이~부!,김치볶음밥,P17,2sp,플레이브,,,"예준,노아,밤비,은호,하민",,,,일러스트,kimchifr99,https://dongne.co/event/df2407/circles/403728,제26회 디. 페스타,Day1
Crotti,kitami,S12,2sp,슬램덩크,"원피스, 켄간",,,,,,만화,,https://dongne.co/event/df2407/circles/399103,제26회 디. 페스타,Day1
D-Esper,케링,R14a,1sp,슬램덩크,스타워즈,,서태웅,윤대협X서태웅,"로맨틱,섹슈얼","레일로,황립,녹고",,@d_esper_,https://dongne.co/event/df2407/circles/401259,제26회 디. 페스타,Day1
EX급 정상영업 가게,여쥐,R8,2sp,명급리,"프세카, 세포신곡, 데못죽, 보컬로이드",,조의신,,"로맨틱,섹슈얼","하츠우츠, 청려문대",일러스트,tteoggg0_0,https://dongne.co/event/df2407/circles/401967,제26회 디. 페스타,Day1
first,Ho,R14b,1sp,슬램덩크,,,송태섭 정대만,,,,,,https://dongne.co/event/df2407/circles/402083,제26회 디. 페스타,Day1
forgiven,델즈,D5,2sp,명탐정 코난,,,"아카이 슈이치, 아무로 토오루",,"섹슈얼,로맨틱",,소설,dz_1x0,https://dongne.co/event/df2407/circles/386001,제26회 디. 페스타,Day1
GeGolog,조쇼,F16,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",게토 스구루X고죠 사토루,로맨틱,,"일러스트,공예,기타",@Joakirax72_5 @ahri0318,https://dongne.co/event/df2407/circles/402484,제26회 디. 페스타,Day1
GG,G7 ,H12a,1sp,,,,,,,,,@,https://dongne.co/event/df2407/circles/404518,제26회 디. 페스타,Day1
GO,점,I20a,1sp,소설,,,.,,,,기타,.,https://dongne.co/event/df2407/circles/403054,제26회 디. 페스타,Day1
Hibiscus on july,"히비스커스,른릉,냔지",A6,2sp,주술회전,,후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ],,,,,"만화,일러스트,소설","@hibiscusondec,@fushirun_rung,@nyanji_0101",https://dongne.co/event/df2407/circles/391252,제26회 디. 페스타,Day1
HL State Of Mind,타라몬,E22,2sp,혈계전선,"해리포터, 가비지타임",,,,,"재프제드재프, 해리드레",소설,@tara_love_peace,https://dongne.co/event/df2407/circles/387162,제26회 디. 페스타,Day1
I am 잡덕이예요,아루,V16,2sp,전지적 독자 시점,"화산귀환, 내가 키운 S급, 문호 스트레이독스, 명탐정 코난",,"김독자, 청명, 다자이오사무",유중혁X김독자,로맨틱,"당보×청명, 유현×유진, 다자이오사무×나카하라츄야","소설,일러스트",@aru__111,https://dongne.co/event/df2407/circles/401536,제26회 디. 페스타,Day1
JETURK AIRLINES X 라구파스타연구소 수성점,타루,D9a,1sp,기동전사 건담 수성의 마녀,,,"구엘제타크,라우더닐",라우더 닐X구엘 제타크,로맨틱,,"만화,일러스트,소설",@GW_Taroo,https://dongne.co/event/df2407/circles/392428,제26회 디. 페스타,Day1
K.O.H,고운구슬,Z6,2sp,데못죽,"플레이브,앙스타,몹사",,테스타,,,,,Goun_beads,https://dongne.co/event/df2407/circles/404877,제26회 디. 페스타,Day1
KOTOHANABI,KOTOHA,X21,2sp,우마무스메,,,,,,,,@kotohanabi ,https://dongne.co/event/df2407/circles/388865,제26회 디. 페스타,Day1
Kozmic*cosmo,Koz,G10,2sp,1차BL,슬램덩크,,,,,,,nowhere616,https://dongne.co/event/df2407/circles/391953,제26회 디. 페스타,Day1
LE-ZT-0 from. Afterglow,백,O19,2sp,"명일방주, 페이트/그랜드오더",,,"크라이데, 에벤홀츠, 이그제큐터, 비르투오사 (+라이타니엔/라테라노/우인호)",,,,"일러스트,기타",@ws1r_l,https://dongne.co/event/df2407/circles/396059,제26회 디. 페스타,Day1
Love1999,천사,D9b,1sp,헌터x헌터,"아이돌리쉬 세븐, 죠죠의 기묘한 모험",,,,,,,@Love__ppi,https://dongne.co/event/df2407/circles/396522,제26회 디. 페스타,Day1
Lovely Mix,Lovely Mix,J20a,1sp,화산귀환,"내스급, 데못죽, 전독시",,,,,,,@LovelyMix_,https://dongne.co/event/df2407/circles/404491,제26회 디. 페스타,Day1
MMMA,MMMA,N6,2sp,하이큐,,,,,,,,ummm_mmma ,https://dongne.co/event/df2407/circles/388025,제26회 디. 페스타,Day1
My☆Planet,행성지기,G20,2sp,핸드메이드 봉제인형,솜인형(10cm) 드레스,,,,,,공예,@My_Planet_Doll,https://dongne.co/event/df2407/circles/392210,제26회 디. 페스타,Day1
NAMELESS,헤이즐,C16a,1sp,"주술회전, 도리벤",,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,,,기타,@hajel0302,https://dongne.co/event/df2407/circles/399408,제26회 디. 페스타,Day1
NAMELESS,헤이즐,R1a,1sp,"주술회전, 도리벤",,,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,로맨틱,,"만화,일러스트,소설",@hajel0302,https://dongne.co/event/df2407/circles/385665,제26회 디. 페스타,Day1
NEVERLAND,데스앙크,O3a,1sp,앙상블 스타즈,,,"카게히라 미카, 이츠키 슈",,로맨틱,,"만화,소설",@en_Deathwink,https://dongne.co/event/df2407/circles/447330,제26회 디. 페스타,Day1
PASSWORD 572,salgu,B18,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,로맨틱,,,@_mlm_x_,https://dongne.co/event/df2407/circles/390795,제26회 디. 페스타,Day1
Pin-up Boy,자규,O5,2sp,붕괴:스타레일,원신,,연경,,"로맨틱,섹슈얼",소x종려,"소설,만화",,https://dongne.co/event/df2407/circles/405139,제26회 디. 페스타,Day1
Platina Comet,트리아논,O1,2sp,앙상블스타즈,스텔라이브,,유우키 마코토,트릭X스타,"로맨틱,섹슈얼",트릭스타 넷이사귐~,,anon_ovs,https://dongne.co/event/df2407/circles/391667,제26회 디. 페스타,Day1
puppyBEAR,스타감자,Z20,2sp,데못죽,,,문대 큰세 테스타 ...,,,,,@80o0o0o08,https://dongne.co/event/df2407/circles/405702,제26회 디. 페스타,Day1
P들의 부스,SOBI(소비),G5,2sp,창작,,,,,,,공예,@jin_fierce ,https://dongne.co/event/df2407/circles/404264,제26회 디. 페스타,Day1
Sad Sad Kiddie,미르덱스,A19,2sp,주술회전,,후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ],"이타도리 유지, 후시구로 메구미, 료멘 스쿠나",,"섹슈얼,로맨틱","이타후시, 스쿠후시",,@jjks_mirdex,https://dongne.co/event/df2407/circles/393271,제26회 디. 페스타,Day1
SERIREI ~경애 114%의 남자~,월월,D11,2sp,모브사이코100,,,"세리자와 카츠야, 레이겐 아라타카",세리자와 카츠야X레이겐 아라타카,"로맨틱,섹슈얼",,"소설,만화",@W0l0o,https://dongne.co/event/df2407/circles/401301,제26회 디. 페스타,Day1
SNBR,시나브로,R2b,1sp,마법사의 약속 (마호야쿠),,,,,,,만화,si_nab,https://dongne.co/event/df2407/circles/394825,제26회 디. 페스타,Day1
Stars Orbit 출장부스,피리아,X8a,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,,@filiaulcopt,https://dongne.co/event/df2407/circles/389194,제26회 디. 페스타,Day1
TOR,TOR,G9,4sp,,,,,,,,기타,softyor_tor,https://dongne.co/event/df2407/circles/394929,제26회 디. 페스타,Day1
Two Rabbits & 자몽공방,Rabbits,G7,2sp,데못죽,"슬램덩크,가비지타임,플레이브,화산귀환,앙스타등",,,,,,,@2rabbits,https://dongne.co/event/df2407/circles/390499,제26회 디. 페스타,Day1
VELTUS,쟈키퐁,D7,4sp,"에반게리온, 록맨, 스플래툰,",,,사키엘 ,,,,"일러스트,조형,기타",@zakipong_v,https://dongne.co/event/df2407/circles/392868,제26회 디. 페스타,Day1
W and【572】 B,HK,C2b,1sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,로맨틱,,,@0Hkkkk,https://dongne.co/event/df2407/circles/400977,제26회 디. 페스타,Day1
xoxo_xoxo,구남,S17,2sp,슬램덩크,,,,,,,"일러스트,만화",@qnamxoxo,https://dongne.co/event/df2407/circles/384824,제26회 디. 페스타,Day1
yepeen,예핀,G13a,1sp,오리지널 ,,,,,,,일러스트,yepeen,https://dongne.co/event/df2407/circles/400635,제26회 디. 페스타,Day1
yuionsen,유유,Q19,2sp,페르소나4,,,"하나무라 요스케, 번장",주인공X하나무라,로맨틱,,만화,yuuuikuma,https://dongne.co/event/df2407/circles/397098,제26회 디. 페스타,Day1
[활]화산횟집[어],연푸른,I15,2sp,화산귀환,,화산귀환 쁘띠존: 天下俠義,올캐릭터,,,,"일러스트,공예",@trapcardmim,https://dongne.co/event/df2407/circles/400527,제26회 디. 페스타,Day1
ㅅㅅㅅ,"태발,",G12,2sp,창작,,,,,,,"만화,일러스트,소설,공예",,https://dongne.co/event/df2407/circles/404584,제26회 디. 페스타,Day1
不忘,"파얀, 몽상화",F8,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",게토 스구루X고죠 사토루,"섹슈얼,로맨틱",,"소설,일러스트","@payann_725, @mongsanghwa",https://dongne.co/event/df2407/circles/386791,제26회 디. 페스타,Day1
青春 POWER BOOSTER,"파워, 부수리",F10,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",,"로맨틱,섹슈얼",,"만화,일러스트",@boosoori,https://dongne.co/event/df2407/circles/392438,제26회 디. 페스타,Day1
가띤,뿡,J19,2sp,가면라이더,,,,,,,"기타,만화",,https://dongne.co/event/df2407/circles/397969,제26회 디. 페스타,Day1
가보자고,나오냥,H2,2sp,없음,없음,,없음,,,,공예,,https://dongne.co/event/df2407/circles/396995,제26회 디. 페스타,Day1
가보자고!,애플민트,Z3,2sp,데뷔못하면죽는병걸림,,,,,,,,@apple_min_t_,https://dongne.co/event/df2407/circles/387363,제26회 디. 페스타,Day1
가보자마장,엄마,Q1b,1sp,fkmt,"OC, 마작,포켓몬sv,역전재판,검은방,회색도시,베리드스타즈,아카기,카이지",FKMT 쁘띠존: 바ざわ회 ~디페 내에 코 크신 분 계십니까~,,,,,"조형,기타",@RAPizza_,https://dongne.co/event/df2407/circles/386058,제26회 디. 페스타,Day1
가슴으로 낳은 깜고,로빙빙,A2,2sp,주술회전,,후시른 쁘띠존 3회 [ MEGUMI IS ALWAYS RIGHT ],"고죠 사토루,후시구로 메구미",고죠 사토루X후시구로 메구미,로맨틱,,소설,robingbing1,https://dongne.co/event/df2407/circles/393581,제26회 디. 페스타,Day1
개구리집,"상메, LH41,0_N",Q7,2sp,발더스 게이트3,"역전재판,청의 엑소시스트,해즈빈 호텔",,아스타리온,,섹슈얼,,만화,"@D_SANME,@EHLH41,@MIZUN0_N",https://dongne.co/event/df2407/circles/403824,제26회 디. 페스타,Day1
개노답 순애 삼형제,"타밍,미응,_MH",S11,2sp,슬램덩크,주술회전,,"이타도리 유지,후시구로 메구미,양호열,강백호,정우성,이명헌",,,,,"@ita_mi_ng,@cc_000094,@MH_hanamja",https://dongne.co/event/df2407/circles/393279,제26회 디. 페스타,Day1
개천신화부터 통일신라까지,"바삭, 흐물, 소단, 편자",V9,4sp,"명급리, 진혼기",덷맨스 전독시,,"자하, 설영, 황호, 의신, 제건, 신록",자하X설영,해당없음,"황호의신, 제건신록, 영원호현",,,https://dongne.co/event/df2407/circles/394938,제26회 디. 페스타,Day1
거양전 폐관수련중,연납,M22,2sp,천관사복,인사반파,,화성 사련 풍신 모정 빙하 청추 ,,,,일러스트,@renconabductor,https://dongne.co/event/df2407/circles/390462,제26회 디. 페스타,Day1
걸어서 신라속으로,랑,U2,2sp,진혼기,,,,설영X자하,로맨틱,,"일러스트,소설,만화",,https://dongne.co/event/df2407/circles/393957,제26회 디. 페스타,Day1
검사님에게 애착변호사를 주세요!,나만만세,I20b,1sp,대역전재판,역전재판 시리즈,,"바로크 반직스, 나루호도 류노스케",바로크 반직스X나루호도 류노스케,로맨틱,아소류,"일러스트,기타,만화",@kje5645_tdgs,https://dongne.co/event/df2407/circles/385597,제26회 디. 페스타,Day1
검은 새벽,김래곤,H11,2sp,,,,,,,,일러스트,kimlaegon911,https://dongne.co/event/df2407/circles/391950,제26회 디. 페스타,Day1
게(이)고(자극),"이치, 망푸, 씨밀레",F6,4sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",게토 스구루X고죠 사토루,"섹슈얼,로맨틱",,"만화,일러스트,소설,기타","@ichi_gosa, @puleun_gego, @Simile725",https://dongne.co/event/df2407/circles/393470,제26회 디. 페스타,Day1
게이인것같아 고민입니다,김대의,F21b,1sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",게토 스구루X고죠 사토루,로맨틱,,"소설,기타",@getolover_mel,https://dongne.co/event/df2407/circles/391278,제26회 디. 페스타,Day1
