부스명,대표자,위치,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
                                                                                                                                                                                                    국사무우,"lusch, 안건",B11,4sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,,고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,"@lunchsetB, @goodteethguys",https://dongne.co/event/df2407/circles/392577,제26회 디. 페스타,Day1
                                                                                                                                                                                                 공동정탈취범,훈,B9,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트",@Ju_angbal_love,https://dongne.co/event/df2407/circles/390313,제26회 디. 페스타,Day1
                                                                                                                                                                                                푸른봄XXL세트,"뭔버거, 뭔튀김",C6,4sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트","@3vnqha ,  @What_fried",https://dongne.co/event/df2407/circles/386672,제26회 디. 페스타,Day1
                                                                                                                                                                                               ONLY GOGE,"사뿐, 모지",C1,4sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,"@only_death_only , @mo_gurim",https://dongne.co/event/df2407/circles/385714,제26회 디. 페스타,Day1
                                                                                                                                                                                             CCTV No.572,cc,B8,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,@ggss_cc,https://dongne.co/event/df2407/circles/388131,제26회 디. 페스타,Day1
                                                                                                                                                                                      남쪽행 출국 572번 게이트,"너구리라면, 씅이",C23,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,로맨틱,,"만화,소설","@JujuK_bb_db , @572only",https://dongne.co/event/df2407/circles/400750,제26회 디. 페스타,Day1
                                                                                                                                                                                타비신고 마중 나온 푸른 봄,UQU,B24,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루 , 게토 스구루",고죠 사토루X게토 스구루,로맨틱,,일러스트,UQUOOZZ,https://dongne.co/event/df2407/circles/391218,제26회 디. 페스타,Day1
        5시 7분 20초,"Della, ZZATANG",C22,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루, 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트,소설","@Gogefs, @zza__tang",https://dongne.co/event/df2407/circles/398698,제26회 디. 페스타,Day1
 신나! 신나게!,메탈전사GT,D24a,1sp,드래곤볼GT,,,팡(드래곤볼 GT),,,,만화,@MetalwarriorZ,https://dongne.co/event/df2407/circles/392354,제26회 디. 페스타,Day1
(주) 무림미식회,단팥빵,J3,2sp,무림제일폐: 월한강천록,발더스게이트3,,유소월,홍륜X소월,"로맨틱,섹슈얼",소월른,"만화,일러스트",@Annbbang,https://dongne.co/event/df2407/circles/393261,제26회 디. 페스타,Day1
",",화영,K2b,1sp,화산귀환,,청명백천 쁘띠존 <청명아! 백천아! 안되겠다 혼인하자>,청명백천,청명X백천,"로맨틱,섹슈얼",,소설,@Flower221218,https://dongne.co/event/df2407/circles/392116,제26회 디. 페스타,Day1
.,랩실,N13,2sp,프로젝트 세카이,,,,,,,,,https://dongne.co/event/df2407/circles/401408,제26회 디. 페스타,Day1
.,123456ccpi,E9a,1sp,,,,,,,,,,https://dongne.co/event/df2407/circles/389675,제26회 디. 페스타,Day1
.,.,C17b,1sp,,,,,고죠 사토루X게토 스구루,로맨틱,,"만화,기타",.,https://dongne.co/event/df2407/circles/393269,제26회 디. 페스타,Day1
... 그렇게 됐다,ㅍㅍ,W5,2sp,블랙배저,,,,,,,,,https://dongne.co/event/df2407/circles/401747,제26회 디. 페스타,Day1
...!,레리,Z5,2sp,"데뷔못하면죽는병걸림, 패션(BL)",,,,,,,일러스트,,https://dongne.co/event/df2407/circles/395777,제26회 디. 페스타,Day1
"1, 2, 3 미야죠 화이팅!","진미, 로모, 다라미, 텐브",N11,2sp,프로젝트 세카이,,,미야죠 캐릭터,,,,일러스트,"@cocov__, @81159_, @__darami, @Ten__B",https://dongne.co/event/df2407/circles/387007,제26회 디. 페스타,Day1
1/NAYUTA,임원후,C9b,1sp,주술회전,,,"고죠 사토루, 옷코츠 유타",고죠 사토루X옷코츠 유타,"로맨틱,섹슈얼",,소설,@4nTiRuT529XzMED,https://dongne.co/event/df2407/circles/392083,제26회 디. 페스타,Day1
1042thDEAL,"디일, 42",T11,2sp,슬램덩크,"죠죠의 기묘한 모험, 스파이더맨, 원피스",,,양호열X강백호,"로맨틱,섹슈얼","태웅백호, 시죠세, 에이루","만화,일러스트",,https://dongne.co/event/df2407/circles/404116,제26회 디. 페스타,Day1
13년 전에 펑크낸 책 내러온 사람,눙님,I2,2sp,이나즈마 일레븐(썬더 일레븐),,,키야마 히로토(손현민),키야마 히로토X미도리카와 류지,로맨틱,,"만화,소설",nuaaaaaaaa,https://dongne.co/event/df2407/circles/394250,제26회 디. 페스타,Day1
1400년 전통 신라 만두집,하하하 ,I7,4sp,반월당의기묘한이야기,진혼기,반월당 쁘띠존 : 나쁜 꿈은 끝났어,"백란,유단",백란X유단,해당없음,,"일러스트,소설,만화",@ha_ha_haha03,https://dongne.co/event/df2407/circles/391015,제26회 디. 페스타,Day1
21세기 동인은 물물교환만 받습니다.,빨간단추,Y11,2sp,데못죽,,,박문대,청려X문대,로맨틱,,"소설,공예",hippo1157,https://dongne.co/event/df2407/circles/386538,제26회 디. 페스타,Day1
230730,YT,O6a,1sp,Fate/Grand Order,,,"카르나, 아르주나",카르나X아르주나,로맨틱,,소설,,https://dongne.co/event/df2407/circles/392636,제26회 디. 페스타,Day1
3+2+1=725,"떠리,냠,먉",F13,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,게토고죠,게토 스구루X고죠 사토루 ,"로맨틱,섹슈얼",,"소설,일러스트",@parananhc,https://dongne.co/event/df2407/circles/396706,제26회 디. 페스타,Day1
33년의 순애,놀란,S8b,1sp,슬램덩크,,,강백호,양호열X강백호,,,,@_ww_w0w_w_,https://dongne.co/event/df2407/circles/403009,제26회 디. 페스타,Day1
3분 파스타,노랑,Y21,2sp,데뷔 못 하면 죽는 병 걸림,,,"류건우, 류청우, 청려, 박문대",류청우X류건우,"로맨틱,섹슈얼",,"일러스트,만화",@mcr2_,https://dongne.co/event/df2407/circles/403375,제26회 디. 페스타,Day1
572년째.. 여름이였다...,MM,B17b,1sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루 , 게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,,@MM06030,https://dongne.co/event/df2407/circles/405706,제26회 디. 페스타,Day1
572번 왜곡된 저주,Naru,C20,2sp,주술회전,,고죠게토 쁘띠존 : ✧ 夢中相尋 몽중상심 ✦,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,만화,@narilanta,https://dongne.co/event/df2407/circles/398074,제26회 디. 페스타,Day1
6/45,롯도,Y10,2sp,데뷔 못하면 죽는병 걸림,,,"청려, 박문대",청려X문대,로맨틱,,"만화,일러스트",,https://dongne.co/event/df2407/circles/397058,제26회 디. 페스타,Day1
63×117=존나잘생긴놈×키작은상남자,미아미엘,S7,2sp,"아이돌리쉬세븐, 슬램덩크",,,"서태웅, 송태섭, 로쿠야 나기, 이즈미 미츠키",로쿠야 나기X이즈미 미츠키,로맨틱,태웅태섭,"만화,일러스트",@MIACENTER_i7 @MIA_NONGNOL,https://dongne.co/event/df2407/circles/404764,제26회 디. 페스타,Day1
71HB,"기기, 호롱",F9,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,"게토 스구루, 고죠 사토루",게토 스구루X고죠 사토루,"로맨틱,섹슈얼",,"만화,일러스트,소설","7171bit, yakeru_ne",https://dongne.co/event/df2407/circles/391130,제26회 디. 페스타,Day1
725호 세입자,471,E14,2sp,주술회전,,게토고죠 쁘띠존 《END UP》,,,,,기타,@4x100_7x10_1,https://dongne.co/event/df2407/circles/392388,제26회 디. 페스타,Day1
7년 보장된 맛집: 프랑소와와패니즈코리안머튼커리파스타집,요븐,I24,2sp,역전재판,"TRPG (CoC), 오리지널(1차창작), 아이돌리쉬 세븐",,"나루호도 류이치, 미츠루기 레이지",,"로맨틱,섹슈얼",1차 창작,"소설,기타",0nlyonesh0ttt,https://dongne.co/event/df2407/circles/387153,제26회 디. 페스타,Day1
7월까지어바등을과연,쥼,T10,2sp,어두운 바다의 등불이 되어,"투패전설아카기, 사카모토데이즈",,박무현 김재희 신해량 ,,,,"일러스트,소설",wndrkd__,https://dongne.co/event/df2407/circles/396823,제26회 디. 페스타,Day1
7월의 내가 알아서 하겠지^^,으랏챠챠,L3,2sp,화산귀환,,,,,,,,@qawsedcici,https://dongne.co/event/df2407/circles/405862,제26회 디. 페스타,Day1
7은 완벽한 숫자다 ,용,S23,2sp,아이나나,더퍼스트슬램덩크,,,,,,"만화,일러스트",,https://dongne.co/event/df2407/circles/397207,제26회 디. 페스타,Day1
80년 전통 중원 손만두집,천하,L21,2sp,화산귀환,가비지 타임,,"청명, 백천, 기상호, 박병찬, 성준수",백천X청명,로맨틱,,일러스트,@shinsehee_,https://dongne.co/event/df2407/circles/404003,제26회 디. 페스타,Day1
88088,88,I1,2sp,젤다의 전설,드래곤 퀘스트,,,,,,"만화,일러스트,기타",,https://dongne.co/event/df2407/circles/400940,제26회 디. 페스타,Day1
<FKMT 쁘띠존: 바ざわ회 ~디페 내에 코 크신 분 계십니까~> 주최부스,FKMT 쁘띠존: 바ざわ회 ~디페 내에 코 크신 분 계십니까~,Q5,2sp,,,FKMT 쁘띠존: 바ざわ회 ~디페 내에 코 크신 분 계십니까~,,,,,,,https://dongne.co/event/df2407/circles/452945,제26회 디. 페스타,Day1
<게토고죠 쁘띠존> 주최부스,게토고죠 쁘띠존,F17,2sp,,,게토고죠 쁘띠존 《END UP》,,,,,,,https://dongne.co/event/df2407/circles/452904,제26회 디. 페스타,Day1
