부스명,대표자,위치,위치(열),위치(번호),반부스,부스,대표 작품(원작),그 외 다루는 작품,쁘띠존,캐릭터,커플링,커플링 성향,그 외 커플링,매체,트위터,링크,행사명,개최일
<혈계전선 쁘띠존> 주최 부스,혈계전선 쁘띠존,,,,,2sp,,,혈계전선 쁘띠존 : 라이브라 한국지부 홍보팀,,,,,,,https://dongne.co/events/df2401/circles/113682,제24회 디. 페스타,Day1
"<밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.> 주최 부스","밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.",,,,,2sp,,,"밧슈울프 쁘띠존 : 하여, 우리는 이 백지에 그들을 기록한다.",,,,,,,https://dongne.co/events/df2401/circles/113746,제24회 디. 페스타,Day1
<고죠유지 쁘띠존 : 겨울을 녹이는 봄> 주최부스,고죠유지 쁘띠존 : 겨울을 녹이는 봄,,,,,2sp,,,고죠유지 쁘띠존 : 겨울을 녹이는 봄,,,,,,,https://dongne.co/events/df2401/circles/112274,제24회 디. 페스타,Day1
<태웅백호 쁘띠존 : 호호신년> 주최 부스,태웅백호 쁘띠존 : 호호신년,,,,,2sp,,,태웅백호 쁘띠존 : 호호신년,,,,,,,https://dongne.co/events/df2401/circles/113776,제24회 디. 페스타,Day1
<세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계> 주최 부스,세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계,,,,,2sp,,,세포신곡 쁘띠존 :: 세포와 인자의 미묘한 상관관계,,,,,,,https://dongne.co/events/df2401/circles/113543,제24회 디. 페스타,Day1
<변호사가 역전을 숨김> 주최 부스,변호사가 역전을 숨김,,,,,2sp,,,변호사가 역전을 숨김,,,,,,,https://dongne.co/events/df2401/circles/112981,제24회 디. 페스타,Day1
                                                                                                                                                                                                  공동정탈취범,"훈, 양갱",,,,,2sp,주술회전,,,"고죠 사토루,게토 스구루",고죠 사토루X게토 스구루,"로맨틱,섹슈얼",,"만화,일러스트","Ju_angbal_love, za_yess",https://dongne.co/events/df2401/circles/115154,제24회 디. 페스타,Day1
 이 땅은 밥이 주식인 나라 , 쾅,,,,,2sp,가비지타임,,,"박병찬,기상호",박병찬X기상호,로맨틱,재석영중재,"일러스트,소설,기타",pizzamatitdang,https://dongne.co/events/df2401/circles/112874,제24회 디. 페스타,Day1
________로 만나 버튜버 되다,"야마, 2, 르타",,,,,2sp,니지산지,,,,,,,,diakghkrnl,https://dongne.co/events/df2401/circles/112731,제24회 디. 페스타,Day1
(주) 무림미식회의 기묘한 모험을 바이풋슈!,단팥빵,,,,,2sp,월한강천록: 무림제일폐,"아카기,죠죠의 기묘한 모험",,유소월,홍륜X소월,"로맨틱,섹슈얼","소월른, 아카난고","만화,일러스트",Annbbang,https://dongne.co/events/df2401/circles/112529,제24회 디. 페스타,Day1
(실은 모든 것을 알고 있음),"마키오토, 테마파크직원",,,,,2sp,프로젝트 세카이,보컬로이드 (카이토 위주),,,,,,,tmpk_in,https://dongne.co/events/df2401/circles/112956,제24회 디. 페스타,Day1
[활]화산횟집[어],미미광어,,,,,1sp,화산귀환,,,올캐릭터,,,,"공예,일러스트",trapcardmim,https://dongne.co/events/df2401/circles/113146,제24회 디. 페스타,Day1
